"","Rank","Team","2014","Last 3","Last 1","Home","Away","2013"
"1","1","NW State","40.1","42.0","44.0","45.2","36.2","38.4"
"2","2","Iona","39.6","44.3","39.0","40.3","39.1","41.9"
"3","3","Davidson","39.1","31.3","29.0","42.2","36.5","38.0"
"4","4","Murray St","38.8","36.3","27.0","40.1","37.9","36.8"
"5","5","Duke","38.2","31.3","36.0","43.1","34.7","38.7"
"6","6","BYU","38.2","44.3","49.0","36.9","39.3","39.4"
"7","7","Indiana","38.0","38.3","39.0","39.7","35.9","35.7"
"8","8","Gonzaga","37.6","35.7","26.0","38.4","37.1","37.3"
"9","9","Arkansas","37.1","29.3","36.0","39.9","34.0","38.0"
"10","10","N Carolina","37.0","36.0","33.0","36.7","37.3","34.5"
"11","11","Notre Dame","36.8","31.7","31.0","38.5","35.1","33.7"
"12","12","VA Military","36.8","27.3","20.0","35.0","37.9","40.2"
"13","13","Kentucky","36.8","37.0","36.0","38.6","35.0","35.1"
"14","14","E Washingtn","36.6","37.0","33.0","36.8","36.4","35.0"
"15","15","Oregon","36.5","30.7","28.0","38.7","34.2","37.1"
"16","16","Ste F Austin","36.4","33.7","19.0","36.8","36.2","37.2"
"17","17","Hofstra","36.4","33.7","30.0","36.9","36.1","32.5"
"18","18","Arizona","36.1","29.0","33.0","38.0","34.5","35.2"
"19","19","Buffalo","36.0","33.7","26.0","36.9","35.5","34.6"
"20","20","Toledo","35.9","31.0","26.0","36.3","35.6","36.9"
"21","21","Central Mich","35.8","35.0","33.0","40.5","31.4","30.0"
"22","22","N Florida","35.2","35.3","35.0","40.5","32.5","33.8"
"23","23","Belmont","35.2","33.0","32.0","36.6","34.2","38.5"
"24","24","LA Lafayette","35.2","36.3","37.0","38.8","32.9","37.2"
"25","25","Wisconsin","35.2","32.3","36.0","36.8","34.1","34.3"
"26","26","Villanova","35.1","37.0","28.0","38.9","32.4","36.6"
"27","27","Hawaii","35.0","35.3","33.0","35.2","34.8","37.1"
"28","28","Iowa State","34.9","26.7","28.0","37.4","32.8","38.2"
"29","29","LSU","34.9","36.3","40.0","35.4","34.4","35.0"
"30","30","Idaho","34.7","34.3","41.0","36.2","33.6","32.5"
"31","31","Colorado St","34.7","32.0","38.0","37.2","32.3","31.7"
