"","Rank","Team","2015","Last 3","Last 1","Home","Away","2014"
"1","1","Neb Omaha","46.7","60.0","80.0","47.1","46.5","41.5"
"2","2","Marshall","45.8","56.7","61.0","48.0","44.3","34.5"
"3","3","Oakland","45.1","51.3","44.0","47.8","43.7","37.4"
"4","4","Citadel","44.0","38.7","31.0","43.0","44.8","32.1"
"5","5","Detroit","43.8","49.7","43.0","44.1","43.6","36.8"
"6","6","Iowa State","43.7","42.3","40.0","45.6","42.2","42.9"
"7","7","BYU","43.4","44.0","40.0","43.5","43.3","42.7"
"8","8","WI-Grn Bay","43.0","37.3","32.0","42.2","43.5","34.6"
"9","9","N Carolina","43.0","41.3","35.0","44.3","42.2","40.2"
"10","10","Winthrop","43.0","43.7","35.0","45.0","41.6","36.9"
"11","11","E Kentucky","42.7","45.7","48.0","45.2","40.2","36.5"
"12","12","LSU","42.6","40.7","25.0","44.7","40.0","37.1"
"13","13","Washington","42.5","49.7","49.0","43.9","40.9","38.2"
"14","14","Belmont","42.2","40.7","46.0","44.1","41.1","38.4"
"15","15","Charlotte","42.1","34.7","25.0","46.2","38.7","39.1"
"16","16","LA Tech","42.1","39.0","42.0","44.6","39.7","38.0"
"17","17","San Fransco","42.0","43.7","49.0","44.4","39.1","36.1"
"18","18","Michigan St","42.0","33.0","46.0","40.4","43.3","36.3"
"19","19","Creighton","41.9","42.7","45.0","41.7","42.1","35.6"
"20","20","Monmouth","41.9","44.7","38.0","42.6","41.4","34.5"
"21","21","Arizona","41.8","43.0","36.0","44.3","39.0","40.4"
"22","22","Xavier","41.8","40.0","30.0","42.8","40.9","38.6"
"23","23","Buffalo","41.8","39.0","39.0","41.9","41.7","38.6"
"24","24","Florida St","41.7","47.0","40.0","44.6","39.5","36.9"
"25","25","Central Ark","41.4","38.7","41.0","44.1","39.9","34.7"
"26","26","St Bonavent","41.3","40.7","49.0","44.3","37.6","36.5"
"27","27","Indiana","41.2","46.0","45.0","43.9","38.6","39.1"
"28","28","Davidson","41.2","40.0","48.0","42.6","39.9","38.7"
"29","29","St Josephs","41.1","39.3","37.0","40.4","41.6","32.4"
"30","30","TN Tech","41.1","40.3","29.0","45.1","37.9","36.1"
"31","31","Colorado St","41.1","34.3","23.0","44.0","38.5","36.8"
"32","32","NJIT","41.1","41.7","43.0","42.7","39.5","38.2"
"33","33","Butler","41.1","38.3","44.0","42.8","39.4","35.5"
"34","34","Rice","41.0","41.0","44.0","42.1","39.9","32.5"
"35","35","Oregon","40.9","40.3","38.0","40.8","41.1","37.3"
"36","36","Duquesne","40.9","46.7","36.0","43.5","38.7","37.8"
"37","37","IPFW","40.8","37.3","33.0","47.7","37.2","38.3"
"38","38","Stetson","40.8","42.3","34.0","40.7","40.9","34.8"
"39","39","LA Lafayette","40.8","40.7","33.0","42.7","39.3","39.2"
"40","40","Miami (FL)","40.8","36.3","32.0","42.6","39.2","37.0"
"41","41","Tennessee","40.8","42.7","42.0","43.4","38.4","34.7"
"42","42","Iona","40.7","44.3","48.0","42.3","39.7","39.6"
"43","43","E Michigan","40.7","37.3","31.0","41.0","40.5","36.6"
"44","44","NW State","40.7","42.3","47.0","42.9","39.1","43.6"
"45","45","E Washingtn","40.7","37.0","25.0","44.6","38.6","41.9"
"46","46","Villanova","40.6","42.7","43.0","39.4","41.5","40.9"
"47","47","Portland St","40.6","42.0","37.0","43.1","38.9","37.7"
"48","48","Ohio","40.6","45.0","48.0","41.8","39.3","35.8"
"49","49","Kentucky","40.6","41.3","35.0","40.9","40.4","36.8"
"50","50","Toledo","40.6","37.0","40.0","42.4","39.1","38.9"
"51","51","N Colorado","40.6","39.0","37.0","40.0","41.1","39.1"
"52","52","N Florida","40.5","37.7","43.0","44.0","37.7","38.8"
"53","53","Kansas","40.5","35.3","34.0","43.3","38.4","37.1"
"54","54","Arkansas","40.5","34.3","38.0","44.0","36.5","39.6"
"55","55","Stony Brook","40.5","45.0","38.0","42.9","38.5","34.1"
"56","56","UCLA","40.4","41.0","42.0","41.9","38.8","38.0"
"57","57","USC","40.4","39.7","33.0","41.0","39.8","35.2"
"58","58","S Methodist","40.4","39.0","27.0","41.9","38.3","36.6"
"59","59","Hofstra","40.3","36.3","42.0","40.2","40.4","41.5"
"60","60","Ste F Austin","40.3","35.7","34.0","43.6","38.7","41.4"
"61","61","NC-Asheville","40.3","41.3","30.0","40.7","40.1","38.1"
"62","62","Oklahoma","40.2","29.0","23.0","42.2","38.9","36.4"
"63","63","Austin Peay","40.2","49.0","51.0","36.8","42.1","35.0"
"64","64","Bucknell","40.2","40.3","50.0","40.7","39.8","36.8"
"65","65","TX-Arlington","40.2","35.3","30.0","42.6","38.5","37.1"
"66","66","E Tenn St","40.2","45.0","44.0","40.8","39.8","36.9"
"67","67","VCU","40.2","43.0","50.0","41.4","39.2","37.0"
"68","68","Lamar","40.2","41.0","35.0","40.3","40.1","37.4"
"69","69","Oral Roberts","40.1","42.0","32.0","39.4","40.5","36.4"
"70","70","Richmond","40.1","36.7","34.0","42.2","38.1","33.6"
"71","71","Columbia","40.1","42.0","42.0","40.4","39.8","32.4"
"72","72","Siena","40.1","39.7","37.0","40.9","39.5","37.3"
"73","73","Wm & Mary","40.1","38.7","33.0","42.4","38.2","37.7"
"74","74","Longwood","40.1","45.3","45.0","40.0","40.1","35.2"
"75","75","UAB","40.1","43.3","49.0","43.6","36.9","34.6"
"76","76","Hawaii","40.1","35.7","33.0","40.0","40.1","36.3"
"77","77","NC State","40.1","38.0","36.0","43.0","36.5","37.3"
"78","78","Arizona St","40.0","37.3","43.0","42.9","36.7","35.6"
"79","79","Montana St","40.0","44.3","44.0","43.3","38.1","33.1"
"80","80","WI-Milwkee","39.9","44.0","36.0","42.6","38.5","36.2"
"81","81","NC-Wilmgton","39.9","38.3","42.0","39.2","40.4","35.4"
"82","82","Louisville","39.9","28.0","29.0","41.5","37.4","35.8"
"83","83","Colorado","39.9","42.7","31.0","41.1","38.8","35.9"
"84","84","Baylor","39.9","40.3","41.0","39.2","40.9","34.5"
"85","85","Houston","39.9","33.0","30.0","41.4","38.0","32.7"
"86","86","LIU-Brooklyn","39.9","40.0","32.0","40.3","39.6","35.4"
"87","87","Duke","39.9","37.7","37.0","42.9","36.8","40.6"
"88","88","F Dickinson","39.8","47.0","46.0","42.1","38.0","35.8"
"89","89","North Texas","39.8","45.7","48.0","41.8","37.6","32.1"
"90","90","Notre Dame","39.8","37.3","36.0","42.4","37.7","39.7"
"91","91","Canisius","39.8","32.0","27.0","40.9","38.9","35.1"
"92","92","Grand Canyon","39.8","35.7","30.0","40.3","39.1","35.7"
"93","93","Brown","39.7","37.3","44.0","41.0","38.7","33.4"
"94","94","Lipscomb","39.7","32.3","40.0","39.8","39.7","36.4"
"95","95","Memphis","39.7","41.7","39.0","39.8","39.6","34.7"
"96","96","Gonzaga","39.6","34.0","31.0","41.7","38.2","40.1"
"97","97","Maryland BC","39.6","37.7","33.0","40.0","39.4","29.8"
"98","98","Elon","39.6","33.0","35.0","40.9","38.4","37.1"
"99","99","VA Tech","39.6","43.0","43.0","40.9","38.0","34.8"
"100","100","Sacred Hrt","39.5","37.0","43.0","40.0","39.3","37.2"
"101","101","Nevada","39.5","41.7","34.0","39.4","39.6","32.8"
"102","102","Tulsa","39.5","42.7","42.0","38.8","40.1","34.1"
"103","103","James Mad","39.5","42.0","49.0","40.4","38.4","35.7"
"104","104","Akron","39.5","33.3","33.0","42.6","37.2","34.3"
"105","105","S Dakota St","39.4","37.7","52.0","40.4","39.0","38.3"
