"","Rank","Team","2015","Last 3","Last 1","Home","Away","2014"
"1","1","Michigan St","1.737","1.351","1.429","1.833","1.648","1.462"
"2","2","St Marys","1.721","1.452","1.333","1.835","1.540","1.255"
"3","3","N Carolina","1.647","1.759","1.455","1.778","1.555","1.371"
"4","4","Richmond","1.624","1.222","0.462","1.784","1.467","1.355"
"5","5","Northwestern","1.602","1.387","2.286","1.807","1.351","1.289"
"6","6","Virginia","1.602","1.933","1.615","1.593","1.608","1.361"
"7","7","Michigan","1.601","1.783","2.571","1.824","1.451","1.220"
"8","8","Iowa","1.547","1.382","1.077","1.673","1.447","1.279"
"9","9","WI-Milwkee","1.507","1.618","0.643","1.695","1.423","1.003"
"10","10","Ste F Austin","1.499","2.091","3.167","1.659","1.413","1.266"
"11","11","St Josephs","1.487","1.560","0.583","1.641","1.369","1.021"
"12","12","Temple","1.478","1.379","1.000","1.621","1.379","1.302"
"13","13","Purdue","1.468","1.286","0.944","1.631","1.298","1.137"
"14","14","Davidson","1.468","1.444","1.250","1.467","1.468","1.786"
"15","15","Wm & Mary","1.460","1.226","0.769","1.689","1.295","1.265"
"16","16","Old Dominion","1.460","1.833","1.231","1.636","1.340","1.252"
"17","17","Arkansas","1.455","1.062","0.667","1.745","1.145","1.347"
"18","18","N Florida","1.452","1.000","0.571","1.703","1.281","1.086"
"19","19","Villanova","1.451","0.900","0.600","1.727","1.273","1.492"
"20","20","UAB","1.450","1.517","1.214","1.634","1.295","1.038"
"21","21","Iowa State","1.446","1.714","1.333","1.669","1.261","1.452"
"22","22","Central Mich","1.438","1.207","1.500","1.422","1.454","1.261"
"23","23","Wichita St","1.432","1.036","0.533","1.779","1.252","1.437"
"24","24","S Methodist","1.427","1.136","0.588","1.576","1.231","1.253"
"25","25","Pittsburgh","1.418","0.939","0.600","1.714","1.060","1.701"
"26","26","Cincinnati","1.403","1.296","1.444","1.743","1.086","0.912"
"27","27","BYU","1.385","1.026","0.444","1.731","1.084","1.348"
"28","28","Butler","1.385","1.133","2.250","1.382","1.387","1.029"
"29","29","Sam Hous St","1.379","1.179","1.235","1.806","1.112","0.998"
"30","30","Stony Brook","1.378","1.562","0.714","1.599","1.210","0.958"
"31","31","Evansville","1.377","1.773","1.714","1.327","1.424","1.205"
"32","32","Toledo","1.376","0.696","0.579","1.789","1.093","1.054"
"33","33","Texas A&M","1.372","0.848","1.167","1.749","1.058","1.171"
"34","34","High Point","1.369","0.951","1.400","1.577","1.218","1.211"
"35","35","Providence","1.368","1.233","0.727","1.337","1.398","1.165"
"36","36","Oakland","1.366","1.607","1.182","1.568","1.266","1.194"
"37","37","Columbia","1.365","1.343","0.941","1.397","1.313","0.960"
"38","38","Loyola Mymt","1.362","1.321","0.857","1.587","1.196","0.897"
"39","39","Duke","1.362","1.250","1.500","1.579","1.171","1.397"
"40","40","Akron","1.351","1.379","1.250","1.846","1.096","1.019"
"41","41","Baylor","1.350","0.971","2.286","1.714","0.927","1.134"
"42","42","Notre Dame","1.345","1.156","1.286","1.630","1.164","1.618"
"43","43","Cal Poly","1.329","1.000","1.273","1.511","1.242","1.109"
"44","44","Creighton","1.323","1.211","1.778","1.387","1.244","1.145"
"45","45","Clemson","1.313","1.118","1.500","1.410","1.204","0.907"
"46","46","Iona","1.309","1.200","0.923","1.491","1.198","1.342"
"47","47","Marshall","1.307","1.543","1.143","1.465","1.201","0.806"
"48","48","Illinois","1.301","1.667","1.571","1.427","1.217","1.186"
"49","49","Portland St","1.295","1.414","1.444","1.594","1.117","1.145"
"50","50","LSU","1.293","0.871","0.333","1.616","0.990","1.084"
"51","51","UCLA","1.290","1.250","1.750","1.485","1.076","1.158"
"52","52","Xavier","1.283","1.027","1.250","1.656","1.004","1.333"
"53","53","Princeton","1.283","1.048","1.091","1.445","1.160","1.037"
"54","54","Vanderbilt","1.275","1.103","0.750","1.376","1.193","1.206"
"55","55","Kentucky","1.274","0.897","0.500","1.248","1.301","1.359"
"56","56","South Dakota","1.272","0.950","0.688","1.257","1.279","1.017"
"57","57","Pepperdine","1.270","1.560","1.875","1.535","1.112","1.068"
"58","58","Tulsa","1.268","1.212","0.909","1.353","1.198","0.965"
"59","59","Canisius","1.266","1.345","0.909","1.342","1.213","1.183"
"60","60","AR Lit Rock","1.259","1.077","1.125","1.681","1.032","1.156"
"61","61","VCU","1.256","1.206","1.231","1.548","1.013","1.191"
"62","62","Geo Wshgtn","1.256","1.792","2.000","1.305","1.212","0.983"
"63","63","NJIT","1.255","1.400","1.545","1.338","1.171","1.030"
"64","64","Connecticut","1.254","1.458","1.833","1.387","1.139","1.030"
"65","65","Holy Cross","1.253","1.258","0.600","1.440","1.133","0.997"
"66","66","Hofstra","1.242","0.776","0.700","1.412","1.152","1.385"
"67","67","Kansas","1.241","0.975","0.688","1.443","1.105","1.026"
"68","68","Memphis","1.238","1.818","1.667","1.194","1.312","1.077"
"69","69","Houston","1.237","1.227","1.250","1.284","1.180","0.885"
"70","70","TX El Paso","1.237","1.222","1.000","1.403","1.053","1.116"
"71","71","Utah","1.230","0.660","0.692","1.561","0.992","1.204"
"72","72","Grand Canyon","1.228","1.414","1.833","1.355","1.066","1.091"
"73","73","Youngs St","1.222","1.205","1.308","1.161","1.260","1.187"
"74","74","TX-Pan Am","1.222","1.103","0.750","1.468","1.093","0.949"
"75","75","N Iowa","1.221","1.000","1.231","1.426","1.116","1.138"
"76","76","Oregon","1.221","1.226","0.833","1.317","1.139","1.195"
"77","77","Charlotte","1.221","1.026","0.625","1.228","1.215","1.009"
"78","78","Lg Beach St","1.219","1.200","0.941","1.014","1.325","0.784"
"79","79","Belmont","1.217","0.887","1.000","1.362","1.142","1.105"
"80","80","TX-Arlington","1.216","0.875","0.750","1.489","1.045","0.859"
"81","81","GA Tech","1.214","1.222","0.615","1.497","0.952","0.923"
"82","82","USC","1.212","1.147","1.083","1.372","1.040","0.890"
"83","83","Wright State","1.211","1.333","1.875","1.197","1.221","1.062"
"84","84","Fresno St","1.210","0.647","0.571","1.269","1.153","0.886"
"85","85","Utah State","1.205","1.371","1.333","1.244","1.165","1.375"
"86","86","CS Bakersfld","1.204","1.105","1.071","1.260","1.164","0.992"
"87","87","Hawaii","1.201","0.861","1.444","1.351","1.041","1.012"
"88","88","Gonzaga","1.200","0.957","1.059","1.281","1.146","1.527"
"89","89","UC Irvine","1.198","0.814","1.059","1.225","1.186","1.174"
"90","90","Murray St","1.196","1.533","1.429","1.318","1.118","1.334"
