"","Rank","Team","2013","Last 3","Last 1","Home","Away","2012"
"1","1","American","0.658","0.680","0.727","0.697","0.628","0.565"
"2","2","Denver","0.653","0.545","0.421","0.666","0.642","0.698"
"3","3","Rice","0.652","0.577","0.579","0.652","0.652","0.538"
"4","4","Utah State","0.652","0.576","0.500","0.710","0.583","0.604"
"5","5","UCSB","0.645","0.754","0.688","0.688","0.615","0.649"
"6","6","Creighton","0.642","0.606","0.500","0.680","0.607","0.646"
"7","7","Oakland","0.631","0.757","0.667","0.690","0.576","0.523"
"8","8","Kansas St","0.630","0.548","0.421","0.691","0.563","0.644"
"9","9","Pittsburgh","0.629","0.603","0.737","0.678","0.578","0.642"
"10","10","Iowa State","0.624","0.531","0.438","0.689","0.569","0.582"
"11","11","Ste F Austin","0.623","0.597","0.550","0.670","0.592","0.635"
"12","12","Michigan St","0.622","0.642","0.722","0.684","0.575","0.534"
"13","13","Sam Hous St","0.621","0.754","0.680","0.803","0.505","0.615"
"14","14","Utah Val St","0.617","0.610","0.440","0.599","0.629","0.581"
"15","15","New Mexico","0.616","0.638","0.632","0.657","0.581","0.658"
"16","16","Evansville","0.614","0.472","0.429","0.699","0.533","0.641"
"17","17","Memphis","0.611","0.631","0.667","0.659","0.563","0.620"
"18","18","Duquesne","0.609","0.679","0.556","0.655","0.570","0.536"
"19","19","Iona","0.607","0.571","0.625","0.681","0.556","0.547"
"20","20","Air Force","0.607","0.574","0.650","0.643","0.565","0.639"
"21","21","Princeton","0.607","0.587","0.600","0.617","0.600","0.632"
"22","22","Wright State","0.606","0.721","0.737","0.590","0.615","0.544"
"23","23","Buffalo","0.604","0.627","0.700","0.677","0.536","0.632"
"24","24","Villanova","0.601","0.471","0.556","0.633","0.571","0.566"
"25","25","SC Upstate","0.600","0.637","0.625","0.602","0.599","0.604"
"26","26","S Methodist","0.598","0.580","0.636","0.646","0.550","0.519"
"27","27","U Penn","0.596","0.538","0.577","0.640","0.549","0.607"
"28","28","UCLA","0.593","0.600","0.444","0.612","0.573","0.582"
"29","29","Marquette","0.593","0.622","0.577","0.690","0.495","0.574"
"30","30","UC Irvine","0.592","0.569","0.579","0.639","0.554","0.614"
"31","31","Youngs St","0.591","0.565","0.500","0.625","0.568","0.566"
"32","32","Vanderbilt","0.586","0.635","0.560","0.599","0.572","0.565"
"33","33","Mercer","0.585","0.507","0.458","0.623","0.553","0.643"
"34","34","S Mississippi","0.585","0.694","0.769","0.661","0.537","0.551"
"35","35","WI-Milwkee","0.584","0.500","0.722","0.522","0.616","0.519"
"36","36","Houston","0.583","0.562","0.560","0.578","0.590","0.546"
"37","37","Ohio","0.583","0.640","0.543","0.604","0.557","0.668"
"38","38","WI-Grn Bay","0.583","0.606","0.417","0.560","0.604","0.577"
"39","39","Portland","0.583","0.648","0.565","0.601","0.561","0.545"
"40","40","NC Central","0.582","0.486","0.400","0.629","0.550","0.595"
"41","41","Alab A&M","0.582","0.586","0.312","0.667","0.527","0.519"
"42","42","Baylor","0.581","0.585","0.556","0.665","0.518","0.579"
"43","43","California","0.581","0.679","0.577","0.623","0.526","0.562"
"44","44","Minnesota","0.580","0.676","0.542","0.636","0.497","0.617"
"45","45","Iowa","0.579","0.632","0.583","0.598","0.558","0.635"
"46","46","Saint Louis","0.578","0.538","0.476","0.621","0.537","0.561"
"47","47","High Point","0.577","0.632","0.750","0.618","0.552","0.552"
"48","48","Notre Dame","0.577","0.514","0.625","0.616","0.515","0.658"
"49","49","Grand Canyon","0.576","0.609","0.857","0.653","0.535","--"
"50","50","LIU-Brooklyn","0.576","0.551","0.583","0.599","0.564","0.563"
"51","51","Belmont","0.575","0.654","0.720","0.562","0.583","0.567"
"52","52","Utah","0.575","0.577","0.611","0.598","0.533","0.603"
"53","53","Arizona","0.574","0.590","0.348","0.572","0.576","0.541"
"54","54","Campbell","0.574","0.521","0.636","0.632","0.531","0.533"
"55","55","Ball State","0.574","0.371","0.500","0.625","0.534","0.543"
"56","56","Navy","0.573","0.508","0.450","0.603","0.550","0.581"
"57","57","Xavier","0.572","0.392","0.304","0.628","0.506","0.482"
"58","58","Massachusetts Lowell","0.572","0.649","0.750","0.734","0.446","--"
"59","59","Harvard","0.571","0.493","0.364","0.582","0.566","0.578"
"60","60","Gard-Webb","0.571","0.494","0.304","0.646","0.529","0.539"
"61","61","N Iowa","0.570","0.634","0.500","0.583","0.560","0.536"
"62","62","TX El Paso","0.569","0.545","0.722","0.618","0.512","0.606"
"63","63","Wyoming","0.569","0.574","0.786","0.579","0.557","0.567"
"64","64","Lipscomb","0.568","0.549","0.500","0.558","0.575","0.482"
"65","65","St Josephs","0.567","0.542","0.444","0.612","0.532","0.603"
"66","66","Virginia","0.566","0.549","0.500","0.626","0.513","0.600"
"67","67","Siena","0.566","0.493","0.583","0.596","0.536","0.502"
"68","68","Texas A&M","0.566","0.652","0.667","0.620","0.467","0.495"
"69","69","Columbia","0.565","0.750","0.727","0.606","0.516","0.553"
"70","70","Arizona St","0.565","0.597","0.630","0.610","0.510","0.551"
"71","71","LA Tech","0.564","0.483","0.346","0.596","0.542","0.523"
