"","Rank","Team","2015","Last 3","Last 1","Home","Away","2014"
"1","1","Michigan St","20.5","16.7","20.0","22.7","18.7","16.6"
"2","2","Ste F Austin","18.1","15.3","19.0","20.9","16.8","17.4"
"3","3","UAB","18.1","14.7","17.0","19.9","16.5","14.1"
"4","4","N Carolina","17.7","17.0","16.0","19.6","16.5","17.4"
"5","5","S Methodist","17.6","16.7","10.0","19.5","15.2","15.5"
"6","6","Purdue","17.6","15.0","17.0","19.4","15.6","14.9"
"7","7","Evansville","17.4","13.0","12.0","17.6","17.2","15.4"
"8","8","Belmont","17.2","15.7","12.0","18.5","16.4","15.1"
"9","9","Baylor","17.1","11.3","16.0","20.2","12.8","14.4"
"10","10","Marshall","16.8","18.0","16.0","17.8","16.1","12.3"
"11","11","TX-Arlington","16.7","14.0","12.0","19.1","15.1","12.6"
"12","12","Iona","16.7","14.0","12.0","18.2","15.7","16.4"
"13","13","Richmond","16.6","11.0","6.0","18.1","15.1","13.4"
"14","14","Texas A&M","16.5","13.0","14.0","19.7","13.5","14.7"
"15","15","St Marys","16.5","15.0","12.0","18.4","13.9","14.9"
"16","16","Iowa State","16.5","16.0","16.0","18.9","14.5","16.1"
"17","17","WI-Milwkee","16.5","18.3","9.0","16.2","16.6","13.1"
"18","18","Portland St","16.5","13.7","13.0","18.3","15.2","12.6"
"19","19","Northwestern","16.5","14.3","16.0","18.2","14.3","14.4"
"20","20","Pittsburgh","16.4","10.3","6.0","19.3","12.7","16.5"
"21","21","Lipscomb","16.4","9.7","12.0","15.8","16.8","13.5"
"22","22","BYU","16.3","13.3","8.0","18.9","13.6","16.4"
"23","23","Arkansas","16.2","11.3","8.0","18.9","13.1","16.1"
"24","24","Marquette","16.2","12.7","9.0","18.5","13.0","15.0"
"25","25","Xavier","16.1","12.7","10.0","18.9","13.6","16.1"
"26","26","Stony Brook","16.1","16.7","10.0","17.9","14.6","11.7"
"27","27","Toledo","16.1","13.0","11.0","18.8","13.8","12.9"
"28","28","Indiana","16.0","16.3","13.0","17.2","14.9","13.9"
"29","29","Sam Hous St","16.0","15.3","21.0","22.0","12.5","13.3"
"30","30","N Florida","16.0","12.7","12.0","16.8","15.3","13.5"
"31","31","NJIT","15.9","18.7","17.0","17.0","14.9","14.1"
"32","32","Villanova","15.9","9.0","6.0","18.6","14.2","15.8"
"33","33","Wm & Mary","15.9","12.7","10.0","17.2","14.8","14.3"
"34","34","Iowa","15.8","15.7","14.0","16.7","15.1","14.2"
"35","35","Providence","15.7","12.3","8.0","15.4","16.0","13.9"
"36","36","UCLA","15.7","15.0","14.0","17.8","13.3","13.8"
"37","37","Fordham","15.6","15.3","20.0","17.9","12.1","12.3"
"38","38","Duquesne","15.6","14.0","10.0","18.7","13.0","14.7"
"39","39","Oakland","15.6","15.0","13.0","17.2","14.7","15.1"
"40","40","E Kentucky","15.5","13.0","12.0","17.7","13.3","14.4"
"41","41","TX El Paso","15.5","14.7","12.0","17.4","13.3","13.7"
"42","42","Kansas","15.5","13.0","11.0","16.7","14.5","13.2"
"43","43","Cincinnati","15.4","11.7","13.0","17.9","12.7","11.6"
"44","44","LSU","15.4","9.0","4.0","17.1","13.3","15.6"
"45","45","Bucknell","15.3","17.0","14.0","16.9","13.9","12.7"
"46","46","Creighton","15.3","15.3","16.0","16.4","14.0","13.6"
"47","47","Hawaii","15.3","10.3","13.0","16.8","13.7","13.2"
"48","48","Loyola Mymt","15.3","12.3","6.0","17.5","13.6","12.1"
"49","49","Fairfield","15.2","9.0","5.0","14.8","15.6","10.5"
"50","50","E Carolina","15.2","14.7","15.0","16.8","13.6","13.1"
"51","51","Harvard","15.2","15.7","18.0","15.7","14.8","12.4"
"52","52","South Dakota","15.1","12.7","11.0","14.2","15.6","11.5"
"53","53","Utah","15.1","11.7","9.0","17.6","13.1","13.7"
"54","54","Army","15.1","11.7","13.0","13.6","16.3","14.1"
"55","55","Lg Beach St","15.0","16.0","16.0","12.8","16.1","11.0"
"56","56","Memphis","15.0","13.3","10.0","15.4","14.4","14.4"
"57","57","CS Bakersfld","15.0","14.0","15.0","16.2","14.2","12.3"
"58","58","Yale","15.0","14.3","13.0","17.0","13.7","12.6"
"59","59","UC Irvine","14.9","11.7","18.0","15.8","14.6","13.7"
"60","60","Elon","14.9","15.0","8.0","15.7","14.2","11.0"
"61","61","Michigan","14.9","13.7","18.0","14.9","14.9","11.8"
"62","62","Georgetown","14.9","13.0","15.0","15.1","14.8","12.9"
"63","63","Davidson","14.9","13.0","15.0","16.3","13.6","17.0"
"64","64","Virginia","14.9","19.3","21.0","14.9","14.9","12.6"
"65","65","NW State","14.9","15.0","17.0","15.2","14.6","15.4"
"66","66","UNLV","14.8","13.3","13.0","17.3","12.6","13.3"
"67","67","St Josephs","14.8","13.0","7.0","16.0","13.9","12.7"
"68","68","USC","14.8","13.0","13.0","16.4","13.1","12.4"
"69","69","Hofstra","14.8","12.7","14.0","16.0","14.1","15.4"
"70","70","Vanderbilt","14.8","14.3","9.0","14.6","14.9","15.5"
"71","71","UCSB","14.8","11.7","9.0","16.3","14.0","14.9"
"72","72","TX-Pan Am","14.7","14.3","12.0","16.3","13.8","12.6"
"73","73","Brown","14.7","11.3","16.0","15.6","14.0","11.3"
"74","74","Northeastrn","14.6","13.0","10.0","16.2","13.6","14.3"
"75","75","High Point","14.6","13.0","14.0","17.1","12.8","14.0"
"76","76","Charlotte","14.6","13.0","10.0","14.0","15.1","13.7"
"77","77","Princeton","14.6","14.7","12.0","16.5","13.1","12.6"
"78","78","W Virginia","14.6","11.0","8.0","17.0","12.8","14.1"
"79","79","Dayton","14.5","13.7","11.0","16.3","12.7","13.6"
"80","80","Oklahoma","14.5","15.7","8.0","15.2","14.0","12.3"
"81","81","Mercer","14.5","13.3","18.0","15.8","13.8","13.2"
"82","82","Siena","14.5","15.0","15.0","14.9","14.2","13.3"
"83","83","IPFW","14.5","12.7","9.0","16.5","13.4","14.0"
"84","84","Grand Canyon","14.5","13.7","11.0","15.9","12.6","12.0"
"85","85","SC Upstate","14.5","16.0","14.0","14.4","14.5","13.7"
"86","86","Citadel","14.4","10.7","10.0","14.9","14.1","12.4"
"87","87","New Mexico","14.4","11.0","10.0","16.6","12.2","12.8"
"88","88","Maine","14.4","14.3","16.0","16.2","13.1","13.1"
"89","89","Columbia","14.4","15.7","16.0","14.9","13.5","11.6"
"90","90","Ball State","14.4","13.7","9.0","14.6","14.2","12.4"
"91","91","Akron","14.4","13.3","10.0","16.2","13.1","12.4"
"92","92","Utah State","14.4","16.0","12.0","15.6","13.2","14.3"
"93","93","Washington","14.4","13.7","13.0","14.5","14.2","13.3"
"94","94","Youngs St","14.3","15.7","17.0","13.2","15.1","14.0"
"95","95","Massachusetts Lowell","14.3","11.7","16.0","14.5","14.2","10.7"
"96","96","VCU","14.3","13.7","16.0","16.9","11.9","12.7"
"97","97","Denver","14.3","12.0","10.0","13.5","15.1","15.2"
"98","98","Arizona","14.3","9.3","7.0","16.8","11.4","13.9"
"99","99","Lehigh","14.2","14.3","15.0","15.6","13.1","13.9"
"100","100","Kentucky","14.2","11.7","8.0","15.1","13.4","14.2"
"101","101","TX Southern","14.2","13.3","13.0","17.8","12.9","10.7"
"102","102","Wofford","14.2","12.0","16.0","16.9","12.6","12.9"
"103","103","Butler","14.2","11.3","9.0","14.7","13.7","11.4"
"104","104","Neb Omaha","14.2","15.0","19.0","12.5","15.1","11.9"
"105","105","F Dickinson","14.2","15.3","16.0","13.6","14.6","10.8"
"106","106","N Kentucky","14.1","13.7","10.0","15.3","13.2","11.9"
"107","107","Canisius","14.1","13.0","10.0","14.6","13.8","14.1"
"108","108","Incarnate Word","14.1","14.3","24.0","16.3","12.8","12.2"
"109","109","Geo Wshgtn","14.1","14.3","16.0","13.7","14.4","11.7"
"110","110","Manhattan","14.1","16.7","16.0","14.6","13.6","13.9"
"111","111","Valparaiso","14.0","15.7","16.0","14.9","13.3","12.4"
"112","112","Utah Val St","14.0","14.3","14.0","14.9","13.4","12.4"
"113","113","Wake Forest","14.0","14.0","17.0","14.4","13.6","14.1"
"114","114","Pepperdine","14.0","13.0","15.0","16.2","12.5","13.1"
"115","115","Ohio","13.9","13.0","8.0","13.1","14.9","11.4"
"116","116","Wichita St","13.9","9.7","8.0","14.4","13.7","13.4"
"117","117","LIU-Brooklyn","13.9","16.0","12.0","13.6","14.2","11.5"
"118","118","Morehead St","13.9","16.7","23.0","16.8","12.0","13.9"
"119","119","Gonzaga","13.9","14.7","18.0","14.6","13.4","16.1"
"120","120","WI-Grn Bay","13.9","13.3","14.0","14.9","13.4","13.9"
"121","121","SE Louisiana","13.9","15.0","15.0","16.5","12.7","12.2"
"122","122","Miss State","13.9","15.3","14.0","14.9","12.9","8.8"
"123","123","Stetson","13.9","14.7","13.0","18.1","11.8","11.7"
"124","124","Cal St Nrdge","13.9","15.0","19.0","15.3","13.1","13.4"
"125","125","Kansas St","13.9","10.7","14.0","16.1","11.5","13.0"
"126","126","Lafayette","13.9","15.7","14.0","14.3","13.5","15.4"
"127","127","Murray St","13.9","15.3","10.0","14.5","13.4","15.4"
"128","128","Cal Poly","13.9","11.3","14.0","14.2","13.7","9.8"
"129","129","U Mass","13.8","11.0","13.0","15.8","11.9","13.4"
"130","130","Chattanooga","13.8","9.7","9.0","15.9","12.6","11.5"
"131","131","Holy Cross","13.7","13.0","6.0","15.4","12.6","10.9"
"132","132","LA Tech","13.7","11.7","16.0","16.6","11.0","13.8"
"133","133","N Mex State","13.7","8.7","10.0","14.5","13.0","11.7"
