"","Rank","Team","2014","Last 3","Last 1","Home","Away","2013"
"1","1","Pittsburgh","0.260","0.218","0.266","0.284","0.231","0.240"
"2","2","Denver","0.255","0.221","0.109","0.269","0.238","0.242"
"3","3","Ste F Austin","0.250","0.225","0.149","0.256","0.246","0.243"
"4","4","Michigan St","0.249","0.196","0.146","0.282","0.225","0.246"
"5","5","Davidson","0.247","0.216","0.199","0.285","0.217","0.192"
"6","6","N Carolina","0.243","0.203","0.198","0.252","0.238","0.213"
"7","7","Gonzaga","0.239","0.217","0.131","0.247","0.234","0.210"
"8","8","Air Force","0.239","0.249","0.218","0.280","0.200","0.200"
"9","9","S Methodist","0.239","0.188","0.187","0.252","0.223","0.226"
"10","10","Xavier","0.237","0.210","0.144","0.272","0.209","0.216"
"11","11","Vanderbilt","0.236","0.254","0.213","0.245","0.224","0.196"
"12","12","Villanova","0.235","0.224","0.106","0.251","0.222","0.218"
"13","13","St Marys","0.233","0.136","0.134","0.258","0.196","0.185"
"14","14","Lafayette","0.231","0.218","0.227","0.223","0.239","0.189"
"15","15","Wyoming","0.229","0.196","0.234","0.272","0.186","0.195"
"16","16","Notre Dame","0.229","0.220","0.272","0.238","0.220","0.227"
"17","17","UCSB","0.228","0.148","0.166","0.278","0.197","0.238"
"18","18","Northwestern","0.227","0.251","0.199","0.248","0.199","0.170"
"19","19","Evansville","0.226","0.238","0.172","0.242","0.210","0.206"
"20","20","Duke","0.226","0.129","0.146","0.255","0.203","0.217"
"21","21","Iowa State","0.226","0.154","0.172","0.256","0.198","0.247"
"22","22","Iona","0.225","0.229","0.159","0.256","0.207","0.239"
"23","23","Marquette","0.225","0.240","0.181","0.254","0.190","0.212"
"24","24","Ohio State","0.224","0.199","0.137","0.242","0.203","0.179"
"25","25","BYU","0.224","0.238","0.269","0.233","0.217","0.204"
"26","26","Murray St","0.224","0.242","0.183","0.277","0.185","0.185"
"27","27","Baylor","0.223","0.179","0.239","0.276","0.167","0.217"
"28","28","Arkansas","0.222","0.173","0.215","0.244","0.196","0.204"
"29","29","Syracuse","0.222","0.172","0.174","0.246","0.189","0.190"
"30","30","Texas A&M","0.221","0.213","0.199","0.235","0.203","0.193"
"31","31","Belmont","0.220","0.227","0.184","0.218","0.221","0.219"
"32","32","Portland","0.220","0.174","0.229","0.226","0.214","0.218"
"33","33","Utah State","0.220","0.173","0.211","0.241","0.198","0.246"
"34","34","Gard-Webb","0.219","0.167","0.200","0.268","0.196","0.200"
"35","35","Purdue","0.219","0.213","0.184","0.244","0.194","0.184"
"36","36","Northeastrn","0.218","0.244","0.241","0.211","0.222","0.172"
"37","37","Minnesota","0.218","0.217","0.179","0.263","0.166","0.208"
"38","38","Wm & Mary","0.218","0.172","0.168","0.233","0.208","0.209"
"39","39","Hofstra","0.217","0.236","0.203","0.239","0.200","0.160"
"40","40","E Kentucky","0.216","0.304","0.311","0.243","0.192","0.204"
"41","41","Colorado St","0.216","0.182","0.173","0.248","0.184","0.182"
"42","42","Oakland","0.215","0.186","0.242","0.216","0.215","0.219"
"43","43","LSU","0.214","0.189","0.206","0.225","0.203","0.194"
"44","44","Kentucky","0.214","0.154","0.118","0.237","0.192","0.163"
"45","45","Utah","0.214","0.168","0.124","0.241","0.188","0.212"
"46","46","Old Dominion","0.214","0.204","0.168","0.241","0.178","0.160"
"47","47","Seattle","0.213","0.213","0.152","0.232","0.191","0.187"
"48","48","Sac State","0.213","0.194","0.167","0.252","0.184","0.197"
"49","49","Duquesne","0.213","0.219","0.263","0.236","0.190","0.218"
"50","50","Iowa","0.213","0.153","0.145","0.232","0.190","0.222"
"51","51","Memphis","0.212","0.209","0.138","0.240","0.176","0.235"
"52","52","IPFW","0.212","0.236","0.254","0.224","0.202","0.199"
"53","53","Canisius","0.212","0.212","0.141","0.228","0.198","0.179"
"54","54","Loyola-Chi","0.211","0.208","0.195","0.222","0.201","0.196"
"55","55","Colgate","0.211","0.175","0.189","0.216","0.207","0.214"
"56","56","Navy","0.210","0.153","0.114","0.247","0.175","0.188"
"57","57","Virginia","0.210","0.132","0.107","0.222","0.200","0.209"
"58","58","American","0.209","0.249","0.207","0.216","0.205","0.239"
"59","59","Wichita St","0.209","0.149","0.133","0.244","0.185","0.202"
"60","60","Wash State","0.209","0.177","0.110","0.222","0.198","0.159"
"61","61","UC Irvine","0.209","0.206","0.173","0.232","0.197","0.222"
"62","62","Cleveland St","0.209","0.240","0.270","0.223","0.198","0.203"
"63","63","Montana","0.208","0.197","0.277","0.194","0.218","0.178"
"64","64","SC Upstate","0.208","0.156","0.116","0.228","0.188","0.222"
"65","65","High Point","0.208","0.188","0.243","0.230","0.196","0.218"
"66","66","Richmond","0.208","0.187","0.181","0.220","0.192","0.157"
"67","67","WI-Grn Bay","0.208","0.197","0.210","0.238","0.188","0.215"
"68","68","Creighton","0.207","0.222","0.269","0.215","0.198","0.264"
"69","69","Dayton","0.206","0.177","0.181","0.234","0.184","0.195"
"70","70","Wisconsin","0.206","0.183","0.169","0.204","0.207","0.190"
"71","71","NJIT","0.206","0.191","0.075","0.231","0.185","0.171"
"72","72","Mercer","0.205","0.207","0.183","0.221","0.194","0.225"
"73","73","Providence","0.205","0.176","0.133","0.213","0.196","0.198"
"74","74","E Carolina","0.205","0.234","0.240","0.228","0.185","0.187"
"75","75","TX El Paso","0.205","0.185","0.144","0.222","0.188","0.195"
"76","76","Wofford","0.204","0.144","0.119","0.231","0.189","0.189"
"77","77","Arizona","0.204","0.165","0.121","0.236","0.177","0.226"
"78","78","Fla Gulf Cst","0.204","0.244","0.262","0.217","0.193","0.176"
"79","79","Morehead St","0.204","0.192","0.171","0.236","0.187","0.173"
"80","80","NC Central","0.204","0.203","0.187","0.261","0.175","0.210"
"81","81","UAB","0.203","0.238","0.249","0.212","0.196","0.171"
"82","82","San Fransco","0.203","0.172","0.155","0.211","0.195","0.211"
"83","83","Lehigh","0.202","0.194","0.233","0.241","0.172","0.190"
"84","84","Florida","0.202","0.182","0.198","0.229","0.178","0.203"
"85","85","Maryland ES","0.202","0.193","0.172","0.255","0.178","0.161"
"86","86","Citadel","0.201","0.216","0.119","0.215","0.193","0.188"
"87","87","Kansas St","0.201","0.191","0.167","0.220","0.182","0.224"
"88","88","NW State","0.201","0.238","0.203","0.216","0.189","0.208"
"89","89","Georgia St","0.201","0.209","0.303","0.227","0.186","0.194"
"90","90","Pepperdine","0.201","0.149","0.148","0.217","0.187","0.199"
"91","91","Indiana","0.200","0.193","0.140","0.214","0.183","0.163"
"92","92","New Mexico","0.200","0.204","0.224","0.222","0.179","0.226"
"93","93","Youngs St","0.200","0.203","0.218","0.188","0.208","0.211"
"94","94","UCLA","0.199","0.194","0.175","0.243","0.159","0.239"
"95","95","W Virginia","0.199","0.149","0.109","0.226","0.179","0.185"
"96","96","Wake Forest","0.199","0.208","0.299","0.204","0.193","0.192"
"97","97","Boston Col","0.199","0.192","0.147","0.212","0.184","0.187"
"98","98","Quinnipiac","0.198","0.169","0.164","0.220","0.170","0.171"
"99","99","N Iowa","0.198","0.152","0.160","0.197","0.199","0.206"
"100","100","E Illinois","0.198","0.220","0.183","0.196","0.199","0.174"
"101","101","Texas","0.198","0.209","0.112","0.203","0.193","0.181"
"102","102","UNLV","0.198","0.199","0.113","0.205","0.191","0.192"
"103","103","UC Davis","0.197","0.158","0.157","0.194","0.199","0.163"
"104","104","Cal St Nrdge","0.197","0.178","0.141","0.209","0.188","0.183"
"105","105","TX Christian","0.197","0.181","0.143","0.219","0.167","0.165"
"106","106","Army","0.197","0.178","0.149","0.200","0.195","0.200"
"107","107","Utah Val St","0.197","0.181","0.099","0.228","0.177","0.211"
"108","108","Yale","0.197","0.159","0.151","0.209","0.190","0.165"
"109","109","Sacred Hrt","0.197","0.225","0.243","0.193","0.199","0.177"
"110","110","Oregon","0.197","0.163","0.206","0.216","0.176","0.198"
