"","Rank","Team","2014","Last 3","Last 1","Home","Away","2013"
"1","1","Kentucky","+11.7","+8.7","0.0","+14.3","+9.3","+2.5"
"2","2","Duke","+9.5","+7.0","+11.0","+15.6","+5.0","+7.7"
"3","3","Gonzaga","+9.2","+6.3","-5.0","+14.0","+5.9","+8.3"
"4","4","Arizona","+9.2","+1.3","+3.0","+12.5","+6.5","+7.6"
"5","5","Wisconsin","+8.7","-1.7","0.0","+11.4","+6.9","+6.2"
"6","6","Wichita St","+7.6","-1.0","-3.0","+12.8","+4.0","+6.3"
"7","7","Murray St","+7.3","+7.0","-2.0","+11.4","+4.2","+2.8"
"8","8","Villanova","+7.2","+10.7","-4.0","+13.6","+2.7","+5.6"
"9","9","Virginia","+7.1","-1.3","-5.0","+8.7","+5.7","+5.0"
"10","10","Iowa","+7.0","0.0","-17.0","+10.8","+2.7","+8.7"
"11","11","Utah","+6.9","+0.7","-5.0","+13.1","+1.3","+4.0"
"12","12","Davidson","+6.5","-11.3","-9.0","+14.1","+0.2","+4.8"
"13","13","Baylor","+6.3","-1.0","+3.0","+9.5","+2.9","+2.1"
"14","14","N Iowa","+6.3","-4.0","-9.0","+9.1","+4.2","+3.6"
"15","15","N Carolina","+6.2","+5.3","+2.0","+6.7","+5.8","+2.9"
"16","16","Ste F Austin","+6.1","+2.3","-7.0","+9.5","+3.7","+6.8"
"17","17","Sam Hous St","+6.1","+0.7","-9.0","+7.9","+4.5","+3.0"
"18","18","Colorado St","+6.1","+1.0","-9.0","+8.7","+3.6","-0.8"
"19","19","Oklahoma","+6.0","+5.0","+4.0","+11.8","+1.6","+2.7"
"20","20","Georgia St","+6.0","-1.3","-4.0","+9.9","+3.9","+3.8"
"21","21","Notre Dame","+5.7","+1.7","0.0","+9.5","+1.9","+0.2"
"22","22","Louisville","+5.5","+5.0","+8.0","+6.6","+4.3","+12.2"
"23","23","TX Christian","+5.4","+2.3","-7.0","+9.4","-0.1","-4.9"
"24","24","S Methodist","+5.2","+2.7","-4.0","+8.9","+1.2","+3.8"
"25","25","Valparaiso","+5.0","-2.7","-4.0","+3.9","+5.7","-1.6"
"26","26","Buffalo","+5.0","-2.0","-10.0","+5.3","+4.8","+3.0"
"27","27","Geo Wshgtn","+4.9","-0.3","-8.0","+11.4","+0.6","+2.3"
"28","28","Ohio State","+4.9","-3.3","-1.0","+10.9","-2.2","+4.0"
"29","29","Indiana","+4.8","+5.0","+3.0","+8.8","-0.2","+4.8"
"30","30","BYU","+4.7","+9.7","+17.0","+3.4","+5.8","+2.0"
"31","31","Purdue","+4.6","+1.0","+3.0","+8.2","+1.0","-0.3"
"32","32","TX El Paso","+4.5","+4.7","-5.0","+6.7","+2.5","+3.6"
"33","33","Memphis","+4.5","-4.0","+1.0","+8.4","-0.4","+4.0"
"34","34","Syracuse","+4.5","-4.3","-1.0","+7.1","+0.9","+5.5"
"35","35","Florida","+4.5","-1.0","-4.0","+9.3","0.0","+5.7"
"36","36","Kansas","+4.5","+8.0","-3.0","+5.8","+3.5","+5.4"
"37","37","St Marys","+4.5","-5.0","-8.0","+4.9","+3.8","+3.4"
"38","38","Michigan St","+4.5","-7.7","-11.0","+9.8","+0.8","+6.3"
"39","39","San Diego St","+4.5","-3.0","-13.0","+9.4","+0.3","+5.4"
"40","40","NC Central","+4.3","+7.3","-9.0","+8.0","+2.4","+6.2"
"41","41","Texas","+4.1","+4.3","-2.0","+7.1","+0.8","+2.4"
"42","42","LA Tech","+4.1","+1.7","-8.0","+8.2","+0.6","+7.3"
"43","43","Arkansas","+4.1","-6.7","-3.0","+8.3","-0.6","+4.5"
"44","44","N Mex State","+4.0","+1.0","-13.0","+7.7","+0.7","+5.4"
"45","45","Temple","+4.0","+7.0","+5.0","+6.8","+0.9","-2.2"
"46","46","Akron","+3.9","-0.7","-1.0","+7.1","+0.8","+2.4"
"47","47","Hofstra","+3.9","0.0","-3.0","+4.3","+3.6","-1.4"
"48","48","Winthrop","+3.9","+2.3","0.0","+5.5","+2.8","-1.3"
"49","49","Illinois St","+3.8","+0.7","-5.0","+6.6","+1.6","-0.2"
"50","50","Boise State","+3.8","+5.0","+9.0","+7.2","+1.8","+3.9"
"51","51","VCU","+3.8","+8.0","+1.0","+6.8","+1.4","+4.4"
"52","52","Butler","+3.8","-0.7","-2.0","+7.6","+0.4","-0.7"
"53","53","WI-Grn Bay","+3.8","+4.0","+7.0","+8.0","+1.1","+0.8"
"54","54","Old Dominion","+3.7","+0.3","-6.0","+6.8","-0.4","0.0"
"55","55","Toledo","+3.7","0.0","-7.0","+5.1","+2.6","+1.6"
"56","56","UC Irvine","+3.7","+0.3","-2.0","+4.1","+3.5","+2.5"
"57","57","Clemson","+3.7","-4.3","-7.0","+5.8","+1.2","+1.7"
"58","58","Albany","+3.7","-5.3","-9.0","+5.8","+1.9","+1.7"
"59","59","LSU","+3.7","+8.0","+14.0","+3.9","+3.4","+2.1"
"60","60","Northeastrn","+3.6","+3.0","-4.0","+7.3","+1.7","-3.2"
"61","61","Maryland","+3.5","+3.7","-1.0","+6.6","-0.1","-0.4"
"62","62","St Johns","+3.5","-8.0","-7.0","+6.6","+0.3","+0.9"
"63","63","Vermont","+3.4","+2.7","+2.0","+9.2","-2.1","+1.6"
"64","64","Xavier","+3.4","+5.3","0.0","+5.7","+1.7","+0.6"
"65","65","S Dakota St","+3.4","+1.0","-6.0","+9.5","+0.4","-0.9"
"66","66","Central Mich","+3.3","-2.7","-12.0","+9.5","-2.5","-2.2"
"67","67","Illinois","+3.3","-12.0","-24.0","+9.1","-2.2","-0.8"
"68","68","SC Upstate","+3.2","-2.7","+2.0","+5.2","+1.2","+2.2"
"69","69","Oregon","+3.2","-4.7","-3.0","+7.7","-1.5","+2.5"
"70","70","Hawaii","+3.2","+4.3","+4.0","+2.6","+3.8","+2.8"
"71","71","Cincinnati","+3.1","-3.0","-7.0","+4.3","+1.8","+4.9"
"72","72","E Washingtn","+3.0","+1.3","-10.0","+5.9","+1.2","+1.1"
"73","73","Rhode Island","+2.9","+2.7","-4.0","+5.8","+0.3","-0.7"
"74","74","Iona","+2.9","-0.7","-12.0","+4.4","+2.0","+4.1"
"75","75","Kent State","+2.9","+1.3","-2.0","+4.7","+1.4","-0.4"
"76","76","Yale","+2.8","+2.7","+4.0","+2.0","+3.2","-0.4"
"77","77","UNLV","+2.8","+7.7","+6.0","+4.2","+1.4","+3.5"
"78","78","Providence","+2.8","+1.7","-3.0","+4.8","+0.7","+2.4"
"79","79","W Virginia","+2.7","-5.0","-26.0","+5.6","+0.6","+3.1"
"80","80","Wofford","+2.7","+4.0","+1.0","+3.2","+2.4","+1.0"
"81","81","Georgetown","+2.7","+0.3","0.0","+5.8","-0.2","+3.0"
"82","82","Iowa State","+2.7","-5.7","-3.0","+7.6","-1.7","+3.6"
"83","83","St Fran (PA)","+2.6","+1.7","+3.0","+7.2","-0.2","-3.0"
"84","84","Richmond","+2.6","+8.0","+12.0","+7.5","-3.8","-0.7"
"85","85","N Florida","+2.5","+9.3","+6.0","+9.6","-1.3","-3.0"
"86","86","Minnesota","+2.4","-2.0","0.0","+4.6","-0.1","+3.8"
"87","87","Mercer","+2.4","+7.7","+15.0","+5.1","+0.4","+4.8"
"88","88","S Carolina","+2.3","+0.7","-7.0","+3.3","+1.5","-1.3"
"89","89","Radford","+2.3","0.0","-3.0","+2.8","+2.0","+2.2"
"90","90","Bowling Grn","+2.3","-5.7","-13.0","+2.8","+1.8","-3.9"
"91","91","Vanderbilt","+2.3","+3.0","-5.0","+3.5","+0.9","+0.2"
"92","92","New Mexico","+2.2","0.0","+4.0","+4.2","+0.4","+5.7"
"93","93","Dayton","+2.2","-2.7","-2.0","+7.0","-1.6","+2.5"
"94","94","Stanford","+2.2","+7.3","+11.0","+4.5","-0.2","+1.4"
"95","95","Michigan","+2.2","+10.3","-5.0","+4.6","-0.7","+4.3"
"96","96","UC Davis","+2.1","-4.0","-1.0","+2.3","+2.0","-3.2"
"97","97","Stony Brook","+2.1","-2.7","0.0","+3.9","+0.9","+3.6"
