"","Rank","Team","2013","Last 3","Last 1","Home","Away","2012"
"1","1","Wichita St","+8.5","+1.3","-8.0","+9.0","+8.1","+4.3"
"2","2","Louisville","+7.7","-0.3","-8.0","+11.8","+3.8","+8.8"
"3","3","Vermont","+7.2","+6.0","+2.0","+10.4","+5.5","+1.8"
"4","4","Arizona","+6.7","+5.7","-3.0","+9.1","+4.6","+3.8"
"5","5","Florida","+6.4","-2.0","-7.0","+8.1","+5.0","+7.6"
"6","6","WI-Grn Bay","+6.2","+2.7","-3.0","+6.4","+6.1","+1.4"
"7","7","LA Tech","+6.2","-3.0","+1.0","+11.8","+2.7","+3.9"
"8","8","Kentucky","+6.0","+5.3","+5.0","+9.9","+2.7","+3.3"
"9","9","Ohio State","+5.9","+3.3","+2.0","+7.7","+3.5","+5.6"
"10","10","UCLA","+5.7","+4.7","-5.0","+8.9","+2.7","+1.9"
"11","11","Virginia","+5.6","+7.0","+2.0","+6.2","+5.2","+3.6"
"12","12","Villanova","+5.2","+4.0","-11.0","+7.4","+3.3","-0.6"
"13","13","Cincinnati","+5.1","-1.0","+3.0","+10.3","-1.5","+3.4"
"14","14","VCU","+5.1","+7.7","+6.0","+6.9","+3.8","+5.2"
"15","15","S Methodist","+4.9","+6.0","+1.0","+6.8","+3.4","-2.5"
"16","16","NC Central","+4.8","+4.0","-12.0","+9.0","+2.3","+1.0"
"17","17","Georgia St","+4.8","+3.7","-9.0","+4.2","+5.0","+2.0"
"18","18","Iowa State","+4.7","+5.3","+5.0","+6.9","+3.0","+4.0"
"19","19","Oregon","+4.6","-8.7","-20.0","+7.6","+1.3","+4.1"
"20","20","Ste F Austin","+4.5","+0.3","-7.0","+6.9","+3.0","+4.0"
"21","21","Michigan","+4.5","-3.7","-3.0","+8.3","+1.8","+5.4"
"22","22","St Johns","+4.5","+3.3","+11.0","+6.3","+2.0","-0.9"
"23","23","San Diego St","+4.4","-3.3","-10.0","+7.1","+2.6","+1.3"
"24","24","S Mississippi","+4.4","-3.0","-4.0","+8.3","+2.0","+2.4"
"25","25","Arkansas","+4.3","+6.3","+4.0","+8.2","-0.5","+1.8"
"26","26","Creighton","+4.2","-1.3","-10.0","+5.7","+3.0","+5.5"
"27","27","Oklahoma St","+4.1","+1.7","+1.0","+9.9","-1.1","+2.8"
"28","28","BYU","+4.1","-1.0","-11.0","+8.9","+0.2","+2.8"
"29","29","U Mass","+3.8","+4.3","0.0","+4.8","+3.1","-0.8"
"30","30","Fla Gulf Cst","+3.8","+4.0","0.0","+6.9","+1.2","+1.7"
"31","31","Oklahoma","+3.7","+11.3","+8.0","+3.5","+3.9","+0.5"
"32","32","Geo Wshgtn","+3.7","-6.0","0.0","+6.3","+1.4","+1.2"
"33","33","Maryland","+3.6","+5.0","-4.0","+6.3","+0.9","+3.3"
"34","34","N Carolina","+3.6","+1.7","+1.0","+3.6","+3.6","+0.5"
"35","35","Mercer","+3.5","-1.7","-5.0","+6.3","+1.1","+2.1"
"36","36","Clemson","+3.4","-9.0","-18.0","+5.7","+0.8","+1.2"
"37","37","Duke","+3.4","-2.3","-8.0","+6.8","+0.2","+6.1"
"38","38","Connecticut","+3.4","+4.0","+7.0","+5.1","+2.0","+1.2"
"39","39","Towson","+3.4","+0.3","-15.0","+7.0","+0.7","-1.1"
"40","40","Kansas","+3.3","-2.3","-5.0","+5.5","+1.7","+5.1"
"41","41","Syracuse","+3.3","+1.7","0.0","+4.5","+2.0","+3.6"
"42","42","Wisconsin","+3.3","+0.7","-5.0","+3.6","+3.1","+2.9"
"43","43","Harvard","+3.3","-1.3","+5.0","+7.2","+1.1","+1.7"
"44","44","N Mex State","+3.3","+11.7","+12.0","+6.6","+1.0","-0.1"
"45","45","Michigan St","+3.2","-5.7","-10.0","+5.1","+1.7","+4.3"
"46","46","Tennessee","+3.1","+4.7","+9.0","+6.8","+0.1","+0.2"
"47","47","NW State","+3.0","+3.0","+3.0","+3.7","+2.6","+0.6"
"48","48","Florida St","+3.0","+2.3","+10.0","+2.6","+3.3","+0.8"
"49","49","Delaware","+3.0","+0.7","-4.0","+3.8","+2.5","+1.2"
"50","50","Iowa","+3.0","-5.3","-3.0","+5.7","+0.1","+2.5"
"51","51","Toledo","+3.0","0.0","+8.0","+4.3","+2.0","+0.5"
"52","52","Cleveland St","+2.9","+2.7","-1.0","+6.9","+0.1","-1.1"
"53","53","Xavier","+2.9","-1.3","-9.0","+6.3","-1.0","-0.9"
"54","54","Baylor","+2.8","+2.3","-4.0","+3.4","+2.4","+6.7"
"55","55","Pittsburgh","+2.8","-3.7","-11.0","+2.6","+3.1","+8.8"
"56","56","Brown","+2.8","+2.3","+8.0","+5.1","+0.9","+2.0"
"57","57","Manhattan","+2.8","+5.0","-1.0","+1.3","+3.7","-0.6"
"58","58","Saint Louis","+2.8","-5.0","-6.0","+4.6","+1.1","+4.4"
"59","59","Buffalo","+2.8","-0.7","-8.0","+10.7","-4.1","-1.2"
"60","60","Utah","+2.8","-11.3","-19.0","+7.7","-4.0","-1.8"
"61","61","Stanford","+2.8","+1.7","0.0","+5.1","+0.8","+2.3"
"62","62","Illinois","+2.7","+8.3","+8.0","+1.8","+3.5","+0.4"
"63","63","Ohio","+2.7","-1.7","-9.0","+4.0","+1.1","+1.6"
"64","64","Dayton","+2.7","+1.3","+4.0","+3.7","+1.8","+2.5"
"65","65","S Dakota St","+2.6","+9.3","+8.0","+3.2","+2.3","+1.3"
"66","66","Alabama St","+2.6","0.0","-14.0","+6.2","+0.4","-5.2"
"67","67","N Dakota St","+2.6","-4.0","-12.0","+6.6","+0.6","+3.2"
"68","68","Arizona St","+2.5","-3.3","+3.0","+5.9","-1.0","+2.0"
"69","69","UC Irvine","+2.5","-2.7","-15.0","+2.1","+2.8","+0.3"
"70","70","Hawaii","+2.4","+1.3","+6.0","+2.7","+2.0","-0.9"
"71","71","Missouri","+2.4","-4.7","-3.0","+5.0","-0.6","+5.4"
"72","72","Incarnate Word","+2.4","-6.0","-1.0","+4.6","+0.5","--"
"73","73","Valparaiso","+2.4","-4.0","-3.0","+2.8","+2.0","+4.1"
"74","74","UNLV","+2.3","-3.3","-3.0","+1.7","+3.1","+1.5"
"75","75","Coastal Car","+2.3","-2.7","-16.0","+3.9","+1.0","-1.0"
"76","76","California","+2.3","+0.3","+1.0","+5.2","-1.2","+3.1"
"77","77","Columbia","+2.3","+1.3","-12.0","+5.5","-1.2","+0.2"
"78","78","Weber State","+2.2","+3.7","+3.0","+5.8","-0.4","+5.2"
"79","79","Iona","+2.1","-0.7","-1.0","+5.2","+0.1","+0.5"
"80","80","W Michigan","+2.1","+10.3","-5.0","+2.7","+1.6","+2.0"
"81","81","Wright State","+2.0","+2.7","-3.0","+3.1","+1.3","+0.7"
"82","82","Richmond","+2.0","+2.3","-2.0","+2.9","+1.1","0.0"
"83","83","Colorado St","+2.0","+1.7","-4.0","+2.4","+1.2","+4.9"
"84","84","Memphis","+1.9","-2.7","-3.0","+2.8","+1.2","+2.1"
"85","85","Morehead St","+1.9","-1.7","-2.0","+2.7","+1.4","+0.1"
"86","86","Hampton","+1.9","+5.7","+4.0","+4.2","+0.4","+0.5"
"87","87","Gonzaga","+1.9","-5.7","-10.0","+5.4","-0.8","+6.1"
"88","88","New Mexico","+1.9","-0.7","0.0","+3.7","+0.4","+4.5"
"89","89","Wagner","+1.8","+6.0","-1.0","+3.2","+0.9","+3.2"
"90","90","Murray St","+1.8","+11.3","+7.0","+4.6","-1.0","+3.5"
"91","91","LSU","+1.8","-7.0","-18.0","+4.4","-0.6","+0.8"
"92","92","Texas A&M","+1.7","+0.3","-7.0","+6.8","-5.4","+1.2"
"93","93","Portland","+1.7","-4.7","-2.0","+1.9","+1.5","-4.9"
"94","94","Southern","+1.7","+7.7","-9.0","+5.4","-0.6","+4.0"
"95","95","American","+1.6","-0.7","-30.0","+4.7","-0.6","-2.8"
"96","96","St Marys","+1.6","+0.7","-12.0","+4.3","-1.4","+6.2"
"97","97","Winthrop","+1.5","-3.0","-5.0","+6.2","-1.6","-1.7"
"98","98","Georgia","+1.5","+0.3","+11.0","+3.4","-0.7","-1.1"
"99","99","UCSB","+1.5","-4.0","-10.0","+3.4","+0.2","+0.9"
"100","100","Middle Tenn","+1.5","+1.0","-1.0","+4.3","-0.9","+5.9"
"101","101","Seattle","+1.4","-7.0","-4.0","+3.4","-0.1","-2.0"
"102","102","Texas Tech","+1.4","+2.7","+5.0","+4.2","-1.9","-4.0"
"103","103","Mississippi","+1.3","+8.3","-4.0","+3.0","-0.4","+7.2"
"104","104","Dartmouth","+1.3","+6.7","+10.0","+0.5","+2.1","-2.4"
"105","105","Indiana St","+1.3","-4.7","-14.0","+2.9","+0.3","-0.2"
"106","106","Tulsa","+1.2","-0.3","-12.0","+2.9","0.0","+1.7"
"107","107","Boise State","+1.2","+5.0","+3.0","+1.1","+1.2","+1.7"
"108","108","N Colorado","+1.1","-6.3","-10.0","+4.5","-1.8","-2.1"
"109","109","Providence","+1.1","+0.3","+1.0","+3.2","-0.7","+2.2"
"110","110","Bowling Grn","+1.1","-2.7","+4.0","+4.0","-1.3","+0.8"
"111","111","Canisius","+1.1","+4.7","+3.0","+2.4","+0.2","+0.3"
"112","112","Texas","+1.1","-2.0","-1.0","+4.3","-2.4","+0.5"
"113","113","Stony Brook","+1.1","-5.7","-14.0","+2.3","+0.2","+2.8"
"114","114","Kansas St","+1.1","-4.7","-1.0","+2.2","-0.2","+2.6"
"115","115","UAB","+1.0","+0.3","+3.0","+2.5","-0.5","-1.2"
"116","116","Arkansas St","+1.0","-6.3","-19.0","+2.5","-0.2","+3.2"
"117","117","E Kentucky","+1.0","-6.3","-11.0","+0.8","+1.1","+1.4"
"118","118","W Carolina","+0.9","+8.3","+4.0","+4.5","-0.8","-0.3"
"119","119","Notre Dame","+0.9","+1.3","-4.0","+1.8","-0.4","+3.3"
"120","120","Purdue","+0.9","+1.3","+1.0","+1.6","+0.1","+0.4"
"121","121","UC Riverside","+0.9","0.0","-8.0","+0.6","+1.1","-5.2"
"122","122","Nebraska","+0.9","+1.0","-1.0","+4.9","-3.2","-2.5"
"123","123","St Fran (NY)","+0.8","+0.7","-13.0","+5.6","-2.2","-1.6"
"124","124","Idaho State","+0.8","+9.7","+6.0","+2.4","-0.2","-4.3"
"125","125","Marquette","+0.8","0.0","-1.0","+3.2","-1.6","+2.1"
"126","126","Colorado","+0.7","-8.0","-1.0","+4.8","-3.6","+0.7"
"127","127","Princeton","+0.7","-2.0","-8.0","-0.8","+1.8","+1.2"
"128","128","NC-Grnsboro","+0.7","-1.3","-1.0","+2.5","-0.8","-3.2"
"129","129","SC Upstate","+0.7","-6.7","-16.0","+3.2","-1.1","+1.3"
"130","130","Drake","+0.6","+0.7","+3.0","+5.1","-2.8","-1.3"
"131","131","Belmont","+0.6","+2.0","+1.0","+3.8","-1.3","+5.2"
"132","132","Lg Beach St","+0.6","+2.7","+7.0","+4.1","-1.4","+0.2"
"133","133","TX El Paso","+0.6","-5.7","-6.0","+1.8","-0.9","+1.2"
