"","Rank","Team","2015","Last 3","Last 1","Home","Away","2014"
"1","1","Massachusetts Lowell","+0.7","0.0","0.0","0.0","+1.1","+0.1"
"2","2","Loyola Mymt","+0.6","+2.3","0.0","+1.7","-0.2","-0.1"
"3","3","Tulane","+0.6","0.0","0.0","+0.7","+0.4","-0.1"
"4","4","W Carolina","+0.5","+1.7","0.0","+1.1","+0.2","+0.4"
"5","5","Hampton","+0.5","0.0","0.0","+0.6","+0.5","+0.1"
"6","6","Houston","+0.5","0.0","0.0","+0.4","+0.6","-0.1"
"7","7","U Mass","+0.5","0.0","0.0","+0.4","+0.6","+0.1"
"8","8","Baylor","+0.5","0.0","0.0","+0.8","0.0","+0.2"
"9","9","LA Tech","+0.5","-2.0","0.0","+1.4","-0.4","-0.3"
"10","10","Fairfield","+0.5","0.0","0.0","+0.7","+0.2","+0.1"
"11","11","Canisius","+0.5","+1.7","0.0","0.0","+0.8","+0.2"
"12","12","NC-Wilmgton","+0.5","+2.3","0.0","+0.2","+0.6","+0.2"
"13","13","E Tenn St","+0.4","0.0","0.0","+1.2","0.0","-0.3"
"14","14","South Dakota","+0.4","0.0","0.0","0.0","+0.7","-0.6"
"15","15","Marquette","+0.4","0.0","0.0","+0.5","+0.4","-0.4"
"16","16","Washington","+0.4","0.0","0.0","+0.6","+0.2","-0.3"
"17","17","TX El Paso","+0.4","0.0","0.0","+0.2","+0.6","-0.2"
"18","18","Ball State","+0.4","+2.7","0.0","+0.4","+0.4","-0.2"
"19","19","Weber State","+0.4","+1.7","0.0","0.0","+0.6","-0.4"
"20","20","San Diego St","+0.4","0.0","0.0","+0.7","0.0","-0.1"
"21","21","Arkansas St","+0.3","0.0","0.0","+1.2","-0.3","+0.3"
"22","22","Ohio State","+0.3","+3.0","0.0","+0.4","+0.2","+0.1"
"23","23","Elon","+0.3","0.0","0.0","+0.7","0.0","+0.4"
"24","24","Evansville","+0.3","0.0","0.0","0.0","+0.6","+0.2"
"25","25","Ohio","+0.3","+1.3","0.0","+0.6","0.0","-0.4"
"26","26","Kent State","+0.3","0.0","0.0","+0.5","+0.2","0.0"
"27","27","UNLV","+0.3","+2.0","0.0","+1.1","-0.4","-0.2"
"28","28","Wisconsin","+0.3","0.0","0.0","+0.2","+0.5","+0.4"
"29","29","Alabama","+0.3","0.0","0.0","+0.6","+0.1","-0.1"
"30","30","Texas","+0.3","0.0","0.0","+0.6","0.0","-0.1"
"31","31","Savannah St","+0.3","0.0","0.0","+0.7","0.0","+0.1"
"32","32","SE Missouri","+0.3","0.0","0.0","+0.7","0.0","-0.1"
"33","33","WI-Grn Bay","+0.3","+2.3","0.0","+0.6","+0.1","-0.2"
"34","34","Fla Gulf Cst","+0.3","+0.7","0.0","+0.6","0.0","+0.2"
"35","35","Army","+0.3","0.0","0.0","+0.3","+0.3","+0.4"
"36","36","F Dickinson","+0.3","0.0","0.0","+0.3","+0.3","-0.1"
"37","37","N Mex State","+0.3","0.0","0.0","+0.7","-0.1","+0.2"
"38","38","UC Irvine","+0.3","0.0","0.0","0.0","+0.4","+0.2"
"39","39","Monmouth","+0.3","0.0","0.0","0.0","+0.4","-0.5"
"40","40","N Dakota St","+0.3","0.0","0.0","0.0","+0.4","+0.6"
"41","41","Towson","+0.3","0.0","0.0","+0.3","+0.2","-0.2"
"42","42","Utah","+0.3","0.0","0.0","0.0","+0.5","0.0"
"43","43","N Kentucky","+0.2","0.0","0.0","+1.1","-0.4","-0.4"
"44","44","IPFW","+0.2","0.0","0.0","0.0","+0.4","0.0"
"45","45","Kansas","+0.2","0.0","0.0","+0.6","0.0","+0.2"
"46","46","Dayton","+0.2","0.0","0.0","+0.3","+0.2","-0.0"
"47","47","Chattanooga","+0.2","0.0","0.0","0.0","+0.4","+0.2"
"48","48","Drake","+0.2","+3.3","0.0","+0.8","-0.2","-0.2"
"49","49","Fordham","+0.2","0.0","0.0","+0.1","+0.5","+0.3"
"50","50","Gonzaga","+0.2","0.0","0.0","0.0","+0.4","-0.1"
"51","51","Missouri St","+0.2","0.0","0.0","+0.5","0.0","-0.1"
"52","52","Hawaii","+0.2","0.0","0.0","0.0","+0.5","-0.2"
"53","53","Penn State","+0.2","+2.3","0.0","+0.5","0.0","-0.6"
"54","54","Norfolk St","+0.2","0.0","0.0","0.0","+0.3","0.0"
"55","55","E Illinois","+0.2","0.0","0.0","+0.7","-0.1","+0.2"
"56","56","Grambling St","+0.2","0.0","0.0","+0.6","0.0","0.0"
"57","57","Middle Tenn","+0.2","0.0","0.0","+0.5","0.0","+0.1"
"58","58","S Carolina","+0.2","0.0","0.0","+0.2","+0.2","0.0"
"59","59","Boston U","+0.2","0.0","0.0","0.0","+0.4","-0.1"
"60","60","Colorado","+0.2","0.0","0.0","+0.4","0.0","-0.0"
"61","61","Oral Roberts","+0.2","0.0","0.0","0.0","+0.3","+0.4"
"62","62","Stanford","+0.2","0.0","0.0","+0.4","0.0","+0.2"
"63","63","Sac State","+0.2","0.0","0.0","+0.5","0.0","0.0"
"64","64","Holy Cross","+0.2","0.0","0.0","+0.1","+0.2","-0.3"
"65","65","Montana","+0.2","0.0","0.0","0.0","+0.3","-0.2"
"66","66","Nevada","+0.2","+1.0","+3.0","+0.9","-0.4","+0.1"
"67","67","Connecticut","+0.2","0.0","0.0","0.0","+0.4","-0.1"
"68","68","James Mad","+0.2","0.0","0.0","+0.1","+0.3","-0.1"
"69","69","LA Lafayette","+0.2","0.0","0.0","+0.5","-0.1","+0.2"
"70","70","Lg Beach St","+0.2","0.0","0.0","+0.9","-0.2","0.0"
"71","71","NC State","+0.2","0.0","0.0","0.0","+0.4","-0.1"
"72","72","Jacksonville","+0.2","-1.0","-3.0","-0.3","+0.5","-0.0"
"73","73","Yale","+0.2","0.0","0.0","+0.5","0.0","-0.3"
"74","74","Radford","+0.2","0.0","0.0","+0.2","+0.2","-0.5"
"75","75","Maryland","+0.2","0.0","0.0","+0.4","0.0","+0.1"
"76","76","Neb Omaha","+0.2","0.0","0.0","+0.1","+0.2","+0.2"
"77","77","Seattle","+0.2","0.0","0.0","+0.3","0.0","-0.3"
"78","78","Oregon","+0.2","0.0","0.0","0.0","+0.3","-0.1"
"79","79","Manhattan","+0.2","0.0","0.0","+0.4","0.0","-0.4"
"80","80","Pittsburgh","+0.2","0.0","0.0","+0.3","0.0","+0.1"
"81","81","Boston Col","+0.2","0.0","0.0","+0.3","0.0","+0.1"
"82","82","Albany","+0.2","-1.3","-4.0","+0.4","0.0","-0.1"
"83","83","Northwestern","+0.2","-0.7","-2.0","+0.2","+0.1","+0.1"
