"","Rank","Team","2012","Last 3","Last 1","Home","Away","2011"
"1","1","Florida","+17.0","+2.0","-20.0","+25.6","+11.2","+10.9"
"2","2","Indiana","+16.5","+5.3","-11.0","+24.7","+7.4","+10.8"
"3","3","Gonzaga","+16.3","+4.7","-6.0","+22.2","+11.6","+10.6"
"4","4","Louisville","+15.9","+11.3","+4.0","+19.1","+13.7","+7.2"
"5","5","Kansas","+13.2","+5.7","-2.0","+20.4","+7.2","+11.8"
"6","6","Pittsburgh","+13.2","-2.0","-18.0","+17.7","+7.7","+3.5"
"7","7","Middle Tenn","+12.7","-0.7","-13.0","+25.5","+2.6","+8.8"
"8","8","VCU","+12.4","+5.0","-25.0","+17.8","+7.6","+8.2"
"9","9","Duke","+11.9","+1.3","-22.0","+19.4","+5.8","+8.6"
"10","10","Syracuse","+11.7","+7.3","-5.0","+20.6","+3.7","+13.1"
"11","11","Michigan","+11.7","+9.0","+5.0","+17.1","+7.6","+4.2"
"12","12","Weber State","+11.5","+3.0","-3.0","+16.8","+6.4","+5.2"
"13","13","Belmont","+11.3","-2.0","-17.0","+22.0","+4.6","+13.0"
"14","14","Creighton","+11.3","-3.0","-16.0","+16.9","+6.2","+9.5"
"15","15","St Marys","+11.2","-1.0","-2.0","+16.8","+6.3","+10.5"
"16","16","Ste F Austin","+10.9","+2.7","-1.0","+17.9","+6.4","+4.2"
"17","17","Ohio State","+10.9","+0.7","-4.0","+17.9","+4.2","+14.9"
"18","18","Davidson","+10.7","+7.0","-1.0","+19.9","+5.5","+8.9"
"19","19","Mississippi","+10.3","+4.0","-2.0","+18.9","+2.5","+0.7"
"20","20","Saint Louis","+10.1","+3.0","-17.0","+14.5","+4.8","+11.1"
"21","21","Arizona","+9.8","+12.3","-3.0","+12.7","+7.4","+6.3"
"22","22","Stony Brook","+9.7","-0.3","-12.0","+16.2","+6.3","+5.8"
"23","23","Memphis","+9.6","-2.7","-22.0","+13.8","+5.3","+11.6"
"24","24","Missouri","+9.4","-0.7","-12.0","+19.2","-0.4","+14.1"
"25","25","N Dakota St","+9.2","+1.7","-1.0","+17.5","+4.9","+3.5"
"26","26","Miami (FL)","+9.1","+7.7","-10.0","+15.6","+4.5","+4.6"
"27","27","Wisconsin","+9.0","-2.0","-11.0","+18.3","-0.8","+10.8"
"28","28","Denver","+8.9","-3.3","-10.0","+16.7","+1.2","+7.6"
"29","29","Bucknell","+8.9","+1.3","-12.0","+11.5","+6.8","+6.6"
"30","30","Oklahoma St","+8.8","-7.3","-13.0","+14.4","+3.0","-1.9"
"31","31","Virginia","+8.7","+6.0","-11.0","+16.4","-2.9","+8.3"
"32","32","Wichita St","+8.6","+4.7","-4.0","+14.8","+4.3","+13.6"
"33","33","Iowa State","+8.4","0.0","-3.0","+18.1","-0.8","+6.0"
"34","34","Valparaiso","+8.3","-0.7","-11.0","+14.0","+2.2","+0.6"
"35","35","Georgetown","+8.2","+2.0","-10.0","+11.4","+4.7","+9.1"
"36","36","Kentucky","+8.2","-4.7","-2.0","+18.9","-4.8","+16.8"
"37","37","Michigan St","+8.1","+7.7","-10.0","+14.6","+1.9","+12.3"
"38","38","Oregon","+8.1","+7.3","-8.0","+14.8","+0.9","+5.5"
"39","39","Ohio","+8.0","-4.0","-4.0","+16.3","-1.4","+7.0"
"40","40","Baylor","+7.9","+12.3","+20.0","+12.6","+2.7","+8.5"
"41","41","Akron","+7.9","-8.0","-46.0","+14.2","+2.4","+5.6"
"42","42","Colorado St","+7.8","-8.0","-26.0","+13.4","+3.1","+2.1"
"43","43","Southern","+7.7","+2.7","-6.0","+18.1","+3.2","-4.8"
"44","44","LA Tech","+7.5","-4.0","-11.0","+15.6","+1.6","-1.5"
"45","45","Cincinnati","+7.5","-2.0","-4.0","+12.9","+1.5","+6.6"
"46","46","S Mississippi","+7.5","+0.3","-17.0","+13.1","+3.7","+4.2"
"47","47","Iowa","+7.3","+0.7","-20.0","+15.9","-2.3","+0.5"
"48","48","UNLV","+7.2","0.0","-3.0","+11.0","+2.4","+9.2"
"49","49","NC State","+7.1","+1.7","-4.0","+13.6","+1.1","+5.3"
"50","50","Kansas St","+7.0","-2.3","-2.0","+14.9","-0.1","+6.9"
"51","51","Lehigh","+7.0","-2.3","-1.0","+11.8","+3.2","+9.4"
"52","52","BYU","+6.9","+10.0","-6.0","+14.5","-2.1","+9.7"
"53","53","San Diego St","+6.8","-1.7","-10.0","+14.2","+1.7","+5.2"
"54","54","Maryland","+6.7","0.0","-11.0","+12.9","-0.9","-2.0"
"55","55","New Mexico","+6.7","+3.7","-6.0","+11.5","+2.1","+12.3"
"56","56","Minnesota","+6.5","+1.3","-14.0","+16.2","-3.1","+2.8"
"57","57","N Carolina","+6.5","-5.0","-12.0","+13.1","+0.9","+14.3"
"58","58","Notre Dame","+6.5","-7.3","-18.0","+12.4","-1.4","+4.7"
"59","59","Illinois St","+5.9","-5.0","-15.0","+14.3","-2.0","+3.7"
"60","60","La Salle","+5.7","-3.3","-14.0","+12.3","+1.6","+6.7"
"61","61","S Dakota St","+5.6","+2.3","-15.0","+14.5","+0.3","+9.2"
"62","62","E Kentucky","+5.6","-5.0","-14.0","+12.1","+0.1","-2.5"
"63","63","Marquette","+5.5","-1.3","-16.0","+11.1","+0.7","+9.4"
"64","64","TX Southern","+5.2","+17.3","+19.0","+16.8","-3.2","-1.6"
"65","65","Rob Morris","+5.1","-5.3","-9.0","+8.9","+2.0","+5.0"
"66","66","Arkansas St","+5.1","-1.3","-2.0","+13.2","-1.9","-2.7"
"67","67","Dayton","+5.1","+1.7","-6.0","+10.9","-2.0","+4.2"
"68","68","Detroit","+5.1","-1.7","-15.0","+11.5","+0.4","+2.4"
"69","69","UCLA","+5.1","-9.0","-20.0","+11.3","-1.6","+5.2"
"70","70","Butler","+4.9","-0.3","-2.0","+11.0","+0.3","+1.7"
"71","71","Santa Clara","+4.9","+1.3","+3.0","+8.2","+1.2","-7.8"
"72","72","Arkansas","+4.8","-7.3","-3.0","+14.9","-6.5","+2.1"
"73","73","Fla Gulf Cst","+4.8","+2.7","-12.0","+12.4","-0.2","-0.5"
"74","74","NC Central","+4.8","-0.3","-13.0","+8.4","+2.5","+0.9"
"75","75","Princeton","+4.8","-1.7","+13.0","+6.1","+3.8","+3.6"
