"","Rank","Team","2016","Last 3","Last 1","Home","Away","2015"
"1","1","Rhode Island","11.7%","12.0%","12.9%","13.2%","10.0%","9.5%"
"2","2","Oregon","11.4%","9.3%","13.4%","13.1%","9.2%","10.0%"
"3","3","Minnesota","11.1%","14.8%","8.8%","12.1%","9.0%","6.3%"
"4","4","St Johns","10.1%","10.2%","7.0%","11.8%","8.8%","9.5%"
"5","5","GA Tech","10.0%","5.6%","3.7%","11.1%","8.4%","7.2%"
"6","6","Louisville","9.8%","5.3%","3.4%","10.1%","9.4%","9.2%"
"7","7","Nicholls St","9.7%","12.4%","11.1%","10.4%","9.3%","8.0%"
"8","8","Texas A&M","9.5%","8.6%","8.5%","10.5%","8.5%","6.3%"
"9","9","Cincinnati","9.5%","5.6%","4.2%","10.3%","8.4%","10.1%"
"10","10","LA Tech","9.3%","8.3%","6.9%","10.6%","8.0%","6.8%"
"11","11","Northwestern","9.3%","4.4%","1.9%","10.5%","7.6%","6.8%"
"12","12","Old Dominion","9.3%","8.0%","9.1%","12.1%","6.8%","7.5%"
"13","13","Penn State","9.2%","9.4%","9.2%","11.1%","7.2%","8.1%"
"14","14","Connecticut","9.1%","9.4%","7.6%","11.4%","6.9%","9.0%"
"15","15","USC","9.0%","11.6%","18.0%","12.0%","5.4%","8.2%"
"16","16","E Carolina","8.9%","6.5%","5.8%","10.4%","7.1%","3.3%"
"17","17","Kentucky","8.9%","6.2%","8.8%","9.2%","8.5%","9.9%"
"18","18","Norfolk St","8.8%","10.1%","8.7%","11.4%","7.3%","8.9%"
"19","19","Washington","8.8%","1.7%","0.0%","10.1%","7.3%","10.2%"
"20","20","Virginia","8.8%","9.4%","4.4%","11.0%","6.5%","6.4%"
"21","21","Florida St","8.8%","7.3%","9.3%","8.9%","8.5%","7.0%"
"22","22","Baylor","8.7%","6.0%","1.6%","11.2%","5.8%","7.3%"
"23","23","E Tenn St","8.7%","14.0%","14.8%","10.2%","7.8%","6.2%"
"24","24","Winthrop","8.7%","8.1%","3.2%","9.0%","8.5%","8.2%"
"25","25","W Virginia","8.7%","9.9%","11.7%","9.5%","7.5%","5.4%"
"26","26","U Mass","8.6%","4.3%","5.5%","9.3%","7.6%","5.9%"
"27","27","Illinois St","8.6%","14.5%","10.0%","9.6%","7.8%","6.5%"
"28","28","Chattanooga","8.5%","6.8%","7.7%","7.3%","9.3%","8.4%"
"29","29","TX Christian","8.4%","8.4%","1.7%","9.6%","6.5%","7.0%"
"30","30","California","8.3%","4.1%","10.6%","9.0%","7.2%","8.0%"
"31","31","Auburn","8.3%","9.7%","14.1%","7.5%","9.1%","6.7%"
"32","32","San Diego St","8.3%","8.9%","11.3%","8.2%","8.4%","9.7%"
"33","33","Harvard","8.3%","4.8%","5.7%","8.6%","8.0%","8.7%"
"34","34","UAB","8.3%","8.4%","5.2%","10.3%","6.2%","9.6%"
"35","35","Florida","8.2%","6.0%","3.7%","7.1%","8.7%","7.2%"
"36","36","Michigan St","8.1%","5.1%","7.7%","10.0%","6.1%","8.7%"
"37","37","Memphis","8.1%","5.5%","3.6%","9.2%","6.5%","9.0%"
"38","38","Rutgers","8.1%","2.9%","1.7%","9.6%","6.5%","5.1%"
"39","39","UCLA","8.1%","7.1%","6.2%","8.8%","7.1%","5.5%"
"40","40","Syracuse","8.0%","2.8%","7.0%","9.3%","5.9%","7.6%"
"41","41","E Washingtn","8.0%","4.9%","3.4%","9.0%","7.1%","6.4%"
"42","42","Maryland","8.0%","9.4%","6.7%","8.4%","7.4%","9.0%"
"43","43","St Bonavent","7.9%","8.3%","3.3%","8.1%","7.7%","7.3%"
"44","44","Alabama","7.9%","10.9%","10.2%","8.0%","7.9%","9.3%"
"45","45","Oklahoma","7.9%","10.3%","10.4%","8.4%","7.5%","8.1%"
"46","46","IL-Chicago","7.9%","6.9%","5.2%","9.5%","6.6%","8.4%"
"47","47","Texas State","7.9%","9.3%","11.8%","9.6%","6.7%","5.6%"
"48","48","Vermont","7.9%","11.0%","12.0%","10.4%","5.8%","7.6%"
"49","49","Oakland","7.9%","5.9%","5.2%","6.9%","9.1%","5.1%"
"50","50","Arkansas","7.8%","6.1%","11.5%","7.9%","7.7%","8.9%"
"51","51","Georgetown","7.8%","6.2%","3.7%","8.5%","7.0%","7.9%"
"52","52","Tennessee","7.8%","9.7%","12.8%","8.0%","7.4%","7.5%"
