"","Rank","Team","2016","Last 3","Last 1","Home","Away","2015"
"1","1","Minnesota","7.0","10.3","5.0","7.9","5.5","3.6"
"2","2","Oregon","6.7","5.3","9.0","8.0","5.3","5.7"
"3","3","Rhode Island","6.2","6.7","8.0","7.1","5.2","5.0"
"4","4","St Johns","6.0","6.0","4.0","6.9","5.4","5.5"
"5","5","GA Tech","6.0","3.0","2.0","6.9","4.7","4.2"
"6","6","Nicholls St","5.9","7.3","6.0","6.3","5.7","4.8"
"7","7","USC","5.6","6.7","9.0","7.4","3.5","5.3"
"8","8","Texas A&M","5.6","5.0","5.0","6.2","5.0","3.6"
"9","9","Penn State","5.5","5.7","6.0","6.6","4.3","4.4"
"10","10","Washington","5.5","1.0","0.0","6.4","4.5","6.5"
"11","11","Louisville","5.5","3.0","2.0","5.7","5.2","4.8"
"12","12","LA Tech","5.5","5.0","4.0","6.3","4.6","4.2"
"13","13","Kentucky","5.4","3.7","5.0","5.5","5.2","5.8"
"14","14","UCLA","5.4","4.3","4.0","6.0","4.6","3.4"
"15","15","E Carolina","5.3","3.7","4.0","6.2","4.2","2.0"
"16","16","Connecticut","5.3","5.3","5.0","6.8","3.9","5.1"
"17","17","Winthrop","5.3","5.3","2.0","5.4","5.2","5.3"
"18","18","Norfolk St","5.3","6.3","6.0","7.2","4.2","5.0"
"19","19","Northwestern","5.3","2.3","1.0","6.0","4.2","3.8"
"20","20","Cincinnati","5.2","2.7","2.0","5.8","4.4","5.8"
"21","21","Florida St","5.2","3.7","4.0","5.4","4.8","4.1"
"22","22","Auburn","5.1","6.0","9.0","4.7","5.5","4.1"
"23","23","IL-Chicago","5.1","4.7","3.0","6.1","4.3","5.2"
"24","24","U Mass","4.9","2.3","3.0","5.3","4.4","3.5"
"25","25","Baylor","4.9","3.3","1.0","6.4","3.2","3.9"
"26","26","E Tenn St","4.9","8.7","9.0","5.5","4.5","3.6"
"27","27","UAB","4.9","5.0","3.0","6.1","3.6","5.8"
"28","28","Oakland","4.9","4.0","4.0","4.5","5.3","3.3"
"29","29","TX Christian","4.8","5.0","1.0","5.6","3.8","3.8"
"30","30","E Washingtn","4.8","3.0","2.0","5.6","4.1","3.7"
"31","31","Oklahoma","4.8","6.0","7.0","5.2","4.4","5.1"
"32","32","Michigan St","4.7","3.0","4.0","5.9","3.5","5.1"
"33","33","Memphis","4.7","3.3","2.0","5.5","3.7","5.4"
"34","34","Syracuse","4.7","1.7","4.0","5.6","3.4","4.4"
"35","35","Old Dominion","4.7","4.0","5.0","5.9","3.6","3.9"
"36","36","Illinois St","4.7","8.3","5.0","5.3","4.3","3.5"
"37","37","Florida","4.7","3.3","2.0","4.0","5.0","4.2"
"38","38","Maryland","4.7","5.7","4.0","5.0","4.3","5.4"
"39","39","BYU","4.7","2.7","4.0","5.2","4.1","4.3"
"40","40","California","4.7","2.0","5.0","5.2","3.9","4.7"
"41","41","Rutgers","4.7","1.7","1.0","5.7","3.6","3.4"
"42","42","San Diego St","4.7","4.7","6.0","4.6","4.7","5.5"
"43","43","Arkansas","4.6","3.7","7.0","4.7","4.6","5.2"
"44","44","Kansas","4.6","3.3","5.0","5.6","3.7","4.1"
"45","45","Georgetown","4.6","3.7","2.0","4.9","4.2","4.4"
"46","46","Monmouth","4.6","4.7","2.0","5.1","4.3","3.6"
"47","47","Niagara","4.6","2.0","4.0","5.1","4.3","3.2"
"48","48","Harvard","4.6","2.7","3.0","4.7","4.5","5.0"
"49","49","Chattanooga","4.6","3.3","4.0","3.8","5.1","4.7"
"50","50","Indiana","4.5","2.7","4.0","5.1","3.8","3.9"
"51","51","W Virginia","4.5","5.0","7.0","5.1","3.8","2.7"
"52","52","Wyoming","4.5","3.7","4.0","4.8","4.2","2.7"
"53","53","St Bonavent","4.5","4.7","2.0","4.8","4.2","4.3"
"54","54","Wm & Mary","4.5","4.3","3.0","6.6","3.0","4.0"
"55","55","Tennessee","4.5","5.3","6.0","4.5","4.5","4.6"
"56","56","Gonzaga","4.5","4.3","5.0","5.1","3.9","3.1"
"57","57","Texas","4.5","4.0","6.0","4.6","4.3","4.4"
"58","58","Sac State","4.4","3.0","6.0","5.2","3.9","3.9"
"59","59","Duke","4.4","5.0","4.0","5.0","3.7","4.3"
"60","60","Nevada","4.4","2.3","2.0","4.0","4.6","5.5"
"61","61","Alabama","4.3","6.0","6.0","4.3","4.3","5.3"
"62","62","Mississippi","4.3","2.7","4.0","5.3","2.9","3.1"
"63","63","Incarnate Word","4.3","5.0","4.0","4.8","3.9","2.4"
"64","64","Vermont","4.3","5.7","6.0","5.5","3.3","4.4"
"65","65","NC State","4.3","5.0","4.0","5.3","3.1","4.2"
"66","66","San Jose St","4.3","3.3","3.0","4.4","4.2","3.8"
"67","67","Virginia","4.3","4.7","2.0","5.2","3.2","3.2"
"68","68","Colorado","4.3","4.0","5.0","3.9","4.6","5.0"
"69","69","E Michigan","4.2","5.7","6.0","4.4","4.1","3.5"
"70","70","WI-Grn Bay","4.2","4.0","7.0","4.7","3.9","4.6"
"71","71","Yale","4.2","4.3","5.0","5.0","3.5","4.5"
"72","72","Texas State","4.2","5.0","6.0","5.2","3.4","2.9"
"73","73","UC Irvine","4.2","5.0","6.0","4.8","3.8","4.9"
"74","74","W Illinois","4.2","3.7","6.0","3.8","4.4","3.2"
"75","75","Indiana St","4.1","2.3","4.0","3.7","4.5","2.6"
"76","76","Siena","4.1","5.0","6.0","4.1","4.1","4.6"
"77","77","Longwood","4.1","3.7","3.0","5.1","3.4","2.4"
"78","78","VCU","4.1","4.0","4.0","4.0","4.2","3.8"
"79","79","Loyola Mymt","4.1","6.0","4.0","4.5","3.5","2.8"
"80","80","Miss State","4.1","3.3","2.0","4.4","3.6","4.3"
"81","81","Georgia St","4.0","4.0","5.0","5.2","3.1","3.0"
"82","82","Temple","4.0","5.3","4.0","4.5","3.5","3.1"
"83","83","Mt St Marys","4.0","2.7","2.0","4.6","3.5","3.6"
"84","84","Clemson","3.9","2.7","3.0","4.8","3.0","5.2"
"85","85","Duquesne","3.9","4.7","4.0","4.3","3.5","3.8"
"86","86","Miami (FL)","3.9","2.7","2.0","5.1","2.6","3.6"
"87","87","Central FL","3.9","4.7","5.0","4.4","3.4","4.7"
"88","88","CS Bakersfld","3.9","7.7","6.0","5.7","2.8","5.0"
"89","89","Notre Dame","3.9","2.3","2.0","5.1","2.3","4.0"
"90","90","St Fran (PA)","3.9","5.7","3.0","4.7","3.3","3.0"
"91","91","Marshall","3.9","3.7","6.0","4.8","3.0","3.1"
"92","92","Dayton","3.9","2.3","2.0","4.1","3.7","4.4"
"93","93","IPFW","3.9","4.0","6.0","4.0","3.8","3.3"
"94","94","Campbell","3.9","4.0","4.0","3.8","3.9","2.1"
"95","95","NC-Grnsboro","3.9","6.0","7.0","3.6","4.1","2.6"
"96","96","E Illinois","3.9","5.0","3.0","3.8","3.9","2.1"
"97","97","S Illinois","3.8","5.3","5.0","3.7","4.0","2.0"
"98","98","Iowa","3.8","1.7","2.0","4.6","2.8","4.7"
"99","99","S Florida","3.8","5.7","6.0","4.2","3.2","5.3"
"100","100","Geo Wshgtn","3.8","3.3","4.0","4.8","2.8","3.3"
"101","101","Georgia","3.8","2.3","0.0","4.4","3.1","5.1"
"102","102","Oregon St","3.8","2.0","3.0","5.1","2.5","3.2"
"103","103","Buffalo","3.8","4.7","10.0","4.3","3.5","3.4"
"104","104","Wichita St","3.8","4.0","5.0","4.3","3.3","3.5"
"105","105","Hampton","3.8","4.3","4.0","4.0","3.6","3.5"
"106","106","Vanderbilt","3.8","3.7","4.0","4.0","3.5","5.5"
"107","107","Ohio State","3.8","3.0","3.0","3.9","3.5","5.2"
"108","108","S Alabama","3.8","6.0","9.0","4.0","3.5","4.0"
"109","109","Bucknell","3.8","4.3","5.0","3.9","3.6","3.1"
"110","110","Fresno St","3.8","5.0","6.0","4.2","3.4","3.7"
"111","111","VA Military","3.8","3.3","5.0","3.4","4.0","3.9"
"112","112","Tulane","3.7","2.3","4.0","4.2","3.3","3.9"
"113","113","Missouri St","3.7","2.3","4.0","4.5","2.9","4.1"
"114","114","N Dakota St","3.7","3.3","4.0","3.4","3.9","3.6"
"115","115","Wake Forest","3.7","3.0","2.0","4.9","2.7","4.5"
"116","116","N Florida","3.7","1.7","1.0","4.7","3.1","4.8"
"117","117","Miami (OH)","3.7","2.7","3.0","4.4","2.9","2.2"
"118","118","S Carolina","3.7","3.3","3.0","4.4","2.8","4.3"
"119","119","Utah Val St","3.7","2.7","7.0","4.8","3.0","3.2"
"120","120","AR Lit Rock","3.7","4.3","5.0","3.2","4.1","2.9"
"121","121","Colorado St","3.7","3.7","3.0","3.7","3.7","2.4"
"122","122","Wisconsin","3.7","3.0","5.0","3.3","4.1","3.3"
"123","123","Radford","3.7","4.3","3.0","4.2","3.3","4.3"
"124","124","Jksnville St","3.7","3.7","1.0","5.2","3.1","2.9"
"125","125","Nebraska","3.7","1.7","0.0","3.7","3.6","3.3"
