"","Rank","Team","2012","Last 3","Last 1","Home","Away","2011"
"1","1","Ste F Austin","0.823","0.995","0.944","0.757","0.865","0.880"
"2","2","Florida","0.845","0.968","1.095","0.768","0.898","0.962"
"3","3","Louisville","0.847","0.993","1.095","0.838","0.853","0.882"
"4","4","Savannah St","0.850","0.922","0.986","0.780","0.891","0.900"
"5","5","Middle Tenn","0.862","1.007","1.143","0.782","0.928","0.919"
"6","6","Syracuse","0.868","0.810","1.011","0.789","0.944","0.910"
"7","7","Georgetown","0.870","0.907","1.024","0.834","0.910","0.904"
"8","8","Southern","0.875","0.874","1.003","0.783","0.913","0.953"
"9","9","Saint Louis","0.875","0.865","1.042","0.858","0.894","0.885"
"10","10","Cincinnati","0.877","0.947","1.038","0.816","0.952","0.925"
"11","11","Stony Brook","0.878","0.985","1.171","0.840","0.898","0.938"
"12","12","Wisconsin","0.879","0.890","0.892","0.809","0.956","0.884"
"13","13","Kansas","0.882","0.912","1.124","0.825","0.930","0.898"
"14","14","LA Tech","0.883","0.978","0.921","0.807","0.942","0.996"
"15","15","Virginia","0.885","0.890","1.115","0.795","1.026","0.868"
"16","16","Hampton","0.891","0.931","0.981","0.885","0.896","0.952"
"17","17","Oregon","0.891","0.895","1.113","0.826","0.958","0.991"
"18","18","Pittsburgh","0.894","1.073","1.051","0.853","0.943","1.022"
"19","19","Indiana","0.895","0.907","0.925","0.834","0.966","0.972"
"20","20","NC Central","0.898","0.863","0.789","0.831","0.940","0.949"
"21","21","Gonzaga","0.900","0.987","1.166","0.875","0.921","0.926"
"22","22","UNLV","0.900","0.925","0.902","0.872","0.936","0.926"
"23","23","Oklahoma St","0.901","1.012","0.957","0.856","0.947","1.008"
"24","24","Ohio State","0.901","1.042","0.948","0.829","0.972","0.881"
"25","25","Michigan St","0.904","0.874","1.094","0.847","0.958","0.891"
"26","26","Wright State","0.905","0.944","1.225","0.896","0.914","0.961"
"27","27","Memphis","0.905","0.921","0.992","0.886","0.925","0.907"
"28","28","Bucknell","0.907","0.992","0.985","0.893","0.919","0.953"
"29","29","San Diego St","0.908","0.995","1.150","0.873","0.932","0.944"
"30","30","NC A&T","0.908","1.009","1.143","0.853","0.931","1.013"
"31","31","Arkansas St","0.909","0.948","0.839","0.833","0.975","1.008"
"32","32","N Dakota St","0.910","1.032","1.043","0.829","0.951","1.009"
"33","33","Iowa","0.911","0.966","1.069","0.831","0.999","1.047"
"34","34","Mississippi","0.913","0.909","1.074","0.840","0.982","0.948"
"35","35","Akron","0.914","0.951","1.337","0.860","0.961","0.948"
"36","36","Denver","0.914","1.045","0.975","0.856","0.974","0.964"
"37","37","New Mexico","0.914","0.926","1.072","0.867","0.960","0.882"
"38","38","VCU","0.915","0.911","1.181","0.851","0.976","0.895"
"39","39","Alabama","0.915","0.816","0.906","0.874","0.964","0.898"
"40","40","TX-Arlington","0.917","1.012","1.120","0.866","0.960","0.917"
"41","41","GA Tech","0.919","1.141","1.176","0.860","0.988","0.965"
"42","42","Wichita St","0.919","0.971","1.160","0.873","0.952","0.907"
"43","43","Wofford","0.920","0.951","0.973","0.880","0.942","0.995"
"44","44","W Illinois","0.920","1.078","1.277","0.867","0.962","0.985"
"45","45","Ohio","0.924","0.984","1.004","0.862","0.993","0.918"
"46","46","Fairfield","0.925","0.926","1.044","0.898","0.939","0.917"
"47","47","Maryland","0.926","0.918","1.036","0.903","0.953","1.026"
"48","48","Miami (FL)","0.926","0.988","1.167","0.864","0.971","0.975"
"49","49","Arizona","0.927","0.959","1.124","0.917","0.936","0.937"
"50","50","Norfolk St","0.928","0.839","0.944","0.886","0.950","0.962"
"51","51","Manhattan","0.929","0.903","0.978","0.858","0.966","0.932"
"52","52","Hartford","0.931","1.017","1.014","0.873","0.985","0.993"
"53","53","Weber State","0.932","1.004","1.135","0.897","0.964","1.017"
"54","54","Texas","0.932","1.040","1.003","0.858","1.004","0.971"
"55","55","Villanova","0.932","0.930","1.077","0.914","0.947","0.999"
"56","56","Gard-Webb","0.932","0.973","0.920","0.907","0.951","0.991"
"57","57","Morgan St","0.932","0.922","0.835","0.883","0.952","0.994"
"58","58","NJIT","0.932","0.959","0.980","0.892","0.965","1.018"
"59","59","Colorado","0.934","1.012","0.866","0.889","0.972","0.955"
"60","60","Geo Wshgtn","0.935","1.102","1.034","0.899","0.966","1.020"
"61","61","Belmont","0.935","1.049","1.223","0.871","0.976","0.965"
"62","62","Kentucky","0.936","1.037","1.071","0.863","1.029","0.890"
"63","63","Valparaiso","0.936","0.981","1.041","0.879","0.996","1.002"
"64","64","Davidson","0.937","0.931","0.940","0.845","0.992","0.962"
"65","65","Vermont","0.937","1.067","1.154","0.918","0.952","0.934"
"66","66","N Mex State","0.939","0.931","1.025","0.880","0.984","0.951"
"67","67","Albany","0.940","1.016","1.163","0.905","0.966","1.027"
"68","68","Wagner","0.940","0.873","1.068","0.938","0.942","0.915"
"69","69","S Mississippi","0.940","0.978","1.149","0.860","0.996","0.986"
"70","70","Rider","0.941","0.857","1.039","0.886","0.980","1.052"
"71","71","Duke","0.941","0.975","1.211","0.881","0.990","0.982"
"72","72","Mercer","0.942","1.183","1.229","0.857","0.994","0.940"
"73","73","Fla Gulf Cst","0.944","0.952","0.960","0.825","1.024","1.032"
"74","74","N Carolina","0.945","1.072","0.941","0.885","0.997","0.900"
"75","75","Minnesota","0.945","1.003","1.243","0.864","1.027","0.972"
"76","76","Sam Hous St","0.946","0.958","0.944","0.849","0.997","0.947"
"77","77","California","0.946","0.983","0.960","0.920","0.970","0.920"
"78","78","Georgia","0.946","1.018","1.092","0.869","1.054","0.993"
"79","79","Clemson","0.946","1.064","1.090","0.884","1.007","0.934"
"80","80","Arkansas","0.947","1.074","1.053","0.878","1.028","0.973"
"81","81","St Johns","0.947","0.970","1.045","0.906","0.986","1.027"
"82","82","Col Charlestn","0.947","1.127","1.287","0.938","0.956","0.965"
"83","83","Missouri","0.948","0.974","1.211","0.893","1.003","0.979"
"84","84","Kansas St","0.948","0.996","1.053","0.882","1.011","0.923"
"85","85","Houston Bap","0.949","0.997","1.059","0.901","0.972","1.054"
"86","86","Howard","0.949","0.961","1.168","0.828","1.012","1.019"
"87","87","Marquette","0.949","0.984","0.935","0.929","0.967","0.914"
"88","88","Ark Pine Bl","0.949","0.861","0.858","0.820","1.005","1.022"
"89","89","E Michigan","0.949","0.930","1.157","0.884","1.004","0.965"
"90","90","N Iowa","0.950","0.958","0.885","0.917","0.988","0.979"
"91","91","Alcorn State","0.950","1.009","0.877","0.929","0.961","1.002"
"92","92","Connecticut","0.950","0.920","0.828","0.903","1.012","0.972"
"93","93","Prairie View","0.952","0.873","0.768","0.924","0.965","0.938"
"94","94","IL-Chicago","0.952","0.988","0.949","0.897","0.998","1.036"
"95","95","Vanderbilt","0.952","0.971","0.978","0.949","0.955","0.964"
"96","96","Providence","0.952","1.046","1.187","0.884","1.032","1.022"
"97","97","Michigan","0.953","0.953","0.928","0.914","0.982","0.994"
"98","98","Stanford","0.953","1.039","0.995","0.899","1.008","0.899"
"99","99","Purdue","0.954","1.031","1.064","0.918","1.000","0.997"
"100","100","Seattle","0.954","1.061","0.993","0.957","0.950","0.992"
"101","101","Creighton","0.955","1.010","1.001","0.951","0.958","1.013"
"102","102","Loyola-MD","0.955","0.945","1.046","0.919","0.984","0.962"
"103","103","N Hampshire","0.956","1.057","1.075","0.987","0.935","0.948"
"104","104","AR Lit Rock","0.956","0.948","0.943","0.896","1.012","0.958"
"105","105","Xavier","0.956","0.960","1.059","0.940","0.971","0.963"
"106","106","St Marys","0.957","0.963","0.863","0.957","0.957","0.959"
"107","107","W Michigan","0.958","0.908","0.864","0.971","0.949","1.033"
"108","108","Texas A&M","0.959","0.973","0.909","0.952","0.967","0.957"
