"","Rank","Team","2012","Last 3","Last 1","Home","Away","2011"
"1","1","Bucknell","78.8%","80.0%","81.2%","80.2%","77.6%","79.0%"
"2","2","Colorado St","78.4%","79.0%","62.5%","79.8%","77.3%","72.6%"
"3","3","Quinnipiac","78.0%","75.5%","71.9%","80.8%","75.8%","75.3%"
"4","4","Boise State","77.6%","81.5%","85.7%","79.0%","76.4%","75.9%"
"5","5","N Dakota St","77.0%","74.7%","66.7%","82.1%","74.6%","73.6%"
"6","6","Weber State","76.9%","83.0%","91.3%","76.9%","76.8%","72.5%"
"7","7","Ste F Austin","76.4%","74.7%","69.0%","79.2%","74.8%","76.8%"
"8","8","Drexel","76.2%","80.7%","73.9%","79.4%","73.9%","76.5%"
"9","9","St Marys","76.0%","73.8%","66.7%","76.8%","75.3%","76.2%"
"10","10","WI-Grn Bay","75.9%","74.4%","63.4%","78.9%","73.0%","70.2%"
"11","11","Wichita St","75.9%","75.8%","66.7%","77.7%","74.6%","76.6%"
"12","12","Wisconsin","75.9%","68.8%","71.4%","78.5%","73.0%","74.3%"
"13","13","Arizona","75.8%","80.6%","72.4%","74.9%","76.5%","72.3%"
"14","14","Butler","75.7%","81.1%","65.5%","79.6%","73.0%","74.7%"
"15","15","S Dakota St","75.5%","83.1%","75.0%","77.0%","74.5%","72.8%"
"16","16","Oregon","75.4%","83.3%","71.0%","77.5%","73.3%","70.9%"
"17","17","IPFW","75.4%","82.3%","93.3%","74.1%","76.0%","74.1%"
"18","18","N Iowa","75.3%","70.5%","75.0%","79.4%","70.6%","76.2%"
"19","19","Col Charlestn","75.3%","71.1%","56.5%","74.8%","75.8%","65.7%"
"20","20","W Illinois","75.2%","75.0%","65.0%","75.5%","74.9%","74.3%"
"21","21","Loyola-Chi","75.1%","75.3%","82.6%","75.7%","74.7%","69.5%"
"22","22","Creighton","75.1%","67.6%","80.6%","77.9%","72.8%","75.5%"
"23","23","Penn State","75.0%","74.4%","59.4%","79.0%","70.0%","74.8%"
"24","24","Brown","74.9%","78.2%","82.9%","77.1%","72.9%","71.3%"
"25","25","UNLV","74.8%","77.5%","78.9%","74.4%","75.4%","72.1%"
"26","26","Utah State","74.7%","75.4%","71.9%","73.3%","76.4%","68.7%"
"27","27","Maryland","74.5%","73.6%","70.0%","72.6%","77.0%","69.3%"
"28","28","Ohio State","74.5%","69.1%","72.2%","75.1%","73.9%","77.2%"
