"","Rank","Team","2016","Last 3","Last 1","Home","Away","2015"
"1","1","Gonzaga","29.2","29.7","29.0","28.4","29.9","27.2"
"2","2","BYU","29.0","21.0","16.0","32.1","25.8","27.0"
"3","3","Central FL","28.9","25.3","24.0","31.1","26.4","25.7"
"4","4","UCLA","28.5","26.0","29.0","29.9","26.8","25.6"
"5","5","Utah Val St","28.0","32.3","28.0","29.8","26.9","25.3"
"6","6","Wyoming","27.9","25.0","22.0","28.9","26.8","22.3"
"7","7","Geo Mason","27.2","28.0","33.0","26.0","28.5","27.4"
"8","8","Minnesota","27.1","29.0","26.0","28.1","25.2","22.9"
"9","9","WI-Grn Bay","26.8","28.0","31.0","27.1","26.7","23.9"
"10","10","Elon","26.8","28.7","27.0","28.3","25.7","24.9"
"11","11","Wichita St","26.7","29.0","30.0","27.4","26.1","23.8"
"12","12","California","26.6","26.3","28.0","26.6","26.5","26.6"
"13","13","Purdue","26.5","21.0","24.0","28.0","24.8","28.3"
"14","14","UC Irvine","26.5","26.3","33.0","26.2","26.6","26.0"
"15","15","Ohio","26.4","24.7","32.0","26.4","26.5","25.7"
"16","16","Nevada","26.4","30.3","33.0","26.8","26.1","26.6"
"17","17","N Carolina","26.4","24.0","23.0","27.2","25.5","25.3"
"18","18","Toledo","26.3","30.0","29.0","28.6","24.2","24.5"
"19","19","Buffalo","26.3","23.3","29.0","28.5","24.9","24.8"
"20","20","Rider","26.0","23.7","26.0","26.2","25.9","24.1"
"21","21","Monmouth","26.0","26.3","14.0","27.9","24.6","26.1"
"22","22","Kentucky","25.9","28.7","27.0","25.2","26.9","24.5"
"23","23","Winthrop","25.9","30.3","27.0","26.2","25.6","25.2"
"24","24","Indiana","25.9","24.0","23.0","27.9","23.0","24.0"
"25","25","Michigan St","25.8","27.3","25.0","26.7","24.9","28.0"
"26","26","Wm & Mary","25.8","24.3","17.0","26.5","25.4","26.4"
"27","27","Valparaiso","25.8","19.0","27.0","27.9","23.5","26.6"
"28","28","Ball State","25.8","24.3","24.0","24.7","26.9","25.6"
"29","29","Fairfield","25.7","25.3","21.0","25.9","25.5","24.1"
"30","30","Army","25.6","27.0","31.0","27.2","23.9","26.5"
"31","31","Ohio State","25.6","26.7","22.0","26.1","25.0","25.8"
"32","32","Georgia","25.6","20.3","18.0","25.8","25.4","25.4"
"33","33","Coastal Car","25.6","21.7","21.0","26.5","24.6","25.6"
"34","34","Colorado St","25.6","25.0","27.0","25.2","26.1","25.8"
"35","35","Utah State","25.6","27.3","27.0","28.3","22.9","23.5"
"36","36","IL-Chicago","25.5","26.0","21.0","26.3","24.9","25.2"
"37","37","IPFW","25.5","26.3","23.0","25.6","25.5","24.4"
"38","38","South Dakota","25.5","29.3","23.0","25.8","25.3","22.3"
"39","39","Kansas","25.5","26.0","28.0","26.8","24.3","26.0"
"40","40","Indiana St","25.5","26.0","24.0","23.8","26.8","25.3"
"41","41","E Washingtn","25.5","27.7","24.0","26.6","24.5","22.1"
"42","42","Rice","25.4","24.3","22.0","25.7","25.1","21.8"
"43","43","Oakland","25.4","27.0","28.0","26.9","23.6","25.9"
"44","44","Creighton","25.3","27.0","26.0","25.7","24.9","26.0"
"45","45","N Mex State","25.3","27.7","32.0","24.7","26.1","27.2"
"46","46","E Carolina","25.3","24.0","24.0","26.9","23.4","22.5"
"47","47","Norfolk St","25.3","24.0","25.0","26.6","24.6","21.5"
"48","48","Alabama","25.3","24.0","25.0","26.1","24.5","23.2"
"49","49","LA Tech","25.2","26.7","28.0","26.1","24.2","25.1"
"50","50","Davidson","25.2","25.0","25.0","26.7","24.0","23.6"
"51","51","Marshall","25.2","27.7","21.0","26.0","24.4","25.1"
"52","52","Arizona","25.2","25.7","35.0","25.8","24.5","27.0"
"53","53","Iowa","25.2","23.0","22.0","27.1","22.5","24.5"
"54","54","Savannah St","25.1","26.3","27.0","26.2","24.6","20.5"
"55","55","Utah","25.1","25.7","18.0","26.1","24.1","25.1"
"56","56","TX-Arlington","25.1","24.3","23.0","27.4","23.8","27.0"
"57","57","S Methodist","25.1","24.0","28.0","25.7","24.3","24.7"
"58","58","Louisville","25.1","25.7","27.0","26.5","23.5","24.1"
"59","59","San Fransco","25.1","27.3","24.0","25.5","24.8","24.6"
"60","60","TX-San Ant","25.1","25.7","29.0","26.5","24.1","21.6"
"61","61","TX El Paso","25.1","25.0","33.0","25.2","25.0","25.2"
"62","62","W Illinois","25.0","26.0","28.0","25.4","24.7","24.5"
"63","63","Illinois St","25.0","24.0","26.0","25.9","24.3","22.9"
"64","64","Mississippi","25.0","23.7","29.0","25.7","24.1","23.3"
"65","65","Seton Hall","24.9","19.0","22.0","25.9","24.1","25.7"
"66","66","SC Upstate","24.9","23.3","27.0","23.5","25.7","22.8"
"67","67","Belmont","24.9","22.3","17.0","26.2","23.7","24.7"
"68","68","Grand Canyon","24.8","24.7","28.0","25.0","24.6","24.6"
"69","69","Duke","24.8","22.7","20.0","26.4","23.1","22.4"
"70","70","N Dakota St","24.8","23.3","21.0","25.5","24.4","24.3"
"71","71","Seattle","24.8","22.7","23.0","26.2","23.3","23.3"
"72","72","Iona","24.8","20.0","19.0","24.7","24.8","24.8"
"73","73","Niagara","24.8","25.0","23.0","25.2","24.4","22.8"
"74","74","St Marys","24.8","24.3","21.0","24.1","25.5","25.1"
"75","75","N Hampshire","24.7","24.7","16.0","23.7","25.5","25.4"
"76","76","E Tenn St","24.7","23.3","21.0","24.8","24.7","23.7"
