"","Rank","Team","2014","Last 3","Last 1","Home","Away","2013"
"1","1","Notre Dame","58.3%","54.3%","50.0%","59.5%","56.9%","51.7%"
"2","2","Gonzaga","57.9%","52.4%","46.0%","58.6%","57.5%","55.2%"
"3","3","UC Davis","57.3%","51.7%","44.9%","56.0%","58.3%","49.9%"
"4","4","Duke","56.8%","48.7%","54.0%","60.4%","53.9%","53.8%"
"5","5","Belmont","56.5%","53.4%","54.4%","55.7%","57.0%","57.6%"
"6","6","Wm & Mary","56.3%","49.2%","42.3%","58.3%","55.1%","55.9%"
"7","7","Denver","56.2%","54.0%","36.7%","60.1%","51.5%","54.3%"
"8","8","Colgate","55.9%","56.7%","50.0%","58.2%","54.2%","56.4%"
"9","9","N Iowa","55.9%","48.0%","45.7%","55.5%","56.2%","52.7%"
"10","10","Lafayette","55.8%","57.1%","41.8%","58.0%","53.8%","53.7%"
"11","11","Ste F Austin","55.7%","51.5%","38.2%","56.6%","55.0%","52.3%"
"12","12","Davidson","55.4%","45.3%","38.1%","59.5%","52.1%","54.7%"
"13","13","Villanova","55.3%","56.3%","38.5%","58.2%","53.3%","53.6%"
"14","14","Utah","55.2%","51.1%","38.3%","58.8%","51.7%","53.1%"
"15","15","E Washingtn","55.1%","55.5%","47.7%","58.9%","52.9%","51.9%"
"16","16","Wisconsin","55.0%","58.4%","55.2%","56.3%","54.1%","53.3%"
"17","17","Iona","54.7%","48.7%","38.0%","58.0%","52.9%","57.4%"
"18","18","Central Mich","54.5%","52.1%","47.9%","59.1%","50.4%","49.3%"
"19","19","Northeastrn","54.5%","58.7%","51.8%","56.7%","53.3%","48.0%"
"20","20","Indiana","54.4%","47.0%","50.0%","58.0%","50.2%","49.9%"
"21","21","Vanderbilt","54.4%","57.3%","50.9%","55.6%","53.0%","49.1%"
"22","22","Iowa State","54.3%","45.9%","41.5%","57.6%","51.5%","54.2%"
"23","23","Princeton","54.3%","61.2%","63.3%","54.9%","53.8%","52.7%"
"24","24","Ohio State","54.3%","47.9%","43.3%","59.2%","48.7%","50.3%"
"25","25","Murray St","54.3%","53.4%","42.5%","57.0%","52.2%","53.7%"
"26","26","Sac State","53.9%","55.4%","51.7%","57.1%","51.6%","50.9%"
"27","27","E Kentucky","53.9%","59.8%","57.8%","55.7%","52.2%","56.7%"
"28","28","Montana","53.7%","50.0%","51.8%","54.6%","53.0%","54.7%"
"29","29","N Florida","53.6%","48.7%","56.7%","56.9%","51.9%","49.4%"
"30","30","Air Force","53.6%","54.7%","59.6%","56.1%","51.3%","49.5%"
"31","31","Arizona","53.5%","48.1%","58.1%","55.9%","51.4%","51.7%"
"32","32","American","53.4%","60.9%","59.2%","55.2%","52.5%","55.8%"
"33","33","TN Martin","53.4%","49.4%","55.5%","54.5%","52.8%","48.1%"
"34","34","Idaho","53.4%","50.9%","58.9%","55.3%","51.9%","50.3%"
"35","35","Loyola-Chi","53.3%","55.9%","61.4%","53.5%","53.2%","51.9%"
"36","36","Xavier","53.3%","57.4%","46.1%","55.9%","51.3%","51.7%"
"37","37","IPFW","53.3%","56.9%","56.0%","56.8%","50.7%","55.3%"
"38","38","Boise State","53.2%","51.2%","45.5%","55.8%","51.6%","51.8%"
"39","39","BYU","53.2%","56.1%","61.2%","52.9%","53.5%","50.6%"
"40","40","Michigan St","53.2%","48.0%","46.4%","53.4%","53.1%","54.5%"
"41","41","NC Central","53.2%","58.7%","61.2%","56.7%","51.3%","50.2%"
"42","42","N Colorado","53.0%","47.4%","36.9%","56.4%","50.0%","53.9%"
"43","43","NW State","52.9%","59.0%","52.3%","55.8%","50.7%","51.3%"
"44","44","Dayton","52.9%","54.1%","53.9%","57.3%","49.5%","52.4%"
"45","45","Boston U","52.7%","51.4%","47.3%","52.7%","52.7%","52.3%"
"46","46","Utah State","52.4%","50.9%","53.8%","54.3%","50.6%","51.3%"
