"","Rank","Team","2015","Last 3","Last 1","Home","Away","2014"
"1","1","Old Dominion","1.036","1.032","1.000","1.040","1.033","1.006"
"2","2","N Carolina","1.028","1.069","1.046","1.032","1.025","0.987"
"3","3","Cincinnati","1.015","1.059","0.984","1.029","1.000","0.957"
"4","4","Houston","1.013","1.000","0.940","1.031","0.989","0.971"
"5","5","NC State","1.012","1.014","1.029","1.018","1.005","1.000"
"6","6","Louisville","1.009","1.039","1.084","1.018","0.995","1.005"
"7","7","Towson","1.009","1.058","1.013","1.024","0.998","0.976"
"8","8","Duke","1.007","0.966","0.943","1.035","0.978","0.992"
"9","9","GA Tech","1.006","0.975","0.906","1.019","0.992","0.996"
"10","10","W Virginia","1.006","0.912","0.902","1.064","0.961","1.018"
"11","11","Temple","1.005","1.039","0.972","1.019","0.995","1.015"
"12","12","Florida","1.003","1.009","1.028","1.021","0.989","0.952"
"13","13","LA Lafayette","1.001","1.047","1.112","1.000","1.002","0.946"
"14","14","Kentucky","1.000","0.937","0.902","1.003","0.999","1.014"
"15","15","Iowa","0.997","0.991","0.929","1.008","0.988","0.993"
"16","16","Wichita St","0.997","1.005","0.985","1.027","0.976","1.009"
"17","17","Morehead St","0.997","1.026","1.012","1.020","0.982","0.950"
"18","18","Baylor","0.996","1.000","1.104","1.025","0.960","1.003"
"19","19","Tennessee","0.995","0.986","0.904","0.993","0.996","0.973"
"20","20","S Methodist","0.993","0.955","0.926","1.011","0.971","0.962"
"21","21","Kent State","0.992","1.015","1.064","0.998","0.986","0.983"
"22","22","Texas","0.992","0.990","0.985","0.995","0.989","0.970"
"23","23","Cal Poly","0.991","1.010","1.000","1.030","0.970","1.015"
"24","24","Notre Dame","0.990","0.967","0.965","1.009","0.974","0.966"
"25","25","VCU","0.990","0.972","0.960","1.012","0.971","1.000"
"26","26","Stony Brook","0.990","1.066","1.080","0.991","0.989","1.003"
"27","27","Mississippi","0.989","1.014","1.042","0.988","0.991","0.989"
"28","28","Pittsburgh","0.988","0.958","0.947","1.002","0.969","1.000"
"29","29","Texas A&M","0.988","0.959","1.013","0.999","0.977","0.953"
"30","30","Michigan St","0.987","0.928","0.912","1.000","0.976","0.980"
"31","31","Colorado St","0.987","0.971","1.029","1.019","0.959","0.998"
"32","32","Fresno St","0.987","0.917","0.853","0.995","0.979","0.937"
"33","33","Central Mich","0.986","1.000","0.928","0.968","1.003","0.962"
"34","34","TX-Arlington","0.986","0.953","0.972","0.995","0.979","0.926"
"35","35","Butler","0.985","0.943","1.000","0.976","0.993","0.979"
"36","36","Oregon","0.985","0.981","0.985","0.994","0.977","0.957"
