"","Rank","Team","2013","Last 3","Last 1","Home","Away","2012"
"1","1","VCU","9.6","9.0","8.0","11.0","8.6","11.0"
"2","2","Louisville","8.9","3.3","-1.0","12.2","5.7","8.1"
"3","3","Ste F Austin","8.2","0.0","0.0","12.2","5.7","3.8"
"4","4","Syracuse","7.4","6.7","5.0","8.7","5.9","4.3"
"5","5","LA Tech","6.8","6.0","8.0","10.8","4.2","6.5"
"6","6","Cincinnati","6.4","4.3","7.0","9.2","2.9","3.7"
"7","7","San Diego St","6.3","0.0","3.0","6.7","6.0","1.1"
"8","8","Iowa","4.9","7.3","0.0","4.3","5.6","2.2"
"9","9","Arizona","4.8","3.7","3.0","8.9","1.1","2.3"
"10","10","NC Central","4.7","4.3","3.0","6.8","3.4","-1.1"
"11","11","Toledo","4.5","6.0","3.0","4.4","4.5","0.1"
"12","12","St Bonavent","4.5","3.7","10.0","5.7","3.6","-0.1"
"13","13","S Mississippi","4.5","2.7","5.0","8.2","2.2","3.1"
"14","14","Tennessee","4.4","7.3","12.0","4.8","4.2","0.8"
"15","15","Colorado St","4.4","4.7","2.0","7.4","0.0","5.5"
"16","16","Florida","4.4","5.3","9.0","5.8","3.2","4.4"
"17","17","North Dakota","4.3","12.3","7.0","6.7","3.0","-1.0"
"18","18","Arkansas","4.3","6.3","25.0","5.8","2.4","6.7"
"19","19","Middle Tenn","4.2","-4.7","-7.0","5.0","3.5","4.0"
"20","20","Duke","4.1","2.3","9.0","5.5","2.8","1.4"
"21","21","Wichita St","4.1","-0.7","-1.0","6.8","1.8","4.6"
"22","22","UCLA","4.1","4.0","3.0","5.5","2.7","0.7"
"23","23","N Carolina","4.0","5.0","3.0","5.2","2.8","4.7"
"24","24","Hawaii","4.0","3.0","5.0","5.4","1.6","-0.9"
"25","25","Boise State","3.8","-2.0","1.0","7.8","0.7","3.2"
"26","26","TN Martin","3.7","-0.3","4.0","5.5","2.3","-0.8"
"27","27","Pittsburgh","3.7","2.7","-13.0","3.1","4.3","6.1"
"28","28","W Virginia","3.7","-1.0","-6.0","5.0","2.2","3.5"
"29","29","W Carolina","3.6","5.3","-2.0","6.3","2.3","2.1"
"30","30","Dartmouth","3.5","1.0","-1.0","5.2","1.8","-0.2"
"31","31","Harvard","3.5","-0.7","-1.0","5.0","2.6","-2.7"
"32","32","Alabama St","3.4","0.3","1.0","5.5","2.2","-1.5"
"33","33","Villanova","3.4","2.3","-6.0","6.9","0.3","0.4"
"34","34","Ohio State","3.2","0.0","-3.0","4.1","2.1","4.1"
"35","35","Fordham","3.2","11.3","10.0","5.3","1.2","-2.1"
"36","36","Mississippi","3.1","6.7","-2.0","5.3","0.7","5.3"
"37","37","Tulsa","3.1","0.3","-9.0","4.6","1.9","-2.8"
"38","38","Virginia","3.1","-1.0","6.0","3.2","2.9","1.5"
"39","39","Wofford","3.0","2.3","1.0","4.2","2.4","1.2"
"40","40","Butler","3.0","5.3","2.0","4.9","1.3","0.3"
"41","41","E Kentucky","2.9","-3.3","0.0","5.7","1.3","2.1"
"42","42","Texas","2.9","5.0","4.0","2.6","3.1","-1.5"
"43","43","Marquette","2.8","0.0","-9.0","4.1","1.4","-0.5"
"44","44","Morgan St","2.7","1.7","3.0","5.3","1.4","0.8"
"45","45","Gard-Webb","2.7","4.0","8.0","7.6","0.3","3.4"
"46","46","Morehead St","2.6","4.3","1.0","6.0","0.6","2.9"
"47","47","BYU","2.6","1.7","2.0","4.9","0.8","3.5"
"48","48","Kentucky","2.6","3.3","9.0","3.9","1.5","-0.8"
"49","49","Sam Hous St","2.5","-0.3","8.0","6.6","0.2","3.8"
"50","50","Yale","2.5","5.0","15.0","6.2","0.2","1.0"
"51","51","Stony Brook","2.5","-4.7","-9.0","3.6","1.6","2.2"
