"","Rank","Team","2015","Last 3","Last 1","Home","Away","2014"
"1","1","Citadel","69.1","68.3","56.0","65.2","71.8","47.1"
"2","2","Washington","66.6","66.0","68.0","67.6","65.5","56.4"
"3","3","Marshall","66.2","72.3","74.0","65.3","66.8","56.9"
"4","4","WI-Grn Bay","65.0","55.7","56.0","66.7","64.1","54.4"
"5","5","N Carolina","64.0","60.0","63.0","66.7","62.2","60.7"
"6","6","TX-Arlington","64.0","63.7","67.0","64.4","63.6","57.0"
"7","7","BYU","63.9","60.7","68.0","64.0","63.8","59.0"
"8","8","Maine","63.6","63.7","66.0","64.5","63.0","53.3"
"9","9","Youngs St","63.4","57.3","56.0","63.1","63.6","56.7"
"10","10","Quinnipiac","63.2","59.3","49.0","62.9","63.5","60.4"
"11","11","Army","63.0","57.0","64.0","62.7","63.3","58.6"
"12","12","UCLA","63.0","65.0","68.0","62.8","63.2","58.3"
"13","13","USC","62.9","62.0","52.0","62.5","63.3","58.2"
"14","14","Portland","62.7","60.0","57.0","62.1","63.3","55.3"
"15","15","Charlotte","62.6","62.3","63.0","62.8","62.4","57.9"
"16","16","Memphis","62.5","62.7","56.0","61.1","64.4","57.1"
"17","17","Oakland","62.5","60.0","50.0","63.5","61.9","56.4"
"18","18","Neb Omaha","62.4","62.7","80.0","61.8","62.8","59.4"
"19","19","Coppin State","62.3","61.0","67.0","60.5","63.3","61.3"
"20","20","Arkansas","62.2","58.0","61.0","62.6","61.9","61.0"
"21","21","Jacksonville","62.2","60.7","64.0","62.9","61.8","53.0"
"22","22","Detroit","62.2","70.3","58.0","60.9","63.3","57.0"
"23","23","Tennessee","62.2","58.7","55.0","61.4","63.0","53.3"
"24","24","VCU","62.2","63.3","66.0","61.2","63.1","59.4"
"25","25","Montana St","61.9","61.7","66.0","60.5","62.8","55.3"
"26","26","Alabama St","61.7","57.7","61.0","59.4","62.8","59.4"
"27","27","Iowa State","61.7","56.3","52.0","62.4","61.1","58.0"
"28","28","Monmouth","61.5","64.0","73.0","63.2","60.6","51.6"
"29","29","Stetson","61.4","61.3","61.0","65.4","59.5","54.7"
"30","30","Iowa","61.4","63.7","60.0","61.3","61.6","56.0"
"31","31","Hampton","61.4","53.3","56.0","62.3","61.0","56.0"
"32","32","NC-Wilmgton","61.4","64.0","68.0","58.8","63.1","57.1"
"33","33","LA Lafayette","61.3","64.0","70.0","59.4","62.8","58.2"
"34","34","Davidson","61.3","63.3","62.0","58.3","63.9","60.0"
"35","35","Temple","61.2","64.7","66.0","63.3","59.7","58.1"
"36","36","Loyola Mymt","61.2","60.0","55.0","62.7","60.1","52.0"
"37","37","Lipscomb","61.2","63.0","64.0","62.2","60.4","56.9"
"38","38","New Orleans","61.1","61.7","57.0","60.2","61.6","54.8"
"39","39","Canisius","61.0","61.3","50.0","62.2","60.2","56.5"
"40","40","Iona","60.9","60.3","64.0","60.6","61.1","58.6"
"41","41","F Dickinson","60.9","64.0","70.0","61.7","60.3","56.8"
"42","42","South Dakota","60.9","61.7","62.0","59.4","61.6","58.1"
"43","43","San Fransco","60.9","62.3","62.0","61.3","60.3","53.9"
"44","44","Portland St","60.9","57.7","64.0","61.9","60.1","56.4"
"45","45","Jackson St","60.9","57.0","55.0","60.0","61.3","56.6"
"46","46","Miss Val St","60.8","58.0","63.0","57.8","61.9","59.7"
"47","47","LIU-Brooklyn","60.8","62.7","53.0","61.4","60.3","57.5"
"48","48","Florida","60.7","65.7","65.0","60.9","60.5","53.4"
"49","49","N Florida","60.7","56.3","55.0","60.9","60.5","54.4"
"50","50","Colorado St","60.7","54.0","57.0","60.5","60.8","55.7"
"51","51","Utah Val St","60.6","60.7","56.0","61.1","60.2","50.8"
"52","52","NC State","60.6","65.0","65.0","60.0","61.3","57.1"
"53","53","Fresno St","60.5","53.7","53.0","60.4","60.5","52.3"
"54","54","Chicago St","60.4","59.0","55.0","56.9","62.3","53.5"
"55","55","Xavier","60.4","66.3","54.0","59.8","61.0","54.4"
"56","56","McNeese St","60.4","56.7","69.0","59.0","61.2","59.9"
"57","57","Arkansas St","60.4","55.7","55.0","57.1","63.1","55.8"
"58","58","GA Southern","60.4","59.7","57.0","59.6","60.9","55.4"
"59","59","Gard-Webb","60.4","64.0","78.0","60.0","60.5","57.3"
"60","60","Duquesne","60.4","57.0","53.0","60.3","60.4","57.5"
"61","61","Fairfield","60.3","61.0","66.0","61.1","59.6","50.9"
"62","62","LSU","60.3","62.3","63.0","58.2","62.8","59.5"
"63","63","Elon","60.3","58.7","53.0","60.1","60.4","56.2"
"64","64","NW State","60.2","56.3","54.0","60.9","59.7","63.3"
"65","65","Houston","60.2","55.3","58.0","60.7","59.6","56.1"
"66","66","UNLV","60.2","66.0","63.0","60.5","59.9","54.7"
"67","67","Hofstra","60.2","55.7","57.0","61.7","59.3","59.2"
"68","68","Oklahoma","60.1","60.3","60.0","61.4","59.3","58.1"
"69","69","Akron","60.1","60.7","70.0","60.8","59.6","56.4"
"70","70","LA Tech","60.1","63.0","70.0","58.5","61.6","58.8"
"71","71","Miss State","60.1","61.0","62.0","60.1","60.1","48.6"
"72","72","Florida St","60.1","63.7","59.0","58.2","61.5","50.6"
"73","73","W Virginia","60.1","56.3","52.0","64.1","57.0","61.1"
"74","74","Cincinnati","60.0","66.0","55.0","60.9","59.0","50.1"
"75","75","Nevada","60.0","52.7","56.0","59.1","60.7","54.1"
"76","76","Arizona St","60.0","58.0","61.0","58.4","61.8","53.5"
"77","77","Beth-Cook","60.0","58.3","50.0","57.6","61.0","48.8"
"78","78","Radford","60.0","56.7","61.0","62.0","58.5","56.5"
"79","79","Cal Poly","59.9","55.0","55.0","62.6","58.4","54.7"
"80","80","Fla Gulf Cst","59.9","57.3","58.0","59.6","60.2","57.3"
"81","81","Morgan St","59.9","58.0","63.0","60.5","59.6","60.5"
"82","82","Cornell","59.9","57.7","57.0","59.8","60.0","51.2"
"83","83","Morehead St","59.9","69.3","75.0","59.2","60.3","55.9"
"84","84","S Carolina","59.9","60.7","55.0","61.2","58.3","54.8"
"85","85","Mississippi","59.9","62.0","67.0","59.9","59.8","58.9"
"86","86","Sacred Hrt","59.8","65.3","72.0","59.5","60.0","59.5"
"87","87","St Josephs","59.8","56.3","57.0","60.1","59.5","55.0"
"88","88","Providence","59.8","56.7","57.0","60.2","59.4","55.6"
"89","89","TX-San Ant","59.8","61.3","61.0","61.2","58.8","55.9"
"90","90","GA Tech","59.7","56.7","50.0","60.9","58.4","58.1"
"91","91","Kentucky","59.7","59.3","57.0","59.1","60.2","55.1"
"92","92","Texas A&M","59.7","64.0","64.0","60.6","58.8","53.9"
"93","93","Butler","59.7","54.3","54.0","59.7","59.6","55.4"
"94","94","Mt St Marys","59.6","65.3","56.0","59.2","59.9","54.8"
"95","95","Louisville","59.6","57.3","58.0","60.7","57.8","56.9"
"96","96","IL-Chicago","59.6","58.7","53.0","59.2","59.9","54.5"
"97","97","U Mass","59.5","56.3","57.0","59.7","59.2","55.8"
"98","98","Central Mich","59.5","62.0","61.0","59.2","59.7","55.3"
"99","99","Creighton","59.5","59.0","67.0","58.8","60.2","53.8"
"100","100","Colorado","59.5","64.3","51.0","58.9","59.9","54.7"
"101","101","Stony Brook","59.5","65.3","76.0","56.7","61.7","56.9"
"102","102","Tulane","59.4","60.0","55.0","60.2","58.7","54.4"
"103","103","Buffalo","59.4","61.3","59.0","58.0","60.5","58.2"
"104","104","Michigan St","59.4","54.7","54.0","59.1","59.6","55.9"
"105","105","UAB","59.3","65.3","60.0","57.7","60.8","56.1"
"106","106","Duke","59.3","54.3","59.0","61.4","57.3","56.2"
"107","107","VA Military","59.3","63.3","65.0","58.4","59.9","67.4"
"108","108","Lamar","59.2","57.3","54.0","57.3","60.8","53.4"
"109","109","Central Ark","59.1","52.7","57.0","58.1","59.7","52.6"
"110","110","Princeton","59.0","63.0","72.0","57.3","60.3","48.1"
"111","111","Kennesaw St","59.0","55.7","54.0","60.2","58.2","55.1"
"112","112","Wagner","59.0","61.0","61.0","57.4","60.5","60.1"
"113","113","Geo Mason","59.0","63.0","65.0","60.1","58.0","53.3"
"114","114","NC-Grnsboro","58.9","60.7","64.0","55.2","61.6","57.1"
"115","115","IPFW","58.9","61.3","61.0","61.1","57.8","51.0"
"116","116","St Bonavent","58.9","63.3","62.0","57.5","60.6","55.6"
"117","117","Valparaiso","58.9","56.7","59.0","57.8","59.8","53.5"
"118","118","Lg Beach St","58.9","62.3","73.0","57.6","59.5","55.2"
"119","119","SC Upstate","58.9","60.3","57.0","59.9","57.9","57.4"
"120","120","SE Missouri","58.9","59.3","58.0","58.7","58.9","55.9"
"121","121","Oregon","58.8","57.3","54.0","59.6","58.1","58.9"
"122","122","Seton Hall","58.8","57.7","62.0","57.9","59.6","56.3"
"123","123","E Tenn St","58.8","66.3","68.0","57.5","59.5","55.6"
"124","124","Central Conn","58.8","60.3","63.0","60.3","57.3","54.0"
"125","125","Toledo","58.7","53.7","53.0","59.2","58.3","55.7"
"126","126","Auburn","58.7","57.0","57.0","59.2","58.2","53.4"
"127","127","E Michigan","58.7","58.3","58.0","57.4","59.8","55.2"
"128","128","Charl South","58.7","63.7","59.0","63.2","55.6","58.7"
"129","129","Rutgers","58.6","55.7","56.0","60.7","56.1","54.7"
