"","Rank","Team","2014","Last 3","Last 1","Home","Away","2013"
"1","1","NW State","29.2","30.7","28.0","30.8","28.1","30.3"
"2","2","N Carolina","28.9","26.7","26.0","29.1","28.8","28.0"
"3","3","Duke","28.3","22.3","26.0","31.2","26.1","26.5"
"4","4","Gonzaga","28.2","27.0","22.0","28.9","27.7","26.5"
"5","5","Davidson","27.9","23.0","21.0","29.1","26.9","26.8"
"6","6","Iowa State","27.6","25.3","24.0","28.9","26.6","29.5"
"7","7","Notre Dame","27.6","26.0","26.0","29.2","26.1","26.2"
"8","8","Ohio State","27.5","23.7","20.0","29.6","25.1","24.1"
"9","9","E Washingtn","27.2","27.3","26.0","28.2","26.6","25.7"
"10","10","BYU","27.2","28.7","28.0","27.1","27.3","29.0"
"11","11","Arkansas","27.2","23.3","24.0","28.9","25.2","27.3"
"12","12","Indiana","27.1","24.3","24.0","28.1","25.9","24.4"
"13","13","Oregon","27.1","24.3","26.0","27.8","26.5","27.3"
"14","14","Iona","27.1","26.3","24.0","27.0","27.2","28.7"
"15","15","Murray St","27.1","25.0","20.0","28.9","25.7","26.2"
"16","16","LSU","27.0","25.3","24.0","27.6","26.4","27.0"
"17","17","Sacred Hrt","26.9","31.3","30.0","26.1","27.5","24.5"
"18","18","Charlotte","26.8","25.7","21.0","27.8","26.2","25.4"
"19","19","Ste F Austin","26.8","24.3","17.0","27.2","26.6","26.1"
"20","20","Arizona","26.6","23.0","24.0","28.2","25.2","26.2"
"21","21","N Colorado","26.5","24.7","20.0","28.0","25.3","26.2"
"22","22","Hofstra","26.5","30.3","27.0","26.9","26.3","22.7"
"23","23","Minnesota","26.5","27.7","28.0","28.6","24.1","24.1"
"24","24","Idaho","26.5","23.3","28.0","27.6","25.6","24.4"
"25","25","LA Tech","26.3","28.7","22.0","26.5","26.1","27.7"
"26","26","Lafayette","26.3","23.7","21.0","27.3","25.4","25.1"
"27","27","Neb Omaha","26.2","27.7","27.0","26.6","25.9","26.8"
"28","28","Toledo","26.2","24.0","24.0","26.2","26.1","27.0"
"29","29","VA Military","26.1","25.0","22.0","26.0","26.2","29.7"
"30","30","Michigan St","26.0","23.3","22.0","26.9","25.3","26.9"
"31","31","LA Lafayette","26.0","26.0","24.0","26.2","25.9","27.3"
"32","32","Incarnate Word","25.9","26.0","25.0","26.8","25.3","26.6"
"33","33","Xavier","25.8","23.7","22.0","28.1","24.1","25.6"
"34","34","UCLA","25.8","27.0","26.0","28.1","23.8","29.0"
"35","35","Belmont","25.8","26.3","27.0","24.4","26.8","26.9"
"36","36","Kentucky","25.8","25.0","26.0","27.6","24.1","25.1"
"37","37","Alabama St","25.8","26.0","19.0","24.7","26.4","23.8"
"38","38","Army","25.6","21.0","19.0","26.6","24.7","25.9"
"39","39","Oakland","25.6","28.3","34.0","25.9","25.4","24.7"
"40","40","Duquesne","25.6","24.3","19.0","27.1","24.1","25.0"
"41","41","Villanova","25.4","26.3","19.0","26.4","24.8","25.6"
"42","42","Buffalo","25.4","24.0","20.0","28.0","23.6","25.0"
"43","43","Wisconsin","25.4","24.7","23.0","25.7","25.1","24.4"
"44","44","Georgia St","25.4","21.0","26.0","26.8","24.5","26.3"
"45","45","High Point","25.3","22.7","23.0","24.5","25.8","25.2"
"46","46","Oklahoma","25.3","22.3","20.0","28.7","22.7","27.5"
"47","47","Hawaii","25.3","25.0","23.0","25.8","24.7","27.3"
"48","48","Central Mich","25.2","29.0","32.0","26.0","24.5","23.6"
