"","Rank","Team","2015","Last 3","Last 1","Home","Away","2014"
"1","1","N Carolina","55.8%","61.3%","50.0%","56.7%","55.1%","53.4%"
"2","2","S Methodist","54.9%","50.6%","39.8%","57.3%","51.8%","52.8%"
"3","3","Kentucky","54.2%","50.7%","45.6%","55.9%","52.8%","55.0%"
"4","4","Duke","53.7%","53.0%","45.3%","56.0%","51.3%","55.9%"
"5","5","Virginia","53.6%","54.2%","41.9%","55.3%","52.5%","52.4%"
"6","6","Indiana","53.5%","54.0%","50.6%","57.7%","49.7%","51.6%"
"7","7","W Virginia","53.5%","44.2%","39.6%","56.1%","51.4%","49.8%"
"8","8","Arizona","53.4%","48.0%","38.5%","56.7%","49.8%","55.4%"
"9","9","Houston","53.3%","50.3%","46.0%","55.3%","50.8%","44.7%"
"10","10","Louisville","53.3%","43.7%","37.2%","55.3%","50.1%","50.1%"
"11","11","Baylor","53.1%","49.3%","53.4%","55.2%","50.5%","50.7%"
"12","12","St Marys","53.1%","43.7%","32.3%","55.5%","49.5%","50.3%"
"13","13","Michigan St","53.1%","48.0%","53.0%","53.4%","52.8%","50.4%"
"14","14","Kansas","53.0%","49.4%","42.0%","55.2%","51.3%","50.3%"
"15","15","Notre Dame","52.9%","53.6%","58.0%","55.3%","51.0%","55.1%"
"16","16","Oakland","52.9%","52.5%","45.8%","53.6%","52.5%","49.6%"
"17","17","Butler","52.9%","46.4%","50.6%","55.6%","50.3%","50.1%"
"18","18","Oregon","52.9%","50.3%","50.2%","53.9%","52.0%","49.5%"
"19","19","Miami (FL)","52.7%","50.9%","51.8%","53.1%","52.3%","48.4%"
"20","20","Ste F Austin","52.7%","53.8%","54.2%","54.5%","51.8%","53.3%"
"21","21","Gonzaga","52.7%","46.9%","40.4%","52.3%","52.9%","55.5%"
"22","22","Yale","52.4%","52.9%","48.7%","55.0%","50.8%","48.5%"
"23","23","Pittsburgh","52.3%","46.8%","36.5%","55.3%","48.2%","51.1%"
"24","24","High Point","52.2%","48.3%","42.1%","55.4%","50.0%","50.1%"
"25","25","Neb Omaha","52.2%","54.6%","56.4%","51.5%","52.6%","49.2%"
"26","26","Albany","52.1%","49.7%","49.0%","53.7%","50.8%","49.1%"
"27","27","Villanova","52.1%","56.1%","54.7%","53.4%","51.2%","52.5%"
"28","28","Purdue","52.0%","48.6%","45.6%","54.6%","49.3%","50.1%"
"29","29","Old Dominion","52.0%","52.5%","51.4%","54.9%","50.1%","49.2%"
"30","30","LA Lafayette","51.8%","53.8%","44.9%","54.5%","49.7%","49.4%"
"31","31","Stony Brook","51.8%","49.6%","37.3%","54.5%","49.7%","47.7%"
"32","32","Xavier","51.8%","46.2%","44.4%","54.1%","49.8%","51.5%"
"33","33","LSU","51.8%","44.9%","25.9%","56.9%","45.9%","48.8%"
"34","34","Iowa State","51.7%","53.1%","47.4%","52.2%","51.2%","51.7%"
"35","35","NC State","51.6%","51.3%","59.3%","53.5%","49.4%","50.3%"
"36","36","Utah","51.6%","44.7%","39.2%","55.0%","48.6%","52.1%"
"37","37","Evansville","51.6%","47.9%","43.2%","53.3%","50.1%","50.3%"
"38","38","Geo Wshgtn","51.5%","52.3%","51.9%","54.0%","49.0%","50.3%"
"39","39","Richmond","51.5%","43.6%","35.1%","53.2%","49.8%","48.4%"
"40","40","Florida St","51.3%","53.7%","47.2%","52.8%","50.2%","48.3%"
"41","41","Creighton","51.3%","54.1%","50.7%","53.8%","48.3%","47.3%"
"42","42","Detroit","51.2%","53.6%","48.3%","53.3%","49.6%","46.5%"
"43","43","BYU","51.2%","47.6%","39.8%","52.4%","50.0%","52.5%"
"44","44","Fla Gulf Cst","51.2%","54.3%","48.2%","52.1%","50.3%","48.3%"
"45","45","NC-Wilmgton","51.2%","52.9%","51.4%","51.6%","50.9%","48.3%"
"46","46","Wm & Mary","51.1%","47.7%","43.4%","51.9%","50.5%","50.2%"
"47","47","St Josephs","51.1%","54.5%","44.0%","51.1%","51.1%","44.9%"
"48","48","E Washingtn","51.1%","48.0%","44.0%","54.6%","49.2%","51.6%"
"49","49","W Kentucky","51.1%","58.3%","55.7%","51.1%","51.0%","47.5%"
"50","50","GA Tech","51.0%","51.6%","44.0%","52.8%","49.0%","46.8%"
"51","51","UAB","51.0%","47.6%","43.9%","54.3%","48.1%","47.2%"
"52","52","Texas A&M","51.0%","49.5%","41.4%","52.9%","49.2%","49.5%"
"53","53","Iowa","51.0%","45.1%","45.1%","53.3%","49.1%","50.4%"
"54","54","Pepperdine","51.0%","53.1%","48.7%","53.0%","49.8%","46.5%"
"55","55","VCU","51.0%","50.0%","48.6%","54.0%","48.4%","49.0%"
"56","56","Chattanooga","51.0%","49.6%","49.7%","55.0%","48.6%","49.3%"
"57","57","California","51.0%","48.6%","45.7%","54.2%","47.4%","47.0%"
"58","58","Grand Canyon","50.9%","48.2%","40.7%","53.1%","48.3%","48.8%"
"59","59","VA Tech","50.9%","53.0%","48.2%","52.9%","48.5%","46.4%"
"60","60","S Dakota St","50.9%","46.1%","46.8%","53.9%","49.3%","49.8%"
"61","61","Maryland","50.9%","49.2%","43.6%","53.1%","49.0%","48.6%"
"62","62","Siena","50.8%","51.9%","47.9%","52.3%","49.7%","49.7%"
"63","63","Kent State","50.8%","47.6%","51.1%","53.1%","48.6%","48.4%"
"64","64","USC","50.8%","52.2%","49.5%","53.0%","48.2%","45.8%"
"65","65","Hawaii","50.7%","46.3%","41.4%","52.0%","49.2%","48.3%"
"66","66","Towson","50.7%","47.3%","47.1%","52.4%","49.5%","49.0%"
"67","67","TX Southern","50.6%","52.3%","51.4%","54.3%","49.2%","49.4%"
"68","68","WI-Grn Bay","50.6%","49.1%","37.5%","52.3%","49.6%","50.4%"
"69","69","Belmont","50.6%","49.9%","50.1%","52.9%","49.3%","48.6%"
"70","70","Hofstra","50.6%","47.3%","48.9%","50.5%","50.5%","51.6%"
"71","71","Arkansas","50.5%","45.2%","44.1%","53.5%","47.0%","51.4%"
"72","72","UCLA","50.5%","46.3%","43.6%","51.9%","48.9%","50.0%"
"73","73","St Bonavent","50.5%","50.3%","48.1%","51.8%","49.0%","48.6%"
"74","74","Princeton","50.5%","47.4%","43.7%","54.2%","47.8%","47.9%"
"75","75","Vermont","50.5%","47.8%","46.0%","52.6%","49.0%","49.1%"
"76","76","Austin Peay","50.5%","54.2%","51.1%","52.5%","49.4%","45.4%"
"77","77","LA Tech","50.4%","45.7%","45.5%","51.5%","49.4%","49.5%"
"78","78","Columbia","50.4%","51.0%","45.2%","50.3%","50.6%","46.1%"
"79","79","WI-Milwkee","50.4%","49.6%","37.8%","52.7%","49.1%","45.5%"
"80","80","Texas Tech","50.4%","47.6%","41.5%","51.8%","48.6%","46.1%"
"81","81","Morehead St","50.3%","51.0%","49.1%","53.2%","48.5%","48.0%"
"82","82","S Carolina","50.2%","49.5%","45.3%","52.0%","48.0%","46.5%"
"83","83","N Mex State","50.2%","48.6%","42.1%","53.4%","47.3%","51.5%"
"84","84","Bucknell","50.2%","47.0%","47.6%","50.5%","49.9%","49.2%"
"85","85","Winthrop","50.2%","46.9%","43.5%","52.1%","48.7%","48.3%"
"86","86","E Kentucky","50.2%","49.4%","53.1%","52.7%","47.5%","47.2%"
"87","87","Toledo","50.1%","42.5%","39.3%","52.3%","48.4%","52.5%"
"88","88","Vanderbilt","50.1%","41.9%","37.5%","53.3%","47.2%","50.7%"
"89","89","Colorado St","50.1%","49.9%","38.8%","52.9%","47.7%","51.2%"
"90","90","E Michigan","50.1%","48.7%","44.7%","53.1%","47.7%","47.1%"
"91","91","Ohio","50.1%","48.3%","45.2%","51.0%","49.0%","45.4%"
"92","92","Cincinnati","50.0%","50.3%","53.6%","54.4%","45.3%","48.8%"
"93","93","CS Bakersfld","50.0%","47.4%","46.7%","52.6%","48.2%","46.6%"
"94","94","Wichita St","50.0%","45.5%","40.7%","53.8%","47.3%","51.4%"
"95","95","Portland St","50.0%","54.2%","51.1%","51.7%","48.7%","48.5%"
"96","96","TN State","49.9%","49.2%","38.6%","50.9%","49.3%","41.4%"
"97","97","N Florida","49.9%","46.4%","38.7%","52.5%","47.9%","49.5%"
"98","98","Tulsa","49.9%","50.2%","46.3%","50.3%","49.6%","47.6%"
"99","99","New Mexico","49.9%","43.4%","41.8%","52.9%","46.9%","47.4%"
"100","100","Weber State","49.9%","43.9%","39.2%","52.3%","48.6%","46.5%"
"101","101","TN Tech","49.8%","49.8%","45.6%","53.3%","47.0%","48.7%"
"102","102","Seton Hall","49.8%","44.7%","35.4%","50.7%","49.0%","47.9%"
"103","103","Texas","49.8%","47.4%","50.3%","50.7%","48.8%","48.8%"
"104","104","Marquette","49.8%","53.3%","49.3%","50.3%","49.0%","46.6%"
"105","105","Michigan","49.7%","43.2%","43.0%","51.9%","48.0%","46.0%"
"106","106","Washington","49.7%","51.1%","48.5%","51.2%","48.0%","48.1%"
"107","107","Boise State","49.7%","49.1%","55.8%","52.5%","47.3%","49.1%"
"108","108","Marshall","49.7%","53.2%","51.4%","50.9%","48.9%","42.6%"
"109","109","Florida Intl","49.7%","47.5%","53.5%","50.7%","48.8%","44.9%"
"110","110","Nebraska","49.6%","52.5%","50.8%","50.7%","48.5%","44.7%"
"111","111","Florida","49.6%","51.8%","49.9%","53.2%","46.7%","46.5%"
"112","112","Kansas St","49.6%","50.4%","43.7%","53.0%","46.0%","48.3%"
"113","113","Oral Roberts","49.6%","53.4%","51.6%","50.2%","49.3%","49.1%"
"114","114","TX El Paso","49.6%","55.3%","53.8%","50.7%","48.3%","50.5%"
"115","115","LIU-Brooklyn","49.5%","52.9%","49.4%","49.0%","50.0%","45.3%"
