"","Rank","Team","2014","Last 3","Last 1","Home","Away","2013"
"1","1","Illinois","79.4%","74.0%","81.8%","81.3%","77.0%","73.3%"
"2","2","E Kentucky","78.0%","78.9%","50.0%","79.1%","77.1%","75.5%"
"3","3","Quinnipiac","77.4%","79.2%","68.0%","77.6%","77.2%","71.6%"
"4","4","Mississippi","77.3%","72.5%","60.0%","76.8%","77.8%","69.6%"
"5","5","Drake","76.9%","83.3%","93.8%","76.8%","77.0%","71.5%"
"6","6","BYU","76.8%","74.2%","70.4%","76.0%","77.4%","69.1%"
"7","7","Oregon","76.7%","80.0%","71.4%","76.6%","76.8%","77.2%"
"8","8","Lafayette","76.6%","85.7%","85.7%","78.1%","74.9%","75.6%"
"9","9","Citadel","76.6%","88.5%","88.0%","80.6%","73.9%","71.2%"
"10","10","Denver","76.6%","74.5%","70.8%","80.3%","70.8%","70.9%"
"11","11","Cal St Nrdge","76.6%","74.7%","81.5%","78.8%","74.4%","79.0%"
"12","12","Wisconsin","76.6%","80.3%","81.8%","77.0%","76.2%","74.6%"
"13","13","Albany","75.8%","78.0%","60.0%","76.3%","75.3%","75.0%"
"14","14","Maryland","75.6%","74.0%","69.2%","74.3%","77.4%","67.9%"
"15","15","N Arizona","75.4%","80.0%","81.2%","76.9%","74.1%","71.4%"
"16","16","NW State","75.2%","74.0%","83.3%","76.9%","74.0%","73.8%"
"17","17","Bryant","75.0%","82.9%","69.2%","77.5%","72.6%","70.5%"
"18","18","Michigan","74.9%","75.0%","0.0%","72.9%","77.7%","76.3%"
"19","19","Evansville","74.8%","78.1%","74.1%","77.2%","71.7%","71.4%"
"20","20","Cornell","74.8%","72.1%","81.0%","76.6%","73.2%","66.7%"
"21","21","Miami (FL)","74.6%","77.0%","72.7%","74.7%","74.6%","68.7%"
"22","22","Weber State","74.6%","74.0%","77.8%","75.0%","74.3%","74.2%"
"23","23","Rice","74.5%","81.6%","81.2%","73.0%","76.0%","64.3%"
"24","24","Iowa","74.4%","76.5%","70.0%","74.1%","74.8%","73.5%"
"25","25","Drexel","74.3%","71.4%","61.9%","75.5%","73.5%","70.9%"
"26","26","Portland St","74.3%","66.7%","62.5%","77.0%","72.0%","73.3%"
"27","27","Toledo","74.2%","69.6%","68.4%","74.7%","73.8%","73.1%"
"28","28","Santa Clara","74.2%","83.3%","80.0%","73.7%","74.7%","73.4%"
"29","29","Notre Dame","74.2%","78.0%","76.9%","73.9%","74.5%","71.8%"
"30","30","Pepperdine","74.2%","62.5%","52.9%","76.2%","71.9%","70.0%"
"31","31","Oklahoma","74.1%","80.4%","87.5%","68.6%","77.8%","74.9%"
"32","32","UC Davis","74.1%","74.5%","91.7%","74.2%","73.9%","68.9%"
"33","33","Missouri St","74.0%","66.1%","69.6%","74.9%","73.3%","70.6%"
"34","34","Sac State","73.9%","74.1%","76.5%","72.7%","75.0%","73.6%"
"35","35","IL-Chicago","73.9%","71.2%","69.6%","78.3%","70.0%","71.4%"
"36","36","S Carolina","73.9%","72.1%","75.0%","77.2%","70.0%","70.6%"
"37","37","High Point","73.8%","79.1%","72.2%","78.9%","70.8%","74.4%"
"38","38","UAB","73.7%","66.7%","50.0%","77.4%","69.1%","65.6%"
"39","39","NC-Asheville","73.7%","75.3%","76.5%","75.4%","72.7%","74.6%"
"40","40","Incarnate Word","73.5%","66.1%","66.7%","76.6%","71.6%","70.2%"
"41","41","WI-Milwkee","73.5%","74.7%","100.0%","73.1%","73.9%","73.3%"
"42","42","Ohio","73.5%","86.0%","75.0%","71.8%","75.6%","71.7%"
"43","43","Ste F Austin","73.4%","83.8%","84.6%","73.2%","73.5%","71.4%"
"44","44","UCSB","73.4%","72.4%","61.1%","75.8%","72.0%","71.3%"
"45","45","Northwestern","73.3%","72.5%","68.8%","73.0%","73.9%","70.0%"
"46","46","N Iowa","73.3%","86.0%","84.6%","71.8%","74.7%","72.2%"
"47","47","Villanova","73.1%","78.2%","91.3%","72.6%","73.5%","71.6%"
"48","48","Georgia St","73.1%","63.9%","69.2%","74.7%","72.0%","77.8%"
"49","49","Xavier","73.0%","79.0%","81.2%","71.6%","74.0%","68.8%"
"50","50","Oklahoma St","73.0%","66.7%","69.2%","74.1%","71.9%","71.9%"
"51","51","South Dakota","73.0%","71.6%","60.0%","76.7%","71.3%","75.7%"
"52","52","Houston Bap","72.9%","72.1%","56.2%","78.7%","68.2%","67.8%"
"53","53","Wm & Mary","72.9%","70.7%","75.0%","72.4%","73.2%","69.0%"
"54","54","Kennesaw St","72.8%","85.0%","81.8%","74.8%","71.3%","65.2%"
"55","55","Abilene Christian","72.8%","86.7%","77.8%","74.2%","71.8%","74.6%"
