"","Rank","Team","2012","Last 3","Last 1","Home","Away","2011"
"1","1","Villanova","32.7%","23.0%","22.0%","35.4%","30.5%","27.5%"
"2","2","Harvard","32.6%","32.6%","25.1%","35.8%","29.8%","28.8%"
"3","3","Tulane","32.4%","33.1%","35.2%","35.7%","28.7%","28.2%"
"4","4","New Mexico","31.7%","25.0%","31.4%","36.2%","27.4%","27.1%"
"5","5","N Mex State","31.3%","35.2%","15.6%","31.1%","31.6%","34.5%"
"6","6","Colorado St","31.3%","30.1%","29.9%","34.0%","29.0%","29.2%"
"7","7","Indiana","31.3%","29.7%","31.6%","32.5%","29.9%","30.8%"
"8","8","LIU-Brooklyn","31.0%","27.0%","18.6%","34.6%","28.9%","32.9%"
"9","9","Ball State","30.8%","40.8%","23.8%","33.4%","28.1%","27.6%"
"10","10","Saint Louis","30.8%","31.6%","29.7%","30.7%","30.9%","25.8%"
"11","11","Arkansas St","30.7%","36.1%","32.8%","32.0%","29.6%","28.4%"
"12","12","W Michigan","30.5%","22.6%","15.5%","33.7%","28.3%","27.9%"
"13","13","Vermont","30.4%","23.1%","18.6%","32.7%","28.8%","26.5%"
"14","14","Kent State","30.4%","34.8%","40.4%","31.2%","29.6%","25.3%"
"15","15","S Alabama","30.4%","24.4%","24.6%","29.8%","30.8%","25.8%"
"16","16","Charlotte","30.1%","29.2%","23.3%","31.9%","28.5%","27.3%"
"17","17","Marshall","29.9%","29.1%","24.4%","32.0%","28.0%","27.1%"
"18","18","Chattanooga","29.9%","42.6%","37.1%","29.8%","30.0%","26.6%"
"19","19","Richmond","29.9%","31.4%","23.5%","33.8%","25.8%","28.1%"
"20","20","NC Central","29.9%","30.6%","33.0%","33.6%","27.6%","30.0%"
"21","21","Jksnville St","29.7%","28.8%","34.7%","33.5%","27.2%","28.6%"
"22","22","Wake Forest","29.6%","28.2%","27.5%","32.3%","26.8%","28.5%"
"23","23","Lipscomb","29.5%","28.7%","26.5%","29.7%","29.3%","24.3%"
"24","24","Georgia","29.4%","35.3%","37.4%","32.9%","24.6%","22.8%"
"25","25","TX El Paso","29.4%","31.5%","27.1%","31.5%","27.3%","26.9%"
"26","26","Manhattan","29.4%","38.5%","23.1%","28.2%","30.0%","27.2%"
"27","27","Iowa","29.3%","23.9%","20.9%","31.0%","27.4%","27.5%"
"28","28","Tulsa","29.3%","29.1%","33.0%","33.4%","26.6%","30.5%"
"29","29","Delaware","29.3%","34.2%","21.3%","27.7%","30.4%","30.1%"
"30","30","Tennessee","29.3%","20.4%","29.4%","30.8%","27.7%","26.8%"
"31","31","Nevada","29.2%","28.5%","30.0%","29.4%","28.9%","30.1%"
"32","32","Oakland","29.1%","28.9%","26.1%","28.8%","29.2%","29.9%"
"33","33","Yale","29.1%","39.9%","43.5%","32.0%","27.6%","29.1%"
"34","34","Gonzaga","29.1%","27.1%","34.1%","29.3%","28.9%","31.5%"
"35","35","Loyola-MD","29.0%","29.5%","16.9%","30.0%","28.2%","29.7%"
"36","36","Indiana St","29.0%","22.4%","15.4%","34.4%","25.5%","26.9%"
"37","37","Kentucky","29.0%","27.8%","29.5%","30.5%","27.0%","29.7%"
"38","38","NC State","28.9%","25.2%","21.9%","32.1%","25.9%","26.1%"
"39","39","Quinnipiac","28.8%","31.5%","34.7%","27.9%","29.5%","27.4%"
"40","40","North Texas","28.7%","29.9%","31.4%","32.8%","25.1%","24.6%"
"41","41","AR Lit Rock","28.7%","39.4%","36.1%","32.3%","25.3%","28.7%"
"42","42","Southern","28.6%","32.5%","27.8%","25.9%","29.8%","26.0%"
"43","43","Oklahoma St","28.6%","29.6%","20.0%","27.9%","29.4%","27.4%"
"44","44","Minnesota","28.6%","24.8%","29.8%","29.1%","28.0%","26.6%"
"45","45","Middle Tenn","28.6%","30.6%","11.0%","28.8%","28.4%","31.7%"
"46","46","W Virginia","28.5%","18.5%","24.2%","31.6%","26.1%","27.7%"
"47","47","Duke","28.5%","37.6%","36.3%","28.5%","28.4%","31.5%"
"48","48","Mississippi","28.5%","20.8%","25.1%","31.6%","25.4%","29.3%"
"49","49","Xavier","28.4%","31.8%","29.1%","30.3%","26.7%","28.8%"
"50","50","NW State","28.4%","25.7%","15.9%","27.3%","29.1%","28.8%"
"51","51","Colorado","28.4%","31.0%","17.6%","30.7%","26.4%","29.6%"
"52","52","NC A&T","28.4%","21.0%","13.7%","29.1%","28.0%","25.6%"
"53","53","Louisville","28.3%","39.3%","39.7%","25.3%","30.4%","25.6%"
"54","54","Montana","28.3%","20.8%","15.8%","32.3%","25.6%","27.9%"
"55","55","Marquette","28.3%","27.5%","22.0%","33.0%","24.3%","28.8%"
"56","56","NJIT","28.1%","33.7%","19.9%","32.1%","24.9%","22.5%"
"57","57","Boston Col","28.0%","25.9%","31.8%","28.6%","27.4%","23.2%"
"58","58","Central FL","28.0%","29.2%","21.9%","29.3%","25.9%","28.0%"
"59","59","Valparaiso","27.9%","27.7%","20.5%","27.0%","28.9%","29.0%"
"60","60","Davidson","27.9%","26.6%","33.0%","29.6%","26.9%","26.8%"
"61","61","WI-Grn Bay","27.9%","19.5%","17.9%","31.9%","24.0%","22.7%"
"62","62","Ste F Austin","27.9%","29.3%","17.8%","30.4%","26.2%","26.9%"
"63","63","Utah State","27.9%","31.0%","36.0%","31.5%","23.5%","28.1%"
"64","64","Houston","27.8%","21.7%","25.0%","27.6%","28.1%","23.3%"
"65","65","St Bonavent","27.8%","29.3%","27.9%","30.2%","25.5%","28.7%"
"66","66","Wyoming","27.8%","20.9%","24.6%","29.2%","26.2%","26.8%"
"67","67","Beth-Cook","27.8%","30.0%","31.5%","31.1%","26.0%","26.0%"
"68","68","Weber State","27.7%","26.7%","25.1%","28.1%","27.4%","27.1%"
"69","69","Niagara","27.7%","24.5%","23.2%","32.2%","23.9%","26.7%"
"70","70","Central Mich","27.7%","21.5%","17.9%","31.6%","25.4%","23.8%"
"71","71","Texas","27.7%","27.6%","20.3%","30.9%","24.6%","30.0%"
"72","72","Nicholls St","27.6%","28.7%","33.7%","31.4%","25.7%","25.1%"
"73","73","E Carolina","27.6%","29.4%","20.0%","30.1%","24.6%","25.0%"
"74","74","Towson","27.6%","32.7%","28.3%","26.3%","28.3%","26.3%"
"75","75","Norfolk St","27.6%","32.7%","34.6%","30.4%","26.1%","29.0%"
"76","76","Albany","27.6%","22.5%","22.3%","26.7%","28.2%","26.2%"
"77","77","Cal St Nrdge","27.5%","28.0%","34.1%","28.1%","27.1%","26.3%"
"78","78","Wagner","27.5%","28.3%","28.0%","27.4%","27.5%","27.5%"
"79","79","S Methodist","27.5%","28.9%","34.8%","30.9%","25.0%","25.0%"
"80","80","TX Christian","27.5%","27.7%","31.5%","29.2%","25.4%","27.3%"
"81","81","W Illinois","27.4%","25.6%","17.5%","28.0%","26.9%","23.8%"
"82","82","Florida St","27.4%","29.5%","21.2%","28.6%","26.0%","23.8%"
"83","83","Jackson St","27.4%","33.2%","34.6%","24.0%","28.7%","23.0%"
"84","84","Kansas","27.3%","24.3%","11.8%","25.7%","28.7%","28.1%"
"85","85","Geo Wshgtn","27.3%","28.3%","25.1%","31.1%","24.0%","20.8%"
"86","86","Dayton","27.2%","30.4%","23.1%","28.7%","25.4%","24.1%"
"87","87","Marist","27.2%","35.7%","21.6%","30.6%","24.7%","28.7%"
"88","88","TN State","27.2%","15.2%","7.6%","32.4%","24.1%","27.9%"
"89","89","Pittsburgh","27.2%","21.9%","25.5%","28.8%","25.2%","23.4%"
"90","90","Miss Val St","27.2%","25.8%","42.1%","30.3%","25.7%","24.9%"
"91","91","Northeastrn","27.1%","28.7%","18.3%","25.8%","28.2%","25.5%"
"92","92","Murray St","27.1%","24.6%","19.1%","28.5%","26.1%","30.4%"
"93","93","Montana St","27.1%","25.2%","19.7%","29.7%","24.6%","25.3%"
"94","94","TX-Pan Am","27.0%","41.6%","49.4%","31.6%","24.4%","23.5%"
"95","95","Pacific","27.0%","26.0%","15.2%","28.1%","26.2%","25.3%"
"96","96","Hofstra","26.9%","17.7%","20.0%","27.5%","26.4%","29.8%"
"97","97","Stony Brook","26.9%","25.6%","24.6%","30.7%","24.9%","23.0%"
"98","98","Liberty","26.9%","31.7%","25.4%","27.1%","26.8%","24.9%"
"99","99","Sac State","26.9%","23.5%","31.9%","30.9%","23.8%","26.2%"
"100","100","Butler","26.9%","25.5%","23.6%","28.7%","25.6%","28.4%"
"101","101","Toledo","26.9%","30.0%","29.2%","28.9%","25.4%","27.1%"
"102","102","IPFW","26.9%","24.3%","14.1%","26.6%","27.0%","25.6%"
"103","103","Morgan St","26.8%","25.4%","23.7%","26.2%","27.1%","27.7%"
"104","104","Miss State","26.8%","28.8%","19.9%","28.3%","25.8%","23.9%"
"105","105","App State","26.8%","21.6%","20.6%","27.9%","26.0%","26.4%"
"106","106","St Marys","26.7%","22.7%","18.0%","28.9%","24.8%","27.7%"
"107","107","Providence","26.7%","28.2%","10.7%","28.6%","24.4%","28.2%"
"108","108","Fresno St","26.7%","24.8%","33.7%","27.9%","25.8%","26.4%"
"109","109","Sam Hous St","26.7%","23.0%","26.0%","28.4%","25.8%","27.1%"
"110","110","VA Tech","26.7%","21.9%","14.9%","27.4%","25.9%","24.4%"
"111","111","Col Charlestn","26.7%","33.0%","31.6%","26.4%","27.0%","27.5%"
"112","112","South Dakota","26.7%","26.2%","26.9%","31.5%","23.5%","23.2%"
"113","113","Oral Roberts","26.6%","36.6%","24.8%","25.7%","27.2%","29.2%"
"114","114","NC-Asheville","26.6%","22.3%","25.4%","28.9%","25.3%","32.7%"
"115","115","Oregon","26.5%","22.0%","21.2%","26.3%","26.7%","27.2%"
"116","116","James Mad","26.5%","18.2%","5.5%","26.9%","26.3%","22.8%"
"117","117","Lehigh","26.5%","29.2%","22.0%","27.0%","26.1%","27.7%"
"118","118","Syracuse","26.5%","24.0%","15.9%","25.8%","27.1%","24.6%"
"119","119","Detroit","26.4%","28.0%","32.7%","29.4%","24.2%","30.3%"
"120","120","Penn State","26.4%","21.9%","11.0%","29.3%","22.9%","23.2%"
"121","121","Oregon St","26.4%","19.0%","25.9%","26.6%","26.3%","30.4%"
"122","122","Temple","26.4%","24.9%","10.7%","29.1%","23.7%","24.7%"
"123","123","Texas Tech","26.4%","34.9%","31.1%","27.3%","24.7%","25.9%"
"124","124","Baylor","26.4%","33.1%","31.8%","27.2%","25.5%","25.3%"
"125","125","Rider","26.4%","28.2%","22.1%","23.5%","28.5%","27.8%"
"126","126","Connecticut","26.4%","26.0%","28.0%","27.3%","25.2%","25.0%"
"127","127","Alcorn State","26.4%","23.4%","20.8%","27.8%","25.6%","25.6%"
"128","128","Arizona","26.3%","25.7%","27.8%","29.8%","23.4%","30.5%"
"129","129","Santa Clara","26.3%","29.2%","27.2%","29.5%","22.9%","25.6%"
"130","130","San Diego","26.3%","27.0%","17.5%","26.6%","26.1%","24.8%"
"131","131","Bucknell","26.3%","27.1%","11.0%","26.8%","25.9%","27.2%"
"132","132","Idaho State","26.3%","25.0%","11.0%","31.3%","23.0%","24.2%"
"133","133","BYU","26.3%","25.1%","24.4%","27.4%","25.0%","26.3%"
"134","134","Bryant","26.3%","23.3%","23.0%","26.7%","25.8%","21.0%"
"135","135","Rob Morris","26.3%","21.9%","21.2%","28.3%","24.6%","29.5%"
"136","136","TN Martin","26.3%","33.9%","45.9%","29.2%","24.1%","24.2%"
"137","137","Morehead St","26.3%","37.7%","32.8%","29.5%","23.9%","25.3%"
"138","138","Ohio State","26.2%","36.1%","35.4%","26.2%","26.2%","27.6%"
"139","139","Kennesaw St","26.2%","21.9%","32.0%","27.8%","25.2%","22.5%"
"140","140","Drake","26.2%","22.4%","11.2%","28.3%","24.5%","28.6%"
"141","141","Wm & Mary","26.2%","23.3%","35.8%","26.6%","25.9%","23.7%"
"142","142","Alab A&M","26.0%","23.3%","24.8%","28.1%","24.7%","24.3%"
"143","143","North Dakota","26.0%","23.3%","27.8%","27.0%","25.4%","26.0%"
"144","144","Akron","26.0%","31.6%","25.4%","24.7%","27.1%","27.5%"
"145","145","Memphis","26.0%","21.4%","12.6%","26.1%","25.9%","28.9%"
"146","146","Wichita St","26.0%","23.3%","32.0%","27.7%","24.8%","25.1%"
"147","147","San Jose St","26.0%","28.5%","21.8%","25.5%","26.4%","24.2%"
"148","148","Hawaii","26.0%","22.3%","29.4%","26.3%","25.4%","29.6%"
"149","149","Youngs St","26.0%","21.5%","14.9%","27.0%","25.1%","22.7%"
"150","150","Idaho","26.0%","29.0%","19.4%","29.5%","23.2%","28.6%"
"151","151","Buffalo","25.9%","24.3%","23.8%","28.0%","24.4%","25.9%"
"152","152","Hampton","25.9%","31.4%","25.9%","30.3%","22.2%","26.8%"
"153","153","Army","25.9%","30.8%","49.3%","26.9%","25.3%","25.5%"
"154","154","St Josephs","25.9%","30.1%","18.4%","26.9%","25.2%","25.8%"
"155","155","New Orleans","25.9%","24.9%","30.1%","29.1%","23.9%","19.4%"
"156","156","UNLV","25.9%","30.7%","31.7%","28.4%","22.5%","25.2%"
"157","157","Oklahoma","25.9%","22.8%","11.2%","29.0%","23.5%","22.8%"
"158","158","Texas State","25.8%","39.7%","37.6%","23.8%","27.4%","23.4%"
"159","159","TX-San Ant","25.8%","21.6%","21.2%","27.1%","25.0%","26.0%"
"160","160","Siena","25.8%","24.8%","24.6%","28.2%","23.9%","24.2%"
"161","161","Arkansas","25.8%","34.3%","40.9%","27.4%","23.8%","26.6%"
"162","162","W Kentucky","25.7%","25.7%","21.8%","28.9%","23.7%","27.6%"
"163","163","LA Tech","25.7%","20.0%","20.1%","29.4%","22.9%","23.2%"
"164","164","SE Louisiana","25.7%","29.8%","23.2%","32.5%","22.0%","26.9%"
"165","165","Cincinnati","25.6%","18.7%","11.9%","25.5%","25.8%","22.2%"
"166","166","Georgetown","25.6%","25.9%","22.9%","29.4%","21.4%","27.1%"
"167","167","San Diego St","25.6%","16.5%","15.6%","29.2%","23.3%","25.8%"
"168","168","Arizona St","25.6%","32.6%","35.9%","27.6%","23.0%","26.7%"
"169","169","Michigan St","25.6%","24.5%","32.9%","29.0%","22.4%","26.7%"
"170","170","Rhode Island","25.6%","21.5%","27.3%","28.8%","22.3%","24.7%"
"171","171","S Utah","25.6%","18.7%","27.4%","25.5%","25.6%","25.8%"
"172","172","TN Tech","25.6%","33.4%","40.3%","28.5%","23.4%","28.6%"
"173","173","Radford","25.5%","36.0%","41.5%","26.0%","25.3%","22.6%"
"174","174","NC-Wilmgton","25.5%","21.5%","18.0%","29.2%","22.4%","23.8%"
"175","175","Lg Beach St","25.4%","21.5%","26.3%","29.1%","23.2%","29.7%"
"176","176","Citadel","25.4%","22.4%","12.0%","23.1%","27.1%","23.3%"
"177","177","CS Fullerton","25.4%","27.2%","24.3%","25.0%","25.6%","27.1%"
