"","Rank","Team","2012","Last 3","Last 1","Home","Away","2011"
"1","1","Villanova","26.1","19.3","19.0","28.1","24.3","22.6"
"2","2","LIU-Brooklyn","25.6","22.7","14.0","27.7","24.3","28.4"
"3","3","Lipscomb","25.2","25.0","21.0","25.5","24.9","20.1"
"4","4","Marshall","25.1","23.0","18.0","26.7","23.7","22.1"
"5","5","Tulane","25.1","27.0","27.0","27.7","22.2","21.1"
"6","6","Indiana","25.1","21.7","24.0","26.8","23.2","23.8"
"7","7","S Alabama","24.9","19.0","21.0","24.5","25.3","20.9"
"8","8","Arkansas St","24.8","28.7","25.0","25.9","23.9","21.2"
"9","9","NW State","24.6","17.7","11.0","25.0","24.4","24.3"
"10","10","Charlotte","24.5","23.0","19.0","26.0","23.3","21.9"
"11","11","Colorado St","24.5","23.7","21.0","26.6","22.8","21.4"
"12","12","Quinnipiac","24.5","27.0","31.0","23.3","25.4","23.2"
"13","13","N Mex State","24.4","27.7","13.0","24.1","24.7","29.3"
"14","14","Chattanooga","24.1","33.3","29.0","24.6","23.5","21.6"
"15","15","Kent State","24.1","28.3","33.0","25.4","22.7","19.9"
"16","16","Mississippi","24.1","16.3","21.0","27.8","20.7","23.7"
"17","17","Ball State","23.9","31.7","19.0","25.6","22.1","20.2"
"18","18","W Michigan","23.7","18.7","13.0","26.2","21.9","21.9"
"19","19","New Mexico","23.7","17.7","24.0","27.5","20.1","21.0"
"20","20","Iowa","23.6","19.0","18.0","25.1","21.9","21.8"
"21","21","Harvard","23.4","22.0","19.0","26.3","21.1","20.1"
"22","22","NJIT","23.4","25.7","14.0","27.4","20.2","17.6"
"23","23","Delaware","23.3","26.7","17.0","22.4","23.9","23.8"
"24","24","Oakland","23.3","24.3","23.0","22.9","23.5","24.4"
"25","25","Wake Forest","23.3","22.3","21.0","25.1","21.3","21.3"
"26","26","NC State","23.2","19.0","16.0","26.2","20.4","20.9"
"27","27","Houston","23.2","19.3","24.0","22.8","23.7","18.8"
"28","28","Cal St Nrdge","23.1","22.0","27.0","23.8","22.7","21.4"
"29","29","AR Lit Rock","23.1","31.3","30.0","25.9","20.4","21.7"
"30","30","Tulsa","23.0","22.3","25.0","26.0","21.0","23.5"
"31","31","Louisville","23.0","30.3","29.0","20.4","24.8","20.6"
"32","32","North Texas","23.0","24.0","24.0","26.6","19.8","20.0"
"33","33","Kentucky","22.9","18.7","18.0","25.0","20.5","23.4"
"34","34","Niagara","22.8","20.0","20.0","26.9","19.4","21.8"
"35","35","Saint Louis","22.8","23.0","22.0","22.2","23.5","18.9"
"36","36","Oklahoma St","22.8","22.7","15.0","22.1","23.5","20.6"
"37","37","Miss Val St","22.6","22.7","39.0","25.6","21.2","20.8"
"38","38","W Virginia","22.5","13.7","18.0","24.9","20.7","22.4"
"39","39","Wagner","22.5","25.0","28.0","23.1","22.1","22.3"
"40","40","Minnesota","22.5","18.3","22.0","23.4","21.6","20.2"
"41","41","Loyola-MD","22.5","23.3","14.0","22.9","22.1","23.1"
"42","42","Norfolk St","22.4","26.3","28.0","25.1","21.1","23.3"
"43","43","Gonzaga","22.4","20.0","29.0","23.5","21.6","24.3"
"44","44","Nevada","22.4","21.3","25.0","23.1","21.7","23.6"
"45","45","Tennessee","22.4","15.7","24.0","23.2","21.6","20.9"
"46","46","Towson","22.4","26.7","22.0","21.3","23.0","20.2"
"47","47","Geo Wshgtn","22.3","25.3","24.0","25.4","19.6","15.8"
"48","48","Middle Tenn","22.3","22.3","7.0","22.9","21.9","24.8"
"49","49","Texas","22.3","20.7","18.0","25.1","19.7","24.1"
"50","50","Morehead St","22.3","32.3","29.0","25.0","20.3","17.8"
"51","51","E Carolina","22.3","21.7","14.0","24.4","19.6","19.1"
"52","52","Richmond","22.2","21.7","16.0","25.7","18.8","20.8"
"53","53","Colorado","22.2","24.3","13.0","24.3","20.4","22.3"
"54","54","Yale","22.2","28.7","35.0","24.2","21.1","22.6"
"55","55","Morgan St","22.1","20.0","20.0","21.9","22.2","22.3"
"56","56","Jksnville St","22.1","22.0","26.0","25.7","19.9","21.7"
"57","57","Duke","22.1","27.3","28.0","22.8","21.6","25.4"
"58","58","TN State","22.1","13.3","7.0","25.4","20.0","21.6"
"59","59","Vermont","22.1","17.3","15.0","23.7","20.9","19.8"
"60","60","Central FL","22.0","23.3","18.0","22.7","20.8","21.3"
"61","61","NC A&T","22.0","15.3","10.0","22.3","21.8","20.9"
"62","62","Beth-Cook","22.0","26.0","25.0","24.3","20.8","19.8"
"63","63","Jackson St","22.0","24.3","27.0","17.7","23.9","17.2"
"64","64","Georgia","21.9","27.0","30.0","25.3","17.5","16.6"
"65","65","Oregon","21.9","18.0","17.0","21.4","22.3","21.4"
"66","66","NC Central","21.9","22.7","26.0","24.2","20.4","22.7"
"67","67","Kansas","21.8","20.0","10.0","21.0","22.6","22.1"
"68","68","BYU","21.8","21.0","20.0","23.0","20.4","22.0"
"69","69","Indiana St","21.8","15.3","11.0","24.9","19.6","19.8"
"70","70","St Bonavent","21.7","23.3","21.0","23.9","19.7","22.2"
"71","71","Nicholls St","21.7","24.0","26.0","25.8","19.6","19.5"
"72","72","NC-Asheville","21.6","19.0","25.0","22.3","21.2","26.4"
"73","73","TN Martin","21.6","27.7","34.0","24.0","19.8","18.9"
"74","74","Marquette","21.6","20.7","16.0","25.2","18.5","23.7"
"75","75","Hampton","21.5","26.0","21.0","25.9","17.9","21.7"
"76","76","New Orleans","21.5","20.7","25.0","25.4","19.4","15.1"
"77","77","Manhattan","21.5","25.3","16.0","20.6","22.0","22.1"
"78","78","LA Tech","21.5","16.7","16.0","24.9","19.0","18.4"
"79","79","Arkansas","21.5","27.7","34.0","23.3","19.4","21.6"
"80","80","Oregon St","21.5","14.3","20.0","21.9","20.9","25.6"
