"","Rank","Team","2012","Last 3","Last 1","Home","Away","2011"
"1","1","Villanova","18.8","14.3","13.0","19.9","17.9","17.1"
"2","2","Indiana","18.7","15.7","15.0","19.9","17.3","18.2"
"3","3","Tulane","18.3","21.3","22.0","20.6","15.7","13.9"
"4","4","S Alabama","17.9","14.0","15.0","17.3","18.4","14.5"
"5","5","LIU-Brooklyn","17.7","15.7","10.0","18.9","16.9","20.7"
"6","6","Delaware","17.6","20.7","14.0","17.5","17.6","17.0"
"7","7","Colorado St","17.4","17.0","13.0","19.4","15.8","16.4"
"8","8","Iowa","17.2","15.7","13.0","18.5","15.8","15.7"
"9","9","Kent State","17.1","20.3","24.0","17.6","16.5","13.8"
"10","10","New Mexico","17.1","12.0","17.0","19.6","14.7","15.0"
"11","11","Arkansas St","17.0","18.7","14.0","17.8","16.4","14.2"
"12","12","NW State","17.0","12.7","8.0","15.8","17.7","14.8"
"13","13","Harvard","17.0","16.0","14.0","19.2","15.2","15.1"
"14","14","Oklahoma St","17.0","16.3","8.0","16.4","17.6","15.2"
"15","15","Cal St Nrdge","17.0","18.7","23.0","18.6","15.8","16.2"
"16","16","Houston","16.7","13.0","16.0","16.9","16.4","13.1"
"17","17","W Michigan","16.6","15.0","10.0","18.2","15.6","15.6"
"18","18","St Bonavent","16.6","18.7","17.0","18.8","14.5","16.9"
"19","19","TN State","16.5","11.3","7.0","20.3","14.1","15.0"
"20","20","Oakland","16.5","19.3","18.0","16.7","16.4","18.0"
"21","21","Quinnipiac","16.5","21.0","21.0","14.0","18.5","14.8"
"22","22","Davidson","16.4","11.7","14.0","18.5","15.2","16.6"
"23","23","Lipscomb","16.3","16.3","8.0","17.8","15.2","12.8"
"24","24","Duke","16.3","22.0","21.0","15.3","17.1","17.8"
"25","25","Mississippi","16.3","9.3","10.0","19.0","13.9","14.3"
"26","26","North Texas","16.3","14.0","12.0","19.5","13.4","14.1"
"27","27","Nevada","16.3","14.0","15.0","16.6","15.9","15.4"
"28","28","Louisville","16.3","20.3","19.0","14.2","17.7","14.2"
"29","29","E Carolina","16.2","16.0","11.0","17.5","14.6","13.3"
"30","30","Yale","16.1","23.3","29.0","16.9","15.7","16.1"
"31","31","Kansas","16.1","16.0","7.0","15.9","16.3","15.3"
"32","32","NC Central","16.1","13.7","12.0","18.1","14.8","15.9"
"33","33","Richmond","16.1","15.3","9.0","19.3","12.8","15.9"
"34","34","N Mex State","16.1","16.7","8.0","16.3","15.9","19.5"
"35","35","Saint Louis","16.1","15.0","14.0","16.1","16.0","13.6"
"36","36","Charlotte","16.0","16.0","14.0","17.1","15.2","14.4"
"37","37","TN Martin","16.0","20.3","25.0","18.2","14.2","13.4"
