"","Rank","Team","2014","Last 3","Last 1","Home","Away","2013"
"1","1","TX A&M-CC","0.510","0.409","0.481","0.545","0.486","0.439"
"2","2","Auburn","0.488","0.675","0.630","0.517","0.461","0.441"
"3","3","Towson","0.483","0.301","0.393","0.501","0.473","0.533"
"4","4","Dayton","0.481","0.422","0.255","0.576","0.408","0.406"
"5","5","Georgia","0.477","0.503","0.456","0.465","0.489","0.541"
"6","6","Manhattan","0.474","0.421","0.339","0.480","0.471","0.555"
"7","7","Rhode Island","0.473","0.358","0.368","0.511","0.437","0.463"
"8","8","N Illinois","0.471","0.544","0.314","0.576","0.378","0.506"
"9","9","Arizona","0.471","0.456","0.698","0.466","0.476","0.410"
"10","10","Maryland ES","0.470","0.361","0.293","0.487","0.463","0.423"
"11","11","Florida St","0.469","0.546","0.348","0.526","0.400","0.456"
"12","12","TX Southern","0.468","0.548","0.588","0.467","0.468","0.493"
"13","13","TX Christian","0.465","0.393","0.510","0.456","0.479","0.448"
"14","14","Miss State","0.464","0.433","0.365","0.493","0.434","0.433"
"15","15","Sam Hous St","0.463","0.470","0.400","0.486","0.444","0.521"
"16","16","Princeton","0.461","0.744","0.533","0.553","0.388","0.380"
"17","17","Texas Tech","0.461","0.366","0.217","0.541","0.347","0.387"
"18","18","Weber State","0.460","0.459","0.529","0.423","0.488","0.497"
"19","19","Kansas St","0.460","0.266","0.414","0.556","0.373","0.403"
"20","20","New Orleans","0.459","0.447","0.458","0.507","0.434","0.518"
"21","21","Incarnate Word","0.453","0.316","0.194","0.419","0.477","0.413"
"22","22","Brown","0.450","0.401","0.333","0.485","0.422","0.356"
"23","23","Boston U","0.449","0.503","0.291","0.442","0.455","0.299"
"24","24","Oral Roberts","0.445","0.387","0.355","0.436","0.451","0.419"
"25","25","Maryland","0.444","0.373","0.295","0.490","0.392","0.367"
"26","26","Evansville","0.443","0.388","0.482","0.480","0.403","0.491"
"27","27","N Mex State","0.443","0.456","0.286","0.429","0.457","0.539"
"28","28","Furman","0.441","0.450","0.174","0.562","0.369","0.406"
"29","29","St Peters","0.440","0.515","0.340","0.485","0.412","0.421"
"30","30","Georgetown","0.439","0.412","0.164","0.481","0.399","0.448"
"31","31","Kentucky","0.439","0.411","0.185","0.444","0.433","0.518"
"32","32","Hampton","0.438","0.463","0.390","0.433","0.441","0.510"
