"","Rank","Team","2015","Last 3","Last 1","Home","Away","2014"
"1","1","Howard","26.963","19.510","15.420","28.018","26.137","22.535"
"2","2","VA Tech","26.489","28.329","15.178","28.814","23.740","16.422"
"3","3","Oakland","26.339","28.633","22.792","28.146","25.354","20.952"
"4","4","Albany","26.147","17.712","11.898","26.342","25.996","23.746"
"5","5","Norfolk St","25.806","23.056","15.382","27.224","25.232","21.555"
"6","6","W Virginia","25.799","23.739","29.505","25.944","25.689","23.029"
"7","7","TN Tech","25.478","23.825","16.974","28.478","22.973","19.695"
"8","8","Nevada","25.385","36.209","48.583","26.485","24.442","23.348"
"9","9","Evansville","25.294","20.796","13.690","27.989","22.938","24.663"
"10","10","E Michigan","25.250","23.567","20.970","27.912","23.125","23.717"
"11","11","Neb Omaha","25.233","31.342","32.402","26.238","24.639","23.365"
"12","12","Colorado St","25.154","29.872","33.687","27.721","22.956","23.588"
"13","13","Towson","25.114","13.557","20.282","25.078","25.140","25.679"
"14","14","Arizona","25.077","25.784","13.319","28.482","21.374","27.014"
"15","15","Memphis","24.920","24.702","16.733","26.741","22.302","17.754"
"16","16","Texas Tech","24.873","12.904","5.931","27.555","21.746","22.871"
"17","17","Xavier","24.838","15.705","20.122","28.220","21.843","22.468"
"18","18","W Michigan","24.805","28.160","14.488","28.626","21.816","23.780"
"19","19","LA Lafayette","24.703","24.213","20.921","28.104","22.109","22.773"
"20","20","Duke","24.674","25.873","12.748","25.816","23.508","23.106"
"21","21","Chattanooga","24.544","26.554","20.534","28.439","22.307","23.536"
"22","22","New Mexico","24.519","26.160","23.787","26.147","22.904","20.191"
"23","23","Stanford","24.517","21.127","24.231","26.300","22.303","24.246"
"24","24","Houston Bap","24.514","19.682","14.596","26.350","23.473","22.965"
"25","25","Washington","24.484","29.063","27.023","26.349","22.281","19.127"
"26","26","S Dakota St","24.455","26.549","23.375","24.615","24.373","23.164"
"27","27","Geo Wshgtn","24.433","20.087","32.544","26.279","22.548","22.293"
"28","28","Hawaii","24.371","21.902","14.099","24.435","24.297","20.604"
"29","29","Miami (FL)","24.357","25.733","15.228","24.416","24.308","21.921"
"30","30","Bucknell","24.292","22.772","18.170","25.110","23.547","22.784"
"31","31","Georgia","24.288","23.599","16.029","25.018","23.380","25.435"
"32","32","Rice","24.250","20.838","18.009","26.373","22.187","19.120"
"33","33","Mississippi","24.222","25.403","13.908","29.187","20.091","23.639"
"34","34","Austin Peay","24.207","27.314","31.368","26.766","22.805","21.739"
"35","35","S Carolina","24.161","12.619","19.231","26.883","20.713","22.600"
"36","36","Colorado","24.139","22.747","27.304","27.807","20.562","23.401"
"37","37","New Orleans","24.131","20.389","21.486","22.514","24.919","24.805"
"38","38","WI-Milwkee","24.126","27.139","24.490","29.563","20.920","20.698"
"39","39","Samford","24.124","28.562","30.894","19.308","26.923","20.424"
"40","40","Wyoming","24.055","31.509","38.654","23.042","24.932","21.400"
"41","41","Idaho","24.017","27.106","20.480","23.683","24.247","21.970"
"42","42","LIU-Brooklyn","23.929","23.411","28.184","24.886","23.122","22.040"
"43","43","N Colorado","23.874","23.479","12.596","23.552","24.171","20.615"
"44","44","CS Fullerton","23.852","21.841","13.351","25.883","22.545","20.132"
"45","45","St Bonavent","23.850","19.174","19.904","26.238","20.994","22.029"
"46","46","Winthrop","23.837","23.643","17.351","25.599","22.549","21.102"
"47","47","Oregon","23.833","24.349","32.276","25.439","22.430","18.726"
"48","48","Butler","23.792","16.538","18.743","25.695","21.922","23.055"
"49","49","Monmouth","23.781","20.984","21.837","21.729","24.946","22.875"
"50","50","Kansas St","23.743","22.925","12.985","26.683","20.555","23.857"
"51","51","Campbell","23.525","20.787","29.147","23.002","24.050","17.712"
"52","52","Baylor","23.520","20.187","13.343","23.760","23.210","21.920"
"53","53","Buffalo","23.510","16.680","21.534","24.628","22.735","25.266"
"54","54","TX Christian","23.489","27.392","32.705","26.303","20.009","23.441"
"55","55","San Diego St","23.471","21.870","14.879","22.793","24.165","19.242"
"56","56","Grand Canyon","23.470","18.761","4.441","23.367","23.600","22.961"
"57","57","NC State","23.339","15.321","11.622","25.632","20.575","20.794"
"58","58","Furman","23.255","17.570","17.180","25.412","21.661","22.342"
"59","59","Cal St Nrdge","23.247","22.622","21.736","22.445","23.713","24.338"
"60","60","Siena","23.184","26.428","16.677","24.427","22.206","24.114"
"61","61","Delaware","23.146","18.391","16.384","25.165","21.818","20.990"
"62","62","Arkansas St","23.145","31.270","31.556","26.783","20.128","18.404"
"63","63","Weber State","23.127","13.122","7.626","26.160","21.533","25.982"
"64","64","LSU","23.087","21.085","10.020","26.521","19.128","18.705"
"65","65","Pittsburgh","23.073","16.771","7.052","25.973","19.184","20.415"
"66","66","Canisius","23.044","22.883","11.452","23.204","22.928","19.525"
"67","67","Boise State","23.037","20.075","25.779","25.551","20.874","19.407"
"68","68","NC-Asheville","23.023","22.252","13.197","21.876","23.700","20.800"
"69","69","Wofford","22.876","18.780","17.175","28.274","19.757","20.899"
"70","70","Pepperdine","22.875","18.065","14.334","23.669","22.391","21.680"
"71","71","Yale","22.867","20.668","15.776","25.926","20.968","22.940"
"72","72","TN State","22.850","23.830","17.351","23.074","22.690","18.973"
"73","73","LA Tech","22.814","20.616","19.082","25.405","20.398","19.350"
"74","74","Detroit","22.789","21.717","26.320","25.055","21.011","18.102"
"75","75","Indiana St","22.747","27.773","20.651","24.119","21.769","22.137"
"76","76","Wichita St","22.738","21.785","16.979","25.160","21.060","21.891"
"77","77","Columbia","22.693","28.415","27.736","22.606","22.824","16.553"
"78","78","Marquette","22.647","34.190","29.371","21.613","24.071","18.372"
"79","79","TX A&M-CC","22.641","22.645","20.488","22.165","22.939","26.448"
"80","80","Kent State","22.609","19.224","24.111","25.272","20.076","20.222"
"81","81","WI-Grn Bay","22.608","28.901","17.367","21.364","23.265","20.503"
"82","82","Hofstra","22.551","19.623","13.765","20.675","23.623","23.174"
"83","83","Lamar","22.499","21.591","15.173","26.207","19.344","21.776"
"84","84","Georgetown","22.471","20.559","10.403","23.750","21.032","24.400"
"85","85","N Illinois","22.448","19.680","24.230","21.874","23.032","24.637"
"86","86","Wake Forest","22.433","18.768","19.191","24.562","20.512","21.133"
"87","87","E Kentucky","22.359","22.583","25.418","25.160","19.455","19.739"
"88","88","North Texas","22.337","21.551","15.001","25.966","18.206","19.956"
"89","89","W Kentucky","22.336","27.035","20.738","24.267","20.860","20.407"
"90","90","Providence","22.316","17.812","18.805","24.924","19.838","23.468"
"91","91","High Point","22.306","30.463","17.657","20.974","23.240","20.616"
"92","92","N Hampshire","22.300","13.859","13.020","22.770","22.014","19.219"
"93","93","Oral Roberts","22.299","18.359","15.235","24.923","20.904","25.431"
"94","94","Maryland","22.280","31.487","19.932","23.981","20.850","25.611"
"95","95","Ohio","22.222","25.780","30.718","26.293","17.476","17.217"
"96","96","GA Southern","22.211","21.284","24.242","21.764","22.520","19.956"
"97","97","St Josephs","22.207","21.280","22.635","23.446","21.201","17.812"
"98","98","Hampton","22.202","27.169","13.056","23.304","21.670","22.297"
"99","99","Missouri","22.184","15.402","14.847","26.312","17.233","17.573"
"100","100","Oklahoma St","22.180","20.416","26.776","22.046","22.310","22.239"
"101","101","Kansas","22.170","20.468","10.667","23.313","21.251","24.765"
"102","102","Wisconsin","22.166","11.021","6.226","24.998","19.125","23.904"
"103","103","Maryland BC","22.132","18.214","13.655","25.754","19.592","17.544"
"104","104","Kentucky","22.095","20.842","20.986","21.956","22.220","26.545"
"105","105","Dartmouth","22.084","19.320","13.976","23.051","21.227","18.603"
"106","106","Vanderbilt","22.079","15.971","21.548","24.537","19.760","23.354"
"107","107","Manhattan","22.003","15.200","18.682","21.584","22.358","24.281"
"108","108","UNLV","21.967","23.349","20.145","26.390","17.735","17.731"
"109","109","California","21.961","22.188","22.938","23.807","19.935","16.338"
"110","110","Loyola-MD","21.946","17.759","15.920","24.010","20.242","20.448"
"111","111","Northeastrn","21.921","28.942","43.386","22.277","21.675","22.598"
"112","112","Fresno St","21.904","21.906","14.690","24.264","19.620","21.237"
"113","113","Purdue","21.860","24.195","25.943","25.996","17.343","22.748"
"114","114","Texas","21.851","15.407","19.885","22.920","20.674","21.757"
"115","115","Idaho State","21.850","24.040","17.069","25.061","19.871","19.454"
"116","116","St Fran (PA)","21.846","19.033","30.446","22.541","21.249","18.391"
"117","117","Tulsa","21.811","23.690","13.460","20.880","22.611","21.565"
"118","118","Utah","21.786","19.575","12.153","23.327","20.440","23.949"
"119","119","Villanova","21.778","23.092","19.962","23.583","20.554","24.538"
"120","120","Arkansas","21.759","18.285","20.672","23.419","19.804","22.773"
"121","121","App State","21.749","25.763","25.245","23.689","20.317","19.259"
"122","122","Alab A&M","21.718","27.794","12.746","26.311","19.281","21.410"
"123","123","San Fransco","21.706","18.920","18.394","21.853","21.525","20.662"
"124","124","Arizona St","21.646","21.348","19.628","24.577","18.276","21.824"
"125","125","Central Ark","21.636","29.838","24.890","25.735","19.361","19.190"
"126","126","Navy","21.592","27.495","23.664","21.283","21.840","16.746"
"127","127","Abilene Christian","21.575","17.953","15.738","23.405","20.288","16.468"
"128","128","Coppin State","21.549","30.151","21.301","22.662","20.980","17.194"
"129","129","Florida","21.520","15.998","19.704","25.807","17.984","16.438"
"130","130","Seton Hall","21.512","17.239","10.815","22.445","20.689","20.628"
"131","131","Gonzaga","21.501","11.231","6.155","21.931","21.209","21.717"
"132","132","Florida St","21.496","27.088","24.133","22.930","20.350","23.147"
"133","133","N Carolina","21.492","20.122","13.820","20.538","22.160","20.996"
"134","134","Sacred Hrt","21.479","19.073","12.645","22.894","20.686","18.956"
"135","135","Incarnate Word","21.462","24.151","22.731","23.201","20.515","25.803"
