"","Rank","Team","2012","Last 3","Last 1","Home","Away","2011"
"1","1","Syracuse","40","3","1","19","21","37"
"2","2","Louisville","39","3","1","16","23","40"
"3","3","Wichita St","39","3","1","16","23","32"
"4","4","Iowa","38","3","1","20","18","35"
"5","5","Maryland","38","3","1","21","17","32"
"6","6","Geo Mason","38","3","1","18","20","33"
"7","7","Florida","37","3","1","15","22","37"
"8","8","Michigan","37","3","1","16","21","33"
"9","9","Kansas","37","3","1","17","20","39"
"10","10","Ohio State","37","3","1","18","19","39"
"11","11","Oregon","37","3","1","19","18","34"
"12","12","Indiana","36","3","1","19","17","36"
"13","13","Memphis","36","3","1","18","18","35"
"14","14","Miami (FL)","36","3","1","15","21","33"
"15","15","Mississippi","36","3","1","17","19","34"
"16","16","Creighton","36","3","1","17","19","35"
"17","17","VCU","36","3","1","17","19","36"
"18","18","James Mad","36","3","1","14","22","32"
"19","19","NC A&T","36","3","1","11","25","29"
"20","20","Santa Clara","36","3","1","19","17","28"
"21","21","Duke","36","3","1","16","20","34"
"22","22","Baylor","36","3","1","19","17","37"
"23","23","Butler","35","3","1","15","20","36"
"24","24","New Mexico","35","3","1","17","18","34"
"25","25","UC Irvine","35","3","1","12","23","29"
"26","26","Iowa State","35","3","1","17","18","34"
"27","27","Weber State","35","3","1","17","18","30"
"28","28","S Mississippi","35","3","1","14","21","32"
"29","29","Wright State","35","3","1","17","18","31"
"30","30","Illinois","35","3","1","16","19","32"
"31","31","Rob Morris","35","3","1","16","19","37"
"32","32","Michigan St","35","3","1","17","18","37"
"33","33","Wisconsin","35","3","1","18","17","36"
"34","34","Notre Dame","35","3","1","20","15","34"
"35","35","N Iowa","35","3","1","19","16","33"
"36","36","Arizona St","35","3","1","20","15","31"
"37","37","Arizona","35","3","1","16","19","35"
"38","38","Bradley","35","3","1","18","17","32"
"39","39","W Kentucky","35","3","1","14","21","35"
"40","40","Virginia","35","3","1","21","14","32"
"41","41","NC State","35","3","1","17","18","37"
"42","42","Fairfield","35","3","1","12","23","37"
"43","43","Alabama","35","3","1","19","16","33"
"44","44","N Carolina","35","3","1","16","19","38"
"45","45","Loyola-MD","35","3","1","16","19","33"
"46","46","Evansville","35","3","1","18","17","31"
"47","47","BYU","35","3","1","19","16","33"
"48","48","Albany","35","3","1","15","20","34"
"49","49","Fla Gulf Cst","35","3","1","14","21","31"
"50","50","UCLA","35","3","1","18","17","32"
"51","51","Saint Louis","35","3","1","19","16","33"
"52","52","Marquette","35","3","1","16","19","35"
"53","53","Col Charlestn","34","3","1","16","18","31"
"54","54","Gonzaga","34","3","1","15","19","33"
"55","55","Oral Roberts","34","3","1","13","21","34"
"56","56","LIU-Brooklyn","34","3","1","13","21","34"
"57","57","St Marys","34","3","1","16","18","31"
"58","58","Missouri","34","3","1","17","17","35"
"59","59","Mercer","34","3","1","13","21","37"
"60","60","N Mex State","34","3","1","15","19","34"
"61","61","Ohio","34","3","1","18","16","36"
"62","62","Middle Tenn","34","3","1","15","19","33"
"63","63","Richmond","34","3","1","17","17","32"
"64","64","Kent State","34","3","1","17","17","32"
"65","65","Kansas St","34","3","1","16","18","33"
"66","66","La Salle","34","3","1","13","21","34"
"67","67","Temple","34","3","1","17","17","32"
"68","68","UNLV","34","3","1","19","15","33"
"69","69","W Michigan","34","3","1","14","20","33"
"70","70","Tulane","34","3","1","18","16","29"
"71","71","Stanford","34","3","1","17","17","37"
"72","72","Washington","34","3","1","18","16","35"
"73","73","Florida St","34","3","1","18","16","35"
"74","74","Rider","34","3","1","14","20","32"
"75","75","Providence","34","3","1","18","16","32"
"76","76","Cincinnati","34","3","1","18","16","37"
"77","77","Canisius","34","3","1","16","18","30"
"78","78","Iona","34","3","1","12","22","33"
"79","79","Purdue","34","3","1","19","15","35"
"80","80","Minnesota","34","3","1","17","17","38"
"81","81","Tennessee","33","3","1","17","16","33"
"82","82","Colorado St","33","3","1","15","18","32"
"83","83","Vanderbilt","33","3","1","15","18","36"
"84","84","Kentucky","33","3","1","18","15","40"
"85","85","Vermont","33","3","1","14","19","36"
"86","86","Texas State","33","3","1","14","19","26"
"87","87","TX-Arlington","33","3","1","15","18","32"
"88","88","Charlotte","33","3","1","15","18","30"
"89","89","Delaware","33","3","1","13","20","32"
"90","90","Norfolk St","33","3","1","11","22","34"
"91","91","Troy","33","3","1","15","18","27"
"92","92","U Mass","33","3","1","15","18","37"
"93","93","Niagara","33","3","1","15","18","33"
"94","94","California","33","3","1","16","17","34"
"95","95","Illinois St","33","3","1","16","17","35"
"96","96","Northeastrn","33","3","1","15","18","31"
"97","97","Davidson","33","3","1","12","21","32"
"98","98","Oklahoma St","33","3","1","17","16","32"
"99","99","WI-Grn Bay","33","3","1","16","17","28"
"100","100","LA Tech","33","3","1","14","19","32"
"101","101","Villanova","33","3","1","15","18","32"
"102","102","Nebraska","33","3","1","17","16","30"
"103","103","E Kentucky","33","3","1","15","18","30"
"104","104","Lafayette","33","3","1","16","17","31"
"105","105","St Johns","33","3","1","16","17","32"
"106","106","Pacific","33","3","1","13","20","28"
"107","107","Valparaiso","33","3","1","17","16","32"
"108","108","Seton Hall","33","3","1","16","17","34"
"109","109","Liberty","33","3","1","12","21","29"
"110","110","Boston Col","33","3","1","18","15","31"
"111","111","IL-Chicago","33","3","1","15","18","28"
"112","112","Texas","33","3","1","16","17","34"
"113","113","Texas A&M","33","3","1","18","15","31"
"114","114","Colorado","33","3","1","15","18","34"
"115","115","Bucknell","33","3","1","15","18","34"
"116","116","Pittsburgh","33","3","1","18","15","39"
"117","117","TX-San Ant","32","3","1","12","20","30"
"118","118","Miss State","32","3","1","14","18","33"
"119","119","Wyoming","32","3","1","17","15","31"
"120","120","Auburn","32","3","1","17","15","31"
"121","121","W Virginia","32","3","1","14","18","33"
"122","122","S Dakota St","32","3","1","12","20","33"
"123","123","N Dakota St","32","3","1","11","21","30"
"124","124","Arkansas","32","3","1","17","15","32"
"125","125","Beth-Cook","32","3","1","11","21","33"
"126","126","Morgan St","32","3","1","9","23","29"
"127","127","Indiana St","32","3","1","13","19","32"
"128","128","VA Tech","32","3","1","17","15","33"
"129","129","Georgetown","32","3","1","17","15","32"
"130","130","Florida Intl","32","3","1","13","19","28"
"131","131","LA Lafayette","32","3","1","14","18","31"
"132","132","Denver","32","3","1","16","16","31"
"133","133","Oklahoma","32","3","1","14","18","31"
"134","134","San Diego St","32","3","1","13","19","32"
"135","135","Georgia","32","3","1","18","14","32"
"136","136","TX El Paso","32","3","1","16","16","32"
"137","137","N Arizona","32","3","1","12","20","27"
"138","138","S Carolina","32","3","1","18","14","31"
"139","139","Stony Brook","32","3","1","11","21","31"
"140","140","San Diego","32","3","1","13","19","29"
"141","141","Loyola Mymt","32","3","1","13","19","32"
"142","142","Tulsa","32","3","1","13","19","31"
"143","143","Savannah St","32","3","1","12","20","31"
"144","144","Oregon St","32","3","1","17","15","35"
"145","145","Northwestern","32","3","1","19","13","33"
"146","146","St Josephs","32","3","1","14","18","34"
"147","147","UAB","32","3","1","14","18","31"
"148","148","Manhattan","32","3","1","11","21","34"
"149","149","Buffalo","32","3","1","14","18","30"
"150","150","Akron","32","3","1","15","17","33"
"151","151","Alcorn State","32","3","1","11","21","28"
"152","152","Houston","32","3","1","17","15","29"
"153","153","USC","32","3","1","16","16","32"
"154","154","Mt St Marys","32","3","1","12","20","29"
"155","155","DePaul","32","3","1","17","15","31"
"156","156","Wash State","32","3","1","18","14","36"
"157","157","Siena","32","3","1","14","18","31"
"158","158","Colgate","32","3","1","12","20","30"
"159","159","Youngs St","31","3","1","14","17","29"
"160","160","IPFW","31","3","1","12","19","29"
"161","161","Alabama St","31","3","1","11","20","29"
"162","162","Wake Forest","31","3","1","16","15","31"
"163","163","Hawaii","31","3","1","20","11","30"
"164","164","Detroit","31","3","1","13","18","34"
"165","165","U Penn","31","3","1","13","18","33"
"166","166","Prairie View","31","3","1","10","21","29"
"167","167","E Washingtn","31","3","1","14","17","30"
"168","168","Penn State","31","3","1","17","14","32"
"169","169","TX Southern","31","3","1","13","18","33"
"170","170","Utah","31","3","1","15","16","30"
"171","171","Marshall","31","3","1","15","16","34"
"172","172","S Methodist","31","3","1","13","18","30"
"173","173","E Illinois","31","3","1","14","17","27"
"174","174","UMKC","31","3","1","13","18","30"
"175","175","SE Missouri","31","3","1","12","19","29"
"176","176","TN State","31","3","1","12","19","31"
"177","177","Samford","31","3","1","12","19","28"
"178","178","F Dickinson","31","3","1","13","18","29"
"179","179","Quinnipiac","31","3","1","14","17","32"
"180","180","Texas Tech","31","3","1","20","11","31"
"181","181","UC Davis","31","3","1","13","18","30"
"182","182","Lg Beach St","31","3","1","12","19","32"
"183","183","Rutgers","31","3","1","16","15","32"
"184","184","Oakland","31","3","1","10","21","35"
"185","185","E Michigan","31","3","1","15","16","31"
"186","186","Wagner","31","3","1","14","17","31"
"187","187","AR Lit Rock","31","3","1","15","16","30"
"188","188","Morehead St","31","3","1","13","18","30"
"189","189","Monmouth","31","3","1","13","18","32"
"190","190","GA Southern","31","3","1","11","20","28"
"191","191","Drexel","31","3","1","13","18","36"
"192","192","Belmont","31","3","1","12","19","34"
"193","193","Coppin State","31","3","1","10","21","27"
"194","194","GA Tech","31","3","1","17","14","31"
"195","195","LSU","31","3","1","17","14","33"
"196","196","Clemson","31","3","1","15","16","31"
"197","197","Fla Atlantic","31","3","1","14","17","29"
"198","198","Hampton","31","3","1","14","17","33"
"199","199","E Tenn St","31","3","1","12","19","30"
"200","200","Longwood","31","3","1","11","20","27"
"201","201","Bryant","31","3","1","16","15","30"
"202","202","Elon","31","3","1","13","18","29"
"203","203","Wofford","31","3","1","11","20","31"
"204","204","North Dakota","31","3","1","12","19","28"
"205","205","Marist","31","3","1","13","18","32"
"206","206","SC Upstate","31","3","1","11","20","32"
"207","207","W Carolina","31","3","1","11","20","33"
"208","208","Hofstra","31","3","1","14","17","32"
"209","209","N Florida","31","3","1","10","21","31"
"210","210","Delaware St","31","3","1","9","22","27"
"211","211","TX Christian","31","3","1","17","14","32"
"212","212","Drake","31","3","1","14","17","33"
"213","213","Dayton","31","3","1","17","14","33"
"214","214","Xavier","31","3","1","15","16","36"
"215","215","Hartford","31","3","1","15","16","31"
"216","216","Sam Hous St","31","3","1","11","20","28"
"217","217","Lamar","31","3","1","11","20","33"
"218","218","Gard-Webb","31","3","1","13","18","30"
"219","219","Missouri St","31","3","1","13","18","31"
"220","220","E Carolina","31","3","1","17","14","27"
"221","221","Fordham","31","3","1","11","20","29"
"222","222","S Florida","31","3","1","17","14","35"
"223","223","Kennesaw St","30","3","1","12","18","30"
"224","224","IUPUI","30","3","1","12","18","30"
"225","225","Loyola-Chi","30","3","1","13","17","29"
"226","226","Navy","30","3","1","13","17","28"
"227","227","Nicholls St","30","3","1","10","20","28"
"228","228","Bowling Grn","30","3","1","15","15","31"
"229","229","St Fran (NY)","30","3","1","12","18","30"
"230","230","Army","30","3","1","12","18","29"
"231","231","St Peters","30","3","1","13","17","31"
"232","232","WI-Milwkee","30","3","1","12","18","33"
"233","233","Nevada","30","3","1","15","15","34"
"234","234","Connecticut","30","3","1","17","13","34"
"235","235","Holy Cross","30","3","1","12","18","29"
"236","236","Utah State","30","3","1","16","14","36"
"237","237","Boise State","30","3","1","13","17","29"
"238","238","American","30","3","1","13","17","32"
"239","239","Cal Poly","30","3","1","12","18","31"
"240","240","Lehigh","30","3","1","13","17","34"
"241","241","CS Fullerton","30","3","1","11","19","29"
"242","242","Portland","30","3","1","14","16","30"
"243","243","Stetson","30","3","1","13","17","28"
"244","244","S Illinois","30","3","1","12","18","30"
"245","245","Arkansas St","30","3","1","14","16","33"
"246","246","Towson","30","3","1","11","19","32"
"247","247","North Texas","30","3","1","14","16","29"
"248","248","Old Dominion","30","3","1","17","13","36"
"249","249","Ark Pine Bl","30","3","1","9","21","33"
"250","250","Montana","30","3","1","12","18","30"
"251","251","Southern","30","3","1","9","21","28"
"252","252","Campbell","30","3","1","13","17","31"
"253","253","Air Force","30","3","1","13","17","27"
"254","254","Georgia St","30","3","1","15","15","34"
"255","255","Geo Wshgtn","30","3","1","14","16","31"
"256","256","Jacksonville","30","3","1","11","19","30"
"257","257","Boston U","30","3","1","12","18","32"
"258","258","Cornell","30","3","1","13","17","27"
"259","259","Duquesne","30","3","1","14","16","30"
"260","260","Miami (OH)","30","3","1","12","18","29"
"261","261","Maryland BC","30","3","1","13","17","30"
"262","262","Central Mich","30","3","1","11","19","31"
"263","263","Chattanooga","30","3","1","15","15","29"
"264","264","Central Conn","30","3","1","12","18","29"
"265","265","Central FL","29","3","1","18","11","31"
"266","266","Maine","29","3","1","11","18","28"
"267","267","Pepperdine","29","3","1","12","17","28"
