"","Rank","Team","2012","Last 3","Last 1","Home","Away","2011"
"1","1","Belmont","64.5%","66.7%","63.2%","65.8%","63.7%","62.2%"
"2","2","E Kentucky","62.4%","52.2%","60.9%","65.9%","59.1%","55.5%"
"3","3","Bryant","61.9%","60.2%","60.7%","66.1%","57.0%","51.7%"
"4","4","Denver","61.3%","59.0%","50.0%","62.0%","60.5%","62.4%"
"5","5","Valparaiso","60.8%","60.0%","46.2%","60.1%","61.5%","61.0%"
"6","6","Creighton","60.4%","48.7%","46.7%","64.3%","56.9%","59.9%"
"7","7","Gonzaga","60.2%","53.7%","43.3%","62.6%","58.1%","55.8%"
"8","8","Wm & Mary","59.4%","71.4%","73.7%","59.8%","59.2%","53.5%"
"9","9","Air Force","59.4%","52.9%","50.0%","67.2%","52.5%","57.2%"
"10","10","Florida","58.9%","52.1%","51.2%","61.0%","57.5%","58.5%"
"11","11","Ohio","58.9%","52.2%","51.6%","60.7%","56.9%","53.0%"
"12","12","LIU-Brooklyn","58.9%","64.0%","54.5%","57.2%","59.8%","57.8%"
"13","13","Indiana","58.6%","61.5%","61.9%","60.8%","55.9%","57.6%"
"14","14","Kentucky","58.2%","52.0%","65.5%","60.6%","54.8%","57.3%"
"15","15","Michigan","58.1%","55.6%","52.0%","58.3%","58.0%","59.1%"
"16","16","Stetson","58.0%","55.4%","50.0%","59.0%","57.1%","55.0%"
"17","17","Arizona St","57.9%","56.6%","53.8%","59.0%","56.4%","54.9%"
"18","18","Maryland","57.8%","55.2%","48.6%","61.0%","53.6%","51.5%"
"19","19","N Dakota St","57.6%","52.2%","55.9%","62.1%","55.3%","58.3%"
"20","20","NC State","57.5%","59.6%","71.4%","59.6%","55.5%","53.9%"
"21","21","Weber State","57.5%","55.7%","59.5%","60.4%","54.7%","54.3%"
"22","22","S Mississippi","57.3%","52.6%","37.8%","56.1%","58.2%","48.9%"
"23","23","Harvard","57.3%","42.2%","28.9%","59.3%","55.7%","57.9%"
"24","24","Fla Gulf Cst","57.1%","60.0%","53.3%","58.9%","55.9%","55.4%"
"25","25","Marquette","57.1%","52.6%","40.9%","59.7%","54.8%","55.8%"
"26","26","Kansas","57.1%","55.2%","61.2%","58.2%","56.1%","57.7%"
"27","27","Davidson","57.0%","64.3%","52.0%","58.2%","56.3%","56.7%"
"28","28","UC Davis","57.0%","50.0%","50.0%","58.8%","55.7%","49.0%"
"29","29","Dayton","57.0%","60.4%","51.0%","55.9%","58.3%","56.0%"
"30","30","Akron","56.9%","54.3%","46.7%","60.0%","54.1%","55.1%"
"31","31","Murray St","56.9%","58.3%","73.7%","52.8%","59.8%","54.8%"
"32","32","Pittsburgh","56.9%","58.8%","50.0%","58.2%","55.2%","56.3%"
"33","33","St Marys","56.8%","47.7%","51.6%","59.4%","54.4%","59.4%"
"34","34","Nicholls St","56.8%","58.2%","46.9%","59.3%","55.4%","57.1%"
"35","35","N Florida","56.7%","57.0%","50.0%","55.1%","57.6%","56.7%"
"36","36","CS Fullerton","56.7%","55.4%","56.2%","55.8%","57.2%","55.6%"
"37","37","Iowa State","56.7%","55.2%","44.0%","57.7%","55.7%","55.8%"
"38","38","Iona","56.6%","53.9%","56.7%","59.8%","55.1%","60.3%"
"39","39","TX Southern","56.6%","54.6%","61.3%","57.9%","55.6%","51.6%"
"40","40","Detroit","56.6%","54.4%","52.9%","54.5%","58.2%","53.3%"
"41","41","Montana","56.5%","55.6%","38.9%","56.5%","56.4%","56.1%"
"42","42","Idaho","56.4%","59.3%","62.5%","55.4%","57.1%","55.8%"
"43","43","Ste F Austin","56.4%","59.2%","52.8%","55.5%","56.9%","54.4%"
"44","44","E Carolina","56.3%","64.3%","68.6%","57.0%","55.3%","53.8%"
"45","45","Utah State","56.2%","64.6%","69.6%","54.8%","58.1%","55.4%"
"46","46","Wash State","56.0%","60.7%","65.0%","56.5%","55.3%","56.9%"
"47","47","Missouri","56.0%","51.0%","54.8%","57.5%","54.3%","61.6%"
"48","48","Central FL","56.0%","51.9%","53.8%","55.8%","56.2%","53.9%"
"49","49","Notre Dame","55.8%","48.0%","54.5%","58.4%","52.2%","54.0%"
"50","50","Saint Louis","55.8%","58.0%","60.7%","56.8%","54.7%","55.9%"
"51","51","Arizona","55.7%","56.1%","54.8%","54.9%","56.5%","52.6%"
"52","52","Baylor","55.7%","58.1%","66.7%","57.4%","53.5%","54.9%"
"53","53","Louisville","55.6%","64.6%","56.5%","57.2%","54.5%","52.0%"
"54","54","Memphis","55.6%","47.7%","41.2%","56.8%","54.2%","59.1%"
"55","55","Georgetown","55.6%","51.6%","50.0%","56.1%","55.0%","55.4%"
"56","56","E Illinois","55.5%","59.1%","63.0%","55.7%","55.3%","49.8%"
"57","57","Wyoming","55.4%","53.6%","55.3%","56.0%","54.8%","55.9%"
"58","58","Illinois St","55.4%","50.0%","37.9%","59.6%","51.2%","52.7%"
"59","59","Butler","55.4%","46.9%","46.4%","56.6%","54.6%","51.2%"
"60","60","Buffalo","55.4%","54.3%","48.4%","55.3%","55.4%","56.4%"
"61","61","VCU","55.4%","52.1%","47.6%","56.8%","54.0%","52.1%"
"62","62","Duke","55.3%","49.4%","55.6%","55.1%","55.6%","55.2%"
"63","63","Michigan St","55.3%","57.8%","51.5%","58.2%","52.8%","56.3%"
"64","64","SE Missouri","55.3%","58.6%","56.4%","58.5%","53.1%","55.0%"
"65","65","Princeton","55.2%","51.7%","50.0%","55.6%","54.9%","56.7%"
"66","66","Arkansas","55.2%","55.3%","58.8%","57.8%","52.2%","53.5%"
"67","67","Miami (FL)","55.2%","43.3%","41.2%","57.0%","53.9%","53.4%"
"68","68","La Salle","55.2%","54.9%","43.3%","56.3%","54.3%","55.1%"
"69","69","Connecticut","55.1%","52.1%","45.9%","56.1%","53.7%","53.7%"
"70","70","Boston U","55.1%","60.9%","57.1%","55.0%","55.2%","53.4%"
"71","71","Seton Hall","54.9%","58.7%","57.9%","54.3%","55.6%","55.3%"
"72","72","Army","54.9%","47.9%","50.0%","52.2%","56.6%","51.0%"
"73","73","Loyola-Chi","54.8%","60.2%","55.6%","58.6%","51.6%","53.2%"
"74","74","S Dakota St","54.7%","63.7%","63.3%","53.0%","55.8%","54.9%"
"75","75","BYU","54.7%","53.3%","50.0%","56.0%","53.2%","55.7%"
"76","76","Houston","54.7%","55.8%","58.3%","54.0%","55.4%","54.9%"
"77","77","Utah Val St","54.7%","52.9%","61.5%","55.6%","54.1%","50.9%"
"78","78","Lehigh","54.7%","58.3%","56.8%","55.1%","54.3%","55.2%"
"79","79","Richmond","54.6%","53.2%","57.7%","55.6%","53.7%","53.1%"
"80","80","NC Central","54.6%","47.1%","25.0%","57.6%","52.9%","54.3%"
"81","81","Samford","54.6%","59.2%","50.0%","56.6%","53.3%","57.9%"
"82","82","St Josephs","54.6%","47.1%","43.8%","53.7%","55.3%","56.9%"
"83","83","Drake","54.6%","54.5%","45.7%","56.8%","52.8%","51.9%"
"84","84","Boston Col","54.5%","54.9%","46.2%","55.8%","53.0%","52.4%"
"85","85","Vermont","54.5%","57.8%","60.0%","56.8%","52.8%","53.2%"
"86","86","Canisius","54.5%","50.4%","60.0%","54.0%","55.0%","49.4%"
"87","87","Mt St Marys","54.5%","47.4%","51.4%","56.4%","53.3%","51.9%"
"88","88","Towson","54.5%","52.5%","46.9%","55.6%","53.9%","44.4%"
"89","89","Florida Intl","54.4%","50.0%","56.7%","57.2%","52.2%","51.2%"
"90","90","Georgia St","54.4%","63.9%","66.7%","55.5%","53.4%","53.7%"
"91","91","Lafayette","54.4%","52.7%","45.9%","55.2%","53.6%","53.3%"
"92","92","Charlotte","54.4%","48.3%","48.8%","54.9%","53.9%","51.7%"
"93","93","Xavier","54.3%","45.9%","45.2%","58.5%","50.8%","53.2%"
"94","94","Lg Beach St","54.3%","50.9%","37.2%","58.3%","52.1%","56.4%"
"95","95","W Kentucky","54.3%","48.5%","48.6%","55.4%","53.5%","49.2%"
"96","96","LA Monroe","54.2%","55.9%","52.9%","53.1%","55.2%","48.9%"
"97","97","St Bonavent","54.2%","58.5%","66.7%","55.0%","53.4%","54.4%"
"98","98","N Mex State","54.2%","45.1%","35.7%","56.4%","52.6%","55.9%"
"99","99","Central Mich","54.2%","54.5%","60.0%","53.1%","54.8%","47.0%"
"100","100","Oral Roberts","54.2%","58.0%","56.1%","55.7%","53.2%","57.1%"
"101","101","Morehead St","54.2%","55.3%","50.0%","55.6%","53.2%","53.3%"
"102","102","Tennessee","54.2%","58.4%","50.0%","55.6%","52.6%","54.2%"
"103","103","Morgan St","54.1%","58.7%","42.5%","53.2%","54.5%","53.5%"
"104","104","Nevada","54.1%","58.4%","54.5%","52.8%","55.7%","53.6%"
"105","105","N Arizona","54.1%","51.6%","51.6%","54.9%","53.6%","47.7%"
"106","106","Miami (OH)","54.1%","48.0%","43.8%","57.2%","51.8%","54.5%"
"107","107","Wichita St","54.1%","47.8%","51.6%","55.0%","53.4%","57.5%"
