"","Rank","Team","2016","Last 3","Last 1","Home","Away","2015"
"1","1","UCLA","1.199","1.146","1.067","1.222","1.170","1.048"
"2","2","Gonzaga","1.166","1.141","1.082","1.167","1.166","1.126"
"3","3","St Marys","1.161","1.126","0.819","1.193","1.125","1.155"
"4","4","NC-Wilmgton","1.154","1.286","1.155","1.193","1.132","1.072"
"5","5","Villanova","1.154","1.112","1.160","1.160","1.149","1.134"
"6","6","Michigan","1.143","1.236","1.419","1.176","1.097","1.104"
"7","7","Oklahoma St","1.143","1.154","1.135","1.183","1.100","0.990"
"8","8","S Methodist","1.142","1.313","1.442","1.200","1.060","1.146"
"9","9","Marquette","1.141","1.177","1.176","1.165","1.110","1.027"
"10","10","Wichita St","1.139","1.096","1.087","1.195","1.083","1.055"
"11","11","N Carolina","1.139","1.101","1.220","1.172","1.102","1.153"
"12","12","Duke","1.134","0.989","1.125","1.189","1.075","1.151"
"13","13","Kansas","1.126","1.094","1.202","1.175","1.079","1.120"
"14","14","Wake Forest","1.125","1.231","1.212","1.144","1.109","1.002"
"15","15","Kentucky","1.124","1.053","1.080","1.162","1.078","1.127"
"16","16","Notre Dame","1.123","1.034","0.998","1.156","1.076","1.128"
"17","17","Florida St","1.123","1.066","1.039","1.186","1.027","1.064"
"18","18","Creighton","1.116","1.003","1.072","1.125","1.106","1.086"
"19","19","Butler","1.116","1.134","0.999","1.180","1.044","1.109"
"20","20","W Virginia","1.115","0.986","1.113","1.161","1.047","1.084"
"21","21","Purdue","1.115","1.118","1.063","1.125","1.102","1.108"
"22","22","Oregon","1.109","1.128","1.165","1.156","1.054","1.103"
"23","23","Akron","1.108","1.113","1.014","1.117","1.101","1.076"
"24","24","Vermont","1.107","1.198","1.262","1.150","1.071","1.057"
"25","25","VA Tech","1.104","1.192","1.202","1.123","1.076","1.034"
"26","26","Indiana","1.103","1.107","1.281","1.160","1.025","1.169"
"27","27","IPFW","1.103","1.092","1.063","1.143","1.066","1.075"
"28","28","Arkansas","1.101","1.087","1.215","1.149","1.034","1.049"
"29","29","Nevada","1.099","1.211","1.155","1.131","1.073","0.982"
"30","30","Arizona","1.098","1.141","1.053","1.133","1.061","1.103"
"31","31","Cincinnati","1.097","0.961","1.058","1.196","0.950","1.064"
"32","32","Louisville","1.096","1.153","1.107","1.152","1.029","1.108"
"33","33","N Mex State","1.094","1.222","1.333","1.170","1.002","1.027"
"34","34","Fla Gulf Cst","1.094","1.180","1.150","1.069","1.122","1.036"
"35","35","Houston","1.094","0.941","1.038","1.104","1.081","1.115"
"36","36","Iowa State","1.093","1.137","0.972","1.125","1.063","1.112"
"37","37","Wm & Mary","1.093","1.134","1.240","1.233","0.996","1.088"
"38","38","Belmont","1.091","1.104","0.987","1.144","1.049","1.114"
"39","39","Utah","1.090","1.130","1.044","1.125","1.051","1.093"
"40","40","Middle Tenn","1.089","1.134","1.248","1.065","1.112","1.025"
"41","41","Hofstra","1.088","1.119","1.118","1.095","1.083","1.074"
"42","42","Syracuse","1.088","1.143","1.271","1.142","1.002","1.040"
"43","43","Central Mich","1.088","1.066","1.219","1.122","1.062","1.080"
"44","44","Texas Tech","1.087","0.910","0.746","1.169","0.958","1.042"
"45","45","USC","1.086","1.195","1.101","1.116","1.051","1.068"
"46","46","E Washingtn","1.086","1.114","0.853","1.149","1.024","1.117"
"47","47","Weber State","1.085","1.067","1.096","1.129","1.055","1.049"
"48","48","Florida","1.083","1.014","0.984","1.120","1.065","1.031"
"49","49","Clemson","1.081","1.139","1.053","1.156","1.000","1.061"
"50","50","Iona","1.080","1.148","1.190","1.088","1.076","1.072"
"51","51","LA Lafayette","1.078","1.122","1.130","1.121","1.038","1.067"
"52","52","Baylor","1.078","1.123","1.092","1.074","1.083","1.102"
"53","53","S Dakota St","1.078","1.094","1.111","1.104","1.062","1.080"
"54","54","Maryland BC","1.076","0.965","0.960","1.095","1.062","0.991"
"55","55","E Tenn St","1.076","1.101","1.206","1.161","1.017","1.053"
"56","56","Wisconsin","1.075","0.967","1.010","1.131","1.008","1.027"
"57","57","Lipscomb","1.072","1.170","1.073","1.119","1.035","1.014"
"58","58","Toledo","1.071","1.003","1.088","1.080","1.063","1.076"
"59","59","Marshall","1.071","1.118","1.241","1.114","1.028","1.077"
"60","60","Wofford","1.071","1.094","1.027","1.174","1.014","1.046"
"61","61","Albany","1.071","1.132","0.960","1.116","1.035","1.076"
"62","62","Murray St","1.071","1.025","1.010","1.147","1.025","1.046"
"63","63","LA Tech","1.071","1.134","1.309","1.122","1.015","1.041"
"64","64","Denver","1.070","1.020","0.995","1.090","1.054","1.027"
"65","65","Rice","1.070","1.085","1.063","1.058","1.082","1.041"
