"","Rank","Team","2014","Last 3","Last 1","Home","Away","2013"
"1","1","Quinnipiac","41.1%","44.5%","53.8%","42.3%","39.6%","40.1%"
"2","2","Baylor","40.7%","36.3%","45.8%","45.1%","36.3%","38.6%"
"3","3","St Fran (NY)","39.6%","43.4%","31.6%","44.0%","35.8%","32.5%"
"4","4","N Mex State","39.4%","36.4%","31.4%","42.8%","36.0%","37.0%"
"5","5","Nevada","39.0%","37.1%","50.0%","38.4%","39.5%","29.3%"
"6","6","Kentucky","38.8%","32.5%","22.2%","42.9%","35.0%","41.4%"
"7","7","Towson","38.5%","39.4%","46.2%","39.9%","37.6%","35.5%"
"8","8","W Virginia","38.5%","33.0%","28.6%","40.3%","37.0%","30.9%"
"9","9","N Carolina","38.4%","38.2%","26.7%","40.7%","36.9%","36.3%"
"10","10","Texas","37.3%","36.6%","30.3%","40.9%","33.5%","38.7%"
"11","11","GA Tech","37.0%","42.3%","48.7%","38.8%","35.3%","31.2%"
"12","12","Ste F Austin","36.1%","31.3%","30.0%","35.8%","36.4%","36.5%"
"13","13","Wagner","36.0%","36.0%","33.3%","35.3%","36.5%","32.5%"
"14","14","Stony Brook","35.9%","35.1%","40.0%","37.9%","34.6%","33.2%"
"15","15","Cincinnati","35.9%","35.1%","42.2%","36.1%","35.7%","38.1%"
"16","16","Memphis","35.9%","31.7%","29.3%","40.5%","30.0%","34.8%"
"17","17","TX Christian","35.9%","34.3%","25.0%","39.1%","31.3%","22.7%"
"18","18","Houston Bap","35.6%","35.9%","29.7%","35.9%","35.4%","28.9%"
"19","19","Jackson St","35.6%","39.5%","42.9%","38.2%","33.9%","33.2%"
"20","20","Purdue","35.2%","38.1%","43.2%","39.1%","31.1%","34.5%"
"21","21","N Illinois","35.1%","31.4%","34.5%","34.4%","35.8%","34.2%"
"22","22","TN Tech","35.0%","34.4%","38.2%","35.0%","35.0%","34.5%"
"23","23","S Methodist","35.0%","33.3%","27.8%","35.1%","34.9%","33.6%"
"24","24","Old Dominion","35.0%","31.7%","28.9%","37.2%","32.1%","32.3%"
