"","Rank","Team","2015","Last 3","Last 1","Home","Away","2014"
"1","1","W Virginia","41.3%","36.3%","40.5%","43.3%","39.5%","38.5%"
"2","2","S Methodist","40.1%","38.5%","35.3%","44.2%","34.8%","35.0%"
"3","3","N Carolina","40.0%","48.3%","40.0%","40.6%","39.5%","38.4%"
"4","4","Baylor","39.3%","32.4%","34.1%","43.5%","33.8%","40.7%"
"5","5","Yale","38.3%","38.8%","43.9%","39.4%","37.6%","32.7%"
"6","6","Towson","37.2%","43.3%","29.4%","38.0%","36.7%","38.5%"
"7","7","Quinnipiac","37.2%","28.4%","20.8%","38.7%","35.8%","41.1%"
"8","8","Louisville","37.2%","30.7%","32.4%","39.8%","32.8%","33.7%"
"9","9","Siena","37.2%","37.8%","22.2%","36.4%","37.7%","34.1%"
"10","10","Morehead St","36.7%","32.8%","30.8%","43.2%","32.5%","32.2%"
"11","11","LA Lafayette","36.6%","33.7%","36.6%","38.1%","35.6%","33.1%"
"12","12","GA Tech","36.3%","38.3%","29.2%","36.4%","36.2%","37.0%"
"13","13","Kentucky","36.1%","27.8%","28.1%","40.3%","32.4%","38.8%"
"14","14","Michigan St","36.0%","28.7%","32.0%","38.1%","34.1%","32.5%"
"15","15","Wagner","36.0%","33.9%","21.7%","36.3%","35.7%","36.0%"
"16","16","Indiana","36.0%","29.8%","35.3%","40.0%","32.3%","33.0%"
"17","17","Cincinnati","35.9%","34.8%","29.6%","38.1%","33.6%","35.9%"
"18","18","Kansas St","35.9%","37.9%","27.0%","36.8%","35.0%","30.9%"
"19","19","S Carolina","35.6%","31.5%","13.3%","35.8%","35.5%","32.4%"
"20","20","N Mex State","35.4%","35.9%","35.0%","39.2%","31.9%","39.4%"
"21","21","Mercer","35.1%","34.6%","30.6%","37.0%","34.1%","31.4%"
"22","22","TX-Arlington","35.1%","40.0%","38.9%","33.9%","35.9%","29.4%"
"23","23","Houston","35.0%","24.2%","14.3%","37.2%","32.0%","33.2%"
"24","24","Old Dominion","35.0%","32.3%","41.9%","37.2%","33.6%","35.0%"
"25","25","Pittsburgh","35.0%","28.4%","22.6%","37.3%","32.0%","31.8%"
"26","26","NC State","34.6%","32.4%","28.6%","35.1%","34.0%","32.5%"
"27","27","Kent State","34.4%","37.4%","40.5%","35.0%","33.8%","32.8%"
