"","Rank","Team","2015","Last 3","Last 1","Home","Away","2014"
"1","1","W Virginia","14.6","12.3","15.0","16.8","13.0","14.2"
"2","2","Quinnipiac","14.1","9.7","5.0","14.5","13.7","14.5"
"3","3","N Carolina","12.8","14.0","14.0","13.4","12.4","11.8"
"4","4","TX-Arlington","12.7","12.7","14.0","12.5","12.8","9.3"
"5","5","Towson","12.6","15.0","10.0","13.1","12.2","11.8"
"6","6","LA Lafayette","12.6","11.7","15.0","12.1","12.9","10.7"
"7","7","Baylor","12.4","11.7","14.0","13.5","10.9","12.9"
"8","8","Morehead St","12.3","12.7","12.0","14.2","11.1","10.0"
"9","9","New Orleans","12.2","15.7","12.0","12.6","12.1","10.2"
"10","10","Washington","12.2","10.7","11.0","12.8","11.6","8.7"
"11","11","Wagner","12.1","12.7","10.0","11.9","12.2","12.6"
"12","12","Louisville","12.1","10.3","12.0","13.1","10.4","11.7"
"13","13","Cincinnati","12.0","13.3","8.0","12.3","11.7","10.0"
"14","14","S Carolina","12.0","9.7","4.0","12.1","11.8","10.2"
"15","15","NC State","11.9","11.3","8.0","11.8","11.9","10.5"
"16","16","S Methodist","11.9","11.7","12.0","13.1","10.3","9.9"
"17","17","Kansas St","11.8","13.0","10.0","11.5","12.1","8.7"
"18","18","Yale","11.7","11.0","18.0","11.4","11.9","9.5"
"19","19","Hampton","11.6","7.7","7.0","13.2","10.9","10.2"
"20","20","GA Tech","11.6","10.3","7.0","11.5","11.7","12.4"
"21","21","Florida","11.5","10.0","11.0","12.6","10.6","9.3"
"22","22","Kent State","11.5","13.3","15.0","11.5","11.4","10.0"
"23","23","Seton Hall","11.4","9.0","11.0","11.6","11.3","10.8"
"24","24","Lamar","11.4","7.0","3.0","12.2","10.7","9.8"
"25","25","Old Dominion","11.4","10.0","13.0","12.0","11.0","11.1"
"26","26","N Mex State","11.4","12.3","14.0","13.1","9.9","11.2"
"27","27","Geo Mason","11.4","14.7","16.0","12.1","10.8","10.8"
"28","28","Siena","11.4","11.3","6.0","10.8","11.8","10.8"
"29","29","Mississippi","11.3","12.7","13.0","11.1","11.4","10.4"
"30","30","Houston","11.3","7.3","4.0","12.3","9.9","11.3"
"31","31","Colorado","11.2","12.7","8.0","11.8","10.6","10.2"
"32","32","Kentucky","11.2","8.3","9.0","12.3","10.2","11.3"
"33","33","Texas A&M","11.2","12.0","13.0","11.2","11.2","9.4"
"34","34","LIU-Brooklyn","11.1","12.7","9.0","11.4","10.9","10.0"
"35","35","Montana St","11.0","10.3","14.0","10.5","11.3","9.0"
"36","36","IL-Chicago","11.0","8.3","8.0","10.5","11.5","8.8"
"37","37","Mercer","11.0","12.3","11.0","10.9","11.0","9.3"
"38","38","Stony Brook","11.0","15.3","20.0","10.6","11.3","12.4"
"39","39","Wake Forest","11.0","12.3","19.0","10.7","11.2","10.0"
"40","40","Michigan St","10.9","7.7","8.0","12.4","9.7","10.0"
"41","41","WI-Grn Bay","10.9","6.0","3.0","12.1","10.3","9.9"
"42","42","S Florida","10.9","12.0","10.0","10.8","11.1","8.9"
"43","43","Tennessee","10.9","9.3","7.0","11.4","10.4","10.4"
"44","44","Sacred Hrt","10.9","12.7","14.0","11.4","10.6","10.7"
"45","45","Valparaiso","10.9","7.3","8.0","10.9","10.9","9.5"
"46","46","UCLA","10.9","9.7","10.0","10.8","11.0","10.4"
"47","47","Jackson St","10.9","8.0","8.0","11.2","10.7","11.8"
"48","48","Memphis","10.9","10.3","4.0","11.6","9.8","11.5"
"49","49","CS Bakersfld","10.8","9.7","10.0","11.1","10.6","9.6"
"50","50","TX Southern","10.8","13.7","10.0","12.0","10.3","8.9"
"51","51","Pittsburgh","10.8","8.3","7.0","11.4","9.9","9.7"
"52","52","Army","10.8","9.7","10.0","10.9","10.7","8.7"
"53","53","Xavier","10.7","12.3","3.0","10.6","10.8","8.4"
"54","54","VCU","10.7","9.3","10.0","11.8","9.7","10.7"
"55","55","Gard-Webb","10.7","12.7","19.0","11.1","10.4","9.0"
"56","56","Colorado St","10.7","10.0","13.0","11.7","9.8","10.4"
"57","57","Radford","10.7","8.3","12.0","10.2","11.0","10.4"
"58","58","Beth-Cook","10.6","9.0","10.0","10.0","10.9","9.4"
"59","59","Coppin State","10.6","10.3","8.0","10.4","10.7","8.5"
"60","60","Nevada","10.6","9.0","10.0","10.5","10.7","12.8"
"61","61","Hofstra","10.5","8.3","9.0","11.5","10.0","10.4"
"62","62","Howard","10.5","10.0","12.0","11.2","10.0","8.9"
"63","63","Dartmouth","10.5","9.7","11.0","11.3","9.7","9.3"
"64","64","Detroit","10.4","14.3","12.0","10.8","10.1","8.5"
"65","65","Tulane","10.4","9.7","8.0","11.1","9.9","9.7"
"66","66","Syracuse","10.4","13.3","16.0","9.8","10.9","10.5"
"67","67","Indiana","10.4","8.3","12.0","11.4","9.4","10.2"
"68","68","Buffalo","10.4","8.7","5.0","9.2","11.2","10.8"
"69","69","San Fransco","10.4","13.0","6.0","11.5","9.0","8.7"
"70","70","Alcorn State","10.3","10.0","11.0","10.4","10.3","9.6"
"71","71","St Fran (NY)","10.3","9.3","7.0","11.1","9.7","13.4"
"72","72","SIU Edward","10.2","11.0","14.0","11.0","9.5","8.2"
"73","73","Alabama St","10.2","9.0","9.0","11.7","9.6","11.2"
"74","74","Duke","10.2","7.0","4.0","11.6","8.8","10.2"
"75","75","Arizona St","10.2","10.7","12.0","10.2","10.3","8.9"
"76","76","San Diego St","10.1","11.7","13.0","11.2","9.1","10.4"
"77","77","Chicago St","10.1","11.7","12.0","8.5","11.0","10.3"
"78","78","Florida St","10.1","11.0","5.0","8.9","11.1","8.3"
"79","79","Oakland","10.1","6.3","6.0","10.7","9.8","8.8"
"80","80","Albany","10.1","13.0","9.0","9.4","10.7","8.4"
"81","81","NC-Wilmgton","10.1","10.7","9.0","9.8","10.3","10.1"
"82","82","Niagara","10.1","10.0","8.0","9.8","10.2","9.5"
"83","83","Iowa","10.1","10.7","8.0","10.6","9.6","10.6"
"84","84","Oregon","10.1","9.0","11.0","10.7","9.5","8.6"
"85","85","BYU","10.0","6.7","10.0","9.8","10.2","9.8"
"86","86","LSU","10.0","11.0","13.0","9.6","10.5","10.4"
"87","87","NC Central","10.0","9.7","6.0","10.3","9.8","7.7"
"88","88","Geo Wshgtn","10.0","10.3","5.0","10.9","9.0","11.0"
"89","89","Austin Peay","10.0","11.3","11.0","9.8","10.1","10.4"
"90","90","St Fran (PA)","10.0","11.0","12.0","10.1","9.9","7.4"
"91","91","W Kentucky","9.9","8.3","4.0","9.7","10.1","9.4"
"92","92","App State","9.9","10.3","9.0","9.8","10.0","9.6"
"93","93","TN State","9.9","11.3","10.0","10.8","9.4","7.7"
"94","94","SC Upstate","9.9","8.3","5.0","10.8","9.1","10.8"
"95","95","USC","9.9","10.0","5.0","9.9","9.9","10.0"
"96","96","SE Missouri","9.9","10.3","4.0","10.4","9.6","9.7"
"97","97","Ste F Austin","9.9","11.0","12.0","9.1","10.2","10.2"
"98","98","E Michigan","9.9","10.0","10.0","10.2","9.6","9.0"
"99","99","UMKC","9.9","9.3","7.0","10.7","9.4","9.2"
"100","100","Canisius","9.8","9.3","7.0","11.1","8.9","10.3"
"101","101","Grand Canyon","9.8","10.0","12.0","10.7","8.8","7.0"
"102","102","S Alabama","9.8","5.3","1.0","10.7","9.3","8.9"
"103","103","Cal Poly","9.8","12.0","11.0","11.5","8.9","9.7"
"104","104","Purdue","9.8","6.7","10.0","10.7","8.8","10.3"
"105","105","Texas","9.8","7.3","8.0","10.6","8.9","10.9"
"106","106","N Illinois","9.8","9.0","9.0","10.3","9.3","10.5"
"107","107","Arizona","9.7","11.3","6.0","9.2","10.4","9.7"
"108","108","Coastal Car","9.7","9.7","8.0","10.5","8.9","10.2"
"109","109","Providence","9.7","6.0","5.0","10.9","8.6","9.9"
"110","110","Central Ark","9.7","9.0","8.0","10.0","9.6","7.7"
"111","111","Morgan St","9.7","8.7","10.0","9.7","9.7","12.5"
"112","112","Fresno St","9.7","5.7","4.0","10.6","8.9","6.9"
"113","113","Charlotte","9.7","9.0","10.0","9.5","9.8","10.7"
"114","114","Oklahoma","9.6","12.3","16.0","10.3","9.2","9.7"
"115","115","W Carolina","9.6","12.7","11.0","9.0","10.0","10.7"
"116","116","Loyola Mymt","9.6","8.3","7.0","9.6","9.6","9.7"
"117","117","UAB","9.6","9.7","6.0","9.9","9.4","10.2"
"118","118","Central Conn","9.6","9.7","10.0","10.1","9.2","9.2"
"119","119","Fla Gulf Cst","9.6","9.7","11.0","9.6","9.7","10.3"
"120","120","St Peters","9.6","10.7","12.0","9.3","9.9","9.2"
"121","121","McNeese St","9.6","8.7","14.0","9.8","9.4","11.8"
"122","122","Wisconsin","9.6","8.7","12.0","9.3","9.8","8.4"
"123","123","Alab A&M","9.6","12.7","15.0","9.1","9.8","10.8"
"124","124","California","9.6","9.3","9.0","10.4","8.6","7.5"
"125","125","TX A&M-CC","9.5","8.3","6.0","9.8","9.4","8.4"
"126","126","Wichita St","9.5","9.7","14.0","9.9","9.2","9.9"
"127","127","Nebraska","9.5","9.7","10.0","10.6","8.2","7.8"
"128","128","Idaho","9.5","9.3","8.0","10.1","9.1","8.7"
"129","129","Georgia","9.5","9.7","9.0","9.5","9.5","9.4"
"130","130","Temple","9.5","12.3","10.0","10.2","8.9","10.5"
"131","131","Pepperdine","9.5","10.3","12.0","11.0","8.5","7.7"
"132","132","W Michigan","9.5","10.0","9.0","8.9","9.9","8.1"
"133","133","Ohio State","9.5","9.7","9.0","9.7","9.1","9.7"
"134","134","Chattanooga","9.5","8.3","7.0","9.1","9.7","9.5"
"135","135","N Hampshire","9.4","8.0","8.0","9.8","9.2","7.6"
"136","136","Stanford","9.4","6.7","10.0","8.8","10.2","9.6"
"137","137","Citadel","9.4","13.0","10.0","8.5","10.1","6.9"
"138","138","S Illinois","9.4","12.7","12.0","9.8","9.0","8.5"
"139","139","North Texas","9.4","10.3","10.0","9.0","9.9","9.3"
"140","140","TX Christian","9.4","8.3","12.0","9.0","9.9","11.9"
"141","141","CS Fullerton","9.4","8.7","7.0","10.5","8.7","8.7"
"142","142","St Bonavent","9.4","10.0","12.0","9.6","9.1","10.3"
"143","143","UNLV","9.4","9.0","7.0","10.1","8.7","7.9"
"144","144","Arkansas","9.4","9.7","11.0","9.4","9.3","11.6"
