"","Rank","Team","2016","Last 3","Last 1","Home","Away","2015"
"1","1","Virginia","23.3","19.7","15.0","22.2","24.5","26.8"
"2","2","Old Dominion","27.4","28.3","35.0","26.0","28.8","26.7"
"3","3","Middle Tenn","27.5","34.3","36.0","28.9","26.4","31.6"
"4","4","Albany","27.7","24.3","24.0","27.1","28.1","31.5"
"5","5","Cincinnati","27.9","24.3","23.0","29.3","26.0","29.4"
"6","6","Alabama","27.9","22.7","22.0","28.9","27.0","31.6"
"7","7","Gonzaga","27.9","24.0","18.0","28.6","27.3","29.5"
"8","8","St Marys","28.0","28.7","39.0","29.2","26.5","27.9"
"9","9","S Methodist","28.0","27.3","24.0","26.3","30.3","30.4"
"10","10","Illinois St","28.0","28.7","33.0","27.5","28.4","31.7"
"11","11","Texas State","28.2","31.0","30.0","27.1","29.1","30.8"
"12","12","Princeton","28.3","29.3","22.0","27.1","29.0","30.5"
"13","13","San Diego St","28.3","19.7","25.0","26.2","29.9","30.2"
"14","14","St Peters","28.3","27.3","24.0","27.2","29.0","31.1"
"15","15","Miami (FL)","28.4","28.3","37.0","26.4","30.6","29.9"
"16","16","Central FL","28.4","29.7","29.0","25.9","31.3","33.6"
"17","17","Villanova","28.5","29.7","28.0","26.7","30.2","28.7"
"18","18","California","28.7","30.0","22.0","25.7","33.2","29.5"
"19","19","Liberty","28.9","26.7","29.0","28.5","29.3","32.2"
"20","20","CS Bakersfld","29.0","26.0","37.0","29.0","29.0","28.3"
"21","21","TN State","29.0","27.3","28.0","29.6","28.7","32.0"
"22","22","Wisconsin","29.1","33.0","29.0","27.0","31.7","28.9"
"23","23","Wichita St","29.4","25.0","25.0","27.2","31.5","26.9"
"24","24","UC Irvine","29.4","30.7","23.0","28.3","30.1","30.1"
"25","25","Louisville","29.5","31.3","27.0","29.6","29.3","28.8"
"26","26","Navy","29.5","29.3","31.0","27.9","31.0","28.4"
"27","27","Vermont","29.7","21.0","20.0","28.5","30.6","32.9"
"28","28","UC Davis","29.7","32.3","41.0","28.0","30.5","31.5"
"29","29","Florida","29.7","29.0","31.0","27.5","30.8","32.4"
"30","30","NC Central","29.8","34.0","35.0","29.0","30.2","31.6"
"31","31","Minnesota","29.8","27.3","27.0","28.1","32.9","35.0"
"32","32","Houston","29.9","34.7","32.0","29.6","30.1","31.1"
"33","33","Holy Cross","29.9","24.7","19.0","26.6","32.4","32.0"
"34","34","Providence","29.9","28.0","25.0","27.9","32.8","32.2"
"35","35","Furman","30.0","34.7","31.0","27.8","31.6","31.2"
"36","36","Fresno St","30.0","24.7","24.0","29.0","30.9","34.0"
"37","37","Rhode Island","30.1","29.0","33.0","30.2","30.1","29.6"
"38","38","Baylor","30.2","31.7","29.0","28.5","32.2","32.9"
"39","39","Col Charlestn","30.3","28.0","31.0","28.1","31.8","29.8"
"40","40","W Virginia","30.3","33.3","42.0","30.1","30.6","31.8"
"41","41","Northwestern","30.3","33.7","37.0","29.3","31.7","30.0"
"42","42","E Carolina","30.3","31.3","33.0","28.1","33.0","33.0"
"43","43","N Iowa","30.3","32.0","31.0","28.5","31.6","29.8"
"44","44","Arizona","30.4","35.7","29.0","28.2","32.6","33.2"
"45","45","Rob Morris","30.4","31.3","31.0","29.9","30.6","33.3"
"46","46","Michigan","30.4","29.7","29.0","28.9","32.4","31.9"
"47","47","Missouri St","30.5","35.0","37.0","29.5","31.4","34.3"
"48","48","Oregon","30.6","30.3","24.0","28.4","33.1","32.8"
"49","49","Temple","30.6","26.0","26.0","28.7","32.7","31.8"
"50","50","San Fransco","30.6","29.3","33.0","30.0","31.2","37.8"
"51","51","S Carolina","30.7","33.7","42.0","29.5","32.2","33.5"
"52","52","Rutgers","30.7","31.3","27.0","29.6","31.7","37.7"
"53","53","N Hampshire","30.8","32.7","37.0","28.6","32.4","31.7"
"54","54","Vanderbilt","30.8","29.0","40.0","32.6","29.0","29.2"
"55","55","Evansville","30.9","31.0","43.0","28.6","33.1","31.6"
"56","56","American","30.9","28.3","30.0","29.5","32.3","30.3"
"57","57","Texas A&M","31.0","23.0","32.0","28.1","34.3","32.0"
"58","58","GA Tech","31.0","31.7","29.0","27.2","36.4","33.5"
"59","59","NC-Asheville","31.0","31.7","36.0","30.7","31.3","32.4"
"60","60","Jackson St","31.2","25.7","25.0","28.4","32.9","29.8"
"61","61","VCU","31.2","34.3","25.0","29.8","32.8","30.1"
"62","62","Arkansas St","31.3","32.3","35.0","29.3","32.6","37.4"
"63","63","Morgan St","31.3","29.3","35.0","28.2","34.1","35.0"
"64","64","Bucknell","31.3","23.7","32.0","29.1","33.2","33.6"
"65","65","Utah","31.4","26.3","28.0","30.7","32.2","31.2"
"66","66","Dayton","31.4","44.3","50.0","28.7","34.4","30.0"
"67","67","Mercer","31.5","30.0","34.0","30.2","32.5","29.7"
"68","68","Samford","31.5","30.7","41.0","32.6","30.7","35.0"
"69","69","Abilene Christian","31.6","33.7","30.0","29.2","33.1","34.7"
"70","70","Chattanooga","31.6","31.0","31.0","28.9","33.5","31.5"
"71","71","N Illinois","31.6","36.0","33.0","31.6","31.5","33.1"
"72","72","Georgia St","31.6","32.0","32.0","31.5","31.7","29.5"
"73","73","U Penn","31.6","34.3","35.0","32.9","30.6","34.5"
"74","74","Connecticut","31.7","34.0","33.0","31.9","31.5","29.7"
"75","75","Valparaiso","31.7","32.7","16.0","29.7","33.8","28.2"
"76","76","LA Tech","31.7","38.0","33.0","30.4","33.1","33.8"
"77","77","Duke","31.7","31.0","48.0","31.5","32.0","35.1"
"78","78","E Tenn St","31.8","33.7","38.0","34.2","30.1","36.0"
"79","79","NC-Wilmgton","31.8","31.3","25.0","29.8","33.0","34.0"
"80","80","Towson","31.8","28.7","21.0","32.1","31.6","31.5"
"81","81","Jksnville St","31.8","26.7","23.0","31.4","32.0","33.8"
"82","82","Richmond","31.8","26.0","26.0","32.1","31.5","32.6"
"83","83","Ohio","31.9","28.7","19.0","30.9","33.0","33.4"
"84","84","Grand Canyon","31.9","26.3","23.0","29.5","34.9","31.6"
"85","85","Syracuse","32.0","33.3","26.0","28.4","37.6","29.5"
"86","86","Maryland","32.0","34.3","28.0","32.5","31.4","31.6"
"87","87","Fordham","32.0","31.0","25.0","31.1","33.1","32.0"
"88","88","UAB","32.0","34.3","38.0","29.5","34.5","32.4"
"89","89","Mt St Marys","32.1","33.3","31.0","29.9","33.7","32.5"
"90","90","Butler","32.1","33.7","35.0","32.2","31.9","32.0"
"91","91","Purdue","32.1","38.0","37.0","28.2","36.9","29.3"
"92","92","Idaho","32.1","30.0","29.0","30.7","33.3","30.2"
"93","93","James Mad","32.2","30.0","30.0","32.0","32.3","30.1"
"94","94","Elon","32.2","34.0","30.0","34.7","30.5","35.6"
"95","95","SE Louisiana","32.2","32.7","27.0","28.8","34.6","35.6"
"96","96","LA Monroe","32.2","33.3","34.0","29.2","34.3","31.6"
"97","97","Santa Clara","32.2","37.7","37.0","30.1","34.4","34.2"
"98","98","N Mex State","32.2","36.7","44.0","32.1","32.4","29.7"
"99","99","Winthrop","32.2","31.3","34.0","31.5","32.9","35.5"
"100","100","Harvard","32.2","34.0","31.0","30.7","33.7","30.9"
"101","101","Colorado St","32.2","38.0","40.0","32.8","31.5","34.7"
"102","102","Wagner","32.2","35.0","35.0","32.2","32.3","30.0"
"103","103","Kansas St","32.3","28.0","22.0","30.5","34.1","31.7"
"104","104","Xavier","32.3","37.3","30.0","31.9","32.7","33.6"
"105","105","NC-Grnsboro","32.3","36.3","31.0","29.2","34.9","34.9"
"106","106","New Orleans","32.3","29.7","27.0","27.0","36.3","38.3"
"107","107","TX-San Ant","32.4","35.0","31.0","29.5","34.5","40.0"
"108","108","N Kentucky","32.5","27.3","28.0","34.0","31.6","37.1"
"109","109","Notre Dame","32.5","28.7","30.0","30.3","35.5","35.6"
"110","110","Geo Wshgtn","32.5","36.7","33.0","29.8","35.4","30.8"
"111","111","Campbell","32.5","34.0","41.0","31.5","33.2","34.9"
"112","112","Lamar","32.5","34.7","35.0","28.5","35.2","37.8"
"113","113","WI-Milwkee","32.5","24.3","31.0","33.8","31.8","34.9"
"114","114","Cal Poly","32.5","31.7","27.0","30.0","33.9","35.4"
"115","115","Ste F Austin","32.6","34.0","26.0","31.1","33.6","30.8"
"116","116","Hawaii","32.6","32.0","45.0","31.8","34.0","30.9"
"117","117","LIU-Brooklyn","32.6","30.7","26.0","30.3","34.0","34.0"
"118","118","CS Fullerton","32.6","28.3","36.0","31.8","33.3","32.8"
"119","119","Texas Tech","32.7","36.0","34.0","31.8","34.2","33.2"
"120","120","Lehigh","32.8","30.7","26.0","31.9","33.4","32.4"
"121","121","Loyola-Chi","32.8","29.7","23.0","30.5","34.8","29.3"
"122","122","TX-Arlington","32.8","32.3","37.0","32.4","33.1","32.1"
"123","123","Binghamton","32.8","36.0","39.0","31.2","33.9","31.4"
"124","124","Boston U","32.9","30.7","37.0","33.6","32.2","33.2"
"125","125","Boise State","32.9","31.0","32.0","32.0","33.7","33.6"
"126","126","Davidson","32.9","34.7","32.0","31.8","33.8","37.6"
"127","127","AR Lit Rock","32.9","27.7","23.0","31.1","34.4","28.8"
"128","128","S Illinois","32.9","31.3","43.0","33.1","32.8","32.7"
"129","129","Georgia","33.0","37.3","38.0","33.3","32.6","31.1"
"130","130","Montana","33.0","33.7","35.0","32.8","33.1","31.2"
"131","131","San Diego","33.0","35.7","32.0","33.4","32.6","32.1"
"132","132","E Washingtn","33.0","37.0","37.0","30.1","35.8","34.3"
"133","133","TX A&M-CC","33.0","33.3","31.0","28.8","36.1","33.2"
"134","134","Kentucky","33.1","28.7","28.0","32.4","33.9","30.7"
"135","135","Troy","33.1","31.7","23.0","31.2","34.6","34.3"
"136","136","Wright State","33.2","27.3","29.0","31.6","34.5","30.8"
"137","137","Seattle","33.2","34.7","29.0","30.8","35.6","30.4"
"138","138","Colgate","33.2","39.3","32.0","31.3","34.2","32.7"
"139","139","Colorado","33.2","32.3","25.0","31.9","34.7","32.6"
"140","140","Toledo","33.2","31.0","28.0","29.1","37.1","34.0"
"141","141","Clemson","33.2","30.7","28.0","32.1","34.4","30.5"
"142","142","TX Christian","33.2","33.3","33.0","31.9","35.2","35.2"
"143","143","Gard-Webb","33.2","29.7","23.0","33.2","33.3","33.0"
"144","144","Akron","33.2","31.3","28.0","31.4","34.9","31.6"
"145","145","Oklahoma","33.2","26.3","31.0","31.9","34.5","32.8"
"146","146","High Point","33.2","33.0","39.0","29.3","36.7","33.5"
"147","147","Pittsburgh","33.2","27.7","26.0","34.2","32.1","31.8"
"148","148","Loyola-MD","33.3","29.3","35.0","31.0","35.0","33.8"
"149","149","Radford","33.3","27.0","29.0","30.8","34.9","34.4"
"150","150","UC Riverside","33.3","35.3","33.0","31.3","34.7","33.0"
"151","151","Delaware","33.3","42.7","41.0","29.7","35.6","34.0"
"152","152","Michigan St","33.4","34.3","27.0","31.0","35.9","30.9"
"153","153","Geo Mason","33.4","33.0","35.0","32.3","34.5","32.6"
"154","154","Fla Gulf Cst","33.4","33.3","39.0","31.4","35.6","33.7"
"155","155","Missouri","33.4","37.0","54.0","30.1","37.6","35.2"
"156","156","Sam Hous St","33.4","34.7","31.0","32.5","34.1","34.1"
"157","157","TX El Paso","33.4","28.7","25.0","30.9","36.1","34.4"
"158","158","Saint Louis","33.4","28.7","33.0","35.3","30.8","32.2"
"159","159","N Colorado","33.4","32.0","22.0","33.3","33.5","40.6"
"160","160","Indiana","33.5","35.3","40.0","29.9","38.3","33.8"
"161","161","Cleveland St","33.5","33.7","33.0","28.7","35.9","33.5"
"162","162","Army","33.5","33.3","36.0","31.7","35.4","33.5"
"163","163","Seton Hall","33.5","31.7","38.0","31.9","34.9","31.4"
"164","164","Yale","33.5","36.0","37.0","32.5","34.4","30.5"
"165","165","Hampton","33.5","36.3","45.0","33.2","33.8","36.2"
"166","166","Pacific","33.7","32.7","27.0","31.3","35.7","33.9"
"167","167","Tennessee","33.7","38.7","36.0","33.5","34.0","34.7"
"168","168","Wofford","33.8","35.3","35.0","33.1","34.1","31.7"
"169","169","Portland","33.8","34.7","32.0","34.2","33.5","37.9"
"170","170","Central Conn","33.8","36.0","38.0","30.4","36.2","36.5"
"171","171","New Mexico","33.8","32.7","24.0","30.7","36.9","33.6"
"172","172","Bradley","33.8","31.3","42.0","31.1","35.9","35.1"
"173","173","Kent State","33.8","40.0","53.0","33.6","34.1","32.7"
"174","174","N Carolina","33.8","33.7","46.0","32.8","34.9","33.2"
"175","175","Belmont","33.9","31.3","31.0","33.8","33.9","36.8"
"176","176","Nevada","33.9","32.0","42.0","33.3","34.4","33.3"
"177","177","Stony Brook","33.9","30.0","32.0","32.0","36.0","31.0"
"178","178","North Texas","34.0","46.0","45.0","33.1","35.2","36.1"
"179","179","GA Southern","34.0","28.7","28.0","32.6","34.7","35.3"
"180","180","Nebraska","34.0","38.3","45.0","32.4","35.6","31.6"
"181","181","S Alabama","34.0","33.3","37.0","30.9","37.3","35.2"
"182","182","Stanford","34.0","36.7","26.0","34.1","33.8","33.4"
"183","183","Illinois","34.0","30.3","30.0","33.1","35.0","33.9"
"184","184","Northeastrn","34.0","40.7","37.0","29.9","36.2","31.5"
"185","185","Sac State","34.0","30.7","43.0","34.9","33.4","36.1"
"186","186","TX Southern","34.0","38.3","31.0","28.9","36.4","34.0"
"187","187","Ohio State","34.0","40.3","54.0","31.8","37.6","31.5"
"188","188","Kansas","34.1","33.0","40.0","33.3","34.8","31.7"
"189","189","Ball State","34.1","35.3","32.0","34.1","34.1","31.8"
"190","190","E Kentucky","34.1","33.0","35.0","32.3","35.4","37.3"
"191","191","Air Force","34.1","39.0","49.0","34.2","34.0","34.6"
"192","192","St Fran (PA)","34.1","28.0","23.0","31.6","35.9","34.7"
"193","193","USC","34.1","36.0","33.0","32.5","36.1","35.3"
"194","194","Tulsa","34.1","39.0","43.0","32.3","36.0","32.4"
"195","195","Oakland","34.1","40.3","43.0","32.8","35.7","36.2"
"196","196","Maryland BC","34.2","28.3","36.0","32.3","35.6","37.8"
"197","197","Utah State","34.2","31.3","33.0","31.7","36.6","34.3"
"198","198","Florida St","34.2","35.0","34.0","32.8","36.1","33.7"
"199","199","Weber State","34.2","36.7","35.0","33.0","35.1","32.6"
"200","200","Delaware St","34.2","27.7","27.0","30.4","35.9","34.6"
"201","201","Texas","34.3","38.0","40.0","33.3","35.4","32.7"
"202","202","E Illinois","34.3","33.7","37.0","35.7","33.1","35.2"
"203","203","Ark Pine Bl","34.3","37.0","44.0","33.1","34.9","32.6"
"204","204","E Michigan","34.3","27.7","29.0","31.8","36.1","35.7"
"205","205","Monmouth","34.3","29.0","25.0","34.6","34.1","33.5"
"206","206","Florida Intl","34.4","34.3","32.0","35.7","33.4","33.0"
"207","207","Miss State","34.4","33.0","30.0","32.9","36.5","35.1"
"208","208","Indiana St","34.4","31.3","44.0","34.4","34.5","32.1"
"209","209","St Bonavent","34.4","31.0","23.0","35.7","33.2","33.4"
"210","210","W Kentucky","34.5","36.0","35.0","33.6","35.1","34.2"
"211","211","U Mass","34.5","32.0","30.0","34.2","35.0","34.2"
"212","212","Memphis","34.5","42.3","48.0","31.4","38.8","33.5"
"213","213","Montana St","34.5","30.3","29.0","35.6","33.5","35.6"
"214","214","Hartford","34.6","38.0","51.0","32.5","36.2","35.5"
"215","215","Norfolk St","34.6","30.7","25.0","32.3","35.9","34.8"
"216","216","Howard","34.7","28.7","22.0","33.0","35.5","37.1"
"217","217","Tulane","34.7","32.7","29.0","34.6","34.8","33.3"
"218","218","Alcorn State","34.8","36.7","29.0","30.0","37.6","33.5"
"219","219","Loyola Mymt","34.8","34.3","42.0","33.4","36.5","34.0"
"220","220","Creighton","34.8","38.3","52.0","33.2","36.6","33.7"
"221","221","Penn State","34.8","42.0","47.0","33.7","36.0","32.7"
"222","222","UCSB","34.8","29.0","23.0","32.7","36.5","31.7"
"223","223","North Dakota","34.8","32.7","40.0","34.4","35.1","31.6"
"224","224","S Mississippi","34.9","39.7","49.0","32.2","36.9","32.8"
"225","225","Oregon St","35.0","38.0","32.0","31.7","38.3","32.8"
"226","226","Denver","35.0","43.3","43.0","31.9","37.4","28.8"
"227","227","Bowling Grn","35.1","34.0","32.0","33.2","37.0","35.2"
"228","228","TN Tech","35.1","33.0","29.0","35.1","35.1","36.4"
"229","229","Coastal Car","35.1","40.7","48.0","32.7","37.6","30.1"
"230","230","N Dakota St","35.1","40.0","37.0","36.2","34.4","30.9"
"231","231","Dartmouth","35.1","46.3","52.0","34.8","35.4","32.0"
"232","232","Prairie View","35.2","36.0","39.0","33.1","36.3","33.4"
"233","233","LA Lafayette","35.2","36.3","43.0","34.4","35.9","35.4"
"234","234","Alabama St","35.2","38.0","38.0","33.9","35.9","35.7"
"235","235","Marquette","35.2","36.7","42.0","32.8","38.3","34.4"
"236","236","Grambling St","35.2","31.0","35.0","29.5","38.2","34.2"
"237","237","Houston Bap","35.2","30.7","33.0","33.0","36.7","36.7"
"238","238","S Florida","35.2","33.7","35.0","32.9","38.6","33.0"
"239","239","Miami (OH)","35.3","32.0","28.0","34.4","36.3","31.5"
"240","240","Wyoming","35.3","36.7","31.0","32.7","38.0","33.1"
"241","241","N Arizona","35.3","33.7","33.0","34.2","36.0","37.9"
