"","Rank","Team","2012","Last 3","Last 1","Home","Away","2011"
"1","1","Pittsburgh","27.4","33.3","47.0","25.6","29.7","36.1"
"2","2","Ste F Austin","28.0","31.0","27.0","24.7","30.1","30.5"
"3","3","W Illinois","28.4","34.3","44.0","25.1","31.1","31.5"
"4","4","Florida","29.1","31.0","32.0","27.9","30.0","34.2"
"5","5","Savannah St","29.2","27.0","41.0","26.8","30.6","32.2"
"6","6","Fairfield","29.8","34.0","37.0","28.2","30.6","32.1"
"7","7","Georgetown","30.1","31.7","54.0","29.1","31.3","31.3"
"8","8","Louisville","30.3","37.0","42.0","30.8","30.0","31.4"
"9","9","New Mexico","30.3","30.3","37.0","29.8","30.8","32.0"
"10","10","Wisconsin","30.5","29.0","35.0","29.0","32.1","27.5"
"11","11","Wyoming","30.6","28.3","30.0","30.1","31.3","30.5"
"12","12","Denver","30.7","31.7","35.0","30.4","30.9","33.5"
"13","13","N Dakota St","30.8","33.7","34.0","27.5","32.5","36.9"
"14","14","Howard","30.8","32.7","41.0","26.6","33.1","37.2"
"15","15","NC Central","30.9","35.0","35.0","28.8","32.3","34.0"
"16","16","Manhattan","31.0","26.0","36.0","28.2","32.5","34.1"
"17","17","Saint Louis","31.1","34.0","39.0","29.8","32.5","30.7"
"18","18","Virginia","31.1","37.7","44.0","28.2","35.4","28.9"
"19","19","Wofford","31.1","34.3","30.0","30.6","31.4","34.5"
"20","20","Wright State","31.3","33.7","47.0","31.8","30.9","31.6"
"21","21","Cincinnati","31.4","29.7","35.0","32.2","30.5","33.3"
"22","22","Southern","31.4","31.3","30.0","26.4","33.6","33.8"
"23","23","Stony Brook","31.4","34.7","38.0","30.7","31.8","32.5"
"24","24","Brown","31.4","32.7","38.0","29.4","33.1","35.3"
"25","25","Michigan St","31.5","31.3","39.0","30.1","32.9","31.3"
"26","26","Vanderbilt","31.5","35.0","38.0","31.9","31.3","35.4"
"27","27","Middle Tenn","31.6","33.0","38.0","30.9","32.1","34.2"
"28","28","Alabama","31.6","25.7","27.0","30.7","32.6","31.0"
"29","29","Ohio State","31.7","35.3","35.0","29.6","33.7","32.6"
"30","30","S Florida","31.8","23.0","20.0","32.6","30.8","32.1"
"31","31","Navy","31.9","32.3","32.0","32.1","31.7","34.4"
"32","32","Akron","31.9","28.3","38.0","31.7","32.1","33.7"
"33","33","Oregon","32.0","33.0","32.0","30.5","33.6","37.1"
"34","34","Loyola-MD","32.0","34.0","38.0","30.9","32.9","34.2"
"35","35","GA Tech","32.1","38.0","46.0","29.2","35.6","32.8"
"36","36","Gard-Webb","32.2","33.0","35.0","31.5","32.7","36.8"
"37","37","Bucknell","32.2","41.3","47.0","31.9","32.4","33.2"
"38","38","Princeton","32.3","36.0","26.0","32.1","32.5","33.0"
"39","39","Hartford","32.3","37.0","38.0","31.5","33.1","35.5"
"40","40","Morgan St","32.4","31.7","29.0","31.3","32.8","36.5"
"41","41","N Kentucky","32.4","31.3","43.0","28.4","34.4","--"
"42","42","Notre Dame","32.4","39.3","41.0","30.4","35.1","31.2"
"43","43","N Iowa","32.5","28.3","21.0","30.8","34.4","33.4"
"44","44","Weber State","32.5","34.3","35.0","31.5","33.6","37.3"
"45","45","TX Christian","32.5","41.3","42.0","30.0","35.6","36.8"
"46","46","Clemson","32.5","40.3","43.0","29.5","35.4","31.3"
"47","47","N Mex State","32.6","31.0","35.0","31.9","33.1","34.1"
"48","48","Bowling Grn","32.6","31.0","29.0","28.6","36.5","34.2"
"49","49","Winthrop","32.6","28.0","23.0","32.7","32.5","34.6"
"50","50","Texas A&M","32.6","36.3","34.0","31.4","34.0","32.0"
"51","51","E Michigan","32.7","26.3","34.0","28.4","36.7","33.4"
"52","52","Syracuse","32.7","24.7","25.0","32.0","33.3","34.9"
"53","53","N Illinois","32.7","29.0","17.0","32.8","32.6","36.6"
"54","54","Vermont","32.8","35.7","50.0","32.6","32.9","32.2"
"55","55","Miami (FL)","32.8","35.0","42.0","31.5","33.8","34.9"
"56","56","Hampton","32.8","32.0","31.0","34.4","31.6","33.7"
"57","57","Gonzaga","32.9","29.7","40.0","35.0","31.2","33.8"
"58","58","Arkansas St","32.9","35.7","30.0","30.5","35.0","33.8"
"59","59","TX El Paso","32.9","39.0","37.0","31.2","34.7","32.2"
"60","60","TX-Arlington","33.0","35.3","41.0","31.7","34.1","36.7"
"61","61","California","33.0","31.3","34.0","32.3","33.6","33.5"
"62","62","IL-Chicago","33.0","35.7","38.0","31.7","34.1","36.4"
"63","63","NC A&T","33.0","32.3","32.0","31.1","33.9","38.8"
"64","64","Albany","33.1","34.7","38.0","30.7","34.9","37.3"
"65","65","St Marys","33.1","27.7","22.0","32.6","33.6","32.9"
"66","66","Delaware St","33.1","39.0","41.0","27.6","35.4","33.3"
"67","67","WI-Grn Bay","33.2","42.0","51.0","30.1","36.0","35.1"
"68","68","Drexel","33.2","34.0","33.0","35.8","31.2","30.3"
"69","69","N Hampshire","33.2","40.0","41.0","33.9","32.7","34.8"
"70","70","W Michigan","33.2","31.0","35.0","33.9","32.8","37.2"
