"","Rank","Team","2015","Last 3","Last 1","Home","Away","2014"
"1","1","Wichita St","0.589","0.489","0.438","0.521","0.645","0.677"
"2","2","W Virginia","0.595","0.771","1.714","0.526","0.656","0.600"
"3","3","Mt St Marys","0.636","0.698","1.000","0.518","0.714","0.834"
"4","4","Ste F Austin","0.662","0.582","1.154","0.561","0.722","0.629"
"5","5","CS Bakersfld","0.692","0.600","1.500","0.534","0.813","0.921"
"6","6","Col Charlestn","0.713","0.674","0.733","0.585","0.834","0.944"
"7","7","NC-Asheville","0.721","0.977","1.909","0.431","0.908","1.093"
"8","8","Louisville","0.735","0.892","1.000","0.655","0.897","0.838"
"9","9","Hawaii","0.757","0.700","0.727","0.661","0.879","0.778"
"10","10","NC-Wilmgton","0.757","1.097","1.100","0.593","0.867","0.825"
"11","11","Morehead St","0.763","0.800","1.000","0.716","0.795","0.836"
"12","12","Kentucky","0.764","0.850","1.000","0.561","0.990","0.564"
"13","13","Rhode Island","0.771","1.000","0.727","0.605","0.967","0.692"
"14","14","Wright State","0.772","0.706","1.375","0.668","0.849","0.995"
"15","15","Savannah St","0.776","0.756","0.944","0.567","0.982","0.734"
"16","16","Jackson St","0.781","1.073","1.273","0.586","0.874","0.728"
"17","17","Washington","0.787","0.857","1.000","0.719","0.880","1.055"
"18","18","S Illinois","0.789","0.917","0.545","0.698","0.892","0.926"
"19","19","AR Lit Rock","0.792","1.216","2.500","0.673","0.862","0.943"
"20","20","Wagner","0.798","1.237","1.200","0.746","0.847","1.003"
"21","21","Monmouth","0.809","1.143","0.812","0.742","0.848","0.893"
"22","22","Grand Canyon","0.812","0.605","0.538","0.692","0.968","1.108"
"23","23","Florida A&M","0.813","0.468","0.667","0.618","0.915","1.293"
"24","24","UNLV","0.814","1.270","2.429","0.698","0.936","1.147"
"25","25","TX A&M-CC","0.826","1.846","2.571","0.600","0.993","0.897"
"26","26","Prairie View","0.833","0.696","0.615","0.661","0.919","0.702"
"27","27","Denver","0.834","0.698","0.733","0.724","0.957","0.845"
"28","28","Fresno St","0.838","0.739","0.800","0.778","0.896","0.929"
"29","29","Valparaiso","0.839","1.029","2.000","0.801","0.874","0.959"
"30","30","TX-Arlington","0.839","1.000","1.067","0.718","0.930","0.913"
"31","31","Montana","0.839","1.278","1.364","0.569","1.037","0.911"
"32","32","Texas State","0.842","1.000","1.077","0.768","0.895","0.740"
"33","33","Kansas","0.847","1.125","0.778","0.741","0.947","0.955"
"34","34","High Point","0.847","1.645","2.778","0.711","0.956","0.946"
"35","35","TN State","0.850","0.630","0.613","0.657","1.026","1.186"
"36","36","N Carolina","0.851","0.741","0.600","0.730","0.966","0.994"
"37","37","Cincinnati","0.852","1.147","2.167","0.763","0.969","0.929"
"38","38","VCU","0.854","1.720","0.833","0.733","0.988","0.809"
"39","39","Tulsa","0.856","1.107","1.250","0.713","1.005","0.883"
"40","40","San Diego St","0.858","1.462","2.833","0.919","0.802","0.707"
"41","41","Virginia","0.864","1.458","1.250","0.783","0.923","0.863"
"42","42","Boise State","0.865","0.660","1.455","0.724","0.991","0.876"
"43","43","Southern","0.866","0.756","1.071","0.704","0.940","0.709"
"44","44","Indiana St","0.870","0.868","2.143","0.784","0.930","0.833"
"45","45","Florida","0.877","0.705","1.000","0.786","0.956","0.772"
