"","Rank","Team","2014","Last 3","Last 1","Home","Away","2013"
"1","1","Kentucky","0.401","0.532","0.435","0.430","0.376","0.446"
"2","2","Wisconsin","0.403","0.355","0.269","0.378","0.419","0.398"
"3","3","Fla Atlantic","0.407","0.415","0.296","0.347","0.457","0.470"
"4","4","N Hampshire","0.408","0.441","0.520","0.399","0.415","0.514"
"5","5","Richmond","0.426","0.338","0.263","0.415","0.440","0.463"
"6","6","Wofford","0.429","0.400","0.591","0.342","0.473","0.449"
"7","7","Utah","0.435","0.377","0.250","0.442","0.429","0.448"
"8","8","LA Lafayette","0.437","0.595","0.533","0.364","0.487","0.454"
"9","9","Gonzaga","0.438","0.427","0.476","0.425","0.444","0.483"
"10","10","Chattanooga","0.443","0.303","0.222","0.469","0.417","0.469"
"11","11","Wichita St","0.451","0.486","0.600","0.438","0.459","0.479"
"12","12","Central Mich","0.451","0.448","0.606","0.383","0.514","0.529"
"13","13","Fla Gulf Cst","0.453","0.443","0.481","0.341","0.554","0.464"
"14","14","Southern","0.454","0.435","0.333","0.395","0.479","0.422"
"15","15","Radford","0.455","0.329","0.370","0.440","0.464","0.442"
"16","16","California","0.456","0.440","0.423","0.417","0.500","0.507"
"17","17","N Arizona","0.458","0.329","0.480","0.397","0.493","0.512"
"18","18","San Diego St","0.459","0.431","0.533","0.486","0.440","0.485"
"19","19","Hampton","0.459","0.514","0.536","0.388","0.489","0.451"
"20","20","Ohio","0.459","0.523","0.417","0.408","0.505","0.499"
"21","21","Winthrop","0.459","0.455","0.423","0.376","0.509","0.493"
"22","22","Oral Roberts","0.461","0.463","0.769","0.398","0.501","0.474"
"23","23","Bucknell","0.463","0.420","0.435","0.410","0.507","0.492"
"24","24","Citadel","0.465","0.376","0.464","0.427","0.493","0.501"
"25","25","VA Military","0.465","0.442","0.625","0.427","0.489","0.459"
"26","26","N Florida","0.466","0.292","0.393","0.308","0.549","0.450"
"27","27","Grand Canyon","0.468","0.438","0.593","0.449","0.498","0.477"
"28","28","Duke","0.469","0.400","0.455","0.467","0.470","0.448"
"29","29","LSU","0.470","0.545","0.393","0.412","0.533","0.467"
"30","30","NC Central","0.470","0.518","0.591","0.447","0.481","0.506"
"31","31","WI-Milwkee","0.472","0.571","0.577","0.439","0.495","0.476"
"32","32","Princeton","0.474","0.493","0.556","0.431","0.511","0.460"
"33","33","Weber State","0.475","0.329","0.240","0.509","0.452","0.475"
"34","34","Arizona","0.475","0.433","0.440","0.526","0.438","0.447"
"35","35","IPFW","0.475","0.592","0.600","0.387","0.542","0.473"
"36","36","Indiana","0.476","0.493","0.360","0.445","0.514","0.437"
"37","37","Georgia","0.476","0.500","0.692","0.400","0.546","0.440"
"38","38","Arkansas St","0.476","0.551","0.556","0.404","0.539","0.447"
"39","39","St Fran (NY)","0.476","0.424","0.536","0.425","0.523","0.471"
"40","40","Oregon","0.477","0.494","0.500","0.423","0.526","0.504"
"41","41","Kent State","0.477","0.400","0.296","0.454","0.494","0.540"
"42","42","TX Southern","0.477","0.360","0.406","0.435","0.492","0.506"
"43","43","Washington","0.478","0.487","0.444","0.457","0.498","0.450"
"44","44","Ste F Austin","0.479","0.559","0.611","0.418","0.520","0.482"
"45","45","Columbia","0.480","0.457","0.320","0.440","0.532","0.447"
"46","46","Vermont","0.480","0.418","0.360","0.403","0.546","0.476"
"47","47","Wash State","0.480","0.407","0.452","0.376","0.566","0.498"
"48","48","Maryland","0.481","0.576","0.458","0.448","0.520","0.498"
"49","49","S Alabama","0.483","0.379","0.438","0.433","0.520","0.476"
"50","50","DePaul","0.483","0.556","0.560","0.473","0.492","0.519"
"51","51","Bowling Grn","0.484","0.407","0.613","0.474","0.492","0.570"
"52","52","Wyoming","0.484","0.433","0.435","0.417","0.549","0.435"
"53","53","Alab A&M","0.485","0.520","0.429","0.419","0.517","0.452"
"54","54","Denver","0.485","0.421","0.389","0.480","0.491","0.492"
"55","55","Akron","0.485","0.259","0.364","0.516","0.456","0.467"
"56","56","N Iowa","0.485","0.545","0.500","0.392","0.551","0.461"
"57","57","Mt St Marys","0.487","0.531","0.409","0.439","0.520","0.453"
"58","58","Kansas","0.487","0.423","0.520","0.546","0.445","0.513"
"59","59","Rhode Island","0.488","0.444","0.167","0.497","0.480","0.436"
"60","60","St Fran (PA)","0.489","0.507","0.600","0.414","0.536","0.428"
"61","61","UC Irvine","0.490","0.493","0.391","0.502","0.484","0.519"
"62","62","GA Southern","0.490","0.453","0.333","0.420","0.546","0.521"
"63","63","Sacred Hrt","0.491","0.523","0.448","0.439","0.527","0.523"
"64","64","Michigan St","0.491","0.391","0.385","0.519","0.472","0.496"
"65","65","Vanderbilt","0.492","0.467","0.423","0.472","0.515","0.481"
"66","66","UAB","0.492","0.532","0.486","0.460","0.521","0.507"
"67","67","Buffalo","0.493","0.486","0.500","0.492","0.494","0.505"
