"","Rank","Team","2014","Last 3","Last 1","Home","Away","2013"
"1","1","Kentucky","7.7","11.0","10.0","7.9","7.5","10.4"
"2","2","NC Central","8.6","9.7","13.0","8.0","8.9","9.9"
"3","3","N Hampshire","8.7","10.0","13.0","8.2","9.0","11.0"
"4","4","Utah","8.8","7.7","5.0","8.9","8.7","10.4"
"5","5","Wichita St","8.9","12.0","18.0","7.9","9.7","9.9"
"6","6","Wisconsin","9.0","9.0","7.0","8.3","9.5","9.6"
"7","7","Virginia","9.1","12.0","7.0","8.2","9.8","10.1"
"8","8","Wofford","9.1","9.3","13.0","6.7","10.4","10.1"
"9","9","San Diego St","9.1","10.3","16.0","8.7","9.5","10.1"
"10","10","Richmond","9.3","8.3","5.0","9.0","9.8","10.4"
"11","11","N Iowa","9.5","12.0","11.0","7.4","11.1","11.1"
"12","12","Old Dominion","9.6","9.7","8.0","9.4","9.9","10.5"
"13","13","Vermont","9.6","11.0","9.0","7.7","11.5","9.7"
"14","14","Southern","9.7","9.0","7.0","8.1","10.4","8.5"
"15","15","Arizona","9.7","9.7","11.0","10.1","9.4","9.1"
"16","16","Gonzaga","9.8","10.7","10.0","8.3","10.7","10.8"
"17","17","St Peters","10.0","7.3","13.0","9.5","10.3","11.4"
"18","18","Wyoming","10.0","8.7","10.0","8.2","11.9","9.5"
"19","19","Rhode Island","10.0","9.3","3.0","10.3","9.8","10.4"
"20","20","Denver","10.2","8.0","7.0","10.3","10.0","10.9"
"21","21","Fla Atlantic","10.3","11.3","8.0","9.0","11.3","11.3"
"22","22","Fla Gulf Cst","10.3","10.3","13.0","7.9","12.4","11.0"
"23","23","S Carolina","10.3","10.0","11.0","10.3","10.4","12.4"
"24","24","Chattanooga","10.3","6.7","4.0","11.0","9.7","13.1"
"25","25","Kent State","10.4","8.7","8.0","9.6","11.0","12.2"
"26","26","Columbia","10.4","10.7","8.0","9.8","11.2","9.8"
"27","27","Hampton","10.4","12.7","15.0","8.4","11.4","10.0"
"28","28","Akron","10.4","4.7","8.0","10.7","10.2","11.1"
"29","29","Texas","10.4","11.0","11.0","8.5","12.6","12.7"
"30","30","Ste F Austin","10.5","12.7","11.0","8.6","11.8","10.4"
"31","31","Nebraska","10.5","9.0","8.0","10.7","10.2","11.1"
"32","32","Michigan St","10.5","9.0","10.0","11.1","10.1","10.7"
"33","33","TX Christian","10.5","13.3","11.0","9.8","11.4","16.1"
"34","34","Florida","10.5","8.3","7.0","9.4","11.6","9.9"
"35","35","Georgia","10.6","11.3","18.0","8.8","12.3","9.7"
"36","36","Bowling Grn","10.6","11.0","19.0","9.8","11.4","12.8"
"37","37","GA Southern","10.6","8.0","5.0","9.4","11.5","13.3"
"38","38","St Fran (NY)","10.6","9.3","15.0","9.6","11.6","10.6"
"39","39","Connecticut","10.7","9.0","10.0","10.2","11.2","11.3"
"40","40","Winthrop","10.8","10.0","11.0","8.7","12.0","12.1"
"41","41","Princeton","10.8","11.0","10.0","10.1","11.3","10.4"
"42","42","Boise State","10.8","13.0","13.0","8.2","12.3","11.4"
"43","43","N Arizona","10.8","8.0","12.0","8.9","11.9","12.0"
"44","44","Col Charlestn","10.8","10.0","15.0","9.7","11.6","8.5"
"45","45","UC Irvine","10.8","11.0","9.0","11.2","10.6","11.0"
"46","46","Jackson St","10.8","10.7","11.0","7.8","12.7","11.4"
"47","47","California","10.8","11.0","11.0","9.6","12.3","12.3"
"48","48","CS Bakersfld","10.8","12.0","12.0","10.6","10.9","12.0"
"49","49","WI-Grn Bay","10.8","8.3","11.0","10.3","11.2","11.7"
"50","50","Harvard","10.9","10.7","15.0","9.8","11.7","10.9"
"51","51","Butler","10.9","8.7","9.0","10.9","10.9","12.4"
"52","52","Beth-Cook","10.9","9.7","6.0","11.8","10.3","13.2"
"53","53","LA Lafayette","10.9","15.7","16.0","9.4","11.9","11.9"
"54","54","American","10.9","12.3","11.0","9.8","11.5","10.2"
"55","55","Texas State","11.0","12.0","12.0","10.7","11.2","11.2"
"56","56","Central Mich","11.0","13.0","20.0","9.2","12.6","14.0"
"57","57","Maryland","11.0","12.7","11.0","10.2","11.9","11.4"
"58","58","Bucknell","11.1","11.3","10.0","9.9","12.1","11.4"
"59","59","Georgetown","11.1","10.0","12.0","10.8","11.4","11.9"
