"","Rank","Team","2016","Last 3","Last 1","Home","Away","2015"
"1","1","S Carolina","0.127","0.107","0.147","0.115","0.144","0.176"
"2","2","Florida","0.130","0.137","0.125","0.130","0.130","0.159"
"3","3","Gonzaga","0.133","0.098","0.146","0.124","0.142","0.149"
"4","4","Winthrop","0.136","0.100","0.073","0.126","0.145","0.152"
"5","5","Alabama","0.139","0.130","0.196","0.125","0.153","0.164"
"6","6","Wichita St","0.145","0.123","0.046","0.133","0.156","0.132"
"7","7","St Marys","0.145","0.134","0.219","0.139","0.151","0.169"
"8","8","Rhode Island","0.145","0.129","0.154","0.140","0.151","0.141"
"9","9","VCU","0.145","0.165","0.169","0.130","0.161","0.177"
"10","10","Kentucky","0.145","0.187","0.259","0.139","0.154","0.132"
"11","11","Ohio","0.146","0.137","0.069","0.128","0.166","0.162"
"12","12","Hampton","0.146","0.095","0.086","0.115","0.167","0.147"
"13","13","E Tenn St","0.147","0.142","0.137","0.144","0.150","0.166"
"14","14","Wyoming","0.148","0.119","0.143","0.135","0.162","0.173"
"15","15","Butler","0.148","0.161","0.156","0.142","0.155","0.174"
"16","16","Wisconsin","0.152","0.177","0.107","0.134","0.173","0.160"
"17","17","Louisville","0.152","0.163","0.218","0.150","0.154","0.155"
"18","18","NC Central","0.152","0.131","0.115","0.133","0.164","0.190"
"19","19","CS Bakersfld","0.154","0.129","0.154","0.148","0.158","0.145"
"20","20","Virginia","0.155","0.152","0.099","0.139","0.172","0.159"
"21","21","Elon","0.155","0.158","0.177","0.141","0.165","0.170"
"22","22","Florida St","0.155","0.121","0.142","0.150","0.162","0.179"
"23","23","Hawaii","0.155","0.167","0.231","0.156","0.154","0.147"
"24","24","Vermont","0.155","0.095","0.034","0.141","0.167","0.181"
"25","25","Old Dominion","0.156","0.219","0.220","0.151","0.161","0.162"
"26","26","N Mex State","0.157","0.157","0.149","0.149","0.166","0.157"
"27","27","North Dakota","0.158","0.181","0.195","0.148","0.163","0.183"
"28","28","Middle Tenn","0.158","0.163","0.094","0.146","0.169","0.167"
"29","29","Mt St Marys","0.159","0.119","0.082","0.129","0.182","0.153"
"30","30","Ball State","0.159","0.167","0.133","0.170","0.148","0.166"
"31","31","Maryland","0.159","0.195","0.213","0.146","0.175","0.166"
"32","32","Fla Atlantic","0.159","0.149","0.134","0.134","0.179","0.182"
"33","33","Belmont","0.159","0.184","0.167","0.147","0.168","0.179"
"34","34","Montana","0.160","0.122","0.084","0.148","0.168","0.154"
"35","35","Indiana","0.160","0.161","0.200","0.146","0.179","0.171"
"36","36","Southern","0.160","0.146","0.125","0.150","0.166","0.165"
"37","37","N Carolina","0.160","0.167","0.108","0.147","0.174","0.151"
"38","38","Texas State","0.160","0.137","0.179","0.144","0.172","0.170"
"39","39","Princeton","0.160","0.157","0.142","0.145","0.170","0.166"
"40","40","Miss State","0.161","0.167","0.153","0.137","0.191","0.173"
"41","41","Boise State","0.161","0.136","0.158","0.148","0.172","0.171"
"42","42","Indiana St","0.162","0.178","0.155","0.168","0.157","0.152"
"43","43","Cincinnati","0.162","0.127","0.158","0.179","0.136","0.167"
"44","44","Stony Brook","0.162","0.150","0.122","0.158","0.167","0.163"
"45","45","Akron","0.162","0.136","0.138","0.156","0.168","0.162"
"46","46","W Virginia","0.162","0.183","0.179","0.152","0.177","0.146"
"47","47","California","0.162","0.160","0.138","0.156","0.173","0.153"
"48","48","Oregon","0.162","0.202","0.175","0.149","0.178","0.180"
"49","49","UC Irvine","0.163","0.091","0.043","0.125","0.185","0.202"
"50","50","Illinois St","0.163","0.128","0.107","0.155","0.169","0.176"
"51","51","Towson","0.163","0.164","0.156","0.155","0.169","0.163"
"52","52","San Fransco","0.163","0.183","0.131","0.138","0.187","0.191"
"53","53","Georgia","0.164","0.199","0.214","0.155","0.175","0.160"
"54","54","Tennessee","0.164","0.165","0.163","0.164","0.164","0.190"
"55","55","Denver","0.164","0.204","0.163","0.156","0.171","0.186"
"56","56","Idaho","0.164","0.172","0.136","0.156","0.171","0.177"
"57","57","Duke","0.165","0.166","0.257","0.153","0.177","0.206"
"58","58","CS Fullerton","0.165","0.167","0.142","0.172","0.158","0.206"
"59","59","Rob Morris","0.165","0.167","0.111","0.133","0.185","0.220"
"60","60","Illinois","0.165","0.146","0.161","0.141","0.193","0.206"
"61","61","Grand Canyon","0.165","0.150","0.098","0.152","0.181","0.151"
"62","62","Colorado St","0.165","0.231","0.285","0.168","0.163","0.191"
"63","63","Col Charlestn","0.166","0.154","0.237","0.144","0.182","0.149"
"64","64","San Diego St","0.166","0.154","0.152","0.159","0.171","0.150"
"65","65","Houston","0.167","0.162","0.085","0.152","0.184","0.171"
"66","66","N Kentucky","0.167","0.176","0.159","0.164","0.169","0.190"
"67","67","Fairfield","0.167","0.188","0.188","0.143","0.185","0.183"
"68","68","Oakland","0.167","0.160","0.183","0.162","0.174","0.201"
"69","69","Wright State","0.168","0.125","0.175","0.163","0.173","0.156"
"70","70","Montana St","0.168","0.149","0.092","0.158","0.179","0.180"
"71","71","Sam Hous St","0.168","0.166","0.118","0.159","0.176","0.212"
"72","72","Sacred Hrt","0.169","0.176","0.162","0.153","0.181","0.196"
"73","73","Utah","0.169","0.154","0.234","0.168","0.170","0.155"
"74","74","N Hampshire","0.169","0.143","0.205","0.157","0.176","0.149"
"75","75","Liberty","0.169","0.164","0.151","0.165","0.173","0.195"
