"","Rank","Team","2014","Last 3","Last 1","Home","Away","2013"
"1","1","Kentucky","-20.1","-11.3","+7.0","-24.6","-15.8","-8.2"
"2","2","Arizona","-16.9","-5.3","+7.0","-23.3","-11.8","-14.3"
"3","3","Gonzaga","-16.0","-5.7","+14.0","-24.5","-10.2","-10.2"
"4","4","Villanova","-15.6","-18.3","+3.0","-22.6","-10.6","-11.5"
"5","5","Duke","-15.4","-13.3","-20.0","-23.8","-9.3","-11.0"
"6","6","Wisconsin","-14.8","-7.0","-7.0","-19.0","-11.9","-9.5"
"7","7","Virginia","-13.9","-0.7","+6.0","-17.5","-10.7","-10.5"
"8","8","Utah","-13.6","-4.0","+6.0","-23.4","-4.8","-6.5"
"9","9","Ste F Austin","-12.8","-6.0","+7.0","-17.7","-9.3","-11.6"
"10","10","Ohio State","-12.3","+7.0","+15.0","-21.7","-1.2","-9.7"
"11","11","Notre Dame","-12.2","-4.0","+2.0","-18.5","-5.9","-1.4"
"12","12","Wichita St","-11.9","-2.3","+11.0","-18.1","-7.5","-14.9"
"13","13","N Iowa","-10.5","-4.3","+13.0","-13.0","-8.7","-2.4"
"14","14","Murray St","-9.9","-11.0","+3.0","-17.1","-4.6","-4.6"
"15","15","S Methodist","-9.4","-6.7","+1.0","-14.3","-4.1","-8.8"
"16","16","NC Central","-9.3","-12.7","+4.0","-18.6","-4.7","-12.0"
"17","17","Louisville","-9.1","-5.7","+6.0","-12.3","-5.6","-19.9"
"18","18","Sam Hous St","-9.0","-0.7","+1.0","-13.4","-5.4","-3.2"
"19","19","N Carolina","-8.9","-1.3","+7.0","-12.0","-6.8","-6.8"
"20","20","Iowa State","-8.8","-1.7","+1.0","-15.9","-2.5","-8.6"
"21","21","Davidson","-8.8","+16.7","+31.0","-20.3","+0.7","-4.5"
"22","22","Oklahoma","-8.7","-3.7","+4.0","-17.3","-2.2","-5.9"
"23","23","Boise State","-8.6","-2.0","+1.0","-19.3","-2.2","-5.0"
"24","24","Baylor","-8.5","+0.3","+1.0","-15.0","-1.6","-5.7"
"25","25","BYU","-8.5","+2.0","+4.0","-9.7","-7.5","-5.9"
"26","26","Valparaiso","-8.3","-4.0","+3.0","-8.8","-7.9","-0.5"
"27","27","Hofstra","-8.2","-4.0","+4.0","-6.9","-9.3","+4.7"
"28","28","Butler","-8.0","+0.3","+3.0","-16.9","-0.2","-0.1"
"29","29","Old Dominion","-7.8","+1.0","+7.0","-14.0","+0.4","+0.3"
"30","30","San Diego St","-7.6","+3.0","+19.0","-12.8","-3.2","-10.1"
"31","31","Georgia St","-7.5","+1.7","+8.0","-18.7","-1.4","-8.6"
"32","32","Michigan St","-7.5","+3.3","+20.0","-12.4","-4.0","-10.0"
"33","33","Iowa","-7.4","-1.0","+19.0","-13.5","-0.6","-11.2"
"34","34","Colorado St","-7.4","+3.7","+10.0","-11.8","-3.4","-1.1"
"35","35","N Mex State","-7.4","-1.3","+19.0","-14.1","-1.5","-8.7"
"36","36","Arkansas","-7.3","+7.0","+9.0","-14.4","+0.7","-8.8"
"37","37","Texas","-7.1","-0.7","+8.0","-13.3","-0.1","-3.5"
"38","38","LA Tech","-7.1","-1.3","+18.0","-15.4","-0.1","-13.6"
"39","39","Dayton","-6.9","-2.7","+6.0","-14.5","-0.8","-5.2"
"40","40","Vermont","-6.7","-1.7","+6.0","-12.8","-1.0","-9.1"
"41","41","VCU","-6.7","-7.7","+3.0","-10.1","-4.0","-9.8"
"42","42","Central Mich","-6.7","+2.0","+10.0","-14.4","+0.5","+6.1"
"43","43","S Dakota St","-6.5","+2.0","+15.0","-18.5","-0.5","-1.8"
"44","44","Rhode Island","-6.4","0.0","+9.0","-10.9","-2.5","+0.4"
"45","45","Buffalo","-6.3","-2.7","+6.0","-11.2","-3.2","-5.7"
"46","46","Kansas","-6.3","-0.7","+13.0","-13.7","-1.1","-8.9"
"47","47","Cincinnati","-6.3","+5.0","+13.0","-10.8","-1.2","-10.0"
"48","48","Iona","-6.2","+1.7","+13.0","-12.2","-2.7","-6.1"
"49","49","WI-Grn Bay","-6.1","+3.0","+13.0","-13.5","-1.4","-7.1"
"50","50","Xavier","-5.9","-6.3","+8.0","-12.2","-1.2","-3.7"
"51","51","W Virginia","-5.8","+7.7","+39.0","-11.4","-1.6","-3.8"
"52","52","TX Christian","-5.8","+5.3","+5.0","-12.6","+3.4","+9.2"
"53","53","LSU","-5.8","+0.3","+1.0","-7.7","-3.7","-3.4"
"54","54","Indiana","-5.7","-1.3","+5.0","-12.4","+2.7","-4.7"
"55","55","Maryland","-5.7","+3.7","+10.0","-11.6","+1.3","-3.2"
"56","56","Vanderbilt","-5.7","-7.7","+3.0","-10.6","-0.1","+1.0"
"57","57","Georgetown","-5.7","+1.0","+11.0","-10.5","-1.1","-2.7"
"58","58","Wofford","-5.5","-4.0","+3.0","-11.8","-2.0","-1.6"
"59","59","Illinois","-5.5","+14.7","+21.0","-17.3","+5.6","-2.1"
"60","60","TX El Paso","-5.4","+2.0","+15.0","-10.5","-0.6","-4.3"
"61","61","Purdue","-5.3","+5.3","+1.0","-13.2","+2.6","-0.6"
"62","62","Geo Wshgtn","-5.3","+6.7","+13.0","-13.9","+0.5","-6.2"
"63","63","SC Upstate","-5.2","+5.3","+11.0","-8.3","-2.1","-2.6"
"64","64","Coastal Car","-5.2","0.0","+14.0","-10.5","-2.1","-1.1"
"65","65","N Florida","-5.1","-5.3","+4.0","-12.5","-1.2","+4.2"
"66","66","Minnesota","-5.1","-1.0","+6.0","-12.2","+2.9","-3.4"
"67","67","Illinois St","-5.1","-1.0","+1.0","-9.9","-1.3","+0.7"
"68","68","Stanford","-5.0","-4.0","-2.0","-11.9","+2.3","-4.4"
"69","69","Miami (FL)","-4.9","-1.0","+2.0","-4.8","-5.1","-2.0"
"70","70","St Marys","-4.9","+9.7","+11.0","-7.6","-0.8","-5.1"
"71","71","Richmond","-4.9","-4.7","+2.0","-9.7","+1.5","-1.4"
"72","72","Albany","-4.8","+2.0","+9.0","-6.7","-3.3","-1.9"
"73","73","Texas A&M","-4.8","+0.7","+12.0","-8.7","-0.1","-1.9"
"74","74","UC Davis","-4.8","+5.3","+13.0","-9.2","-1.8","+9.8"
"75","75","Harvard","-4.7","-3.3","+2.0","-10.0","-0.8","-11.3"
"76","76","Temple","-4.7","-9.3","+3.0","-10.9","+1.9","+4.2"
"77","77","E Washingtn","-4.6","-0.7","+10.0","-11.9","-0.2","+1.2"
"78","78","LA Lafayette","-4.4","-3.0","+7.0","-9.3","-1.2","-3.2"
"79","79","Yale","-4.4","-2.3","+2.0","-7.8","-2.7","+0.4"
"80","80","NC State","-4.4","+2.0","+10.0","-9.8","+2.3","-1.6"
"81","81","Mississippi","-4.4","+5.7","+19.0","-4.1","-4.6","-2.5"
"82","82","GA Southern","-4.3","+6.0","+2.0","-8.7","-1.1","+2.8"
"83","83","Memphis","-4.2","+5.3","+5.0","-10.3","+3.5","-5.9"
"84","84","Toledo","-4.2","+8.0","+9.0","-10.1","+0.6","-4.8"
"85","85","Syracuse","-4.2","+15.0","+14.0","-10.6","+4.5","-8.8"
"86","86","Providence","-4.2","-0.7","+13.0","-7.5","-0.9","-3.5"
"87","87","Bowling Grn","-4.2","+8.7","+23.0","-6.7","-1.7","+3.3"
"88","88","E Kentucky","-4.1","-2.0","+1.0","-6.0","-2.4","-4.9"
"89","89","Akron","-4.1","-2.0","+9.0","-11.0","+2.8","-1.6"
"90","90","St Fran (NY)","-4.1","-0.3","+10.0","-6.9","-1.5","-1.3"
"91","91","Connecticut","-4.1","+3.3","+7.0","-9.9","+0.8","-8.6"
"92","92","Stony Brook","-4.0","+0.3","+2.0","-7.5","-1.7","-4.8"
"93","93","Wm & Mary","-4.0","+4.3","+3.0","-11.8","+0.9","-0.8"
"94","94","Tulsa","-3.8","+7.7","+21.0","-7.4","-0.1","-5.1"
"95","95","Wyoming","-3.8","+3.3","+17.0","-11.5","+4.2","-2.1"
"96","96","Cleveland St","-3.8","-7.0","+3.0","-9.5","+0.6","-4.9"
"97","97","Georgia","-3.8","+2.0","+7.0","-7.8","-0.1","-2.1"
"98","98","UCLA","-3.8","-2.0","+12.0","-14.0","+5.3","-10.8"
"99","99","Oregon","-3.8","+9.7","+7.0","-11.2","+4.1","-7.7"
"100","100","Alabama St","-3.7","-10.0","+2.0","-10.0","-0.1","+1.4"
"101","101","Florida","-3.6","+8.0","+15.0","-10.9","+3.2","-12.2"
"102","102","Hawaii","-3.5","-1.7","+9.0","-8.2","+1.5","-5.1"
"103","103","Winthrop","-3.5","-1.0","+11.0","-9.9","+0.4","-0.1"
"104","104","Evansville","-3.4","-8.7","-6.0","-5.8","-0.9","+4.3"
"105","105","Northeastrn","-3.4","-4.7","+4.0","-6.4","-1.8","+2.8"
"106","106","Oklahoma St","-3.3","+10.0","+6.0","-10.3","+3.2","-10.7"
"107","107","UC Irvine","-3.2","-5.3","+2.0","-6.6","-1.4","-5.0"
"108","108","Fla Gulf Cst","-3.2","-3.7","+6.0","-7.9","+1.0","-3.8"
"109","109","Belmont","-3.1","+3.3","+12.0","-7.7","0.0","-5.2"
"110","110","Kent State","-3.0","-5.0","+1.0","-6.2","-0.4","-0.1"
"111","111","Arizona St","-2.9","+0.7","+6.0","-9.8","+5.0","-5.9"
"112","112","St Johns","-2.8","+22.0","+12.0","-7.6","+2.0","-5.1"
"113","113","Canisius","-2.8","-11.0","+5.0","-5.9","-0.2","-3.2"
"114","114","Morehead St","-2.7","-4.3","+3.0","-3.6","-2.1","-1.2"
"115","115","Utah State","-2.6","+10.0","+2.0","-6.1","+0.8","-1.7"
"116","116","St Bonavent","-2.6","-7.0","+4.0","-2.6","-2.6","-3.3"
"117","117","N Hampshire","-2.5","+1.7","+7.0","-8.0","+1.6","+8.1"
"118","118","UCSB","-2.5","+3.0","+4.0","-8.7","+1.4","-4.4"
"119","119","Chattanooga","-2.4","-1.7","+2.0","-7.9","+3.1","+2.9"
"120","120","Alabama","-2.4","-2.0","+7.0","-6.5","+2.5","+0.5"
"121","121","S Carolina","-2.3","+0.3","+12.0","-8.1","+2.8","+1.6"
"122","122","Quinnipiac","-2.2","0.0","+6.0","-6.6","+3.6","-2.3"
"123","123","High Point","-2.1","-1.3","+1.0","-6.0","+0.1","+3.0"
"124","124","E Michigan","-2.1","+3.0","+4.0","-9.7","+5.0","-1.1"
"125","125","Mercer","-2.1","+1.0","+2.0","-5.5","+0.4","-8.8"
