"","Rank","Team","2012","Last 3","Last 1","Home","Away","2011"
"1","1","SC Upstate","3.7%","2.3%","5.6%","4.3%","3.4%","5.7%"
"2","2","NW State","4.0%","4.6%","4.0%","3.8%","4.1%","5.7%"
"3","3","Elon","4.0%","5.3%","10.3%","3.0%","4.8%","5.5%"
"4","4","Binghamton","4.2%","5.7%","6.7%","5.0%","3.4%","4.8%"
"5","5","VA Military","4.2%","3.6%","4.4%","4.1%","4.2%","4.4%"
"6","6","Mt St Marys","4.2%","3.5%","2.9%","3.9%","4.4%","5.4%"
"7","7","Illinois St","4.3%","5.6%","12.7%","4.9%","3.7%","4.7%"
"8","8","UNLV","4.3%","5.3%","8.5%","4.0%","4.8%","4.2%"
"9","9","Bucknell","4.3%","4.1%","4.8%","4.2%","4.4%","4.8%"
"10","10","Indiana St","4.3%","4.8%","8.0%","3.8%","4.7%","4.9%"
"11","11","Wisconsin","4.4%","5.8%","10.2%","3.9%","4.9%","4.5%"
"12","12","San Fransco","4.4%","1.9%","0.0%","5.1%","3.8%","6.3%"
"13","13","Quinnipiac","4.4%","5.2%","5.9%","4.4%","4.5%","4.9%"
"14","14","Santa Clara","4.5%","2.3%","1.7%","4.5%","4.5%","6.2%"
"15","15","Weber State","4.5%","3.1%","1.8%","3.6%","5.4%","5.1%"
"16","16","Rob Morris","4.6%","3.8%","2.0%","3.8%","5.2%","6.3%"
"17","17","Neb Omaha","4.7%","5.9%","9.5%","4.9%","4.5%","5.5%"
"18","18","Ohio","4.7%","10.1%","18.9%","4.1%","5.4%","6.2%"
"19","19","Creighton","4.7%","9.5%","7.5%","3.4%","5.9%","5.7%"
"20","20","N Iowa","4.8%","3.6%","5.2%","3.3%","6.5%","5.3%"
"21","21","Oklahoma","4.8%","3.7%","5.2%","4.2%","5.2%","4.7%"
"22","22","Florida","4.8%","6.0%","8.9%","3.9%","5.4%","5.2%"
"23","23","Iowa State","4.8%","5.1%","3.8%","3.9%","5.7%","5.8%"
"24","24","Furman","4.8%","4.1%","4.3%","4.0%","5.5%","5.0%"
"25","25","Murray St","4.8%","5.0%","4.4%","4.7%","4.9%","5.2%"
"26","26","Maine","4.9%","5.2%","0.0%","2.5%","6.3%","5.0%"
"27","27","Wyoming","4.9%","7.7%","6.8%","3.8%","6.0%","4.7%"
"28","28","Denver","4.9%","6.3%","4.0%","4.8%","5.0%","6.4%"
"29","29","TX-Pan Am","4.9%","4.4%","11.1%","2.7%","6.1%","6.3%"
"30","30","UCSB","4.9%","3.8%","0.0%","4.7%","5.1%","3.6%"
"31","31","S Dakota St","4.9%","5.0%","5.8%","4.3%","5.3%","4.6%"
"32","32","South Dakota","5.0%","7.6%","8.2%","4.1%","5.5%","5.1%"
"33","33","Central Conn","5.0%","6.9%","13.6%","3.5%","5.9%","6.3%"
"34","34","St Marys","5.0%","10.0%","20.7%","4.5%","5.4%","4.7%"
"35","35","S Illinois","5.0%","3.9%","2.3%","2.9%","6.4%","5.0%"
"36","36","Oklahoma St","5.0%","8.2%","5.8%","3.1%","7.0%","6.0%"
"37","37","E Michigan","5.0%","4.3%","3.5%","4.5%","5.5%","6.5%"
"38","38","Temple","5.0%","4.6%","3.2%","3.7%","6.3%","6.0%"
"39","39","Valparaiso","5.0%","5.7%","5.6%","4.4%","5.7%","5.9%"
"40","40","St Josephs","5.1%","6.8%","15.8%","5.6%","4.6%","5.3%"
"41","41","IUPUI","5.1%","6.2%","2.4%","5.7%","4.6%","4.3%"
"42","42","Montana","5.1%","5.0%","9.3%","5.1%","5.1%","7.1%"
"43","43","Marshall","5.1%","5.6%","0.0%","4.6%","5.6%","5.1%"
"44","44","Hawaii","5.1%","5.5%","1.9%","5.2%","4.9%","6.0%"
"45","45","Ohio State","5.1%","6.8%","14.8%","3.5%","6.7%","5.3%"
"46","46","UC Irvine","5.2%","3.5%","8.3%","3.5%","6.0%","5.5%"
"47","47","Oregon","5.2%","5.8%","8.2%","4.2%","6.1%","5.8%"
"48","48","IPFW","5.2%","0.6%","0.0%","5.2%","5.1%","6.2%"
"49","49","Middle Tenn","5.2%","1.3%","0.0%","3.6%","6.5%","6.5%"
"50","50","Colgate","5.2%","3.4%","5.1%","4.7%","5.6%","5.4%"
"51","51","Washington","5.2%","5.5%","7.5%","4.6%","5.9%","5.9%"
"52","52","Bowling Grn","5.2%","5.3%","2.0%","5.6%","4.9%","4.8%"
"53","53","Illinois","5.2%","7.6%","3.3%","4.7%","5.7%","4.5%"
"54","54","Mississippi","5.2%","6.8%","6.3%","4.7%","5.8%","5.0%"
"55","55","Col Charlestn","5.3%","4.7%","0.0%","4.4%","6.0%","4.8%"
"56","56","Kansas","5.3%","1.2%","1.5%","6.2%","4.4%","6.3%"
"57","57","Clemson","5.3%","2.6%","2.0%","4.6%","6.0%","4.9%"
"58","58","Maryland BC","5.3%","5.7%","7.8%","5.1%","5.5%","7.1%"
"59","59","AR Lit Rock","5.3%","3.4%","4.1%","3.2%","7.2%","7.9%"
"60","60","Akron","5.3%","6.4%","0.0%","4.8%","5.8%","6.4%"
"61","61","Lafayette","5.3%","4.3%","5.5%","5.3%","5.3%","5.4%"
"62","62","Austin Peay","5.3%","3.8%","1.9%","4.0%","6.1%","5.7%"
"63","63","Youngs St","5.3%","2.2%","3.1%","4.0%","6.5%","4.4%"
"64","64","Miami (FL)","5.3%","4.1%","4.8%","5.3%","5.4%","6.3%"
