"","Rank","Team","2015","Last 3","Last 1","Home","Away","2014"
"1","1","Weber State","1.5","2.7","2.0","1.1","1.7","3.1"
"2","2","N Mex State","2.1","2.7","2.0","1.7","2.4","2.2"
"3","3","Liberty","2.2","2.7","6.0","1.5","2.6","2.9"
"4","4","Villanova","2.2","2.3","3.0","2.4","2.0","2.7"
"5","5","Ball State","2.2","3.7","3.0","2.1","2.3","3.4"
"6","6","Ohio State","2.2","3.3","2.0","1.5","3.4","2.9"
"7","7","Murray St","2.2","1.0","1.0","1.4","2.8","2.9"
"8","8","Virginia","2.2","3.3","7.0","1.5","2.7","2.8"
"9","9","TX A&M-CC","2.3","1.0","1.0","2.0","2.4","2.6"
"10","10","Akron","2.4","2.0","2.0","2.3","2.4","2.8"
"11","11","Wyoming","2.4","3.3","2.0","1.9","2.8","2.4"
"12","12","James Mad","2.4","2.7","1.0","2.4","2.4","3.4"
"13","13","American","2.4","3.7","6.0","2.1","2.6","2.8"
"14","14","TX-Pan Am","2.5","1.7","1.0","2.0","2.8","3.6"
"15","15","Miami (FL)","2.5","0.7","1.0","2.2","2.7","3.4"
"16","16","N Florida","2.5","2.7","1.0","2.1","2.9","2.7"
"17","17","Harvard","2.5","2.7","2.0","2.9","2.3","3.0"
"18","18","Portland St","2.6","2.0","3.0","1.9","3.0","3.3"
"19","19","UC Irvine","2.6","5.3","4.0","2.1","2.8","2.9"
"20","20","St Marys","2.6","4.0","6.0","1.9","3.4","3.0"
"21","21","E Illinois","2.6","2.0","2.0","2.8","2.4","2.9"
"22","22","Marshall","2.6","2.7","3.0","2.1","2.9","2.9"
"23","23","NC-Asheville","2.6","3.3","5.0","1.2","3.4","3.6"
"24","24","Central Mich","2.6","2.0","1.0","2.6","2.6","3.0"
"25","25","Boston U","2.6","4.3","8.0","1.8","3.2","2.6"
"26","26","Ohio","2.6","0.7","0.0","2.6","2.6","2.8"
"27","27","Oral Roberts","2.6","0.3","0.0","1.9","3.0","3.5"
"28","28","Missouri St","2.6","1.3","2.0","2.9","2.5","2.9"
"29","29","TN State","2.7","2.7","4.0","2.0","3.1","3.6"
"30","30","N Iowa","2.7","2.7","0.0","3.2","2.3","2.4"
"31","31","Fairfield","2.7","3.0","3.0","2.5","2.8","2.5"
"32","32","Maryland","2.7","1.3","1.0","2.4","2.9","3.0"
"33","33","Hawaii","2.7","3.3","7.0","2.0","3.5","2.9"
"34","34","Ste F Austin","2.7","3.3","2.0","2.4","2.9","3.5"
"35","35","Richmond","2.7","3.7","6.0","1.5","3.9","2.9"
"36","36","GA Tech","2.7","2.7","4.0","2.2","3.3","4.0"
"37","37","Rider","2.7","1.7","2.0","2.6","2.8","2.8"
"38","38","Georgetown","2.7","2.7","7.0","2.4","3.1","3.7"
"39","39","E Kentucky","2.7","4.0","2.0","1.8","3.7","2.8"
"40","40","Campbell","2.7","4.7","3.0","2.7","2.8","2.6"
"41","41","S Illinois","2.8","2.7","3.0","2.9","2.6","3.2"
"42","42","Longwood","2.8","3.0","2.0","2.5","2.9","3.7"
"43","43","N Dakota St","2.8","2.7","4.0","2.5","2.9","2.5"
"44","44","AR Lit Rock","2.8","3.3","0.0","2.2","3.1","2.8"
"45","45","Binghamton","2.8","2.0","0.0","2.4","3.2","2.3"
"46","46","Beth-Cook","2.8","3.0","2.0","1.8","3.2","3.3"
"47","47","Denver","2.8","4.0","2.0","2.8","2.8","2.2"
"48","48","TN Martin","2.8","2.0","1.0","2.7","2.9","3.1"
"49","49","Pepperdine","2.8","3.7","6.0","2.6","3.0","3.4"
"50","50","Clemson","2.8","1.0","2.0","2.3","3.5","3.0"
"51","51","Navy","2.8","2.7","3.0","3.4","2.4","3.2"
"52","52","Iowa State","2.9","3.0","5.0","2.2","3.4","3.4"
"53","53","Alab A&M","2.9","2.3","4.0","1.9","3.4","3.0"
"54","54","St Josephs","2.9","6.0","7.0","2.5","3.1","3.4"
"55","55","Jksnville St","2.9","2.0","1.0","2.6","3.1","4.1"
"56","56","Furman","2.9","2.0","2.0","2.3","3.3","3.9"
"57","57","Purdue","2.9","2.3","0.0","2.9","2.9","3.2"
"58","58","Coastal Car","2.9","3.3","5.0","2.2","3.6","2.7"
"59","59","Louisville","2.9","2.3","2.0","2.4","3.7","2.8"
"60","60","UCSB","2.9","3.0","3.0","2.2","3.2","2.2"
"61","61","S Car State","2.9","2.7","4.0","1.3","3.5","4.3"
"62","62","Alabama","2.9","2.0","5.0","2.8","3.0","2.4"
"63","63","Dayton","2.9","2.0","2.0","2.8","3.1","3.4"
"64","64","SC Upstate","2.9","2.3","1.0","3.1","2.8","2.8"
"65","65","North Dakota","2.9","1.7","2.0","2.8","3.0","3.6"
"66","66","Marist","2.9","3.0","5.0","2.7","3.1","2.8"
"67","67","Kent State","2.9","3.0","5.0","2.7","3.2","2.9"
"68","68","St Fran (NY)","2.9","1.0","2.0","1.8","3.8","3.1"
"69","69","WI-Milwkee","2.9","3.3","3.0","3.4","2.7","3.4"
"70","70","Oklahoma St","2.9","3.0","1.0","2.2","3.7","3.6"
"71","71","W Kentucky","2.9","2.0","3.0","3.1","2.8","3.4"
"72","72","Duquesne","2.9","2.0","1.0","2.4","3.4","3.1"
"73","73","Iona","2.9","2.7","5.0","2.0","3.5","3.7"
"74","74","California","2.9","2.0","3.0","2.6","3.4","3.7"
"75","75","Massachusetts Lowell","3.0","2.3","1.0","2.8","3.1","3.2"
"76","76","Illinois St","3.0","1.3","2.0","1.8","4.1","2.7"
"77","77","Gonzaga","3.0","4.7","10.0","2.0","3.6","2.4"
"78","78","Santa Clara","3.0","3.0","3.0","2.6","3.3","3.7"
"79","79","Middle Tenn","3.0","5.3","11.0","2.8","3.1","3.9"
"80","80","Iowa","3.0","4.0","4.0","2.5","3.4","3.6"
"81","81","San Jose St","3.0","2.3","3.0","3.1","2.9","3.0"
"82","82","Syracuse","3.0","7.0","5.0","2.3","3.6","3.3"
"83","83","Ark Pine Bl","3.0","2.3","4.0","1.6","3.5","2.7"
"84","84","Austin Peay","3.0","3.7","9.0","2.2","3.4","3.2"
"85","85","Indiana","3.0","3.0","5.0","2.4","3.7","4.3"
"86","86","Florida St","3.0","3.0","2.0","2.7","3.3","2.6"
"87","87","Northwestern","3.0","4.0","2.0","3.2","2.8","2.5"
"88","88","TX El Paso","3.0","2.7","3.0","2.0","4.2","2.9"
"89","89","Stony Brook","3.0","6.0","15.0","1.7","4.1","3.2"
"90","90","St Bonavent","3.0","3.0","3.0","2.8","3.4","3.6"
"91","91","Fordham","3.0","3.3","5.0","2.6","3.8","3.1"
"92","92","Georgia St","3.0","2.7","0.0","2.1","3.9","2.4"
