"","Rank","Team","2016","Last 3","Last 1","Home","Away","2015"
"1","1","N Carolina","59.0%","57.9%","64.5%","57.1%","61.2%","60.0%"
"2","2","Kent State","61.8%","64.8%","53.8%","60.1%","63.4%","65.6%"
"3","3","Baylor","61.9%","47.0%","50.0%","63.5%","60.0%","60.7%"
"4","4","Wagner","62.1%","58.4%","51.3%","60.9%","63.4%","64.0%"
"5","5","W Virginia","62.5%","63.6%","52.8%","60.7%","65.1%","58.7%"
"6","6","S Methodist","62.8%","77.2%","70.8%","61.0%","64.9%","59.9%"
"7","7","Texas A&M","63.8%","68.2%","71.1%","66.5%","60.8%","66.2%"
"8","8","N Mex State","63.9%","60.8%","50.0%","58.8%","70.8%","64.6%"
"9","9","TN Martin","64.0%","63.0%","47.1%","63.7%","64.2%","71.9%"
"10","10","Louisville","64.0%","60.4%","55.9%","60.5%","68.7%","62.8%"
"11","11","Navy","64.2%","63.7%","55.0%","61.1%","67.1%","69.6%"
"12","12","Towson","64.3%","63.3%","64.3%","61.9%","66.1%","62.8%"
"13","13","Oklahoma St","64.4%","71.3%","77.8%","64.2%","64.7%","73.3%"
"14","14","Indiana","64.5%","67.7%","81.5%","63.2%","66.2%","64.0%"
"15","15","LA Lafayette","64.8%","60.4%","63.9%","64.0%","65.4%","63.4%"
"16","16","Rutgers","65.0%","68.0%","74.2%","62.9%","67.2%","78.1%"
"17","17","Siena","65.3%","55.7%","42.2%","66.5%","64.6%","62.8%"
"18","18","Cincinnati","65.4%","63.7%","61.1%","64.5%","66.5%","64.1%"
"19","19","LIU-Brooklyn","65.5%","67.7%","75.8%","66.1%","65.1%","68.4%"
"20","20","Old Dominion","65.9%","66.3%","67.4%","64.7%","67.3%","65.0%"
"21","21","Kansas","66.1%","67.1%","62.1%","62.8%","69.0%","69.6%"
"22","22","Seton Hall","66.1%","65.4%","68.2%","64.9%","67.1%","66.3%"
"23","23","Wisconsin","66.2%","71.9%","72.2%","62.9%","69.9%","69.5%"
"24","24","Xavier","66.2%","66.7%","61.1%","63.2%","69.0%","67.6%"
"25","25","New Orleans","66.2%","62.9%","65.5%","65.2%","67.0%","67.2%"
"26","26","Houston Bap","66.3%","65.6%","68.8%","61.9%","69.0%","72.3%"
"27","27","Washington","66.3%","66.7%","72.4%","68.5%","64.2%","67.9%"
"28","28","Fla Gulf Cst","66.4%","61.5%","69.7%","67.2%","65.5%","70.4%"
"29","29","Alabama","66.6%","72.4%","85.2%","63.7%","69.5%","72.7%"
"30","30","Ste F Austin","66.6%","67.4%","68.0%","63.1%","69.3%","67.3%"
"31","31","SE Louisiana","66.8%","64.8%","58.8%","66.8%","66.8%","73.6%"
"32","32","Florida St","66.8%","63.7%","69.7%","64.9%","69.1%","68.3%"
"33","33","NC-Grnsboro","66.9%","62.5%","67.7%","66.1%","67.6%","74.0%"
"34","34","Morehead St","66.9%","74.5%","78.1%","65.8%","67.7%","63.3%"
"35","35","Morgan St","67.0%","61.8%","63.6%","65.6%","68.2%","72.4%"
"36","36","Kentucky","67.1%","72.5%","74.2%","62.6%","72.0%","63.9%"
"37","37","Southern","67.1%","67.7%","65.6%","68.7%","66.1%","74.4%"
"38","38","Rhode Island","67.1%","63.9%","65.8%","67.1%","67.1%","71.3%"
"39","39","Jackson St","67.2%","66.1%","69.8%","66.3%","67.6%","69.7%"
"40","40","Central FL","67.4%","70.0%","74.3%","64.7%","70.3%","71.5%"
"41","41","TX Christian","67.4%","67.0%","71.1%","64.3%","71.9%","72.2%"
"42","42","Radford","67.5%","77.2%","76.9%","69.3%","66.2%","68.0%"
"43","43","Alabama St","67.5%","64.5%","51.1%","66.6%","68.0%","70.6%"
"44","44","S Carolina","67.6%","69.7%","72.5%","64.9%","71.0%","64.4%"
"45","45","Nebraska","67.6%","64.8%","67.7%","68.0%","67.2%","70.2%"
"46","46","CS Bakersfld","67.7%","74.4%","77.8%","67.4%","67.8%","66.7%"
"47","47","TN State","67.8%","67.0%","67.7%","68.4%","67.4%","69.6%"
"48","48","Mercer","67.9%","63.6%","80.6%","65.1%","70.0%","64.9%"
"49","49","Geo Wshgtn","68.0%","75.3%","66.7%","70.1%","65.9%","68.0%"
"50","50","Wichita St","68.0%","68.0%","74.3%","66.9%","69.0%","70.0%"
"51","51","St Marys","68.2%","74.7%","82.9%","67.2%","69.5%","71.9%"
"52","52","TX-Arlington","68.3%","68.0%","70.6%","67.2%","68.9%","64.9%"
"53","53","Quinnipiac","68.3%","68.0%","77.1%","69.2%","67.7%","62.8%"
"54","54","Houston","68.4%","71.8%","58.5%","66.0%","71.5%","65.0%"
"55","55","St Bonavent","68.4%","71.6%","68.6%","68.4%","68.4%","70.6%"
"56","56","Miami (FL)","68.5%","83.5%","91.3%","66.2%","71.3%","71.1%"
"57","57","E Michigan","68.5%","75.2%","75.9%","67.6%","69.2%","70.7%"
"58","58","Missouri St","68.7%","66.0%","72.2%","65.0%","72.5%","74.1%"
"59","59","N Illinois","68.7%","66.3%","57.1%","68.9%","68.6%","70.3%"
"60","60","TX Southern","68.8%","72.2%","66.7%","67.4%","69.3%","66.3%"
"61","61","Buffalo","68.8%","62.9%","73.7%","67.1%","69.9%","69.8%"
"62","62","Arizona","68.8%","72.7%","66.7%","70.4%","67.3%","67.6%"
"63","63","Colorado St","68.9%","71.0%","84.6%","65.4%","72.8%","69.5%"
"64","64","Rider","68.9%","63.2%","56.1%","68.4%","69.2%","74.0%"
"65","65","Albany","68.9%","71.1%","69.0%","68.5%","69.3%","66.2%"
"66","66","Hofstra","68.9%","78.1%","85.3%","72.9%","66.2%","69.5%"
"67","67","Duke","68.9%","68.3%","79.3%","67.9%","70.0%","68.8%"
"68","68","Colorado","69.0%","74.5%","82.4%","69.1%","68.8%","66.6%"
"69","69","Arkansas","69.0%","72.0%","66.7%","65.2%","74.2%","72.4%"
"70","70","Loyola-MD","69.1%","66.7%","69.7%","67.6%","70.2%","70.8%"
"71","71","NC-Wilmgton","69.2%","68.7%","71.4%","69.4%","69.0%","70.5%"
"72","72","N Florida","69.4%","67.4%","62.2%","68.3%","70.0%","77.9%"
"73","73","Iowa","69.4%","65.6%","60.0%","67.8%","71.7%","70.3%"
"74","74","Mississippi","69.4%","69.7%","67.9%","69.5%","69.3%","67.2%"
"75","75","Oregon","69.4%","76.1%","77.8%","66.7%","72.2%","68.0%"
"76","76","California","69.4%","73.8%","74.4%","70.4%","68.1%","69.4%"
"77","77","Murray St","69.5%","68.8%","57.6%","67.6%","70.5%","72.2%"
"78","78","Howard","69.5%","76.1%","73.3%","65.5%","71.5%","69.4%"
"79","79","UC Irvine","69.5%","58.9%","60.0%","66.9%","70.9%","72.5%"
"80","80","Jksnville St","69.5%","68.1%","58.3%","71.2%","68.9%","74.8%"
"81","81","Florida","69.6%","77.2%","80.6%","67.2%","70.6%","68.0%"
"82","82","Tennessee","69.6%","68.3%","62.5%","66.3%","74.4%","69.5%"
"83","83","TX-San Ant","69.7%","73.0%","65.5%","69.8%","69.6%","77.3%"
"84","84","Clemson","69.7%","68.8%","72.2%","68.9%","70.6%","70.9%"
"85","85","UCSB","69.8%","75.0%","72.2%","69.3%","70.2%","73.4%"
"86","86","IL-Chicago","70.0%","76.9%","68.8%","69.3%","70.5%","70.4%"
"87","87","NC Central","70.1%","55.8%","61.5%","65.6%","72.8%","68.7%"
"88","88","Syracuse","70.1%","76.5%","76.0%","69.4%","71.1%","68.1%"
"89","89","Kennesaw St","70.2%","72.0%","84.0%","65.8%","72.8%","74.1%"
"90","90","Georgia St","70.2%","67.7%","59.1%","70.3%","70.2%","77.8%"
"91","91","Memphis","70.4%","74.5%","71.8%","70.6%","70.2%","70.0%"
"92","92","Nevada","70.4%","71.6%","73.0%","70.8%","70.1%","70.3%"
"93","93","LSU","70.4%","71.4%","71.4%","68.5%","72.5%","71.1%"
"94","94","SIU Edward","70.4%","68.0%","63.9%","68.0%","71.9%","69.9%"
"95","95","USC","70.4%","74.7%","85.0%","69.6%","71.3%","70.2%"
"96","96","N Arizona","70.5%","67.6%","62.9%","68.9%","71.6%","79.4%"
"97","97","Central Conn","70.5%","73.4%","76.7%","69.1%","71.5%","72.2%"
"98","98","Lamar","70.5%","70.3%","72.0%","70.2%","70.8%","67.9%"
"99","99","Valparaiso","70.5%","65.6%","58.3%","72.7%","68.4%","66.3%"
"100","100","N Kentucky","70.5%","78.7%","70.4%","71.1%","70.2%","75.4%"
"101","101","W Michigan","70.6%","71.7%","71.4%","66.1%","74.2%","71.5%"
"102","102","Hampton","70.6%","70.0%","81.2%","68.3%","72.2%","67.5%"
"103","103","Grambling St","70.6%","68.5%","61.5%","71.3%","70.3%","77.7%"
"104","104","W Carolina","70.6%","66.7%","57.9%","69.4%","71.4%","71.0%"
"105","105","Drexel","70.7%","74.5%","73.5%","74.6%","68.3%","74.3%"
"106","106","Utah","70.7%","75.6%","67.9%","67.8%","74.1%","71.5%"
"107","107","Manhattan","70.7%","84.0%","88.0%","71.7%","69.9%","78.5%"
"108","108","Troy","70.7%","79.8%","77.8%","70.9%","70.6%","73.9%"
"109","109","SC Upstate","70.7%","76.0%","85.7%","71.9%","69.9%","70.2%"
"110","110","Purdue","70.7%","73.3%","78.6%","70.5%","71.0%","67.5%"
"111","111","Gard-Webb","70.8%","66.7%","70.0%","70.1%","71.1%","70.4%"
"112","112","Illinois St","70.8%","68.2%","69.8%","70.1%","71.4%","72.2%"
"113","113","NC A&T","70.9%","71.9%","71.4%","68.3%","72.3%","71.6%"
"114","114","WI-Grn Bay","70.9%","68.3%","69.8%","70.8%","70.9%","70.6%"
"115","115","Alcorn State","70.9%","70.0%","73.3%","63.8%","74.7%","68.4%"
"116","116","Vermont","70.9%","73.1%","69.6%","70.2%","71.6%","74.2%"
"117","117","Geo Mason","71.0%","78.7%","76.5%","69.0%","72.9%","68.0%"
"118","118","E Carolina","71.0%","78.0%","81.1%","67.8%","74.7%","73.5%"
"119","119","Oklahoma","71.0%","70.6%","68.8%","68.6%","73.4%","70.1%"
"120","120","Beth-Cook","71.0%","70.9%","73.3%","69.7%","71.9%","70.0%"
"121","121","Villanova","71.0%","70.7%","80.0%","70.3%","71.7%","72.0%"
"122","122","Sam Hous St","71.0%","70.6%","77.8%","68.1%","73.1%","72.9%"
"123","123","TX A&M-CC","71.1%","70.1%","68.0%","71.0%","71.1%","70.9%"
"124","124","San Diego St","71.1%","67.0%","68.3%","70.4%","71.6%","68.3%"
"125","125","Wake Forest","71.1%","73.9%","81.5%","72.8%","69.8%","68.3%"
"126","126","Loyola Mymt","71.1%","70.4%","66.7%","71.8%","70.3%","72.6%"
"127","127","Texas Tech","71.1%","73.9%","80.8%","71.4%","70.7%","70.8%"
"128","128","S Florida","71.1%","69.8%","63.9%","70.1%","72.5%","66.4%"
"129","129","Yale","71.2%","72.0%","70.6%","68.9%","73.0%","61.7%"
"130","130","Idaho","71.2%","70.0%","76.7%","70.2%","72.1%","67.7%"
"131","131","VCU","71.3%","75.0%","80.5%","70.0%","72.6%","68.4%"
"132","132","Middle Tenn","71.3%","69.0%","72.7%","68.6%","73.8%","72.7%"
"133","133","Lg Beach St","71.4%","68.9%","70.4%","70.2%","72.0%","73.5%"
"134","134","Harvard","71.4%","76.5%","88.9%","71.5%","71.3%","72.5%"
"135","135","Stanford","71.4%","63.6%","69.2%","73.4%","69.8%","71.0%"
"136","136","NJIT","71.5%","65.5%","71.4%","69.0%","72.5%","75.2%"
"137","137","E Illinois","71.5%","75.3%","82.1%","73.3%","70.1%","73.9%"
"138","138","St Fran (PA)","71.6%","70.9%","69.4%","70.4%","72.4%","70.1%"
"139","139","Miss Val St","71.6%","65.5%","77.5%","65.3%","73.7%","75.5%"
"140","140","Kansas St","71.6%","77.0%","83.9%","69.2%","74.2%","64.1%"
"141","141","Ohio State","71.7%","74.4%","74.2%","71.3%","72.3%","71.4%"
"142","142","Canisius","71.7%","70.8%","63.6%","74.7%","69.5%","71.4%"
"143","143","Wright State","71.7%","74.7%","77.4%","72.2%","71.3%","83.2%"
"144","144","TX-Pan Am","71.8%","78.6%","84.2%","73.8%","70.7%","78.0%"
"145","145","UCLA","71.8%","75.2%","80.6%","73.7%","69.6%","69.0%"
"146","146","Ark Pine Bl","71.9%","72.0%","69.2%","66.2%","75.0%","74.1%"
"147","147","Auburn","71.9%","75.8%","76.0%","68.7%","74.8%","74.5%"
"148","148","Michigan St","72.0%","70.3%","68.6%","68.2%","75.9%","64.0%"
"149","149","Gonzaga","72.0%","79.5%","84.0%","70.6%","73.4%","69.9%"
"150","150","Niagara","72.0%","65.6%","61.1%","73.8%","70.9%","69.2%"
"151","151","Chattanooga","72.0%","74.0%","88.5%","70.2%","73.2%","68.9%"
"152","152","Akron","72.0%","72.9%","58.3%","71.3%","72.6%","73.2%"
"153","153","DePaul","72.1%","78.6%","73.3%","70.6%","73.9%","71.2%"
"154","154","UAB","72.1%","69.0%","64.9%","70.0%","74.2%","69.4%"
"155","155","Sacred Hrt","72.1%","70.8%","73.3%","71.3%","72.7%","68.1%"
"156","156","S Illinois","72.1%","74.5%","63.2%","69.8%","74.3%","70.0%"
"157","157","Grand Canyon","72.2%","67.6%","71.8%","72.4%","71.9%","69.9%"
"158","158","E Tenn St","72.2%","76.9%","65.2%","67.8%","75.1%","73.7%"
"159","159","IPFW","72.2%","72.6%","67.6%","74.0%","70.8%","75.2%"
"160","160","Florida Intl","72.2%","74.7%","64.0%","71.1%","73.1%","71.1%"
"161","161","Rob Morris","72.3%","79.2%","73.5%","73.4%","71.6%","76.5%"
"162","162","Maryland","72.3%","69.7%","78.1%","72.6%","71.8%","73.5%"
"163","163","NC State","72.4%","74.2%","72.7%","69.3%","76.3%","65.4%"
"164","164","Georgia","72.5%","67.6%","65.9%","73.4%","71.4%","70.4%"
"165","165","CS Fullerton","72.5%","72.3%","77.8%","71.0%","73.9%","72.1%"
"166","166","St Josephs","72.5%","81.8%","78.1%","72.8%","72.2%","74.6%"
"167","167","Monmouth","72.5%","80.0%","78.3%","71.9%","73.0%","74.2%"
"168","168","Pacific","72.6%","77.7%","86.1%","69.7%","75.2%","74.0%"
"169","169","NW State","72.6%","75.0%","90.0%","72.4%","72.8%","74.8%"
"170","170","Toledo","72.6%","74.5%","72.7%","73.8%","71.6%","74.7%"
"171","171","UNLV","72.6%","79.0%","77.1%","70.2%","76.8%","73.2%"
"172","172","Coastal Car","72.7%","79.8%","81.6%","69.8%","75.6%","69.8%"
"173","173","Northwestern","72.7%","75.5%","75.0%","72.0%","73.6%","72.0%"
"174","174","Connecticut","72.7%","76.5%","77.4%","73.3%","72.2%","73.5%"
"175","175","Samford","72.7%","72.6%","75.0%","71.8%","73.3%","72.4%"
"176","176","LA Tech","72.7%","67.3%","75.0%","74.1%","71.3%","73.8%"
"177","177","James Mad","72.8%","72.8%","72.7%","72.4%","73.0%","71.8%"
"178","178","Stony Brook","72.8%","72.9%","74.2%","71.4%","74.2%","65.8%"
"179","179","BYU","72.8%","68.9%","70.7%","74.8%","70.8%","70.5%"
"180","180","TN Tech","72.9%","76.6%","79.5%","72.0%","73.6%","74.6%"
"181","181","Neb Omaha","72.9%","74.0%","74.3%","71.9%","73.5%","74.3%"
"182","182","Cleveland St","72.9%","67.5%","68.4%","73.6%","72.6%","72.4%"
"183","183","Illinois","73.0%","78.9%","75.7%","73.1%","72.8%","81.3%"
"184","184","Tulane","73.0%","69.1%","82.6%","71.8%","73.9%","70.1%"
"185","185","Pittsburgh","73.1%","80.6%","77.1%","70.1%","76.4%","65.0%"
"186","186","Norfolk St","73.1%","62.0%","56.5%","71.7%","73.8%","70.5%"
"187","187","Tulsa","73.1%","68.9%","67.7%","70.7%","75.4%","74.5%"
"188","188","S Utah","73.1%","78.9%","77.1%","76.2%","71.5%","79.5%"
"189","189","AR Lit Rock","73.2%","76.1%","75.0%","70.6%","75.3%","74.4%"
"190","190","Minnesota","73.2%","76.5%","73.0%","71.7%","75.9%","76.8%"
"191","191","Georgetown","73.2%","75.9%","78.1%","71.4%","75.6%","73.6%"
"192","192","Furman","73.2%","69.4%","66.7%","72.5%","73.7%","69.9%"
"193","193","High Point","73.2%","76.2%","70.5%","74.2%","72.3%","69.6%"
"194","194","Missouri","73.3%","71.6%","75.0%","70.6%","76.8%","74.9%"
"195","195","App State","73.3%","73.6%","70.0%","74.9%","72.1%","70.4%"
"196","196","Sac State","73.3%","62.2%","54.1%","70.4%","75.1%","75.7%"
"197","197","Ball State","73.4%","85.1%","83.3%","70.4%","76.5%","73.4%"
"198","198","LA Monroe","73.4%","71.9%","64.0%","72.3%","74.0%","71.0%"
"199","199","Fresno St","73.4%","75.5%","80.0%","73.2%","73.6%","72.0%"
"200","200","Arkansas St","73.4%","65.6%","63.2%","71.7%","74.6%","73.4%"
"201","201","GA Tech","73.5%","77.3%","69.4%","71.6%","75.9%","63.7%"
"202","202","Virginia","73.5%","75.3%","75.0%","70.1%","77.4%","71.6%"
"203","203","Butler","73.5%","72.8%","75.9%","73.3%","73.6%","70.4%"
"204","204","Oakland","73.5%","76.1%","71.1%","74.2%","72.7%","70.1%"
"205","205","Boston U","73.6%","77.5%","72.1%","73.5%","73.6%","75.7%"
"206","206","IUPUI","73.6%","80.7%","84.8%","74.1%","73.3%","74.6%"
"207","207","Texas","73.7%","73.7%","65.7%","73.2%","74.3%","70.1%"
"208","208","Rice","73.7%","75.0%","75.0%","74.8%","72.5%","74.8%"
"209","209","Bryant","73.7%","70.3%","71.4%","74.3%","73.2%","75.4%"
"210","210","U Mass","73.8%","58.3%","57.6%","72.8%","75.2%","76.7%"
"211","211","Denver","73.9%","77.5%","78.1%","71.5%","75.8%","82.0%"
"212","212","Montana","74.0%","72.6%","59.3%","73.8%","74.1%","73.8%"
"213","213","Presbyterian","74.0%","65.6%","66.7%","74.9%","73.4%","76.9%"
"214","214","Boise State","74.0%","80.8%","84.2%","71.9%","75.9%","74.7%"
"215","215","Duquesne","74.0%","81.2%","87.9%","75.0%","72.9%","73.9%"
"216","216","Maryland ES","74.1%","76.0%","69.0%","72.5%","74.8%","71.4%"
"217","217","Lipscomb","74.1%","71.0%","64.7%","70.4%","76.9%","75.2%"
"218","218","W Kentucky","74.1%","75.0%","68.8%","74.6%","73.7%","67.6%"
"219","219","Alab A&M","74.1%","68.8%","65.5%","70.9%","75.5%","70.6%"
"220","220","Bucknell","74.1%","77.2%","75.0%","77.8%","71.2%","72.6%"
"221","221","Wofford","74.1%","76.5%","82.8%","69.3%","76.8%","74.7%"
"222","222","Miss State","74.2%","75.0%","66.7%","73.6%","74.9%","71.8%"
"223","223","UC Davis","74.2%","69.9%","73.3%","73.8%","74.3%","77.7%"
"224","224","Texas State","74.2%","78.7%","73.3%","74.7%","73.8%","71.1%"
