"","Rank","Team","2014","Last 3","Last 1","Home","Away","2013"
"1","1","N Mex State","17.2","16.3","24.0","17.3","17.2","18.7"
"2","2","Citadel","17.9","17.0","21.0","17.0","18.5","23.1"
"3","3","Kentucky","17.9","18.0","21.0","16.5","19.2","18.3"
"4","4","Cincinnati","17.9","24.7","26.0","16.9","19.0","19.3"
"5","5","Ste F Austin","18.1","19.0","21.0","17.7","18.3","19.6"
"6","6","Texas","18.3","19.7","23.0","16.4","20.3","20.9"
"7","7","S Methodist","18.4","22.0","26.0","17.4","19.4","19.3"
"8","8","Albany","18.4","22.0","25.0","17.3","19.2","19.4"
"9","9","Gonzaga","18.4","20.3","22.0","17.9","18.8","20.2"
"10","10","Utah","18.5","19.0","23.0","17.9","19.1","21.0"
"11","11","N Iowa","18.6","19.0","20.0","19.5","17.9","23.2"
"12","12","Northeastrn","18.8","16.3","14.0","19.5","18.4","21.5"
"13","13","Virginia","18.8","22.3","23.0","19.6","18.1","19.0"
"14","14","Baylor","18.8","19.3","13.0","17.0","20.8","19.1"
"15","15","Miss State","18.8","20.0","21.0","19.1","18.5","23.1"
"16","16","N Carolina","18.8","18.3","22.0","18.3","19.2","21.8"
"17","17","Arizona","18.9","17.7","16.0","17.9","19.6","19.8"
"18","18","Towson","18.9","20.0","14.0","17.8","19.5","19.2"
"19","19","Maryland ES","18.9","19.3","20.0","16.8","19.8","22.6"
"20","20","Purdue","18.9","20.0","25.0","18.1","19.8","22.8"
"21","21","NC Central","19.0","18.0","16.0","16.0","20.4","19.9"
"22","22","Drake","19.0","17.3","19.0","19.8","18.4","21.9"
"23","23","Vanderbilt","19.0","20.3","24.0","17.9","20.2","21.7"
"24","24","Loyola-Chi","19.0","18.0","15.0","18.6","19.3","21.3"
"25","25","Norfolk St","19.0","17.7","16.0","18.1","19.5","19.4"
"26","26","UC Davis","19.0","19.3","26.0","18.9","19.1","24.8"
"27","27","Wisconsin","19.1","17.3","16.0","17.6","20.1","21.4"
"28","28","Howard","19.1","21.7","19.0","18.8","19.2","22.7"
"29","29","Seattle","19.3","19.3","18.0","19.4","19.3","20.9"
"30","30","Columbia","19.3","20.0","15.0","19.0","19.8","20.0"
"31","31","Duke","19.4","21.0","23.0","18.3","20.2","21.3"
"32","32","N Illinois","19.4","19.7","19.0","19.5","19.3","20.8"
"33","33","Yale","19.5","17.7","18.0","19.8","19.4","20.2"
"34","34","Valparaiso","19.5","23.0","27.0","20.2","19.1","19.0"
"35","35","Kansas St","19.5","20.7","17.0","18.5","20.6","22.0"
"36","36","Villanova","19.6","19.7","28.0","19.7","19.5","20.7"
"37","37","New Mexico","19.6","22.0","17.0","18.9","20.3","20.6"
"38","38","Tennessee","19.6","21.7","25.0","18.8","20.4","18.8"
"39","39","St Marys","19.7","20.7","19.0","18.7","21.2","19.4"
"40","40","Florida St","19.8","18.3","23.0","18.6","21.1","19.2"
"41","41","Air Force","19.8","20.0","17.0","20.2","19.4","23.4"
"42","42","American","19.8","20.3","19.0","19.7","19.9","18.5"
"43","43","Texas A&M","19.8","21.3","20.0","20.2","19.5","23.3"
"44","44","Connecticut","19.9","24.0","22.0","18.4","21.1","20.2"
"45","45","Beth-Cook","19.9","17.7","21.0","20.5","19.6","22.3"
"46","46","Georgetown","19.9","20.0","21.0","19.2","20.6","20.6"
"47","47","CS Bakersfld","20.0","19.7","20.0","19.5","20.4","20.7"
"48","48","Nevada","20.0","20.3","19.0","20.0","20.1","22.5"
"49","49","Wichita St","20.1","23.7","24.0","19.3","20.6","19.3"
"50","50","Georgia St","20.1","22.0","18.0","19.2","20.5","23.4"
"51","51","Cleveland St","20.1","20.3","19.0","18.1","21.6","20.1"
"52","52","Houston Bap","20.1","19.7","26.0","18.4","21.1","23.9"
"53","53","Denver","20.2","20.3","31.0","18.8","21.7","21.3"
"54","54","Notre Dame","20.3","20.3","19.0","20.6","19.9","21.6"
"55","55","Illinois St","20.3","24.3","28.0","19.9","20.5","25.2"
"56","56","Murray St","20.3","20.3","22.0","19.6","20.7","20.9"
"57","57","Harvard","20.3","19.0","23.0","19.2","21.1","19.6"
"58","58","Sac State","20.3","22.3","24.0","20.2","20.3","20.8"
"59","59","NC A&T","20.3","19.7","22.0","18.8","21.1","22.2"
"60","60","Boston U","20.3","21.0","24.0","19.6","20.9","22.8"
"61","61","Lafayette","20.3","17.7","23.0","19.3","21.2","21.3"
"62","62","Xavier","20.3","17.3","22.0","19.6","20.9","19.8"
"63","63","Vermont","20.3","21.7","20.0","20.9","19.8","18.9"
"64","64","U Penn","20.4","21.7","23.0","20.9","19.8","22.6"
"65","65","S Illinois","20.4","18.3","18.0","19.4","21.2","19.8"
"66","66","Mercer","20.4","24.0","26.0","18.2","22.0","21.2"
"67","67","St Fran (NY)","20.4","20.0","26.0","18.6","22.0","21.5"
"68","68","TN Martin","20.4","22.3","25.0","20.4","20.5","25.0"
"69","69","Portland","20.5","18.3","19.0","20.1","20.7","21.5"
"70","70","Colgate","20.5","19.0","17.0","18.8","21.8","21.0"
"71","71","Wyoming","20.5","20.3","21.0","17.6","23.6","21.2"
"72","72","N Colorado","20.5","20.0","25.0","19.2","21.7","19.3"
"73","73","Evansville","20.5","20.7","23.0","20.2","20.9","22.3"
"74","74","Kent State","20.6","19.7","26.0","19.1","21.8","22.0"
"75","75","TX A&M-CC","20.6","21.0","21.0","19.3","21.5","18.7"
"76","76","Memphis","20.6","23.0","29.0","19.0","22.7","20.5"
"77","77","TX Southern","20.6","23.0","21.0","19.3","21.2","20.7"
"78","78","San Diego St","20.6","23.0","27.0","21.8","19.7","21.4"
"79","79","Maryland","20.7","17.0","17.0","19.8","21.6","22.1"
"80","80","Chattanooga","20.7","22.0","19.0","18.5","22.9","23.5"
"81","81","Indiana","20.7","20.7","23.0","19.1","22.7","19.4"
"82","82","Radford","20.7","23.7","31.0","20.1","21.1","21.8"
"83","83","Ohio State","20.7","23.7","24.0","18.7","23.1","22.4"
"84","84","Old Dominion","20.7","23.0","27.0","19.9","21.7","21.6"
"85","85","Kansas","20.7","20.0","24.0","20.7","20.8","18.6"
"86","86","Lamar","20.7","17.7","24.0","19.9","21.2","22.8"
"87","87","Coastal Car","20.7","21.0","22.0","19.6","21.4","22.5"
"88","88","Geo Wshgtn","20.7","28.7","24.0","20.4","21.0","20.7"
"89","89","Wofford","20.8","20.3","26.0","20.7","20.8","21.8"
"90","90","Pittsburgh","20.8","23.3","21.0","20.1","21.6","18.4"
"91","91","James Mad","20.8","17.3","21.0","20.5","21.1","22.6"
"92","92","Quinnipiac","20.8","22.0","18.0","20.3","21.4","21.3"
"93","93","Michigan St","20.8","24.3","29.0","20.9","20.7","20.4"
"94","94","Geo Mason","20.8","19.0","20.0","21.3","20.4","22.1"
"95","95","WI-Grn Bay","20.8","24.0","31.0","19.4","21.7","20.4"
"96","96","Siena","20.8","19.7","21.0","20.5","21.1","20.3"
"97","97","Monmouth","20.9","20.7","25.0","22.3","19.7","23.9"
"98","98","St Peters","20.9","17.0","20.0","20.5","21.1","21.8"
"99","99","Providence","20.9","23.3","28.0","21.2","20.6","21.0"
"100","100","TN Tech","20.9","20.3","21.0","20.4","21.3","20.1"
"101","101","Alab A&M","20.9","22.3","19.0","19.2","21.9","23.9"
"102","102","Rhode Island","20.9","24.7","26.0","21.8","20.2","20.6"
"103","103","Colorado","20.9","21.0","22.0","19.9","22.0","20.9"
"104","104","Loyola Mymt","21.0","24.7","24.0","19.9","21.8","23.3"
"105","105","Navy","21.0","21.7","23.0","21.1","20.9","23.6"
"106","106","Morehead St","21.0","23.7","25.0","20.5","21.2","19.9"
"107","107","W Michigan","21.0","28.3","30.0","20.4","21.4","19.8"
"108","108","Iowa","21.0","21.3","24.0","21.0","21.0","20.8"
"109","109","New Orleans","21.0","22.7","19.0","19.1","22.0","22.1"
"110","110","Alabama","21.0","22.7","28.0","19.8","22.4","22.0"
"111","111","Boise State","21.0","21.3","22.0","19.8","21.7","20.8"
"112","112","Northwestern","21.0","22.0","19.0","21.1","21.0","24.4"
"113","113","GA Tech","21.0","23.7","20.0","20.4","21.6","21.8"
"114","114","Presbyterian","21.1","23.7","22.0","19.9","21.8","24.2"
"115","115","Texas Tech","21.1","20.0","22.0","19.2","23.8","18.2"
"116","116","Stanford","21.1","21.0","25.0","19.1","23.2","21.8"
"117","117","Toledo","21.1","20.3","19.0","21.1","21.2","21.4"
"118","118","Belmont","21.1","21.0","23.0","21.7","20.7","20.4"
"119","119","Florida","21.2","20.7","22.0","19.8","22.5","19.5"
"120","120","S Carolina","21.2","23.3","23.0","20.1","22.2","19.8"
"121","121","IUPUI","21.2","23.3","23.0","21.7","20.9","24.3"
"122","122","Butler","21.2","28.7","29.0","18.2","23.9","23.5"
"123","123","Furman","21.3","18.3","18.0","20.8","21.5","22.1"
"124","124","Clemson","21.3","22.3","20.0","21.3","21.3","19.9"
"125","125","TX Christian","21.3","21.7","21.0","20.7","22.1","24.6"
"126","126","Idaho","21.3","20.7","21.0","19.9","22.4","22.2"
"127","127","SC Upstate","21.3","20.3","24.0","20.6","22.1","20.6"
"128","128","St Bonavent","21.4","19.3","14.0","21.8","21.0","20.0"
"129","129","Liberty","21.4","21.0","20.0","21.6","21.2","19.4"
"130","130","TX-San Ant","21.4","24.7","25.0","21.2","21.5","21.4"
"131","131","UAB","21.4","22.7","26.0","20.1","22.4","22.3"
"132","132","Pepperdine","21.4","24.3","31.0","21.3","21.5","21.5"
"133","133","Middle Tenn","21.4","21.3","20.0","20.1","22.4","20.5"
"134","134","Ark Pine Bl","21.4","18.3","13.0","20.4","21.8","22.9"
"135","135","Missouri St","21.4","22.3","22.0","21.2","21.6","23.0"
"136","136","S Florida","21.4","19.0","21.0","20.8","22.1","22.2"
"137","137","Wm & Mary","21.4","26.3","28.0","20.2","22.2","22.5"
"138","138","Montana","21.4","21.0","26.0","20.5","22.1","21.1"
"139","139","Jackson St","21.4","23.0","24.0","21.2","21.6","21.3"
"140","140","Georgia","21.5","23.7","28.0","21.0","21.9","20.1"
"141","141","U Mass","21.5","21.0","22.0","21.3","21.6","22.1"
"142","142","UC Irvine","21.5","20.7","15.0","20.6","22.0","21.5"
"143","143","High Point","21.5","20.3","18.0","21.2","21.7","21.3"
"144","144","Lehigh","21.6","22.7","20.0","21.8","21.3","23.0"
"145","145","Mississippi","21.6","27.7","30.0","22.7","20.6","24.1"
"146","146","TX El Paso","21.6","19.3","29.0","20.8","22.4","20.0"
"147","147","Creighton","21.6","17.0","15.0","22.4","20.8","20.8"
"148","148","Bucknell","21.6","21.3","31.0","20.0","23.0","22.2"
"149","149","BYU","21.6","22.0","26.0","21.7","21.6","22.6"
"150","150","Pacific","21.6","21.3","25.0","22.2","21.2","21.2"
"151","151","Bryant","21.6","20.3","19.0","20.4","22.7","22.3"
"152","152","Dartmouth","21.7","26.0","24.0","23.1","20.6","21.8"
"153","153","Bowling Grn","21.7","20.7","28.0","21.0","22.3","22.7"
"154","154","S Mississippi","21.7","23.0","16.0","20.0","23.2","18.0"
"155","155","LA Lafayette","21.7","20.0","24.0","20.4","22.5","22.3"
"156","156","Fordham","21.7","21.3","22.0","20.2","23.2","24.8"
"157","157","Fla Gulf Cst","21.7","21.0","24.0","20.8","22.5","22.0"
"158","158","N Florida","21.7","21.3","19.0","20.7","22.2","22.1"
"159","159","NC State","21.7","24.3","27.0","20.9","22.8","20.9"
"160","160","Manhattan","21.7","25.0","31.0","20.5","22.3","22.3"
"161","161","Colorado St","21.7","26.0","31.0","21.4","22.1","22.3"
"162","162","Oregon St","21.7","28.3","28.0","19.6","24.1","19.9"
"163","163","Troy","21.7","19.3","22.0","21.9","21.6","22.6"
"164","164","Arizona St","21.8","24.0","28.0","21.7","21.9","25.2"
"165","165","Alabama St","21.8","17.7","22.0","22.8","21.2","23.7"
"166","166","Canisius","21.8","20.7","22.0","20.9","22.6","21.5"
"167","167","NJIT","21.8","25.0","31.0","20.5","22.8","24.5"
"168","168","Tulane","21.8","24.0","26.0","21.5","22.2","21.6"
"169","169","Oregon","21.8","21.7","20.0","21.2","22.5","21.0"
"170","170","Syracuse","21.8","25.0","29.0","21.2","22.6","19.1"
"171","171","Miami (FL)","21.8","25.3","26.0","21.9","21.8","19.0"
"172","172","N Arizona","21.8","22.3","21.0","21.1","22.3","20.3"
"173","173","UCSB","21.8","22.7","25.0","20.5","22.7","20.2"
"174","174","Boston Col","21.8","25.0","30.0","21.3","22.5","20.5"
"175","175","Weber State","21.9","23.0","24.0","22.8","21.1","20.4"
"176","176","Ball State","21.9","21.7","21.0","21.7","22.0","21.7"
"177","177","W Carolina","21.9","21.7","23.0","21.0","22.3","22.6"
"178","178","Rob Morris","21.9","27.3","30.0","20.7","22.9","22.2"
"179","179","Rice","21.9","20.3","23.0","21.8","22.0","26.0"
"180","180","IPFW","21.9","28.0","27.0","20.3","23.1","19.9"
"181","181","Grand Canyon","21.9","22.7","27.0","21.5","22.6","22.7"
"182","182","SE Louisiana","22.0","20.0","21.0","20.8","22.6","24.1"
"183","183","Arkansas","22.0","21.0","24.0","22.1","21.9","23.8"
"184","184","Stony Brook","22.0","24.0","27.0","21.8","22.1","20.4"
"185","185","LA Monroe","22.0","18.3","15.0","20.1","23.4","23.1"
"186","186","Dayton","22.0","22.7","25.0","21.7","22.3","20.2"
"187","187","Central Mich","22.0","26.3","31.0","20.4","23.6","23.7"
"188","188","Nicholls St","22.0","18.0","16.0","18.8","24.1","23.0"
"189","189","Charlotte","22.1","21.3","12.0","23.6","21.0","22.2"
"190","190","Cal St Nrdge","22.1","19.3","12.0","21.5","22.5","21.2"
"191","191","NC-Asheville","22.1","19.7","23.0","21.5","22.5","21.1"
"192","192","S Dakota St","22.1","27.7","24.0","18.9","23.7","21.4"
"193","193","E Kentucky","22.1","25.7","30.0","21.5","22.6","21.6"
"194","194","Samford","22.1","22.0","19.0","20.8","23.1","22.7"
"195","195","Lg Beach St","22.2","20.0","20.0","21.0","22.7","22.6"
"196","196","San Diego","22.2","22.3","22.0","21.1","22.9","20.8"
"197","197","Chicago St","22.2","20.7","24.0","21.3","22.6","26.3"
"198","198","Hawaii","22.2","23.0","25.0","21.9","22.4","19.9"
"199","199","Oklahoma St","22.2","24.3","24.0","21.0","23.3","23.9"
"200","200","Florida Intl","22.2","23.0","24.0","21.9","22.3","21.3"
"201","201","WI-Milwkee","22.2","22.0","23.0","21.4","22.8","23.0"
