"","Rank","Team","2016","Last 3","Last 1","Home","Away","2015"
"1","1","Gonzaga","41.5%","41.9%","43.9%","40.9%","42.2%","44.8%"
"2","2","Central FL","42.2%","44.4%","41.3%","38.9%","46.1%","47.1%"
"3","3","Illinois St","43.7%","41.9%","45.0%","43.0%","44.2%","48.4%"
"4","4","UC Irvine","43.7%","40.2%","33.6%","41.9%","44.8%","44.6%"
"5","5","CS Bakersfld","43.8%","36.9%","35.6%","42.7%","44.5%","45.2%"
"6","6","Wichita St","43.9%","40.4%","34.5%","43.6%","44.3%","44.7%"
"7","7","Cincinnati","44.2%","40.6%","34.4%","45.6%","42.1%","45.6%"
"8","8","E Carolina","44.2%","47.9%","44.9%","39.8%","49.6%","51.2%"
"9","9","California","44.4%","46.2%","41.5%","42.9%","46.8%","44.3%"
"10","10","San Diego St","44.6%","35.4%","38.7%","43.4%","45.6%","42.5%"
"11","11","Minnesota","44.7%","44.0%","52.6%","44.8%","44.4%","51.7%"
"12","12","S Carolina","44.8%","43.5%","53.8%","42.7%","47.8%","47.4%"
"13","13","Baylor","44.9%","49.1%","45.3%","42.6%","47.5%","51.2%"
"14","14","Louisville","44.9%","48.5%","47.4%","45.2%","44.5%","44.7%"
"15","15","St Marys","45.2%","43.5%","53.7%","47.7%","42.6%","46.2%"
"16","16","Virginia","45.2%","38.6%","37.8%","42.0%","48.7%","48.4%"
"17","17","Rhode Island","45.3%","42.2%","49.2%","45.0%","45.7%","47.6%"
"18","18","Northwestern","45.3%","49.4%","48.1%","44.9%","45.9%","46.5%"
"19","19","Connecticut","45.5%","47.4%","41.7%","43.3%","47.6%","44.5%"
"20","20","Florida","45.5%","46.7%","49.1%","47.4%","44.6%","46.7%"
"21","21","Alabama","45.7%","35.5%","38.1%","46.7%","44.7%","46.6%"
"22","22","S Methodist","45.7%","41.8%","36.9%","43.5%","48.9%","46.6%"
"23","23","Oakland","45.7%","47.5%","48.7%","46.6%","44.6%","49.6%"
"24","24","Oregon","45.7%","48.5%","38.8%","43.7%","48.3%","48.9%"
"25","25","NC Central","45.9%","48.1%","47.4%","45.5%","46.1%","50.0%"
"26","26","GA Tech","46.1%","52.2%","44.4%","41.9%","52.6%","49.1%"
"27","27","Old Dominion","46.4%","46.3%","49.1%","46.8%","46.1%","45.5%"
"28","28","Winthrop","46.4%","44.2%","42.1%","46.8%","46.1%","47.7%"
"29","29","Colorado St","46.5%","51.9%","52.2%","47.7%","45.1%","52.1%"
"30","30","Wyoming","46.6%","49.4%","49.0%","45.9%","47.3%","50.1%"
"31","31","Houston","46.6%","46.0%","37.0%","43.7%","50.0%","47.3%"
"32","32","Monmouth","46.7%","44.2%","62.5%","46.2%","47.0%","46.1%"
"33","33","Miami (FL)","46.7%","46.6%","47.4%","44.3%","49.7%","48.3%"
"34","34","Purdue","46.7%","54.3%","48.3%","43.4%","50.8%","44.3%"
"35","35","Maryland","46.7%","50.0%","43.3%","46.5%","47.0%","46.5%"
"36","36","Michigan St","46.8%","50.3%","50.0%","44.4%","49.4%","43.3%"
"37","37","Rutgers","47.0%","51.2%","42.4%","44.9%","49.2%","52.0%"
"38","38","Wisconsin","47.0%","45.9%","34.8%","44.2%","50.3%","48.0%"
"39","39","VCU","47.0%","47.3%","42.5%","46.2%","48.0%","49.1%"
"40","40","Ohio","47.0%","49.1%","43.8%","47.1%","47.0%","49.6%"
"41","41","U Mass","47.1%","54.0%","35.5%","45.6%","49.1%","48.3%"
