"","Rank","Team","2015","Last 3","Last 1","Home","Away","2014"
"1","1","W Virginia","0.859","0.884","1.042","0.840","0.874","0.839"
"2","2","Wichita St","0.862","0.847","0.784","0.833","0.882","0.897"
"3","3","Ste F Austin","0.865","0.921","0.967","0.820","0.887","0.875"
"4","4","Fordham","0.884","0.892","0.830","0.859","0.924","0.938"
"5","5","S Illinois","0.888","0.896","0.851","0.890","0.887","0.887"
"6","6","Mt St Marys","0.892","0.942","1.000","0.871","0.904","0.929"
"7","7","Col Charlestn","0.896","0.901","0.894","0.890","0.900","0.967"
"8","8","NC-Asheville","0.897","0.944","0.927","0.891","0.902","0.962"
"9","9","Denver","0.901","0.866","0.874","0.886","0.915","0.920"
"10","10","Savannah St","0.901","0.888","0.833","0.865","0.930","0.884"
"11","11","Loyola-Chi","0.902","0.858","0.842","0.907","0.897","0.938"
"12","12","Boise State","0.902","0.886","0.971","0.894","0.909","0.921"
"13","13","Wright State","0.904","0.946","0.958","0.879","0.921","0.928"
"14","14","Morehead St","0.905","0.922","0.963","0.907","0.904","0.901"
"15","15","VCU","0.906","0.977","0.973","0.890","0.919","0.892"
"16","16","Manhattan","0.906","0.907","0.947","0.888","0.921","0.887"
"17","17","TN State","0.906","0.809","0.815","0.863","0.938","0.968"
"18","18","Wagner","0.911","0.954","0.930","0.903","0.919","0.927"
"19","19","Navy","0.912","0.948","0.985","0.922","0.904","0.920"
"20","20","Abilene Christian","0.913","0.899","0.830","0.899","0.922","0.934"
"21","21","Rhode Island","0.914","0.944","0.924","0.908","0.921","0.907"
"22","22","Jackson St","0.914","0.898","0.934","0.912","0.915","0.888"
"23","23","Maine","0.915","0.917","0.804","0.923","0.908","0.942"
"24","24","North Dakota","0.915","0.919","0.988","0.907","0.921","0.937"
"25","25","Sam Hous St","0.917","0.926","0.892","0.897","0.929","0.920"
"26","26","Hawaii","0.917","0.893","0.873","0.914","0.920","0.912"
"27","27","TX-Arlington","0.917","0.882","0.872","0.912","0.920","0.955"
"28","28","CS Bakersfld","0.917","0.913","0.971","0.924","0.912","0.925"
"29","29","Murray St","0.917","0.979","1.032","0.916","0.918","0.969"
"30","30","Texas State","0.917","0.927","0.973","0.910","0.923","0.905"
"31","31","Dartmouth","0.917","0.925","0.874","0.914","0.921","0.911"
"32","32","Fresno St","0.918","0.956","0.897","0.906","0.930","0.942"
"33","33","AR Lit Rock","0.919","0.914","0.968","0.908","0.925","0.932"
"34","34","Montana","0.919","0.911","0.943","0.892","0.934","0.922"
"35","35","Providence","0.919","0.918","0.919","0.884","0.952","0.930"
"36","36","WI-Grn Bay","0.919","0.983","0.888","0.890","0.935","0.919"
"37","37","Middle Tenn","0.920","0.934","0.936","0.912","0.925","0.908"
"38","38","Prairie View","0.920","0.972","1.042","0.900","0.929","0.930"
"39","39","Illinois St","0.920","0.981","0.922","0.917","0.923","0.923"
"40","40","Baylor","0.920","0.930","0.941","0.901","0.946","0.958"
"41","41","TX Christian","0.921","0.913","0.929","0.889","0.960","0.950"
"42","42","TX A&M-CC","0.921","1.009","1.027","0.883","0.945","0.942"
"43","43","Valparaiso","0.921","0.934","0.956","0.891","0.946","0.933"
"44","44","Butler","0.921","0.933","0.938","0.917","0.926","0.912"
"45","45","Chattanooga","0.922","0.962","0.932","0.920","0.924","0.941"
"46","46","Idaho","0.923","1.000","0.937","0.915","0.928","0.960"
"47","47","N Illinois","0.923","0.894","0.900","0.916","0.930","0.912"
"48","48","Louisville","0.923","0.945","0.899","0.907","0.951","0.935"
"49","49","Texas A&M","0.924","0.873","0.893","0.909","0.938","0.936"
"50","50","Nebraska","0.924","0.900","0.878","0.907","0.943","0.928"
"51","51","Evansville","0.924","0.973","0.914","0.911","0.936","0.922"
"52","52","Georgia St","0.924","0.889","0.854","0.965","0.890","0.929"
"53","53","Virginia","0.925","0.965","1.061","0.923","0.926","0.937"
"54","54","Neb Omaha","0.925","0.927","0.899","0.927","0.924","0.910"
"55","55","Xavier","0.926","0.901","0.928","0.922","0.930","0.934"
"56","56","Columbia","0.926","0.920","0.868","0.932","0.918","0.964"
"57","57","S Carolina","0.926","0.956","1.000","0.933","0.918","0.935"
"58","58","Florida A&M","0.927","0.896","0.884","0.925","0.927","0.974"
"59","59","Maryland BC","0.927","0.932","1.061","0.909","0.939","0.941"
"60","60","BYU","0.927","0.937","0.844","0.919","0.935","0.941"
"61","61","Holy Cross","0.927","1.016","1.060","0.902","0.945","0.897"
"62","62","Villanova","0.927","0.954","1.046","0.923","0.930","0.912"
"63","63","Illinois","0.927","0.912","0.955","0.917","0.935","0.924"
"64","64","Air Force","0.928","0.932","0.880","0.918","0.937","0.944"
"65","65","Samford","0.928","0.977","0.938","0.906","0.941","0.925"
"66","66","High Point","0.928","1.028","1.015","0.902","0.946","0.941"
"67","67","Kansas St","0.928","0.912","0.957","0.932","0.924","0.933"
"68","68","Yale","0.928","0.984","0.921","0.902","0.945","0.935"
"69","69","Boston Col","0.929","0.930","0.944","0.911","0.950","0.948"
"70","70","Maryland ES","0.929","0.916","1.016","0.907","0.940","0.921"
"71","71","St Johns","0.929","0.926","0.912","0.922","0.937","0.972"
"72","72","Miami (OH)","0.930","0.975","1.000","0.918","0.944","0.918"
"73","73","Dayton","0.930","0.897","1.000","0.930","0.930","0.914"
"74","74","Lg Beach St","0.930","0.945","0.946","0.888","0.951","0.937"
"75","75","UC Davis","0.930","0.898","0.971","0.928","0.932","0.978"
"76","76","Loyola Mymt","0.930","0.867","0.947","0.929","0.932","0.969"
"77","77","Oregon","0.931","0.952","0.985","0.928","0.933","0.974"
"78","78","Cleveland St","0.931","0.900","0.904","0.927","0.934","0.917"
"79","79","Stony Brook","0.931","0.920","0.987","0.945","0.920","0.930"
"80","80","Furman","0.932","0.932","1.000","0.927","0.935","0.982"
"81","81","Charlotte","0.932","0.893","0.855","0.939","0.926","0.956"
"82","82","New Orleans","0.933","0.898","1.000","0.892","0.953","0.921"
"83","83","Grand Canyon","0.933","0.946","0.941","0.921","0.948","0.981"
"84","84","UNLV","0.933","1.008","1.076","0.914","0.952","0.994"
"85","85","American","0.933","0.958","0.882","0.938","0.930","0.916"
"86","86","Tulsa","0.933","1.033","1.000","0.895","0.966","0.937"
"87","87","N Colorado","0.934","0.976","0.944","0.921","0.945","0.932"
