"","Rank","Team","2016","Last 3","Last 1","Home","Away","2015"
"1","1","Virginia","48.4","49.7","45.0","47.3","49.6","50.0"
"2","2","Holy Cross","48.5","46.7","46.0","48.1","48.7","53.5"
"3","3","Liberty","48.5","43.7","40.0","47.4","49.6","51.2"
"4","4","Navy","48.7","49.0","45.0","48.2","49.2","50.4"
"5","5","Fordham","48.9","49.0","48.0","48.3","49.6","52.5"
"6","6","Ark Pine Bl","50.2","51.3","57.0","50.7","50.0","51.5"
"7","7","Jackson St","50.9","48.3","48.0","49.7","51.6","53.1"
"8","8","Old Dominion","50.9","50.0","55.0","48.5","53.2","52.8"
"9","9","American","50.9","58.7","51.0","48.0","53.9","50.6"
"10","10","Ste F Austin","51.0","61.3","59.0","51.3","50.8","51.0"
"11","11","Princeton","51.2","47.7","54.0","51.7","50.9","58.3"
"12","12","Middle Tenn","51.3","50.3","53.0","51.3","51.4","54.2"
"13","13","Santa Clara","51.5","47.7","52.0","52.8","50.3","57.3"
"14","14","Loyola-MD","51.8","45.3","44.0","51.6","51.9","56.9"
"15","15","AR Lit Rock","52.0","43.0","42.0","50.4","53.3","51.8"
"16","16","St Marys","52.4","56.3","54.0","50.4","54.6","56.1"
"17","17","TN State","52.4","50.0","60.0","53.3","51.9","54.3"
"18","18","S Carolina","52.5","53.7","52.0","54.2","50.3","57.6"
"19","19","St Peters","52.5","52.3","49.0","52.6","52.5","56.1"
"20","20","W Virginia","52.5","50.3","60.0","53.3","51.5","48.9"
"21","21","Texas State","52.7","53.7","51.0","54.1","51.7","52.8"
"22","22","Loyola Mymt","52.8","53.3","50.0","53.5","51.8","54.5"
"23","23","Prairie View","52.8","50.3","51.0","51.5","53.5","52.8"
"24","24","CS Bakersfld","52.8","54.7","52.0","54.6","51.7","53.8"
"25","25","Rhode Island","52.9","55.3","62.0","53.7","51.9","52.2"
"26","26","Texas Tech","52.9","51.0","50.0","53.2","52.5","57.1"
"27","27","Grambling St","52.9","51.3","55.0","48.4","55.3","54.5"
"28","28","Michigan","53.1","54.3","51.0","51.8","54.8","55.5"
"29","29","Loyola-Chi","53.1","53.7","52.0","52.1","53.9","52.2"
"30","30","WI-Milwkee","53.1","50.7","53.0","56.2","51.4","58.9"
"31","31","Albany","53.2","56.7","45.0","52.9","53.4","57.5"
"32","32","Stony Brook","53.2","51.0","46.0","51.9","54.5","57.2"
"33","33","Sam Hous St","53.6","51.3","47.0","51.7","55.1","52.9"
"34","34","Chattanooga","53.7","49.3","52.0","51.5","55.2","55.8"
"35","35","W Carolina","53.7","53.0","56.0","50.6","55.7","55.7"
"36","36","Abilene Christian","53.7","53.3","57.0","52.0","54.9","53.7"
"37","37","Rob Morris","53.7","59.7","52.0","50.8","55.6","57.6"
"38","38","James Mad","53.8","59.0","54.0","54.4","53.3","58.5"
"39","39","Towson","53.8","46.3","43.0","55.6","52.3","53.9"
"40","40","Butler","53.9","54.7","51.0","52.2","55.9","56.9"
"41","41","Wisconsin","54.0","56.3","56.0","53.1","55.1","53.2"
"42","42","Houston","54.0","54.7","50.0","54.8","53.1","57.7"
"43","43","Colgate","54.1","53.7","51.0","50.8","55.9","53.0"
"44","44","Stanford","54.1","58.3","56.0","54.2","53.9","54.8"
"45","45","St Fran (NY)","54.1","56.3","60.0","55.2","53.4","56.3"
"46","46","Pacific","54.2","53.7","51.0","53.9","54.4","55.2"
"47","47","N Iowa","54.2","47.7","48.0","53.5","54.6","55.5"
"48","48","Hawaii","54.2","58.7","59.0","53.6","55.2","56.2"
"49","49","Saint Louis","54.2","52.3","53.0","55.6","52.2","56.2"
"50","50","Cal Poly","54.2","58.3","59.0","54.0","54.3","56.8"
"51","51","Cleveland St","54.2","53.0","57.0","53.1","54.8","51.9"
"52","52","DePaul","54.3","55.3","62.0","55.1","53.3","55.2"
"53","53","VCU","54.4","49.7","53.0","54.4","54.3","55.0"
"54","54","Montana","54.4","52.0","54.0","55.8","53.4","52.2"
"55","55","SE Missouri","54.4","54.0","52.0","56.6","53.1","59.8"
"56","56","Wagner","54.5","57.3","50.0","54.9","54.1","52.6"
"57","57","Evansville","54.5","60.7","53.0","52.3","56.6","57.8"
"58","58","Arkansas St","54.6","58.0","55.0","57.2","52.8","64.4"
"59","59","Vermont","54.6","51.7","50.0","52.3","56.6","57.5"
"60","60","Furman","54.6","51.7","53.0","56.6","53.3","53.4"
"61","61","Alabama","54.6","55.0","59.0","54.5","54.8","56.9"
"62","62","San Diego","54.7","50.7","43.0","55.2","54.0","53.6"
"63","63","TX El Paso","54.7","54.7","58.0","54.3","55.2","61.2"
"64","64","Fresno St","54.8","51.0","53.0","56.5","53.3","55.0"
"65","65","E Michigan","54.8","58.7","51.0","54.0","55.4","58.8"
"66","66","S Illinois","54.9","58.7","68.0","55.4","54.4","52.7"
"67","67","Cincinnati","54.9","48.0","48.0","56.8","52.3","57.8"
"68","68","SE Louisiana","55.0","53.0","49.0","57.3","53.3","57.6"
"69","69","Manhattan","55.0","52.3","48.0","54.9","55.0","53.0"
"70","70","Harvard","55.0","55.3","53.0","54.5","55.5","57.6"
"71","71","S Methodist","55.0","58.7","65.0","55.7","54.1","56.3"
"72","72","Illinois St","55.0","57.7","50.0","55.3","54.8","53.8"
"73","73","TX A&M-CC","55.0","55.7","49.0","54.2","55.7","54.4"
"74","74","Campbell","55.1","56.7","51.0","53.0","56.6","54.6"
"75","75","Presbyterian","55.1","52.7","45.0","53.8","55.9","55.8"
"76","76","Jacksonville","55.1","56.3","56.0","53.6","55.8","60.3"
"77","77","Delaware","55.1","54.0","57.0","54.7","55.4","60.0"
"78","78","Jksnville St","55.1","57.3","54.0","53.2","55.8","54.3"
"79","79","Mercer","55.1","55.0","54.0","55.1","55.2","57.2"
"80","80","Lamar","55.1","56.0","54.0","55.5","54.9","57.6"
"81","81","Kansas St","55.2","52.7","45.0","55.4","54.9","54.2"
"82","82","Idaho","55.2","55.3","56.0","57.1","53.7","52.6"
"83","83","Central Conn","55.2","55.3","63.0","53.6","56.4","61.2"
"84","84","NC-Wilmgton","55.2","55.3","55.0","55.0","55.4","54.0"
"85","85","TX-San Ant","55.3","57.3","64.0","54.4","55.9","57.0"
"86","86","Col Charlestn","55.3","54.7","53.0","57.2","53.9","50.0"
"87","87","High Point","55.4","57.7","61.0","56.5","54.5","55.4"
"88","88","Brown","55.4","53.3","51.0","57.5","53.3","61.8"
"89","89","Hampton","55.4","59.3","51.0","55.8","55.1","60.4"
"90","90","U Penn","55.4","57.3","58.0","55.1","55.7","59.0"
"91","91","Miami (FL)","55.6","53.3","57.0","58.4","52.4","57.4"
"92","92","NC-Asheville","55.6","55.0","52.0","56.5","55.0","57.1"
"93","93","Georgia St","55.6","52.3","56.0","57.1","54.5","52.1"
"94","94","N Illinois","55.7","55.0","54.0","57.9","53.5","54.9"
"95","95","Dayton","55.7","61.0","57.0","55.2","56.1","57.0"
"96","96","N Hampshire","55.7","62.7","48.0","51.5","58.6","56.6"
"97","97","Wichita St","55.7","57.0","58.0","55.5","55.9","48.6"
