"","Rank","Team","2015","Last 3","Last 1","Home","Away","2014"
"1","1","Wichita St","18.8","19.0","21.0","18.9","18.7","19.8"
"2","2","Louisville","20.4","21.7","20.0","19.6","21.6","21.3"
"3","3","AR Lit Rock","20.6","25.7","30.0","20.2","20.9","24.2"
"4","4","W Virginia","20.7","20.7","17.0","20.5","20.9","21.8"
"5","5","Navy","20.8","23.0","21.0","21.8","20.1","22.5"
"6","6","Old Dominion","21.0","19.7","21.0","20.3","21.4","19.2"
"7","7","Virginia","21.0","24.3","21.0","20.7","21.2","18.3"
"8","8","San Diego St","21.1","24.7","26.0","21.8","20.3","19.9"
"9","9","Jackson St","21.2","21.0","20.0","19.7","22.0","20.0"
"10","10","Col Charlestn","21.3","24.0","24.0","20.2","22.2","21.3"
"11","11","CS Bakersfld","21.3","20.7","28.0","21.1","21.5","19.7"
"12","12","Georgia St","21.5","25.7","23.0","21.8","21.1","20.3"
"13","13","Denver","21.7","18.3","15.0","21.3","22.0","21.0"
"14","14","Wagner","21.7","28.3","28.0","20.6","22.8","24.3"
"15","15","Wright State","21.7","22.7","25.0","21.2","22.1","23.5"
"16","16","Valparaiso","21.8","22.7","23.0","21.3","22.2","20.5"
"17","17","Connecticut","21.8","23.0","25.0","21.4","22.2","21.1"
"18","18","Morehead St","22.0","24.0","21.0","20.7","22.9","21.2"
"19","19","Michigan St","22.1","24.0","33.0","21.3","22.8","21.4"
"20","20","Idaho","22.2","23.3","21.0","22.5","21.9","26.0"
"21","21","UC Irvine","22.3","20.7","22.0","20.6","23.0","22.1"
"22","22","Rhode Island","22.3","20.3","22.0","21.8","22.9","20.6"
"23","23","Northwestern","22.4","20.7","22.0","21.2","23.9","22.6"
"24","24","Hawaii","22.4","22.3","22.0","22.4","22.4","22.7"
"25","25","UCSB","22.5","23.0","22.0","21.6","23.0","21.9"
"26","26","S Methodist","22.5","17.7","18.0","22.4","22.7","20.3"
"27","27","Ball State","22.6","23.7","20.0","22.3","22.9","24.0"
"28","28","Yale","22.6","24.7","23.0","21.3","23.4","22.2"
"29","29","Ark Pine Bl","22.6","22.3","16.0","21.2","23.2","22.0"
"30","30","Georgia","22.6","28.0","29.0","21.6","23.9","22.2"
"31","31","Villanova","22.6","23.0","27.0","21.7","23.3","22.1"
"32","32","Oklahoma St","22.7","24.0","24.0","21.4","23.9","21.3"
"33","33","Ste F Austin","22.7","22.3","29.0","22.6","22.7","21.8"
"34","34","Wisconsin","22.7","20.7","22.0","23.9","21.4","22.4"
"35","35","Montana","22.7","22.0","24.0","21.4","23.5","22.7"
"36","36","TN State","22.7","23.3","24.0","21.5","23.6","23.0"
"37","37","Cincinnati","22.7","28.7","28.0","22.5","23.0","20.6"
"38","38","TX-Arlington","22.8","21.3","22.0","22.3","23.1","23.6"
"39","39","Loyola-Chi","22.8","21.3","20.0","23.1","22.6","22.0"
"40","40","Savannah St","22.9","23.3","28.0","20.8","24.4","22.8"
"41","41","Towson","22.9","25.0","26.0","21.1","24.2","21.7"
"42","42","Miami (OH)","22.9","24.3","30.0","22.5","23.3","23.9"
"43","43","Illinois St","22.9","21.0","20.0","22.4","23.4","21.2"
"44","44","Texas State","22.9","22.3","24.0","22.2","23.4","21.4"
"45","45","Kansas","22.9","21.3","21.0","23.2","22.8","22.9"
"46","46","Georgetown","23.0","24.3","24.0","22.7","23.2","21.2"
"47","47","Kentucky","23.0","24.3","25.0","21.4","24.4","19.2"
"48","48","N Illinois","23.0","25.0","26.0","22.2","23.8","22.4"
"49","49","St Marys","23.0","23.7","23.0","22.4","23.9","22.8"
"50","50","NC-Wilmgton","23.0","23.3","29.0","24.1","22.4","23.2"
"51","51","S Carolina","23.1","24.0","30.0","23.3","22.8","20.0"
"52","52","Dayton","23.1","21.3","21.0","23.1","23.1","22.1"
"53","53","James Mad","23.1","23.7","25.0","23.0","23.1","24.1"
"54","54","Penn State","23.1","25.3","24.0","22.7","23.5","22.1"
"55","55","N Mex State","23.1","22.7","24.0","22.5","23.6","22.3"
"56","56","TX A&M-CC","23.1","29.0","34.0","21.4","24.2","21.5"
"57","57","St Peters","23.1","20.3","24.0","22.3","23.8","19.2"
"58","58","Bradley","23.2","22.7","21.0","21.2","24.8","20.3"
"59","59","California","23.2","24.7","27.0","22.7","23.8","23.7"
"60","60","Rider","23.2","19.0","18.0","23.7","22.9","21.4"
"61","61","Fresno St","23.3","21.3","27.0","23.0","23.5","22.5"
"62","62","Texas A&M","23.3","26.3","31.0","23.2","23.4","21.3"
"63","63","Alabama","23.3","28.3","29.0","22.9","23.6","21.7"
"64","64","Clemson","23.3","23.7","30.0","21.5","25.5","22.2"
"65","65","Mercer","23.3","22.7","22.0","21.6","24.4","22.6"
"66","66","Murray St","23.4","21.3","24.0","21.9","24.4","23.3"
"67","67","Indiana St","23.4","20.7","23.0","22.1","24.3","23.3"
"68","68","S Dakota St","23.5","21.3","23.0","22.6","23.9","22.7"
"69","69","Evansville","23.5","19.7","21.0","23.3","23.7","23.7"
"70","70","Texas","23.5","21.0","21.0","23.7","23.2","20.6"
"71","71","Nebraska","23.5","25.0","35.0","22.8","24.3","21.2"
"72","72","Kansas St","23.5","28.0","32.0","22.5","24.6","22.4"
"73","73","Fordham","23.5","25.3","25.0","22.7","24.8","23.6"
"74","74","Seattle","23.5","22.7","23.0","23.9","23.1","21.3"
"75","75","N Iowa","23.5","25.3","31.0","22.6","24.1","19.5"
"76","76","Purdue","23.5","26.0","30.0","23.3","23.8","22.0"
"77","77","Middle Tenn","23.5","25.7","27.0","24.1","23.2","21.4"
"78","78","Cleveland St","23.6","17.7","17.0","23.5","23.6","20.8"
"79","79","Tulsa","23.7","26.7","24.0","22.4","24.8","21.2"
"80","80","Syracuse","23.7","27.0","35.0","22.5","24.7","22.5"
"81","81","S Mississippi","23.7","28.3","37.0","23.9","23.5","24.5"
"82","82","American","23.7","26.3","29.0","23.9","23.6","21.4"
"83","83","N Dakota St","23.7","20.3","22.0","22.3","24.5","22.1"
"84","84","Harvard","23.7","20.3","22.0","22.8","24.3","20.9"
"85","85","Southern","23.7","18.3","18.0","23.9","23.6","21.3"
"86","86","Liberty","23.7","26.0","31.0","23.4","23.9","23.6"
"87","87","Vanderbilt","23.8","24.7","22.0","23.2","24.2","22.6"
"88","88","Sam Hous St","23.8","24.3","28.0","23.7","23.8","21.5"
"89","89","Furman","23.8","24.7","27.0","23.1","24.3","24.9"
"90","90","San Diego","23.8","22.3","20.0","21.9","25.2","21.8"
"91","91","Coastal Car","23.8","23.3","24.0","23.1","24.5","22.3"
"92","92","St Fran (NY)","23.9","23.0","22.0","24.2","23.7","22.3"
"93","93","S Illinois","23.9","23.0","21.0","23.8","23.9","20.8"
"94","94","Stony Brook","23.9","28.0","33.0","23.9","23.9","21.1"
"95","95","Pacific","23.9","21.7","22.0","23.5","24.3","23.4"
"96","96","UC Davis","23.9","28.0","32.0","24.2","23.7","23.3"
"97","97","Drexel","23.9","23.0","25.0","25.2","23.1","23.3"
"98","98","Seton Hall","23.9","25.7","24.0","23.6","24.2","24.2"
"99","99","Ohio State","24.0","27.7","29.0","22.1","26.7","22.6"
"100","100","Gonzaga","24.0","21.3","22.0","23.8","24.2","22.3"
"101","101","Lehigh","24.1","21.3","21.0","23.1","24.8","23.1"
"102","102","Florida","24.1","26.0","31.0","23.6","24.5","20.4"
"103","103","Prairie View","24.1","23.3","22.0","22.0","25.1","23.4"
"104","104","Grand Canyon","24.2","24.0","20.0","23.3","25.3","24.8"
"105","105","UMKC","24.2","22.0","23.0","22.6","25.1","23.5"
"106","106","Columbia","24.2","25.7","26.0","23.7","24.9","21.7"
"107","107","Oregon St","24.2","24.3","27.0","23.6","24.7","18.6"
"108","108","Monmouth","24.2","26.7","28.0","23.5","24.6","21.3"
"109","109","VCU","24.2","29.7","29.0","23.2","25.2","22.8"
"110","110","Baylor","24.2","24.3","26.0","23.3","25.5","21.7"
"111","111","Houston","24.2","25.0","32.0","23.0","25.9","23.7"
"112","112","Memphis","24.3","20.7","22.0","23.6","25.3","21.7"
"113","113","Binghamton","24.3","23.3","16.0","23.1","25.3","23.7"
"114","114","Mt St Marys","24.3","23.3","30.0","23.0","25.0","23.4"
"115","115","NC Central","24.3","26.3","22.0","23.9","24.5","18.4"
"116","116","Quinnipiac","24.3","27.3","20.0","21.4","26.8","23.7"
"117","117","Maryland","24.3","25.3","29.0","24.3","24.3","22.9"
"118","118","Mississippi","24.3","26.0","28.0","23.9","24.7","22.4"
"119","119","Grambling St","24.4","22.7","27.0","24.3","24.4","26.7"
"120","120","Norfolk St","24.4","23.3","32.0","23.7","24.7","22.8"
"121","121","Saint Louis","24.4","24.0","24.0","23.9","25.0","22.9"
"122","122","DePaul","24.4","26.3","23.0","24.4","24.4","24.7"
"123","123","Dartmouth","24.4","25.3","29.0","22.9","25.8","21.0"
"124","124","TX Christian","24.4","26.0","30.0","23.4","25.7","20.8"
"125","125","LA Monroe","24.4","26.0","23.0","25.1","24.1","21.7"
