"","Rank","Team","2012","Last 3","Last 1","Home","Away","2011"
"1","1","NW State","62.9%","63.5%","60.9%","58.6%","65.2%","61.9%"
"2","2","Middle Tenn","63.4%","67.5%","68.0%","64.4%","62.6%","66.8%"
"3","3","Binghamton","63.4%","63.5%","50.0%","63.2%","63.5%","69.7%"
"4","4","Miss Val St","64.0%","71.3%","70.3%","64.3%","63.8%","65.4%"
"5","5","Northwestern","64.0%","66.2%","65.6%","63.6%","64.5%","69.5%"
"6","6","Grambling St","64.8%","58.9%","48.1%","63.2%","65.5%","68.2%"
"7","7","Miami (FL)","64.9%","64.9%","73.7%","59.1%","68.2%","68.3%"
"8","8","NC Central","65.0%","68.3%","67.6%","56.5%","70.1%","70.8%"
"9","9","Central Ark","65.0%","50.9%","45.5%","67.3%","63.0%","63.4%"
"10","10","Ste F Austin","65.1%","62.5%","69.2%","65.1%","65.0%","64.8%"
"11","11","Florida","65.1%","67.4%","69.2%","62.8%","66.3%","69.3%"
"12","12","Hampton","65.1%","71.2%","80.0%","66.8%","63.7%","72.1%"
"13","13","E Michigan","65.3%","66.2%","82.8%","56.3%","72.3%","66.5%"
"14","14","Saint Louis","65.4%","66.0%","62.5%","67.5%","63.8%","72.1%"
"15","15","Savannah St","65.5%","66.1%","66.7%","63.7%","66.4%","65.9%"
"16","16","Louisville","65.5%","71.0%","75.0%","62.1%","67.3%","66.3%"
"17","17","Albany","65.6%","71.9%","71.4%","65.9%","65.4%","66.1%"
"18","18","Stetson","65.6%","63.9%","65.4%","68.4%","63.7%","66.2%"
"19","19","NC A&T","65.6%","61.7%","59.1%","68.2%","64.8%","67.4%"
"20","20","Prairie View","65.7%","66.2%","73.7%","61.2%","67.8%","67.4%"
"21","21","Jackson St","65.7%","71.0%","82.4%","59.8%","67.8%","63.0%"
"22","22","Coppin State","65.7%","56.9%","60.7%","66.7%","65.3%","61.8%"
"23","23","Gard-Webb","65.7%","69.6%","73.9%","63.3%","67.3%","66.3%"
"24","24","Mercer","65.8%","73.3%","75.9%","58.6%","69.1%","67.3%"
"25","25","Utah State","65.9%","63.6%","57.9%","66.1%","65.7%","66.7%"
"26","26","Alab A&M","65.9%","69.2%","66.7%","65.3%","66.3%","66.0%"
"27","27","S Carolina","66.0%","68.7%","63.0%","68.1%","63.7%","70.4%"
"28","28","Arkansas","66.1%","65.6%","56.7%","66.7%","65.4%","67.6%"
"29","29","TX-Arlington","66.2%","64.4%","71.4%","62.5%","69.0%","67.0%"
"30","30","Alcorn State","66.2%","73.8%","66.7%","63.5%","67.7%","65.2%"
"31","31","Oral Roberts","66.2%","68.3%","79.3%","66.3%","66.2%","71.7%"
"32","32","E Carolina","66.2%","64.0%","47.4%","69.4%","62.8%","66.5%"
"33","33","Maryland ES","66.3%","67.4%","50.0%","68.0%","65.5%","68.4%"
"34","34","Lipscomb","66.3%","69.9%","85.7%","65.8%","66.6%","67.7%"
"35","35","Loyola-MD","66.3%","75.7%","80.0%","64.6%","67.4%","68.9%"
"36","36","Mississippi","66.4%","62.5%","72.2%","65.1%","67.6%","65.3%"
"37","37","UCLA","66.5%","71.1%","63.2%","63.2%","69.6%","69.6%"
"38","38","Cincinnati","66.5%","77.8%","88.0%","65.7%","67.4%","68.5%"
"39","39","Norfolk St","66.6%","61.6%","59.5%","65.2%","67.2%","67.4%"
"40","40","GA Tech","66.6%","66.1%","80.0%","65.5%","67.9%","72.0%"
"41","41","Troy","66.6%","68.3%","73.3%","64.7%","67.8%","67.8%"
"42","42","Mt St Marys","66.7%","75.5%","76.2%","60.3%","69.9%","69.3%"
"43","43","Ohio","66.7%","60.5%","51.7%","62.9%","70.6%","71.4%"
