"","Rank","Team","2016","Last 3","Last 1","Home","Away","2015"
"1","1","Villanova","16.8%","17.7%","28.6%","13.7%","19.8%","21.7%"
"2","2","Purdue","17.1%","16.9%","13.7%","14.2%","20.6%","21.8%"
"3","3","Central FL","17.5%","9.0%","6.3%","16.6%","18.6%","19.8%"
"4","4","Clemson","17.8%","17.5%","32.4%","15.7%","20.1%","21.3%"
"5","5","St Fran (PA)","18.1%","16.5%","27.6%","16.4%","19.4%","22.5%"
"6","6","S Methodist","18.3%","25.6%","19.4%","17.1%","20.0%","22.4%"
"7","7","USC","18.4%","19.7%","27.9%","17.6%","19.4%","21.4%"
"8","8","W Kentucky","18.8%","17.1%","18.5%","19.0%","18.8%","22.9%"
"9","9","N Iowa","18.9%","24.1%","37.3%","17.3%","20.0%","18.6%"
"10","10","Iowa State","18.9%","18.2%","27.3%","14.7%","23.1%","19.1%"
"11","11","UCLA","18.9%","16.7%","8.6%","17.5%","20.7%","25.1%"
"12","12","Oregon","19.0%","17.3%","8.6%","17.2%","21.2%","22.9%"
"13","13","Gonzaga","19.5%","15.7%","9.4%","18.5%","20.5%","21.6%"
"14","14","Vermont","19.5%","16.6%","21.0%","16.9%","21.7%","27.1%"
"15","15","St Marys","19.6%","19.4%","27.6%","20.0%","19.2%","18.8%"
"16","16","Wisconsin","19.8%","20.4%","22.6%","17.6%","22.4%","24.3%"
"17","17","Iowa","20.0%","14.6%","13.7%","19.0%","21.3%","18.8%"
"18","18","Notre Dame","20.0%","13.7%","20.2%","18.5%","22.0%","20.3%"
"19","19","VA Tech","20.0%","27.9%","42.4%","21.1%","18.7%","24.4%"
"20","20","LA Tech","20.1%","23.6%","16.9%","16.3%","24.1%","24.5%"
"21","21","Yale","20.3%","19.5%","11.2%","17.4%","22.6%","24.2%"
"22","22","Elon","20.4%","23.0%","28.1%","18.7%","21.5%","24.9%"
"23","23","E Carolina","20.4%","25.3%","14.9%","20.2%","20.5%","19.9%"
"24","24","Arizona","20.5%","25.6%","27.6%","18.4%","22.7%","22.0%"
"25","25","Creighton","20.5%","22.4%","19.9%","18.2%","23.0%","24.4%"
"26","26","Pittsburgh","20.5%","15.9%","21.9%","20.3%","20.8%","23.8%"
"27","27","S Dakota St","20.6%","22.9%","25.0%","19.5%","21.3%","28.5%"
"28","28","Holy Cross","20.7%","26.0%","29.3%","19.2%","21.8%","23.8%"
"29","29","NC Central","20.7%","15.7%","27.3%","19.8%","21.3%","27.0%"
"30","30","Cincinnati","20.8%","20.8%","25.6%","18.6%","24.1%","19.9%"
"31","31","Michigan","20.8%","19.4%","29.1%","18.2%","24.4%","20.2%"
"32","32","Geo Wshgtn","21.0%","19.8%","37.3%","19.2%","22.9%","20.2%"
"33","33","Providence","21.0%","25.8%","34.1%","18.7%","24.3%","20.4%"
"34","34","Lehigh","21.1%","20.7%","19.7%","19.1%","22.5%","21.1%"
"35","35","Wash State","21.1%","18.1%","26.9%","20.5%","21.8%","27.9%"
"36","36","UNLV","21.2%","16.9%","15.8%","20.0%","23.1%","28.2%"
"37","37","Miami (FL)","21.2%","23.8%","23.1%","18.1%","24.9%","21.8%"
"38","38","Oakland","21.2%","17.9%","10.2%","19.4%","23.5%","23.9%"
"39","39","Geo Mason","21.2%","20.1%","16.5%","20.9%","21.6%","23.8%"
"40","40","NC-Asheville","21.3%","24.1%","19.4%","20.9%","21.5%","23.1%"
"41","41","Minnesota","21.3%","16.4%","21.2%","20.4%","23.0%","24.8%"
"42","42","GA Tech","21.3%","22.0%","22.8%","18.0%","26.1%","24.2%"
"43","43","Texas A&M","21.3%","19.1%","24.4%","17.1%","26.0%","23.0%"
"44","44","Nevada","21.4%","22.0%","21.4%","19.2%","23.2%","28.5%"
"45","45","UAB","21.4%","11.4%","8.4%","20.0%","22.8%","22.2%"
"46","46","St Peters","21.4%","24.3%","31.3%","20.8%","21.8%","23.3%"
"47","47","Toledo","21.5%","18.8%","23.4%","17.5%","25.2%","21.3%"
"48","48","Syracuse","21.8%","21.0%","14.0%","20.0%","24.8%","20.5%"
"49","49","Youngs St","21.9%","18.9%","15.0%","22.1%","21.7%","24.3%"
"50","50","Pepperdine","21.9%","22.6%","29.3%","20.3%","23.0%","23.5%"
"51","51","Ohio State","22.0%","24.8%","27.5%","19.1%","26.5%","22.7%"
"52","52","N Carolina","22.0%","33.0%","43.9%","19.5%","24.6%","22.4%"
"53","53","Austin Peay","22.1%","26.1%","29.4%","21.9%","22.2%","22.8%"
"54","54","Baylor","22.1%","19.6%","9.9%","19.3%","25.3%","27.0%"
"55","55","Weber State","22.2%","26.2%","24.6%","16.7%","25.9%","21.5%"
"56","56","TX Christian","22.2%","25.2%","28.8%","19.9%","25.6%","28.2%"
"57","57","Rutgers","22.2%","21.6%","18.3%","18.7%","25.7%","22.5%"
"58","58","Arizona St","22.3%","24.3%","39.8%","22.3%","22.2%","26.9%"
"59","59","Texas","22.3%","25.6%","21.8%","21.7%","23.1%","27.4%"
"60","60","Illinois","22.3%","18.4%","18.5%","19.4%","25.6%","19.7%"
"61","61","Hofstra","22.4%","23.6%","30.1%","20.2%","23.9%","18.6%"
"62","62","Grand Canyon","22.4%","20.3%","23.9%","20.1%","25.1%","25.0%"
"63","63","Lafayette","22.4%","21.7%","22.1%","23.9%","20.9%","25.8%"
"64","64","N Kentucky","22.4%","18.1%","13.0%","20.1%","23.8%","30.5%"
"65","65","Albany","22.5%","22.0%","32.6%","20.9%","23.8%","20.1%"
"66","66","Kansas","22.5%","19.4%","16.9%","19.8%","25.0%","26.6%"
"67","67","N Hampshire","22.6%","21.0%","21.3%","24.1%","21.7%","25.5%"
"68","68","Utah","22.6%","27.8%","16.6%","21.6%","23.8%","18.1%"
"69","69","Drake","22.7%","24.7%","27.9%","22.9%","22.4%","23.2%"
"70","70","Penn State","22.7%","25.5%","22.0%","21.2%","24.3%","30.3%"
"71","71","Radford","22.8%","21.6%","28.4%","20.7%","24.1%","25.1%"
"72","72","Kansas St","22.8%","26.9%","20.2%","20.8%","24.9%","27.6%"
"73","73","Portland","22.8%","19.2%","12.2%","21.4%","23.8%","29.0%"
"74","74","Duke","22.8%","21.1%","24.8%","21.6%","24.1%","19.4%"
"75","75","Northeastrn","22.9%","27.3%","33.9%","21.3%","23.8%","21.0%"
"76","76","NC State","23.0%","24.0%","18.5%","22.2%","24.0%","22.6%"
"77","77","Dartmouth","23.0%","19.3%","10.7%","25.9%","20.7%","28.6%"
"78","78","Princeton","23.0%","18.0%","20.4%","22.8%","23.1%","22.8%"
"79","79","TN Martin","23.0%","25.5%","25.5%","21.5%","24.2%","22.4%"
"80","80","Virginia","23.1%","15.1%","12.2%","21.6%","24.6%","24.0%"
"81","81","Niagara","23.1%","21.3%","26.8%","23.0%","23.1%","25.8%"
"82","82","WI-Milwkee","23.1%","21.9%","16.9%","21.4%","24.1%","22.2%"
"83","83","San Diego St","23.1%","29.0%","42.3%","21.0%","24.9%","23.0%"
"84","84","Savannah St","23.1%","19.8%","16.7%","23.0%","23.2%","27.6%"
"85","85","N Dakota St","23.2%","19.8%","19.2%","22.7%","23.5%","23.7%"
"86","86","Col Charlestn","23.2%","27.3%","27.8%","22.3%","24.0%","28.9%"
"87","87","South Dakota","23.3%","25.1%","34.1%","22.2%","24.0%","28.6%"
"88","88","Connecticut","23.3%","29.0%","22.0%","20.5%","25.9%","25.7%"
"89","89","SC Upstate","23.3%","30.1%","30.1%","23.8%","23.0%","27.0%"
"90","90","Temple","23.4%","22.6%","14.6%","20.7%","26.1%","21.8%"
"91","91","St Josephs","23.4%","26.4%","33.8%","22.7%","24.1%","19.2%"
"92","92","Mt St Marys","23.4%","23.9%","20.3%","24.0%","22.9%","26.6%"
"93","93","TX Southern","23.4%","19.1%","19.2%","18.2%","25.9%","19.0%"
"94","94","Loyola-Chi","23.5%","17.9%","19.8%","18.3%","27.7%","25.1%"
"95","95","BYU","23.5%","23.1%","18.3%","22.8%","24.2%","23.3%"
"96","96","Maryland","23.5%","15.9%","15.3%","20.7%","27.1%","20.5%"
"97","97","WI-Grn Bay","23.5%","29.0%","32.6%","21.8%","24.6%","25.1%"
"98","98","Marshall","23.6%","19.2%","19.7%","19.3%","27.9%","26.1%"
"99","99","Bucknell","23.6%","30.6%","34.1%","23.7%","23.5%","29.1%"
"100","100","Sacred Hrt","23.7%","26.9%","22.8%","23.6%","23.7%","28.0%"
"101","101","Central Ark","23.7%","28.1%","32.8%","23.0%","24.0%","28.1%"
"102","102","Nebraska","23.7%","23.7%","19.3%","19.6%","28.1%","27.6%"
"103","103","Fairfield","23.7%","27.6%","43.2%","22.2%","24.9%","24.7%"
"104","104","UCSB","23.7%","11.5%","0.0%","22.4%","24.8%","29.6%"
"105","105","Oral Roberts","23.7%","30.1%","24.2%","21.2%","25.3%","24.7%"
"106","106","Valparaiso","23.7%","25.5%","14.8%","20.1%","27.8%","27.6%"
"107","107","Colorado St","23.7%","16.9%","20.3%","23.0%","24.6%","26.1%"
"108","108","U Penn","23.7%","16.0%","19.8%","21.0%","25.9%","24.8%"
"109","109","Binghamton","23.7%","32.4%","33.9%","25.6%","22.5%","24.8%"
"110","110","Longwood","23.8%","27.9%","35.5%","22.2%","24.9%","26.5%"
"111","111","S Illinois","23.8%","12.2%","0.0%","22.3%","25.2%","30.0%"
"112","112","Canisius","23.8%","26.8%","25.2%","21.9%","25.2%","27.1%"
"113","113","Tulsa","23.8%","36.1%","32.5%","20.3%","27.3%","24.5%"
"114","114","Air Force","23.8%","18.9%","17.8%","21.4%","26.7%","26.4%"
"115","115","Belmont","23.9%","16.8%","18.0%","23.5%","24.2%","27.0%"
"116","116","Vanderbilt","24.0%","26.3%","23.0%","24.3%","23.6%","26.1%"
"117","117","Nicholls St","24.0%","26.8%","35.2%","22.7%","24.6%","28.2%"
"118","118","Cornell","24.0%","18.7%","24.6%","20.8%","25.7%","25.5%"
"119","119","La Salle","24.0%","24.7%","20.3%","20.2%","27.9%","25.1%"
"120","120","High Point","24.0%","32.3%","30.5%","22.2%","25.7%","23.0%"
"121","121","Colorado","24.0%","30.6%","25.3%","24.0%","24.1%","26.4%"
"122","122","Illinois St","24.1%","26.8%","49.8%","22.5%","25.3%","26.7%"
"123","123","Memphis","24.1%","27.2%","35.7%","20.8%","28.7%","27.0%"
"124","124","IPFW","24.1%","27.0%","21.6%","21.1%","26.7%","22.6%"
"125","125","Florida","24.1%","32.5%","35.4%","20.7%","25.6%","25.7%"
"126","126","Samford","24.1%","25.7%","38.0%","23.8%","24.3%","29.7%"
"127","127","Ohio","24.1%","27.0%","31.8%","20.5%","28.2%","25.3%"
"128","128","Bowling Grn","24.2%","20.6%","27.6%","21.4%","27.1%","26.2%"
"129","129","Kent State","24.2%","18.4%","18.1%","22.9%","25.5%","25.7%"
"130","130","Stetson","24.2%","23.2%","19.0%","24.6%","23.9%","23.1%"
"131","131","IL-Chicago","24.2%","19.2%","23.0%","22.5%","25.6%","28.8%"
"132","132","N Arizona","24.2%","26.7%","28.5%","22.6%","25.2%","24.9%"
"133","133","Troy","24.3%","22.9%","26.4%","24.8%","23.8%","25.5%"
"134","134","Oklahoma","24.3%","22.6%","11.6%","22.4%","26.2%","21.3%"
"135","135","Neb Omaha","24.3%","25.4%","16.9%","25.0%","24.0%","26.6%"
"136","136","New Orleans","24.4%","27.8%","34.0%","22.5%","25.8%","28.9%"
"137","137","Missouri St","24.4%","24.3%","27.7%","19.5%","29.3%","24.9%"
"138","138","San Fransco","24.4%","32.2%","30.8%","23.0%","25.7%","26.2%"
"139","139","S Mississippi","24.4%","25.1%","31.6%","23.8%","24.8%","27.8%"
"140","140","Winthrop","24.4%","22.4%","9.1%","21.3%","27.0%","24.0%"
"141","141","Florida A&M","24.4%","21.6%","24.4%","26.0%","23.2%","26.8%"
"142","142","Iona","24.4%","24.2%","30.3%","20.3%","26.7%","26.1%"
"143","143","W Michigan","24.4%","15.0%","11.0%","23.4%","25.4%","27.6%"
"144","144","NC-Grnsboro","24.5%","19.4%","25.8%","26.5%","22.8%","27.5%"
"145","145","Duquesne","24.5%","29.0%","27.5%","23.7%","25.6%","28.3%"
"146","146","California","24.5%","26.7%","33.7%","21.1%","29.7%","27.9%"
"147","147","UC Riverside","24.5%","26.4%","26.7%","25.5%","23.7%","27.7%"
"148","148","Kentucky","24.5%","20.3%","32.6%","21.8%","27.7%","29.1%"
"149","149","Army","24.5%","17.4%","16.5%","23.9%","25.1%","23.8%"
"150","150","Columbia","24.5%","24.9%","33.6%","24.2%","24.8%","24.9%"
"151","151","Dayton","24.5%","27.7%","33.7%","21.1%","28.1%","23.9%"
"152","152","Central Mich","24.6%","27.2%","25.7%","20.7%","27.5%","26.1%"
"153","153","Central Conn","24.7%","31.5%","21.5%","27.9%","22.5%","23.2%"
"154","154","Sac State","24.7%","25.6%","44.8%","22.8%","25.9%","27.4%"
"155","155","Maine","24.7%","17.0%","13.2%","21.7%","26.5%","26.4%"
"156","156","UC Davis","24.7%","13.7%","15.8%","18.4%","27.6%","23.0%"
"157","157","LA Monroe","24.7%","24.5%","31.8%","23.0%","25.9%","24.4%"
"158","158","Seattle","24.8%","26.7%","24.0%","23.6%","26.0%","25.0%"
"159","159","Akron","24.8%","31.2%","25.3%","22.4%","26.8%","24.1%"
"160","160","Idaho State","24.8%","24.3%","32.9%","23.5%","25.5%","25.6%"
"161","161","Utah State","24.9%","18.0%","18.5%","25.4%","24.3%","24.6%"
"162","162","N Colorado","24.9%","29.1%","18.1%","24.6%","25.1%","33.3%"
"163","163","Loyola-MD","24.9%","25.3%","32.6%","23.6%","26.0%","29.2%"
"164","164","Texas Tech","24.9%","23.8%","24.5%","23.1%","27.8%","23.9%"
"165","165","Davidson","24.9%","32.4%","16.6%","25.1%","24.8%","23.1%"
"166","166","Coastal Car","25.0%","29.3%","41.0%","22.5%","27.5%","23.9%"
"167","167","TX-Arlington","25.0%","18.0%","25.4%","23.8%","25.8%","29.5%"
"168","168","Wichita St","25.0%","22.7%","24.3%","23.9%","26.1%","29.7%"
"169","169","Chicago St","25.1%","25.6%","29.4%","25.3%","25.0%","30.0%"
"170","170","Georgia","25.1%","21.8%","20.3%","22.0%","28.6%","29.8%"
"171","171","Santa Clara","25.1%","31.9%","28.6%","23.0%","27.3%","26.9%"
"172","172","Xavier","25.1%","26.5%","34.1%","19.8%","30.5%","24.0%"
"173","173","Portland St","25.2%","27.7%","24.6%","21.3%","27.4%","23.6%"
"174","174","Furman","25.2%","37.0%","41.3%","21.2%","27.9%","26.8%"
"175","175","Houston","25.2%","23.1%","28.5%","25.5%","24.9%","26.1%"
"176","176","GA Southern","25.3%","27.4%","25.0%","20.5%","27.9%","30.2%"
"177","177","Monmouth","25.3%","21.6%","27.5%","24.0%","26.4%","26.3%"
"178","178","North Texas","25.4%","22.7%","29.9%","22.9%","28.4%","30.0%"
"179","179","Washington","25.4%","22.6%","28.5%","24.0%","26.9%","30.5%"
"180","180","Hartford","25.4%","25.2%","26.1%","23.8%","26.6%","29.0%"
"181","181","Fla Gulf Cst","25.4%","24.0%","27.2%","24.0%","27.0%","26.1%"
"182","182","Utah Val St","25.5%","19.8%","9.9%","24.7%","26.0%","27.5%"
"183","183","Jksnville St","25.5%","15.4%","22.9%","27.0%","25.0%","29.9%"
"184","184","Chattanooga","25.6%","35.4%","26.4%","22.0%","28.0%","22.1%"
"185","185","N Florida","25.6%","24.0%","28.6%","24.9%","26.0%","21.2%"
"186","186","Marquette","25.6%","27.3%","11.6%","24.2%","27.4%","20.8%"
"187","187","Alab A&M","25.6%","21.0%","21.6%","27.5%","24.7%","28.2%"
"188","188","Fla Atlantic","25.6%","31.2%","34.8%","23.2%","27.5%","27.5%"
"189","189","Howard","25.6%","31.0%","55.7%","21.9%","27.5%","26.2%"
"190","190","LA Lafayette","25.7%","22.7%","24.0%","27.3%","24.1%","25.8%"
"191","191","E Tenn St","25.7%","21.6%","25.2%","26.0%","25.5%","28.3%"
