"","Rank","Team","2016","Last 3","Last 1","Home","Away","2015"
"1","1","Villanova","12.6","13.3","22.0","10.3","14.7","16.9"
"2","2","St Marys","13.3","14.0","20.0","13.4","13.3","13.5"
"3","3","S Methodist","13.4","19.7","16.0","12.8","14.2","17.1"
"4","4","Central FL","13.4","6.7","5.0","12.8","14.1","16.1"
"5","5","Purdue","13.6","12.7","10.0","11.4","16.3","16.9"
"6","6","Clemson","14.0","13.3","26.0","12.5","15.5","15.9"
"7","7","N Iowa","14.1","16.7","30.0","12.7","15.1","13.7"
"8","8","W Kentucky","14.5","13.0","14.0","14.4","14.5","18.4"
"9","9","Vermont","14.5","11.7","14.0","12.3","16.5","21.5"
"10","10","Wisconsin","14.7","15.7","17.0","12.9","16.9","17.9"
"11","11","Holy Cross","14.7","18.0","21.0","13.6","15.6","17.9"
"12","12","USC","15.2","15.0","21.0","14.4","16.2","18.4"
"13","13","St Fran (PA)","15.2","14.0","22.0","14.0","16.1","17.7"
"14","14","Michigan","15.2","14.3","22.0","13.0","18.3","15.0"
"15","15","Oregon","15.3","13.3","7.0","13.9","16.8","18.4"
"16","16","St Peters","15.6","17.3","21.0","15.2","15.8","17.8"
"17","17","Arizona","15.6","19.3","20.0","14.1","17.3","17.8"
"18","18","Gonzaga","15.8","11.7","7.0","15.4","16.2","17.0"
"19","19","Virginia","15.9","10.3","8.0","14.6","17.4","16.7"
"20","20","Cincinnati","15.9","14.3","18.0","14.5","17.8","15.6"
"21","21","Miami (FL)","15.9","17.3","17.0","13.9","18.2","16.7"
"22","22","Notre Dame","15.9","10.7","16.0","14.6","17.8","15.5"
"23","23","Iowa State","15.9","15.0","26.0","12.3","19.6","16.0"
"24","24","E Carolina","16.0","19.7","13.0","16.1","15.9","16.0"
"25","25","Yale","16.0","16.0","10.0","13.4","18.2","18.3"
"26","26","Geo Wshgtn","16.0","15.3","31.0","14.8","17.3","15.8"
"27","27","LA Tech","16.1","20.0","13.0","13.1","19.3","20.9"
"28","28","VA Tech","16.2","20.0","33.0","17.1","14.9","20.1"
"29","29","Providence","16.2","20.7","30.0","14.7","18.3","16.5"
"30","30","Pittsburgh","16.3","11.3","17.0","16.4","16.2","18.2"
"31","31","UCLA","16.3","13.7","7.0","15.3","17.6","21.2"
"32","32","Elon","16.4","19.0","21.0","15.5","17.1","20.6"
"33","33","Albany","16.4","17.3","24.0","15.3","17.3","15.7"
"34","34","N Hampshire","16.5","17.3","14.0","16.6","16.4","19.5"
"35","35","S Dakota St","16.6","18.3","20.0","15.8","17.1","22.2"
"36","36","NC Central","16.6","12.3","19.0","15.9","17.1","21.1"
"37","37","Baylor","16.7","14.0","8.0","14.6","19.1","20.8"
"38","38","Lehigh","16.7","18.7","21.0","14.8","18.1","15.8"
"39","39","Princeton","16.7","13.0","15.0","16.6","16.8","18.1"
"40","40","Texas A&M","16.8","14.3","18.0","13.3","20.7","18.5"
"41","41","Wash State","16.8","14.7","21.0","16.3","17.4","22.9"
"42","42","UAB","16.8","8.3","6.0","15.8","17.9","18.0"
"43","43","WI-Milwkee","16.9","15.7","12.0","16.3","17.2","17.4"
"44","44","NC-Asheville","16.9","18.7","14.0","16.8","16.9","18.8"
"45","45","Geo Mason","17.0","15.3","13.0","16.7","17.3","18.3"
"46","46","UNLV","17.2","13.3","13.0","16.3","18.7","24.5"
"47","47","GA Tech","17.2","16.3","17.0","14.8","20.5","18.5"
"48","48","Creighton","17.2","18.7","17.0","15.1","19.7","20.0"
"49","49","Radford","17.2","14.7","20.0","15.4","18.4","19.8"
"50","50","Pepperdine","17.3","17.3","23.0","15.8","18.5","18.8"
"51","51","Nevada","17.4","17.3","17.0","15.7","18.7","24.2"
"52","52","Illinois","17.4","13.7","13.0","15.2","19.9","15.7"
"53","53","Iowa","17.5","11.7","12.0","17.0","18.1","15.3"
"54","54","Ohio State","17.5","18.7","22.0","15.1","21.2","18.1"
"55","55","TX Christian","17.5","19.7","22.0","15.7","20.2","22.6"
"56","56","Toledo","17.5","14.3","17.0","14.2","20.7","16.8"
"57","57","Rutgers","17.6","15.7","13.0","14.7","20.4","19.4"
"58","58","Col Charlestn","17.6","20.7","21.0","17.4","17.8","21.5"
"59","59","Northeastrn","17.7","23.3","27.0","16.2","18.6","16.3"
"60","60","Syracuse","17.8","17.0","11.0","16.4","19.9","16.1"
"61","61","Weber State","17.8","21.7","19.0","13.5","20.8","16.9"
