"","Rank","Team","2012","Last 3","Last 1","Home","Away","2011"
"1","1","Michigan","8.6","8.3","7.0","6.1","10.4","11.3"
"2","2","S Dakota St","9.3","7.3","6.0","7.9","10.2","11.4"
"3","3","W Illinois","9.5","12.3","12.0","8.3","10.5","11.5"
"4","4","Wisconsin","9.5","9.3","10.0","7.4","11.8","10.3"
"5","5","New Mexico","9.6","9.3","16.0","9.4","9.9","11.6"
"6","6","Albany","9.6","13.7","15.0","7.6","11.2","10.4"
"7","7","Stony Brook","9.7","11.3","15.0","9.5","9.7","9.9"
"8","8","Notre Dame","9.7","9.3","9.0","9.0","10.7","10.1"
"9","9","St Josephs","9.8","9.7","4.0","8.6","10.6","12.0"
"10","10","American","9.9","14.0","10.0","9.1","10.6","12.1"
"11","11","Florida","10.0","10.3","9.0","8.2","11.2","11.6"
"12","12","N Iowa","10.1","10.0","10.0","9.3","11.0","10.4"
"13","13","Miami (FL)","10.1","8.0","14.0","8.0","11.7","12.6"
"14","14","Colorado","10.2","15.3","17.0","7.5","12.4","11.8"
"15","15","UCLA","10.2","10.7","12.0","9.2","11.3","12.5"
"16","16","Central FL","10.2","17.3","26.0","8.6","13.0","11.6"
"17","17","Creighton","10.2","12.3","21.0","8.9","11.5","11.6"
"18","18","Miss State","10.5","7.7","6.0","7.9","12.6","9.5"
"19","19","Oral Roberts","10.6","13.7","23.0","8.6","11.8","12.0"
"20","20","South Dakota","10.6","7.7","11.0","10.8","10.4","13.0"
"21","21","Sac State","10.9","14.3","16.0","9.0","12.3","15.2"
"22","22","La Salle","10.9","8.7","7.0","8.8","12.2","14.2"
"23","23","Col Charlestn","11.0","12.7","9.0","10.9","11.1","10.7"
"24","24","Indiana","11.1","8.0","15.0","9.9","12.3","13.3"
"25","25","Gonzaga","11.1","9.3","12.0","11.8","10.5","10.5"
"26","26","San Diego St","11.1","7.7","8.0","8.7","12.7","11.4"
"27","27","Utah State","11.1","11.7","11.0","11.4","10.8","12.2"
"28","28","Utah Val St","11.1","8.3","8.0","9.3","12.2","12.2"
"29","29","Ste F Austin","11.2","10.0","9.0","10.2","11.8","11.3"
"30","30","Virginia","11.2","14.3","15.0","10.3","12.6","9.8"
"31","31","Ohio State","11.2","17.7","18.0","11.4","11.1","10.7"
"32","32","Loyola-Chi","11.3","10.0","6.0","10.5","11.8","11.6"
"33","33","Boston Col","11.3","8.3","11.0","11.3","11.3","11.7"
"34","34","Lehigh","11.3","12.0","6.0","9.0","13.1","13.2"
"35","35","Stetson","11.3","15.3","17.0","11.2","11.5","13.6"
"36","36","Binghamton","11.3","11.0","10.0","11.2","11.4","13.9"
"37","37","Northeastrn","11.4","12.3","8.0","11.9","11.0","14.4"
"38","38","Bucknell","11.4","19.7","25.0","11.3","11.4","13.2"
"39","39","Wash State","11.4","8.7","8.0","9.6","13.9","13.1"
"40","40","Clemson","11.5","19.3","24.0","10.5","12.4","10.8"
"41","41","N Carolina","11.5","15.0","17.0","9.4","13.2","9.5"
"42","42","Michigan St","11.6","12.7","24.0","10.6","12.5","12.9"
"43","43","S Florida","11.6","9.3","6.0","11.1","12.3","11.7"
"44","44","Alabama","11.7","7.0","5.0","9.3","14.5","12.8"
"45","45","Saint Louis","11.7","11.0","10.0","9.6","14.1","13.2"
"46","46","Siena","11.7","14.0","22.0","11.2","12.1","10.7"
"47","47","Delaware St","11.8","15.7","18.0","9.4","12.7","12.9"
"48","48","Maryland ES","11.8","10.3","5.0","12.5","11.5","15.9"
"49","49","Lafayette","11.8","16.7","18.0","10.8","12.8","14.8"
"50","50","Furman","11.8","7.7","4.0","11.2","12.2","14.7"
"51","51","Gard-Webb","11.8","13.0","17.0","10.5","12.8","14.6"
"52","52","Wyoming","11.8","16.0","15.0","10.9","12.9","12.5"
"53","53","Citadel","11.8","11.0","13.0","11.8","11.9","11.7"
"54","54","Arizona St","11.8","22.0","25.0","9.7","14.7","14.3"
"55","55","Louisville","11.8","16.3","18.0","9.4","13.5","12.7"
"56","56","Cincinnati","11.9","14.0","22.0","11.5","12.2","10.0"
"57","57","Idaho","11.9","10.3","7.0","11.8","11.9","11.9"
"58","58","Vermont","11.9","15.0","22.0","10.8","12.7","12.1"
"59","59","Marquette","11.9","11.3","12.0","10.6","12.9","12.4"
"60","60","Holy Cross","11.9","12.7","7.0","14.8","9.9","12.7"
"61","61","St Johns","11.9","14.3","15.0","10.6","13.2","11.7"
"62","62","Idaho State","11.9","10.3","10.0","14.5","10.3","16.7"
"63","63","Charl South","12.0","15.3","12.0","10.0","13.6","13.3"
"64","64","TX Southern","12.0","9.3","9.0","11.5","12.3","11.9"
"65","65","UNLV","12.0","8.7","7.0","12.1","11.9","13.2"
"66","66","Utah","12.0","11.3","15.0","10.3","13.6","12.3"
"67","67","Bryant","12.0","14.7","15.0","11.0","13.1","13.3"
"68","68","TX Christian","12.0","16.3","25.0","10.8","13.5","15.3"
"69","69","Missouri","12.1","18.3","27.0","10.2","13.9","10.3"
"70","70","Harvard","12.1","14.3","11.0","12.5","11.8","10.0"
"71","71","Vanderbilt","12.1","14.7","16.0","11.7","12.4","11.4"
"72","72","Wm & Mary","12.1","9.7","9.0","10.1","13.5","13.3"
"73","73","Georgetown","12.1","17.3","30.0","9.8","14.8","13.2"
"74","74","GA Tech","12.2","12.3","8.0","11.7","12.7","13.0"
"75","75","Mississippi","12.2","10.0","13.0","12.3","12.1","12.5"
"76","76","N Mex State","12.2","13.3","10.0","9.7","14.2","12.6"
"77","77","Xavier","12.3","16.7","16.0","10.6","13.8","15.1"
"78","78","WI-Milwkee","12.3","13.7","18.0","10.2","13.6","13.2"
"79","79","Brown","12.3","12.7","18.0","12.7","12.0","10.8"
"80","80","TX El Paso","12.3","14.0","17.0","11.1","13.6","12.3"
"81","81","N Kentucky","12.4","10.3","13.0","10.3","13.4","--"
"82","82","Oregon St","12.4","14.0","23.0","12.6","12.1","14.5"
"83","83","N Dakota St","12.4","17.0","20.0","9.1","14.1","16.0"
