"","Rank","Team","2015","Last 3","Last 1","Home","Away","2014"
"1","1","Utah","0.230","0.202","0.098","0.245","0.219","0.343"
"2","2","Hofstra","0.240","0.246","0.242","0.211","0.257","0.387"
"3","3","St Marys","0.241","0.178","0.280","0.242","0.240","0.332"
"4","4","TX Southern","0.246","0.330","0.393","0.214","0.258","0.331"
"5","5","N Iowa","0.248","0.359","0.479","0.223","0.262","0.270"
"6","6","Iowa State","0.249","0.331","0.421","0.211","0.282","0.240"
"7","7","Iowa","0.250","0.180","0.315","0.254","0.247","0.291"
"8","8","St Josephs","0.250","0.307","0.472","0.210","0.284","0.313"
"9","9","Central FL","0.250","0.287","0.219","0.201","0.307","0.272"
"10","10","Duke","0.253","0.247","0.262","0.239","0.267","0.240"
"11","11","Notre Dame","0.260","0.225","0.462","0.259","0.260","0.241"
"12","12","Illinois","0.265","0.185","0.167","0.235","0.289","0.304"
"13","13","E Carolina","0.267","0.254","0.312","0.247","0.288","0.341"
"14","14","Geo Wshgtn","0.270","0.186","0.102","0.262","0.278","0.289"
"15","15","Cincinnati","0.270","0.270","0.293","0.263","0.278","0.261"
"16","16","Michigan","0.270","0.312","0.349","0.234","0.300","0.267"
"17","17","Maryland","0.270","0.277","0.339","0.199","0.331","0.281"
"18","18","N Florida","0.271","0.219","0.250","0.245","0.292","0.341"
"19","19","Albany","0.272","0.254","0.362","0.260","0.281","0.303"
"20","20","Stony Brook","0.276","0.240","0.270","0.250","0.298","0.322"
"21","21","Wm & Mary","0.279","0.241","0.222","0.276","0.281","0.319"
"22","22","Northeastrn","0.279","0.182","0.345","0.292","0.271","0.250"
"23","23","Providence","0.280","0.280","0.356","0.271","0.287","0.393"
"24","24","Syracuse","0.280","0.162","0.169","0.252","0.303","0.300"
"25","25","Marquette","0.280","0.402","0.242","0.235","0.343","0.303"
"26","26","Purdue","0.281","0.247","0.364","0.245","0.320","0.384"
"27","27","Weber State","0.281","0.198","0.065","0.277","0.283","0.315"
"28","28","Gonzaga","0.281","0.257","0.262","0.272","0.288","0.305"
"29","29","USC","0.283","0.238","0.226","0.259","0.311","0.312"
"30","30","Oklahoma","0.283","0.437","0.388","0.245","0.310","0.284"
"31","31","N Mex State","0.284","0.296","0.170","0.274","0.294","0.325"
"32","32","Clemson","0.285","0.318","0.439","0.223","0.362","0.312"
"33","33","Lehigh","0.286","0.305","0.255","0.265","0.303","0.312"
"34","34","Temple","0.287","0.272","0.319","0.257","0.310","0.335"
"35","35","Toledo","0.288","0.429","0.375","0.283","0.293","0.310"
"36","36","Miami (FL)","0.291","0.325","0.373","0.252","0.325","0.285"
"37","37","Arizona","0.293","0.396","0.322","0.267","0.321","0.373"
"38","38","Evansville","0.294","0.258","0.255","0.277","0.309","0.314"
"39","39","WI-Milwkee","0.296","0.323","0.302","0.299","0.294","0.316"
"40","40","NC State","0.297","0.318","0.349","0.293","0.301","0.347"
"41","41","Rutgers","0.297","0.192","0.300","0.281","0.317","0.320"
"42","42","UAB","0.298","0.333","0.174","0.286","0.309","0.336"
"43","43","St Fran (PA)","0.299","0.288","0.186","0.290","0.306","0.301"
"44","44","TN Martin","0.300","0.241","0.319","0.303","0.298","0.288"
"45","45","W Kentucky","0.300","0.352","0.500","0.240","0.345","0.341"
"46","46","IPFW","0.300","0.244","0.167","0.256","0.324","0.277"
"47","47","Geo Mason","0.300","0.211","0.355","0.321","0.283","0.447"
"48","48","Villanova","0.300","0.202","0.206","0.294","0.304","0.304"
"49","49","Indiana","0.302","0.393","0.532","0.291","0.312","0.328"
"50","50","S Methodist","0.304","0.356","0.492","0.247","0.381","0.312"
"51","51","N Carolina","0.304","0.270","0.354","0.252","0.340","0.378"
"52","52","Ohio State","0.304","0.253","0.250","0.274","0.348","0.278"
"53","53","Drake","0.305","0.296","0.423","0.291","0.316","0.304"
"54","54","Central Conn","0.305","0.228","0.246","0.314","0.297","0.239"
"55","55","Davidson","0.306","0.279","0.375","0.297","0.314","0.346"
"56","56","Stetson","0.308","0.437","0.526","0.317","0.304","0.316"
"57","57","Chattanooga","0.308","0.223","0.316","0.293","0.318","0.432"
"58","58","Charlotte","0.309","0.355","0.472","0.287","0.329","0.331"
"59","59","TX-Pan Am","0.311","0.387","0.549","0.311","0.311","0.354"
"60","60","Princeton","0.311","0.383","0.587","0.319","0.306","0.418"
"61","61","Austin Peay","0.313","0.264","0.386","0.342","0.298","0.384"
"62","62","San Diego St","0.313","0.302","0.148","0.250","0.384","0.257"
"63","63","Pepperdine","0.314","0.294","0.312","0.315","0.313","0.338"
"64","64","Bryant","0.316","0.425","0.370","0.265","0.353","0.359"
"65","65","Coastal Car","0.317","0.190","0.228","0.282","0.352","0.350"
"66","66","GA Tech","0.317","0.263","0.274","0.274","0.367","0.338"
"67","67","St Peters","0.317","0.241","0.172","0.349","0.289","0.458"
"68","68","UC Davis","0.318","0.323","0.288","0.239","0.389","0.333"
"69","69","N Dakota St","0.318","0.321","0.400","0.269","0.345","0.306"
"70","70","Winthrop","0.319","0.292","0.460","0.299","0.332","0.384"
"71","71","SE Missouri","0.319","0.339","0.397","0.306","0.327","0.418"
"72","72","Delaware","0.319","0.413","0.620","0.273","0.350","0.332"
"73","73","BYU","0.319","0.306","0.279","0.302","0.336","0.392"
"74","74","Army","0.320","0.191","0.234","0.321","0.319","0.407"
"75","75","Oregon","0.320","0.299","0.293","0.267","0.368","0.354"
"76","76","Oakland","0.321","0.298","0.233","0.288","0.339","0.346"
"77","77","High Point","0.323","0.272","0.077","0.328","0.320","0.315"
"78","78","Texas A&M","0.324","0.314","0.143","0.292","0.354","0.364"
"79","79","Akron","0.324","0.280","0.343","0.269","0.363","0.410"
"80","80","Rider","0.324","0.278","0.368","0.338","0.314","0.377"
"81","81","Pittsburgh","0.324","0.296","0.283","0.306","0.349","0.378"
"82","82","Youngs St","0.325","0.315","0.304","0.289","0.349","0.368"
"83","83","TN Tech","0.328","0.453","0.241","0.298","0.353","0.427"
"84","84","Dayton","0.328","0.394","0.434","0.278","0.383","0.306"
"85","85","Portland St","0.328","0.324","0.467","0.301","0.349","0.314"
"86","86","Texas Tech","0.329","0.377","0.314","0.327","0.330","0.372"
"87","87","Mercer","0.329","0.363","0.290","0.271","0.362","0.319"
"88","88","Rob Morris","0.329","0.317","0.429","0.370","0.307","0.376"
"89","89","NC-Asheville","0.330","0.297","0.193","0.356","0.314","0.433"
"90","90","LA Monroe","0.330","0.185","0.200","0.301","0.345","0.297"
"91","91","Oral Roberts","0.330","0.429","0.596","0.303","0.345","0.378"
"92","92","Utah State","0.332","0.535","0.517","0.319","0.345","0.291"
"93","93","Yale","0.333","0.241","0.320","0.352","0.321","0.331"
"94","94","Virginia","0.334","0.350","0.439","0.264","0.384","0.286"
"95","95","LSU","0.334","0.312","0.258","0.291","0.384","0.294"
"96","96","Elon","0.334","0.352","0.354","0.353","0.318","0.441"
"97","97","Holy Cross","0.334","0.233","0.361","0.327","0.339","0.413"
"98","98","Jacksonville","0.335","0.349","0.468","0.297","0.358","0.388"
"99","99","VA Tech","0.335","0.401","0.596","0.294","0.385","0.339"
"100","100","Harvard","0.335","0.339","0.118","0.294","0.362","0.328"
"101","101","U Penn","0.335","0.286","0.222","0.323","0.348","0.398"
"102","102","Creighton","0.335","0.360","0.509","0.302","0.375","0.334"
"103","103","Ohio","0.335","0.195","0.333","0.300","0.376","0.322"
"104","104","Xavier","0.336","0.343","0.220","0.324","0.346","0.333"
"105","105","Wisconsin","0.337","0.268","0.255","0.272","0.410","0.224"
"106","106","Seton Hall","0.338","0.321","0.375","0.303","0.370","0.380"
"107","107","UCLA","0.338","0.407","0.469","0.284","0.401","0.323"
"108","108","Boston U","0.339","0.298","0.333","0.371","0.316","0.335"
"109","109","LA Tech","0.341","0.376","0.333","0.279","0.404","0.313"
"110","110","Fairfield","0.341","0.298","0.293","0.339","0.343","0.427"
"111","111","Michigan St","0.341","0.375","0.356","0.252","0.421","0.390"
"112","112","Missouri St","0.341","0.427","0.316","0.316","0.363","0.368"
"113","113","Minnesota","0.342","0.266","0.155","0.267","0.436","0.345"
"114","114","N Arizona","0.343","0.203","0.123","0.400","0.307","0.384"
"115","115","Binghamton","0.344","0.385","0.390","0.364","0.327","0.338"
"116","116","Radford","0.344","0.371","0.308","0.314","0.365","0.363"
"117","117","Vanderbilt","0.344","0.348","0.424","0.294","0.392","0.344"
"118","118","N Hampshire","0.345","0.337","0.286","0.332","0.352","0.426"
"119","119","Beth-Cook","0.345","0.366","0.521","0.287","0.370","0.464"
"120","120","Tulsa","0.346","0.306","0.271","0.273","0.408","0.309"
"121","121","Columbia","0.346","0.226","0.276","0.310","0.403","0.382"
"122","122","UC Irvine","0.347","0.305","0.491","0.403","0.323","0.353"
"123","123","La Salle","0.349","0.296","0.414","0.347","0.351","0.344"
"124","124","St Fran (NY)","0.349","0.195","0.284","0.329","0.364","0.402"
"125","125","Seattle","0.349","0.449","0.500","0.308","0.405","0.335"
"126","126","Northwestern","0.350","0.278","0.345","0.341","0.362","0.328"
"127","127","Colorado St","0.351","0.416","0.519","0.300","0.395","0.333"
"128","128","Troy","0.351","0.306","0.353","0.347","0.353","0.283"
"129","129","Kent State","0.351","0.280","0.380","0.332","0.369","0.394"
"130","130","Lafayette","0.351","0.425","0.647","0.360","0.344","0.275"
"131","131","Grand Canyon","0.351","0.301","0.500","0.353","0.348","0.362"
"132","132","Central Mich","0.352","0.476","0.230","0.332","0.370","0.362"
"133","133","Miss Val St","0.352","0.379","0.433","0.340","0.356","0.367"
"134","134","Fla Gulf Cst","0.353","0.330","0.264","0.352","0.354","0.346"
"135","135","Connecticut","0.354","0.437","0.431","0.290","0.411","0.326"
"136","136","Idaho State","0.354","0.383","0.417","0.268","0.410","0.348"
"137","137","Niagara","0.355","0.431","0.657","0.312","0.386","0.363"
"138","138","LA Lafayette","0.355","0.253","0.044","0.286","0.410","0.374"
"139","139","Texas State","0.356","0.306","0.333","0.352","0.358","0.366"
"140","140","S Florida","0.356","0.346","0.250","0.367","0.343","0.425"
"141","141","Florida","0.357","0.274","0.308","0.356","0.357","0.378"
