"","Rank","Team","2015","Last 3","Last 1","Home","Away","2014"
"1","1","Hofstra","14.162","15.418","16.517","11.537","15.662","21.397"
"2","2","St Marys","14.478","12.617","14.631","14.165","14.936","19.703"
"3","3","Iowa","14.685","11.804","18.407","13.909","15.352","16.938"
"4","4","Utah","14.729","13.050","7.596","15.492","14.062","19.095"
"5","5","St Josephs","14.933","20.313","29.708","12.453","16.947","17.185"
"6","6","Iowa State","14.959","19.333","22.772","13.108","16.551","15.122"
"7","7","N Iowa","15.053","20.628","25.702","13.316","16.070","15.970"
"8","8","Albany","15.223","18.179","24.985","14.760","15.582","16.955"
"9","9","Duke","15.254","15.332","11.331","13.883","16.654","14.356"
"10","10","Cincinnati","15.415","19.380","20.594","15.267","15.576","14.503"
"11","11","E Carolina","15.425","12.568","18.175","13.559","17.389","19.107"
"12","12","Northeastrn","15.426","10.375","21.693","15.550","15.340","14.658"
"13","13","Central FL","15.642","17.189","13.986","11.860","19.946","14.992"
"14","14","Illinois","15.773","10.813","8.999","14.475","16.793","17.495"
"15","15","Syracuse","15.919","11.677","13.595","13.910","17.627","17.189"
"16","16","TX Southern","16.010","22.595","24.032","14.552","16.555","17.974"
"17","17","N Mex State","16.145","15.059","8.321","16.823","15.524","18.295"
"18","18","S Methodist","16.156","22.839","35.307","13.248","19.848","17.402"
"19","19","Weber State","16.158","12.636","6.101","15.593","16.454","18.906"
"20","20","N Florida","16.208","12.458","14.171","14.143","17.891","19.243"
"21","21","Villanova","16.215","11.802","13.820","14.762","17.200","16.716"
"22","22","Michigan","16.305","17.523","19.123","13.451","18.676","15.624"
"23","23","Stony Brook","16.320","15.484","19.917","15.453","17.008","18.221"
"24","24","Providence","16.402","16.849","25.520","15.861","16.916","21.134"
"25","25","Geo Wshgtn","16.414","14.563","8.876","15.423","17.427","16.851"
"26","26","Oklahoma","16.423","23.657","21.832","13.643","18.342","15.748"
"27","27","Maryland","16.576","20.991","25.627","11.945","20.469","16.130"
"28","28","Wm & Mary","16.725","13.427","12.957","17.063","16.447","18.531"
"29","29","Chattanooga","16.741","13.751","20.534","16.968","16.610","23.342"
"30","30","Purdue","16.822","14.152","18.868","14.944","18.873","21.576"
"31","31","Indiana","16.936","25.684","35.368","15.396","18.375","18.875"
"32","32","Toledo","16.962","25.635","19.770","16.613","17.249","18.436"
"33","33","Notre Dame","16.972","18.012","34.767","15.977","17.790","15.117"
"34","34","Princeton","16.987","20.331","32.348","16.012","17.700","23.165"
"35","35","W Kentucky","16.993","20.645","31.904","13.954","19.315","18.687"
"36","36","Lehigh","17.018","15.665","10.712","15.064","18.540","18.030"
"37","37","Texas A&M","17.074","16.331","5.345","14.654","19.407","19.979"
"38","38","Gonzaga","17.086","14.649","21.543","14.958","18.532","17.245"
"39","39","Clemson","17.108","20.612","29.570","13.470","21.317","18.240"
"40","40","IPFW","17.146","14.403","8.335","14.047","18.796","16.691"
"41","41","USC","17.209","15.178","16.563","15.388","19.243","18.617"
"42","42","WI-Milwkee","17.318","16.735","16.326","18.353","16.707","19.102"
"43","43","UAB","17.394","19.178","10.338","17.047","17.695","19.020"
"44","44","Arizona","17.417","24.894","20.718","15.325","19.691","19.605"
"45","45","Marquette","17.546","22.355","12.587","15.277","20.674","18.138"
"46","46","N Carolina","17.590","14.827","19.962","13.861","20.205","21.732"
"47","47","Dayton","17.613","24.704","31.262","13.607","21.714","16.595"
"48","48","Pittsburgh","17.625","18.868","15.866","16.383","19.291","21.843"
"49","49","Miami (FL)","17.657","22.706","30.457","15.039","19.832","15.957"
"50","50","Evansville","17.675","13.331","13.690","16.702","18.526","17.952"
"51","51","Coastal Car","17.723","10.150","12.816","15.305","20.130","20.366"
"52","52","Army","17.786","9.676","14.925","18.312","17.386","21.441"
"53","53","NC State","17.837","19.964","20.338","18.084","17.541","20.877"
"54","54","Rutgers","17.844","13.054","21.415","16.388","19.680","17.975"
"55","55","Pepperdine","17.980","20.507","24.368","18.718","17.530","18.625"
"56","56","Stetson","17.998","21.660","24.918","19.414","17.280","19.657"
"57","57","TN Martin","17.998","16.940","24.869","16.592","18.719","17.224"
"58","58","Central Conn","18.041","12.482","14.527","18.499","17.609","15.077"
"59","59","Jacksonville","18.068","18.368","24.918","15.408","19.782","21.877"
"60","60","Charlotte","18.088","18.790","21.119","16.885","19.132","19.102"
"61","61","Oregon","18.093","18.620","20.539","15.573","20.294","20.675"
"62","62","NC-Asheville","18.111","20.861","10.264","17.962","18.199","23.583"
"63","63","Ohio State","18.125","13.793","14.265","16.924","19.860","16.121"
"64","64","Drake","18.238","18.801","22.801","17.915","18.488","17.947"
"65","65","Austin Peay","18.297","17.911","26.349","19.560","17.605","21.431"
"66","66","LSU","18.299","18.335","12.882","16.064","20.875","16.627"
"67","67","SE Missouri","18.341","17.345","20.652","18.387","18.311","22.619"
"68","68","Temple","18.358","16.966","23.656","15.409","20.632","18.032"
"69","69","BYU","18.412","14.629","10.834","16.992","19.843","21.716"
"70","70","UC Davis","18.416","19.634","17.426","13.721","22.353","19.642"
"71","71","High Point","18.438","18.746","4.414","19.023","18.028","18.480"
"72","72","Grand Canyon","18.444","13.824","22.206","17.584","19.535","20.901"
"73","73","St Fran (PA)","18.489","18.532","8.699","16.580","20.131","17.593"
"74","74","Davidson","18.524","18.312","27.884","16.201","20.581","18.479"
"75","75","Portland St","18.534","17.737","20.608","17.006","19.621","19.070"
"76","76","Yale","18.554","14.467","22.086","18.463","18.611","18.010"
"77","77","St Peters","18.575","16.515","14.519","20.916","16.481","25.596"
"78","78","Virginia","18.650","20.992","30.401","15.073","21.094","15.315"
"79","79","Xavier","18.688","16.154","11.498","17.490","19.749","18.221"
"80","80","N Dakota St","18.689","19.258","28.198","15.828","20.183","18.771"
"81","81","North Dakota","18.713","15.767","13.637","19.344","18.294","24.022"
"82","82","Geo Mason","18.717","14.402","19.963","18.919","18.537","24.806"
"83","83","San Diego St","18.736","18.468","9.919","15.515","22.035","14.658"
"84","84","Akron","18.750","22.346","28.489","14.826","21.513","22.110"
"85","85","Seton Hall","18.802","18.101","18.925","16.316","20.993","20.723"
"86","86","TX-Pan Am","18.850","23.410","30.573","18.507","19.062","21.275"
"87","87","TN Tech","18.880","24.302","16.974","17.151","20.323","22.227"
"88","88","Elon","18.882","20.750","17.934","20.135","17.729","22.528"
"89","89","Oakland","18.921","14.537","13.675","18.799","18.987","20.355"
"90","90","LA Tech","18.941","21.458","19.082","15.790","21.879","17.642"
"91","91","Creighton","18.979","22.393","28.530","16.516","21.847","18.719"
"92","92","U Penn","18.983","16.831","15.847","18.621","19.377","22.364"
"93","93","Columbia","19.074","10.469","11.887","17.640","21.250","21.951"
"94","94","VA Tech","19.078","24.037","30.356","17.027","21.503","19.274"
"95","95","VCU","19.087","20.348","25.253","15.538","22.110","19.718"
"96","96","Connecticut","19.128","22.965","24.518","15.818","22.043","18.646"
"97","97","Texas Tech","19.175","22.830","17.794","18.314","20.179","20.084"
"98","98","Boston U","19.176","15.317","16.233","20.401","18.289","19.744"
"99","99","Seattle","19.185","24.221","28.807","16.624","22.575","20.191"
"100","100","NJIT","19.185","18.947","24.006","17.340","21.051","26.054"
"101","101","Wisconsin","19.222","16.269","20.233","15.969","22.717","13.630"
"102","102","GA Tech","19.272","16.673","15.659","16.484","22.438","18.570"
"103","103","Binghamton","19.294","19.338","30.894","19.529","19.092","18.511"
"104","104","Holy Cross","19.313","16.764","25.646","18.498","19.873","22.225"
"105","105","Youngs St","19.344","19.931","24.707","17.257","20.718","21.594"
"106","106","Utah State","19.392","30.343","29.119","17.557","21.136","16.944"
"107","107","Missouri St","19.421","23.829","22.676","16.960","21.497","21.770"
"108","108","Miss Val St","19.503","23.428","27.151","18.425","19.863","20.090"
"109","109","Rob Morris","19.548","19.295","25.965","21.226","18.542","19.948"
"110","110","N Hampshire","19.570","18.160","13.020","19.098","19.857","22.863"
"111","111","Delaware","19.578","21.870","29.790","16.898","21.339","19.916"
"112","112","Winthrop","19.633","17.616","24.024","17.504","21.189","21.848"
"113","113","Florida","19.634","16.912","16.890","19.504","19.741","21.730"
"114","114","Rider","19.644","19.532","25.871","20.593","18.978","21.711"
"115","115","Fairfield","19.662","16.630","20.192","19.842","19.496","23.170"
"116","116","Idaho State","19.674","19.958","23.634","16.004","21.935","21.143"
"117","117","UCLA","19.743","25.034","31.103","17.671","22.090","18.485"
"118","118","Boise State","19.759","26.919","32.940","16.169","22.849","17.713"
"119","119","Texas State","19.770","16.947","20.305","19.347","20.065","20.519"
"120","120","Mercer","19.800","24.753","20.169","15.335","22.329","17.578"
"121","121","Ste F Austin","19.800","22.688","19.532","13.746","22.851","24.361"
"122","122","LA Monroe","19.807","12.041","8.859","18.308","20.606","18.241"
"123","123","Cal St Nrdge","19.810","21.088","19.666","17.774","20.995","20.732"
"124","124","Radford","19.885","23.296","21.576","17.556","21.523","20.999"
"125","125","Bryant","19.907","27.574","26.416","16.958","22.095","21.754"
"126","126","LA Lafayette","19.993","13.503","2.789","16.922","22.335","20.408"
"127","127","Valparaiso","20.020","16.024","32.544","17.681","21.956","18.861"
"128","128","Harvard","20.021","19.860","9.938","19.089","20.604","17.607"
"129","129","Butler","20.051","12.403","26.552","19.081","21.005","17.796"
"130","130","Boston Col","20.056","15.411","15.339","19.558","20.648","23.431"
"131","131","Florida St","20.092","27.540","29.496","17.603","22.081","21.424"
"132","132","Beth-Cook","20.106","25.189","30.231","16.500","21.602","25.090"
"133","133","Colorado","20.116","31.390","31.615","16.298","23.839","19.601"
"134","134","Vanderbilt","20.165","22.958","27.294","15.686","24.390","20.031"
"135","135","Minnesota","20.174","14.274","10.372","15.718","25.704","18.610"
"136","136","Incarnate Word","20.229","14.862","16.046","18.910","20.948","23.262"
"137","137","WI-Grn Bay","20.244","23.456","26.051","18.053","21.402","20.599"
"138","138","Illinois St","20.281","23.641","25.991","15.861","24.188","21.355"
"139","139","TX El Paso","20.303","21.018","17.744","18.267","22.583","17.523"
"140","140","Loyola-Chi","20.319","25.712","25.890","19.141","21.439","16.683"
"141","141","N Arizona","20.327","12.722","9.031","22.689","18.732","22.225"
"142","142","Fla Gulf Cst","20.330","20.496","19.387","19.735","20.968","19.724"
"143","143","Troy","20.363","15.889","18.349","19.825","20.782","16.858"
"144","144","Oral Roberts","20.376","27.304","36.565","18.138","21.566","21.772"
"145","145","Michigan St","20.394","24.013","18.964","14.558","25.261","22.841"
"146","146","Bowling Grn","20.454","21.474","18.913","18.802","21.590","18.242"
"147","147","St Fran (NY)","20.460","13.857","20.050","20.941","20.112","21.743"
"148","148","Furman","20.477","26.354","28.633","18.031","22.284","20.252"
"149","149","S Carolina","20.498","21.355","17.752","19.297","22.019","24.565"
"150","150","Tulane","20.517","24.808","29.381","17.811","22.976","18.767"
"151","151","Ohio","20.559","16.167","26.711","18.759","22.657","20.111"
"152","152","Marshall","20.573","31.446","38.390","15.364","24.383","19.143"
"153","153","Miss State","20.576","25.940","32.032","16.514","24.277","19.053"
"154","154","AR Lit Rock","20.604","15.782","11.094","21.021","20.369","21.809"
"155","155","Howard","20.634","22.762","24.672","15.938","24.310","22.068"
"156","156","Iona","20.636","21.980","25.409","18.816","21.789","17.289"
"157","157","Morgan St","20.657","15.464","13.725","20.138","20.966","23.249"
"158","158","New Mexico","20.659","20.831","17.840","19.589","21.721","18.630"
"159","159","Tulsa","20.797","21.321","19.443","16.494","24.495","16.701"
"160","160","Memphis","20.812","24.702","30.424","16.754","26.648","21.535"
"161","161","Monmouth","20.831","24.481","28.259","19.818","21.406","20.420"
"162","162","Stanford","20.837","28.169","28.057","15.977","26.875","20.140"
"163","163","Old Dominion","20.846","16.473","22.792","18.903","22.149","20.423"
"164","164","Florida A&M","20.848","18.997","20.312","19.901","21.398","18.672"
"165","165","Richmond","20.890","19.800","24.177","19.754","22.024","19.599"
"166","166","Colorado St","20.891","23.609","27.829","19.128","22.402","17.488"
"167","167","Hampton","20.909","12.350","8.160","17.743","22.437","23.890"
"168","168","Vermont","20.911","24.444","33.391","18.632","22.546","22.609"
"169","169","Central Mich","20.930","25.077","12.908","19.882","21.879","19.419"
"170","170","Air Force","20.931","27.852","34.072","18.156","23.799","19.778"
"171","171","Sac State","20.941","19.885","25.974","20.702","21.140","18.807"
"172","172","Arizona St","20.952","24.259","36.453","18.575","23.684","18.493"
"173","173","Florida Intl","20.976","25.504","38.109","19.501","22.234","19.765"
"174","174","Northwestern","20.976","18.126","23.324","18.490","24.201","18.806"
"175","175","Campbell","20.983","22.767","29.147","20.086","21.883","23.850"
"176","176","Presbyterian","20.987","17.682","19.156","21.797","20.386","17.091"
"177","177","La Salle","21.003","19.428","29.208","20.788","21.250","19.291"
"178","178","Rice","21.035","19.418","26.320","20.409","21.643","21.105"
"179","179","Kent State","21.041","17.706","19.289","19.499","22.507","22.681"
"180","180","UC Irvine","21.050","19.758","27.736","25.464","19.101","20.934"
"181","181","Alab A&M","21.085","18.708","27.086","16.881","23.315","21.087"
"182","182","Col Charlestn","21.098","18.837","16.613","19.058","22.902","25.524"
"183","183","Brown","21.117","14.593","17.439","20.843","21.334","21.035"
"184","184","Houston","21.129","21.077","13.541","21.119","21.143","18.155"
"185","185","Southern","21.148","25.528","22.355","18.624","22.290","24.007"
"186","186","Baylor","21.155","23.473","32.617","19.256","23.612","17.227"
"187","187","W Michigan","21.175","16.538","21.731","19.296","22.645","21.040"
"188","188","American","21.188","14.036","16.203","18.629","22.776","17.862"
"189","189","St Bonavent","21.190","17.348","17.061","19.617","23.073","18.254"
"190","190","San Fransco","21.193","27.434","27.591","20.837","21.628","21.757"
"191","191","McNeese St","21.202","30.073","37.372","22.067","20.670","19.971"
"192","192","NW State","21.207","19.036","22.564","19.190","22.658","21.193"
"193","193","Lg Beach St","21.237","26.529","32.371","17.739","22.963","20.751"
"194","194","LIU-Brooklyn","21.266","18.820","31.002","19.533","22.727","20.363"
"195","195","S Florida","21.272","21.523","16.504","20.959","21.647","23.500"
"196","196","Marist","21.284","12.435","10.732","21.538","21.070","20.905"
"197","197","NC Central","21.288","22.284","24.854","20.610","21.649","22.116"
"198","198","Lafayette","21.294","23.460","30.429","21.933","20.796","16.786"
"199","199","SC Upstate","21.352","18.390","19.304","19.664","22.837","16.974"
"200","200","Fordham","21.387","14.870","12.725","20.326","23.063","22.123"
"201","201","E Washingtn","21.431","17.338","19.291","23.127","20.517","20.984"
"202","202","Maine","21.436","17.943","13.493","22.430","20.677","20.010"
"203","203","Louisville","21.454","25.924","38.688","16.391","29.804","17.814"
"204","204","Navy","21.497","24.650","29.580","20.751","22.097","20.239"
"205","205","Mt St Marys","21.506","16.548","22.575","17.809","23.620","19.122"
"206","206","Idaho","21.516","29.764","25.207","21.114","21.791","23.078"
"207","207","Kansas St","21.538","22.925","20.198","22.693","20.284","21.110"
"208","208","Mississippi","21.545","17.551","18.081","22.152","21.040","22.497"
"209","209","Dartmouth","21.558","23.090","19.567","19.806","23.112","22.291"
"210","210","Lipscomb","21.565","23.980","16.422","20.721","22.192","24.044"
"211","211","Nevada","21.568","16.811","7.474","18.780","23.959","22.452"
"212","212","Tennessee","21.599","23.695","31.389","19.801","23.235","22.988"
"213","213","James Mad","21.616","26.001","33.461","19.764","23.893","19.035"
"214","214","Middle Tenn","21.678","17.742","20.759","21.077","22.085","21.853"
"215","215","TX-Arlington","21.687","20.692","11.341","18.196","24.180","23.958"
"216","216","Longwood","21.691","18.784","38.448","22.985","21.112","23.831"
"217","217","Kennesaw St","21.696","25.087","24.535","20.613","22.444","21.416"
"218","218","Charl South","21.700","26.286","23.396","21.928","21.541","18.718"
"219","219","Kansas","21.716","19.980","27.429","20.261","22.886","19.203"
"220","220","CS Bakersfld","21.732","20.356","21.657","20.213","22.770","25.407"
"221","221","IUPUI","21.739","24.824","28.032","19.089","22.963","22.261"
"222","222","Grambling St","21.742","23.138","32.454","21.170","22.050","20.730"
"223","223","N Illinois","21.743","12.960","17.103","20.012","23.506","21.819"
"224","224","Oregon St","21.747","23.730","24.982","18.665","24.354","24.889"
"225","225","Buffalo","21.777","16.217","34.993","17.124","25.002","18.360"
"226","226","Cornell","21.787","16.984","15.986","22.663","21.089","22.417"
