"","Rank","Team","2012","Last 3","Last 1","Home","Away","2011"
"1","1","Southern","45.4%","50.0%","55.6%","42.4%","46.7%","45.6%"
"2","2","Gonzaga","45.8%","45.1%","55.0%","45.6%","45.9%","50.9%"
"3","3","Bucknell","46.0%","48.5%","50.0%","43.5%","48.1%","47.7%"
"4","4","Florida","46.1%","47.1%","46.5%","46.7%","45.7%","50.6%"
"5","5","Ste F Austin","46.2%","47.4%","40.0%","44.4%","47.3%","48.8%"
"6","6","Georgetown","46.7%","42.7%","50.0%","46.5%","46.9%","50.6%"
"7","7","UC Irvine","47.0%","48.1%","54.3%","46.1%","47.5%","49.0%"
"8","8","California","47.0%","44.0%","41.2%","45.3%","48.7%","49.3%"
"9","9","Villanova","47.2%","45.5%","50.0%","46.3%","48.0%","49.7%"
"10","10","Elon","47.3%","43.1%","51.4%","45.3%","48.7%","51.3%"
"11","11","New Mexico","47.4%","46.0%","60.9%","49.8%","45.3%","47.7%"
"12","12","St Marys","47.5%","50.0%","44.1%","47.7%","47.4%","49.7%"
"13","13","Indiana","47.6%","47.7%","47.2%","47.3%","48.0%","50.4%"
"14","14","Davidson","47.7%","46.1%","41.0%","45.1%","49.2%","50.3%"
"15","15","Kansas","47.7%","49.2%","67.5%","45.4%","49.5%","46.8%"
"16","16","Pepperdine","47.9%","53.0%","45.5%","46.5%","48.8%","51.9%"
"17","17","Stony Brook","48.0%","49.5%","51.4%","48.5%","47.7%","49.8%"
"18","18","Wisconsin","48.0%","56.2%","54.3%","45.0%","51.0%","46.2%"
"19","19","Seton Hall","48.0%","43.4%","54.5%","47.8%","48.2%","51.6%"
"20","20","Maryland","48.0%","54.6%","57.1%","45.6%","51.0%","52.8%"
"21","21","Saint Louis","48.0%","43.2%","50.0%","49.0%","46.9%","48.2%"
"22","22","Fairfield","48.2%","41.6%","36.6%","47.4%","48.6%","49.0%"
"23","23","NJIT","48.3%","47.2%","47.1%","50.7%","46.4%","53.4%"
"24","24","Arizona","48.3%","40.4%","40.5%","48.1%","48.5%","50.3%"
"25","25","N Dakota St","48.4%","54.4%","54.1%","47.7%","48.7%","51.3%"
"26","26","IL-Chicago","48.4%","38.1%","34.2%","47.9%","48.8%","53.8%"
"27","27","Georgia","48.4%","52.4%","51.9%","46.7%","50.9%","52.8%"
"28","28","Missouri","48.5%","42.2%","52.9%","44.4%","52.4%","51.6%"
"29","29","Butler","48.6%","48.5%","52.9%","48.1%","48.9%","51.6%"
"30","30","Oklahoma St","48.7%","48.5%","44.1%","50.7%","46.7%","53.7%"
"31","31","Valparaiso","48.7%","52.2%","52.6%","48.0%","49.4%","51.9%"
"32","32","Texas","48.7%","48.5%","56.1%","44.7%","52.2%","49.4%"
"33","33","Creighton","48.7%","46.3%","44.4%","51.1%","46.6%","50.5%"
"34","34","Alcorn State","48.7%","54.0%","44.7%","45.6%","50.4%","51.9%"
"35","35","W Michigan","48.9%","54.9%","53.3%","48.8%","48.9%","52.0%"
"36","36","San Diego St","48.9%","58.6%","74.3%","48.4%","49.2%","48.1%"
"37","37","Hampton","48.9%","48.6%","44.8%","49.2%","48.7%","47.7%"
"38","38","Colorado","49.0%","54.4%","50.0%","47.3%","50.3%","49.8%"
"39","39","Arkansas St","49.0%","42.9%","42.4%","46.6%","51.0%","50.9%"
"40","40","Louisville","49.0%","53.0%","51.6%","48.9%","49.0%","48.4%"
"41","41","Winthrop","49.0%","39.0%","29.2%","45.9%","51.4%","54.4%"
"42","42","Utah","49.1%","47.6%","48.6%","51.4%","47.0%","55.2%"
"43","43","Towson","49.2%","55.4%","70.8%","50.0%","48.8%","55.3%"
"44","44","Savannah St","49.2%","54.4%","50.0%","46.5%","50.9%","52.5%"
"45","45","Virginia","49.3%","44.1%","64.3%","45.9%","54.2%","49.4%"
"46","46","Middle Tenn","49.3%","42.7%","44.8%","45.2%","52.4%","49.3%"
"47","47","GA Tech","49.4%","60.2%","51.5%","48.6%","50.3%","50.4%"
"48","48","American","49.4%","51.0%","42.4%","47.7%","50.7%","50.1%"
"49","49","W Illinois","49.4%","50.5%","57.1%","47.5%","50.8%","54.0%"
"50","50","U Penn","49.5%","50.5%","50.0%","49.8%","49.3%","51.0%"
"51","51","Purdue","49.5%","57.0%","57.1%","47.9%","51.6%","53.9%"
"52","52","Manhattan","49.6%","47.8%","52.9%","47.4%","50.7%","52.5%"
"53","53","Vermont","49.6%","54.3%","60.7%","50.2%","49.1%","47.7%"
"54","54","Charlotte","49.6%","48.5%","50.0%","49.2%","50.0%","52.3%"
"55","55","Kentucky","49.7%","53.4%","60.0%","49.2%","50.1%","49.7%"
"56","56","Delaware","49.7%","45.6%","47.1%","47.7%","50.9%","47.4%"
"57","57","Mercer","49.7%","54.6%","55.9%","48.9%","50.2%","50.0%"
"58","58","Geo Mason","49.7%","54.5%","62.2%","50.0%","49.5%","49.0%"
"59","59","SE Louisiana","49.8%","48.6%","57.6%","47.1%","51.2%","51.6%"
"60","60","TX El Paso","49.8%","56.1%","65.8%","49.3%","50.2%","50.5%"
"61","61","Michigan St","49.8%","44.8%","48.1%","45.5%","53.7%","48.4%"
"62","62","Charl South","49.8%","54.9%","60.0%","52.8%","47.4%","56.3%"
"63","63","Weber State","49.8%","58.4%","68.6%","50.1%","49.6%","50.3%"
"64","64","Akron","49.9%","57.1%","62.8%","47.0%","52.4%","52.9%"
"65","65","Marquette","49.9%","46.1%","51.9%","50.7%","49.2%","48.7%"
"66","66","Indiana St","49.9%","45.2%","42.1%","49.4%","50.1%","50.0%"
"67","67","TX Southern","49.9%","47.8%","51.4%","47.8%","51.3%","51.3%"
"68","68","UNLV","49.9%","49.1%","50.0%","47.8%","52.3%","50.9%"
"69","69","Pacific","49.9%","48.2%","41.4%","50.9%","49.3%","52.0%"
"70","70","Connecticut","50.0%","49.0%","50.0%","49.9%","50.1%","49.6%"
"71","71","Colorado St","50.0%","54.8%","61.9%","49.9%","50.1%","51.4%"
"72","72","Oregon","50.0%","59.4%","66.7%","49.7%","50.3%","52.7%"
"73","73","Xavier","50.0%","49.4%","48.0%","48.4%","51.6%","50.6%"
"74","74","Ohio State","50.0%","48.3%","45.2%","47.1%","52.7%","49.8%"
"75","75","Hawaii","50.0%","52.6%","50.0%","47.5%","54.9%","51.4%"
"76","76","Tulsa","50.0%","53.6%","51.5%","47.5%","51.8%","50.6%"
"77","77","NC A&T","50.0%","54.3%","71.1%","48.1%","50.9%","54.4%"
"78","78","Seattle","50.1%","57.0%","60.6%","50.4%","49.6%","52.1%"
"79","79","NC Central","50.1%","48.5%","52.0%","45.5%","53.2%","53.3%"
"80","80","Baylor","50.2%","49.2%","34.2%","50.9%","49.4%","52.6%"
"81","81","Miami (FL)","50.2%","50.5%","58.5%","48.8%","51.2%","52.3%"
"82","82","Boston U","50.2%","51.2%","42.9%","50.9%","49.8%","50.6%"
"83","83","Col Charlestn","50.2%","58.3%","61.8%","50.8%","49.7%","51.4%"
"84","84","UC Davis","50.2%","48.1%","41.7%","53.7%","47.7%","54.7%"
"85","85","N Carolina","50.2%","52.2%","47.5%","49.8%","50.6%","50.5%"
"86","86","TX-Arlington","50.3%","53.5%","65.6%","54.7%","47.2%","52.1%"
"87","87","NC-Grnsboro","50.3%","58.5%","41.9%","47.8%","52.2%","55.4%"
"88","88","Army","50.3%","52.3%","53.8%","49.5%","50.8%","54.5%"
"89","89","SE Missouri","50.3%","51.1%","59.3%","50.3%","50.3%","50.8%"
"90","90","Drexel","50.3%","51.6%","51.9%","49.3%","51.1%","48.4%"
"91","91","Columbia","50.3%","57.9%","61.9%","51.6%","49.2%","48.0%"
"92","92","Sam Hous St","50.3%","51.0%","57.1%","47.8%","51.7%","49.7%"
"93","93","N Mex State","50.3%","51.4%","58.3%","48.6%","51.7%","53.7%"
"94","94","Iowa","50.4%","51.5%","66.7%","46.7%","54.1%","57.1%"
"95","95","Oklahoma","50.4%","53.8%","46.2%","49.3%","51.2%","53.3%"
"96","96","Wright State","50.4%","52.6%","57.5%","49.9%","50.9%","57.4%"
"97","97","BYU","50.4%","45.2%","51.2%","48.3%","52.9%","54.2%"
"98","98","Cincinnati","50.4%","47.8%","52.2%","48.0%","53.1%","51.3%"
"99","99","Pittsburgh","50.4%","54.8%","70.8%","49.3%","51.7%","53.3%"
"100","100","Wichita St","50.5%","50.0%","56.5%","51.1%","50.0%","48.9%"
"101","101","Texas A&M","50.5%","48.8%","48.5%","50.6%","50.2%","49.4%"
"102","102","Houston Bap","50.5%","59.5%","53.3%","48.2%","51.5%","54.8%"
"103","103","Stanford","50.5%","52.3%","45.7%","48.1%","52.8%","49.4%"
"104","104","Albany","50.6%","52.4%","69.7%","50.7%","50.4%","54.6%"
"105","105","Notre Dame","50.6%","52.6%","55.6%","47.3%","55.2%","49.3%"
"106","106","Belmont","50.6%","62.4%","58.8%","47.8%","52.4%","49.9%"
"107","107","Tennessee","50.7%","49.0%","63.3%","52.0%","49.5%","49.5%"
"108","108","Princeton","50.7%","58.0%","58.1%","51.7%","50.0%","50.3%"
"109","109","Colgate","50.8%","58.7%","62.1%","49.8%","51.4%","52.6%"
"110","110","Duke","50.8%","56.3%","67.5%","47.4%","53.5%","51.6%"
"111","111","Minnesota","50.9%","47.6%","68.8%","49.5%","52.0%","52.5%"
"112","112","Quinnipiac","50.9%","57.5%","55.9%","52.6%","49.7%","48.1%"
"113","113","Maine","50.9%","50.9%","41.2%","50.1%","51.4%","49.8%"
"114","114","N Iowa","50.9%","46.8%","48.3%","50.5%","51.4%","51.1%"
"115","115","Howard","50.9%","47.6%","61.3%","46.1%","53.5%","54.5%"
"116","116","Northwestern","50.9%","54.8%","44.7%","50.6%","51.4%","56.5%"
"117","117","Geo Wshgtn","51.0%","64.5%","51.2%","47.6%","53.8%","53.4%"
"118","118","TX-Pan Am","51.1%","40.0%","36.1%","48.5%","52.4%","53.2%"
"119","119","Providence","51.1%","52.3%","58.1%","50.9%","51.2%","53.5%"
"120","120","Brown","51.1%","45.5%","45.2%","49.7%","52.2%","52.3%"
"121","121","Dayton","51.1%","49.1%","45.2%","49.0%","53.4%","53.9%"
"122","122","N Florida","51.1%","47.1%","46.8%","51.0%","51.2%","53.2%"
"123","123","Vanderbilt","51.1%","54.7%","64.3%","51.0%","51.3%","52.7%"
"124","124","Coastal Car","51.2%","53.9%","50.0%","47.1%","54.8%","48.2%"
"125","125","North Texas","51.2%","48.0%","53.7%","49.1%","52.9%","51.1%"
"126","126","Clemson","51.2%","56.0%","58.6%","48.3%","54.1%","51.9%"
"127","127","Norfolk St","51.2%","54.7%","57.7%","51.5%","51.1%","52.4%"
"128","128","UCLA","51.2%","50.8%","51.2%","50.3%","52.2%","50.6%"
