"","Rank","Team","2016","Last 3","Last 1","Home","Away","2015"
"1","1","St Marys","19.4%","24.0%","16.0%","16.7%","22.2%","24.7%"
"2","2","Wichita St","19.8%","23.7%","30.2%","17.8%","21.7%","19.9%"
"3","3","N Hampshire","20.1%","24.5%","30.4%","18.4%","21.1%","21.4%"
"4","4","California","20.4%","15.1%","17.6%","20.4%","20.3%","22.2%"
"5","5","Boston Col","21.3%","27.2%","18.5%","23.5%","18.5%","26.8%"
"6","6","Virginia","21.4%","24.1%","17.9%","19.6%","23.4%","24.0%"
"7","7","Albany","21.4%","23.4%","25.8%","19.7%","22.6%","24.6%"
"8","8","Middle Tenn","21.6%","12.4%","8.1%","20.0%","22.9%","23.8%"
"9","9","IPFW","21.6%","16.8%","25.8%","22.9%","20.4%","23.7%"
"10","10","TX-San Ant","22.0%","25.2%","32.6%","21.9%","22.1%","27.2%"
"11","11","Princeton","22.1%","24.4%","27.0%","25.0%","20.1%","25.3%"
"12","12","Lehigh","22.2%","25.2%","27.9%","23.2%","21.5%","27.1%"
"13","13","BYU","22.3%","28.4%","15.8%","19.6%","25.5%","21.9%"
"14","14","Santa Clara","22.3%","24.7%","17.4%","23.5%","20.9%","28.3%"
"15","15","Purdue","22.4%","27.6%","25.0%","21.1%","24.1%","20.2%"
"16","16","Missouri St","22.4%","23.2%","35.7%","23.2%","21.6%","25.6%"
"17","17","Utah","22.4%","25.2%","30.8%","21.5%","23.5%","25.7%"
"18","18","Xavier","22.4%","21.0%","26.7%","21.4%","23.6%","24.1%"
"19","19","Central FL","22.5%","26.2%","29.4%","21.2%","24.1%","28.7%"
"20","20","Wisconsin","22.5%","28.4%","27.0%","21.3%","24.0%","26.0%"
"21","21","Pacific","22.7%","31.0%","28.0%","24.6%","20.8%","28.8%"
"22","22","TX El Paso","22.7%","19.4%","10.8%","22.4%","23.1%","29.9%"
"23","23","Navy","22.7%","25.0%","25.0%","21.1%","24.3%","23.7%"
"24","24","N Colorado","22.9%","19.6%","31.8%","17.2%","26.0%","25.1%"
"25","25","Seton Hall","23.0%","21.9%","24.1%","19.2%","26.2%","27.8%"
"26","26","Old Dominion","23.0%","26.4%","34.5%","21.7%","24.2%","24.3%"
"27","27","Gonzaga","23.1%","16.8%","17.1%","25.0%","21.4%","24.2%"
"28","28","Army","23.1%","19.0%","18.4%","21.0%","25.5%","25.4%"
"29","29","N Carolina","23.1%","24.2%","20.7%","20.6%","25.8%","26.6%"
"30","30","Geo Mason","23.3%","18.4%","19.5%","24.7%","21.9%","20.6%"
"31","31","Denver","23.3%","25.3%","25.9%","21.9%","24.4%","29.6%"
"32","32","Liberty","23.5%","10.3%","9.5%","19.4%","27.1%","29.1%"
"33","33","Air Force","23.5%","26.2%","15.8%","20.2%","27.3%","25.9%"
"34","34","Boise State","23.5%","20.4%","15.2%","24.6%","22.6%","24.1%"
"35","35","Colgate","23.6%","22.1%","14.8%","22.9%","24.0%","28.9%"
"36","36","W Illinois","23.6%","23.5%","15.2%","20.1%","26.1%","25.3%"
"37","37","Toledo","23.7%","17.4%","6.5%","22.1%","25.3%","23.3%"
"38","38","S Methodist","23.7%","28.7%","28.2%","25.8%","20.4%","26.5%"
"39","39","San Diego","23.7%","23.3%","16.7%","25.1%","22.2%","25.1%"
"40","40","NJIT","23.7%","15.5%","20.0%","24.5%","23.3%","29.1%"
"41","41","St Peters","23.8%","22.7%","12.5%","22.3%","24.8%","24.6%"
"42","42","Alabama","23.8%","32.1%","37.5%","20.4%","27.2%","32.3%"
"43","43","UC Irvine","23.9%","24.0%","26.7%","22.6%","24.6%","26.2%"
"44","44","Sam Hous St","23.9%","22.5%","32.0%","17.0%","28.9%","23.2%"
"45","45","Arizona","23.9%","21.4%","7.9%","24.2%","23.5%","22.8%"
"46","46","Loyola-Chi","23.9%","15.4%","12.1%","24.7%","23.3%","27.1%"
"47","47","LA Tech","23.9%","24.5%","17.6%","23.3%","24.7%","27.5%"
"48","48","Idaho","24.0%","21.6%","17.6%","22.3%","25.4%","23.7%"
"49","49","James Mad","24.1%","31.1%","34.4%","23.1%","24.8%","25.2%"
"50","50","Utah Val St","24.1%","24.2%","15.2%","25.3%","23.3%","29.4%"
"51","51","Dayton","24.1%","28.3%","33.3%","23.0%","25.5%","21.8%"
"52","52","Kentucky","24.2%","20.4%","28.9%","23.7%","24.6%","30.0%"
"53","53","CS Fullerton","24.2%","25.0%","26.3%","23.0%","25.3%","27.8%"
"54","54","Radford","24.2%","18.8%","25.0%","23.2%","24.8%","27.7%"
"55","55","Towson","24.2%","22.6%","15.0%","25.3%","23.3%","24.6%"
"56","56","Morehead St","24.2%","21.0%","20.0%","24.0%","24.4%","27.3%"
"57","57","Miami (FL)","24.3%","26.8%","30.3%","24.2%","24.3%","26.8%"
"58","58","W Michigan","24.3%","20.2%","14.3%","21.9%","26.4%","23.5%"
"59","59","AR Lit Rock","24.3%","19.0%","22.2%","22.3%","25.8%","26.2%"
"60","60","Geo Wshgtn","24.3%","23.8%","30.3%","23.0%","25.9%","25.7%"
"61","61","Montana","24.4%","18.5%","22.2%","25.2%","23.8%","23.5%"
