"","Rank","Team","2016","Last 3","Last 1","Home","Away","2015"
"1","1","St Marys","6.0","7.7","4.0","4.8","7.3","8.2"
"2","2","Virginia","6.1","7.0","5.0","5.6","6.7","6.8"
"3","3","Navy","6.1","6.7","5.0","5.7","6.5","7.0"
"4","4","N Hampshire","6.2","8.0","7.0","5.3","6.8","6.9"
"5","5","Albany","6.2","7.3","8.0","5.5","6.8","8.2"
"6","6","Santa Clara","6.4","6.0","4.0","7.1","5.8","9.1"
"7","7","Liberty","6.4","2.3","2.0","5.1","7.6","8.3"
"8","8","Princeton","6.5","6.3","10.0","7.7","5.7","8.4"
"9","9","Boston Col","6.6","8.3","5.0","7.3","5.6","8.1"
"10","10","Wichita St","6.6","9.0","13.0","5.9","7.2","5.9"
"11","11","Middle Tenn","6.6","3.7","3.0","6.1","7.1","7.8"
"12","12","California","6.8","4.7","6.0","6.8","6.8","7.6"
"13","13","Missouri St","6.9","7.3","10.0","7.2","6.5","7.9"
"14","14","Wisconsin","6.9","9.0","10.0","6.8","7.1","7.8"
"15","15","NJIT","7.0","4.3","5.0","7.2","6.8","9.8"
"16","16","Xavier","7.0","5.7","8.0","6.7","7.3","8.5"
"17","17","Colgate","7.0","5.7","4.0","6.6","7.2","8.5"
"18","18","Old Dominion","7.0","7.7","10.0","6.3","7.8","7.8"
"19","19","Lehigh","7.0","9.0","12.0","6.9","7.1","8.2"
"20","20","Loyola-Chi","7.0","4.7","4.0","7.1","7.0","7.9"
"21","21","AR Lit Rock","7.0","5.3","6.0","6.2","7.8","8.2"
"22","22","IPFW","7.0","5.3","8.0","7.6","6.5","7.6"
"23","23","TX-San Ant","7.1","8.7","14.0","7.4","6.8","8.1"
"24","24","Morehead St","7.1","5.7","5.0","7.2","6.9","7.9"
"25","25","Pacific","7.1","9.0","7.0","8.2","6.1","9.3"
"26","26","Ste F Austin","7.1","10.7","8.0","7.1","7.2","8.4"
"27","27","St Peters","7.2","6.7","3.0","6.7","7.5","8.0"
"28","28","San Diego","7.2","5.7","4.0","7.6","6.7","7.5"
"29","29","Loyola-MD","7.2","3.7","4.0","6.6","7.6","9.2"
"30","30","Texas Tech","7.2","6.3","5.0","6.4","8.6","9.4"
"31","31","Utah","7.2","8.7","8.0","7.1","7.4","8.7"
"32","32","W Michigan","7.3","7.3","5.0","6.7","7.8","7.4"
"33","33","Sam Hous St","7.3","6.7","8.0","4.9","9.2","7.1"
"34","34","San Jose St","7.3","5.0","2.0","7.0","7.6","9.0"
"35","35","N Colorado","7.3","6.3","7.0","5.2","8.6","7.5"
"36","36","Air Force","7.3","7.0","3.0","6.1","8.8","8.4"
"37","37","CS Fullerton","7.4","8.0","10.0","7.2","7.5","9.1"
"38","38","TX El Paso","7.4","6.0","4.0","7.3","7.5","10.8"
"39","39","WI-Milwkee","7.4","11.0","8.0","7.3","7.4","7.8"
"40","40","American","7.4","12.7","5.0","5.7","9.1","7.7"
"41","41","Seton Hall","7.4","5.3","7.0","6.1","8.6","9.9"
"42","42","Fordham","7.4","6.7","7.0","6.8","8.2","7.3"
"43","43","Vermont","7.4","7.3","8.0","7.3","7.5","8.8"
"44","44","Denver","7.5","7.0","7.0","7.2","7.7","7.9"
"45","45","James Mad","7.5","10.7","11.0","7.0","7.8","9.0"
"46","46","Montana","7.5","5.0","6.0","8.0","7.2","7.0"
"47","47","Butler","7.6","9.7","7.0","5.8","9.6","7.4"
"48","48","Boise State","7.6","7.0","5.0","8.0","7.3","7.2"
"49","49","Radford","7.6","6.0","7.0","7.2","7.9","8.6"
"50","50","Miami (FL)","7.6","8.7","10.0","8.1","7.1","8.6"
"51","51","Charl South","7.6","6.0","8.0","7.3","7.9","7.7"
"52","52","Purdue","7.6","8.0","8.0","7.5","7.9","7.2"
"53","53","Jackson St","7.7","7.7","11.0","6.6","8.3","8.1"
"54","54","LA Lafayette","7.7","6.7","10.0","6.9","8.4","8.1"
"55","55","St Josephs","7.7","6.3","4.0","8.3","7.1","8.3"
"56","56","Geo Wshgtn","7.7","6.7","10.0","7.8","7.6","8.6"
"57","57","Villanova","7.7","7.7","7.0","7.9","7.4","8.8"
"58","58","Jacksonville","7.7","7.3","9.0","6.9","8.1","7.7"
"59","59","NC-Wilmgton","7.7","5.7","9.0","7.8","7.6","9.5"
"60","60","Towson","7.7","6.3","3.0","8.4","7.2","7.6"
"61","61","Idaho","7.7","7.0","6.0","7.5","7.9","7.4"
"62","62","Saint Louis","7.7","8.0","6.0","8.2","7.1","8.7"
"63","63","Army","7.7","6.3","7.0","7.2","8.2","9.0"
"64","64","La Salle","7.7","8.3","5.0","6.9","8.6","9.4"
"65","65","Florida Intl","7.7","9.7","13.0","6.8","8.4","9.6"
"66","66","W Illinois","7.7","8.0","5.0","6.4","8.7","8.3"
"67","67","Wright State","7.7","6.0","4.0","8.1","7.4","7.3"
"68","68","Michigan","7.7","9.0","10.0","6.8","9.0","7.2"
"69","69","Stanford","7.8","9.7","9.0","7.5","8.0","9.0"
"70","70","N Iowa","7.8","7.0","13.0","7.7","7.8","8.1"
"71","71","Arkansas St","7.8","9.0","9.0","8.2","7.5","11.0"
"72","72","W Kentucky","7.8","8.7","8.0","6.0","9.2","9.0"
"73","73","S Mississippi","7.8","7.7","8.0","6.8","8.6","8.6"
"74","74","Dayton","7.8","10.0","10.0","7.7","7.9","7.5"
"75","75","Loyola Mymt","7.8","8.3","9.0","8.6","6.8","9.1"
"76","76","S Methodist","7.8","9.7","11.0","8.9","6.2","8.9"
"77","77","SIU Edward","7.8","8.3","5.0","7.5","8.0","7.9"
"78","78","Northeastrn","7.8","9.0","11.0","7.6","8.0","8.5"
"79","79","Alabama","7.9","11.3","15.0","6.7","9.1","11.1"
"80","80","Arizona","7.9","7.0","3.0","8.2","7.5","8.0"
"81","81","LA Tech","7.9","8.7","6.0","7.9","7.9","9.5"
"82","82","Wofford","7.9","6.3","8.0","7.0","8.4","7.2"
"83","83","Furman","7.9","8.7","10.0","8.8","7.3","8.1"
"84","84","N Carolina","7.9","7.7","6.0","7.1","8.9","9.2"
"85","85","Evansville","7.9","6.7","6.0","6.5","9.2","7.3"
"86","86","Cornell","8.0","7.0","6.0","6.8","8.6","11.6"
"87","87","IUPUI","8.0","7.7","9.0","8.5","7.7","8.1"
"88","88","Hawaii","8.0","9.7","8.0","7.9","8.1","8.1"
"89","89","Dartmouth","8.0","8.3","11.0","7.2","8.7","8.7"
"90","90","Campbell","8.0","6.7","5.0","8.2","7.9","8.6"
"91","91","Illinois","8.0","8.3","8.0","7.8","8.3","8.3"
"92","92","NC-Asheville","8.0","6.7","4.0","7.1","8.7","8.2"
"93","93","Rhode Island","8.0","5.7","7.0","8.3","7.7","6.6"
"94","94","SE Missouri","8.1","6.3","6.0","9.5","7.2","9.2"
"95","95","High Point","8.1","10.7","12.0","9.4","6.9","9.0"
"96","96","Belmont","8.1","8.3","7.0","7.9","8.2","10.7"
"97","97","E Tenn St","8.1","8.0","10.0","6.6","9.1","9.4"
"98","98","N Kentucky","8.1","7.3","6.0","8.2","8.1","9.5"
"99","99","Holy Cross","8.1","9.3","15.0","7.1","8.9","8.0"
"100","100","VCU","8.1","8.3","8.0","8.3","7.9","8.1"
"101","101","Akron","8.1","12.3","14.0","6.4","9.6","9.8"
"102","102","TN State","8.1","6.0","6.0","7.5","8.5","8.5"
"103","103","Toledo","8.2","6.3","2.0","8.1","8.2","7.5"
"104","104","DePaul","8.2","9.7","14.0","8.3","7.9","8.6"
"105","105","Providence","8.2","6.7","10.0","9.0","7.0","8.7"
"106","106","Brown","8.2","6.7","7.0","8.4","7.9","10.7"
"107","107","Yale","8.2","11.0","19.0","7.4","8.9","7.0"
"108","108","Wake Forest","8.2","8.3","10.0","9.1","7.5","10.2"
"109","109","N Arizona","8.2","5.0","5.0","7.1","8.9","9.0"
"110","110","Cincinnati","8.2","6.0","7.0","8.1","8.3","9.5"
"111","111","S Utah","8.2","8.3","14.0","7.3","8.7","8.4"
"112","112","Binghamton","8.2","7.7","9.0","8.0","8.4","8.5"
"113","113","Delaware","8.2","8.3","11.0","8.8","7.9","9.4"
"114","114","North Dakota","8.2","7.3","4.0","8.4","8.1","8.0"
"115","115","Chattanooga","8.2","5.7","4.0","6.5","9.5","8.3"
"116","116","Kentucky","8.3","7.3","11.0","7.8","8.8","10.5"
"117","117","Geo Mason","8.3","6.3","8.0","8.5","8.0","7.1"
"118","118","Tulsa","8.3","4.7","4.0","8.4","8.1","9.3"
"119","119","Bucknell","8.3","10.7","18.0","8.9","7.8","8.9"
"120","120","Rice","8.3","9.0","10.0","8.9","7.6","9.8"
"121","121","Houston Bap","8.3","7.0","6.0","8.5","8.1","10.3"
"122","122","Sacred Hrt","8.3","6.3","5.0","8.9","7.8","10.5"
"123","123","UC Irvine","8.3","8.3","12.0","7.6","8.7","9.2"
"124","124","BYU","8.3","8.3","3.0","7.8","8.8","7.6"
"125","125","Cal Poly","8.3","8.3","10.0","8.2","8.4","8.1"
"126","126","App State","8.3","7.7","7.0","8.5","8.2","9.6"
"127","127","UCSB","8.3","7.3","7.0","8.2","8.5","8.5"
"128","128","Central FL","8.4","9.0","10.0","8.4","8.4","10.4"
"129","129","N Illinois","8.4","7.0","7.0","9.1","7.7","8.3"
"130","130","Fresno St","8.4","6.3","8.0","9.2","7.7","9.0"
"131","131","Texas State","8.4","9.3","9.0","9.2","7.8","8.0"
"132","132","W Carolina","8.4","5.3","4.0","7.1","9.3","10.0"
"133","133","Pepperdine","8.4","9.0","8.0","7.1","9.4","9.4"
"134","134","Lamar","8.4","8.7","5.0","8.2","8.6","9.9"
"135","135","Valparaiso","8.4","5.0","6.0","8.4","8.5","7.1"
"136","136","Kennesaw St","8.4","8.0","10.0","8.5","8.4","10.4"
"137","137","Colorado","8.4","9.0","10.0","8.1","8.8","7.8"
"138","138","Stony Brook","8.5","9.7","9.0","7.8","9.2","7.7"
"139","139","Bowling Grn","8.5","8.3","9.0","7.9","9.1","8.9"
"140","140","San Fransco","8.5","8.3","6.0","8.7","8.2","9.7"
"141","141","Utah State","8.5","6.7","7.0","8.1","8.9","8.6"
"142","142","Mercer","8.5","6.3","6.0","7.9","8.9","8.5"
"143","143","Montana St","8.5","9.3","11.0","7.7","9.3","7.9"
"144","144","Jksnville St","8.5","11.3","18.0","7.6","8.8","9.5"
"145","145","Illinois St","8.5","10.7","9.0","8.7","8.3","8.2"
"146","146","Hampton","8.5","13.3","7.0","8.6","8.4","8.6"
"147","147","LA Monroe","8.5","8.0","8.0","7.9","8.9","10.3"
"148","148","Boston U","8.5","8.7","7.0","9.2","7.8","9.0"
"149","149","UNLV","8.5","8.0","7.0","9.0","7.8","9.4"
"150","150","Coastal Car","8.5","10.7","9.0","9.3","7.6","9.4"
"151","151","Wash State","8.5","10.7","6.0","8.9","8.1","8.8"
"152","152","LIU-Brooklyn","8.5","6.7","6.0","8.9","8.3","10.3"
"153","153","UC Davis","8.6","11.0","12.0","10.8","7.5","8.6"
"154","154","U Penn","8.6","6.0","3.0","6.8","9.9","9.6"
"155","155","Vanderbilt","8.6","5.3","6.0","8.1","9.1","10.0"
"156","156","Central Conn","8.6","8.7","12.0","8.0","9.0","9.1"
"157","157","N Mex State","8.6","5.7","6.0","8.4","8.8","8.3"
"158","158","Col Charlestn","8.6","10.7","8.0","8.9","8.4","7.0"
"159","159","E Washingtn","8.6","8.3","10.0","8.8","8.5","8.4"
"160","160","Nevada","8.6","7.0","6.0","9.2","8.2","9.9"
"161","161","SE Louisiana","8.7","9.7","11.0","9.1","8.4","10.6"
"162","162","N Dakota St","8.7","8.0","8.0","8.7","8.6","7.6"
"163","163","S Dakota St","8.7","8.3","9.0","9.0","8.5","7.6"
"164","164","Gard-Webb","8.7","9.3","9.0","7.2","9.6","8.8"
"165","165","South Dakota","8.7","9.7","11.0","7.9","9.2","9.0"
"166","166","Presbyterian","8.7","9.7","6.0","8.2","9.1","9.2"
"167","167","TN Tech","8.7","8.3","16.0","9.5","8.2","10.9"
"168","168","Maine","8.7","9.3","9.0","7.8","9.4","9.6"
"169","169","Sac State","8.8","9.3","7.0","7.7","9.4","9.8"
"170","170","Gonzaga","8.8","6.0","6.0","9.4","8.1","8.7"
"171","171","Davidson","8.8","10.3","13.0","8.9","8.6","10.1"
"172","172","St Bonavent","8.8","8.7","14.0","9.4","8.1","10.3"
"173","173","Missouri","8.8","7.3","6.0","8.7","8.8","9.5"
"174","174","UAB","8.8","10.0","9.0","8.9","8.6","9.5"
"175","175","New Mexico","8.8","7.3","13.0","7.8","9.7","9.7"
"176","176","Michigan St","8.8","9.7","7.0","10.1","7.4","7.3"
"177","177","Abilene Christian","8.8","7.7","10.0","8.7","8.9","7.2"
"178","178","Baylor","8.9","7.7","12.0","9.1","8.6","7.9"
"179","179","UC Riverside","8.9","10.3","15.0","9.4","8.5","8.1"
"180","180","Lafayette","8.9","8.3","10.0","8.9","8.9","10.4"
"181","181","Grand Canyon","8.9","7.3","8.0","8.9","8.8","8.5"
"182","182","Ohio State","8.9","4.3","5.0","8.7","9.2","9.2"
"183","183","Duke","8.9","12.0","11.0","8.8","9.1","11.0"
"184","184","S Illinois","8.9","9.0","15.0","8.3","9.5","6.9"
"185","185","Rider","8.9","6.7","8.0","9.4","8.6","8.5"
"186","186","Harvard","8.9","6.7","7.0","9.1","8.8","8.6"
"187","187","Utah Val St","8.9","10.3","5.0","10.1","8.2","10.5"
"188","188","Maryland BC","8.9","7.3","9.0","9.1","8.8","8.4"
"189","189","San Diego St","8.9","9.7","8.0","8.9","8.9","8.3"
"190","190","Nebraska","8.9","5.3","7.0","8.9","9.0","7.9"
"191","191","Cleveland St","8.9","6.7","6.0","10.2","8.3","8.5"
"192","192","Florida","8.9","8.3","4.0","7.8","9.5","9.1"
"193","193","Morgan St","9.0","7.3","5.0","8.3","9.5","10.4"
"194","194","VA Military","9.0","9.0","8.0","8.7","9.2","10.2"
"195","195","Wm & Mary","9.0","8.0","7.0","7.7","9.9","9.0"
"196","196","Marquette","9.0","9.7","9.0","9.3","8.5","10.3"
"197","197","Louisville","9.0","9.7","8.0","9.2","8.6","9.1"
"198","198","Hofstra","9.0","6.7","5.0","9.3","8.7","9.7"
"199","199","Siena","9.0","8.3","9.0","9.6","8.6","9.4"
"200","200","Washington","9.0","5.3","3.0","8.7","9.4","12.4"
"201","201","Clemson","9.0","7.3","9.0","9.3","8.7","8.9"
"202","202","Georgia","9.0","9.0","9.0","8.4","9.7","9.7"
"203","203","Manhattan","9.0","9.3","9.0","8.8","9.2","9.1"
"204","204","St Fran (NY)","9.0","7.3","5.0","10.0","8.4","9.0"
"205","205","Tennessee","9.0","6.0","4.0","8.1","10.2","11.1"
"206","206","Indiana","9.1","7.7","8.0","9.3","8.8","8.7"
"207","207","Fla Gulf Cst","9.1","7.7","14.0","8.2","10.0","9.0"
"208","208","Detroit","9.1","9.0","6.0","9.9","8.4","8.9"
