"","Rank","Team","2013","Last 3","Last 1","Home","Away","2012"
"1","1","St Fran (PA)","0.0","0.0","0.0","0.0","0.0","1.5"
"2","2","Jksnville St","0.0","0.0","0.0","0.0","0.0","0.5"
"3","3","Duquesne","0.0","0.0","0.0","0.0","0.0","0.6"
"4","4","St Bonavent","0.0","0.0","0.0","0.0","0.0","0.8"
"5","5","Nebraska","0.0","0.0","0.0","0.0","0.0","0.0"
"6","6","Indiana St","0.0","0.0","0.0","0.0","0.0","1.1"
"7","7","San Diego","0.0","0.0","0.0","0.0","0.0","0.3"
"8","8","Creighton","0.0","0.0","0.0","0.0","0.0","0.0"
"9","9","Jacksonville","0.0","0.0","0.0","0.0","0.0","1.0"
"10","10","TX Christian","0.0","0.0","0.0","0.0","0.0","0.0"
"11","11","Fla Atlantic","0.0","0.0","0.0","0.0","0.0","1.4"
"12","12","New Orleans","0.0","0.0","0.0","0.0","0.0","2.1"
"13","13","Belmont","0.0","0.0","0.0","0.0","0.0","0.2"
"14","14","E Carolina","0.0","0.0","0.0","0.0","0.0","1.3"
"15","15","E Illinois","0.0","0.0","0.0","0.0","0.0","0.4"
"16","16","Bucknell","0.0","0.0","0.0","0.0","0.0","0.0"
"17","17","Lamar","0.0","0.0","0.0","0.0","0.0","1.0"
"18","18","Rutgers","0.0","0.0","0.0","0.0","0.0","0.0"
"19","19","S Methodist","0.0","0.0","0.0","0.0","0.0","0.4"
"20","20","UMKC","0.0","0.0","0.0","0.0","0.0","0.0"
"21","21","Gonzaga","0.0","0.0","0.0","0.0","0.0","0.0"
"22","22","Miss Val St","0.0","0.0","0.0","0.0","0.0","0.5"
"23","23","Cal Poly","0.0","0.0","0.0","0.0","0.0","0.6"
"24","24","Liberty","0.0","0.0","0.0","0.0","0.0","0.8"
"25","25","Ark Pine Bl","0.0","0.0","0.0","0.0","0.0","0.2"
"26","26","IL-Chicago","0.0","0.0","0.0","0.0","0.0","0.8"
"27","27","Wright State","0.0","0.0","0.0","0.0","0.0","0.5"
"28","28","Grambling St","0.0","0.0","0.0","0.0","0.0","0.0"
"29","29","TN Tech","0.0","0.0","0.0","0.0","0.0","0.0"
"30","30","TN Martin","0.0","0.0","0.0","0.0","0.0","1.0"
"31","31","Louisville","0.0","0.0","0.0","0.0","0.0","1.1"
"32","32","Cincinnati","0.0","0.0","0.0","0.0","0.0","0.9"
"33","33","North Dakota","0.0","0.0","0.0","0.0","0.0","0.4"
"34","34","S Dakota St","0.0","0.0","0.0","0.0","0.0","1.2"
"35","35","Presbyterian","0.0","0.0","0.0","0.0","0.0","1.0"
