"","Rank","Team","2012","Last 3","Last 1","Home","Away","2011"
"1","1","S Mississippi","41.3%","41.6%","45.6%","43.9%","39.7%","52.7%"
"2","2","S Methodist","41.7%","45.4%","41.5%","38.2%","44.3%","48.3%"
"3","3","N Illinois","42.2%","47.6%","57.8%","43.0%","41.5%","42.3%"
"4","4","TX-Arlington","42.5%","45.8%","50.0%","43.9%","41.3%","45.8%"
"5","5","Penn State","43.8%","45.9%","55.4%","45.1%","42.3%","38.9%"
"6","6","Villanova","44.5%","43.9%","33.3%","46.5%","43.0%","48.8%"
"7","7","Coastal Car","44.5%","39.6%","33.3%","41.6%","47.2%","48.2%"
"8","8","Chattanooga","44.9%","39.2%","41.4%","42.8%","47.0%","42.5%"
"9","9","E Illinois","45.4%","58.6%","56.4%","47.4%","43.7%","53.4%"
"10","10","Morehead St","45.7%","40.7%","47.7%","45.7%","45.8%","45.1%"
"11","11","Georgia","45.8%","46.1%","41.2%","48.9%","42.1%","48.6%"
"12","12","Georgia St","45.8%","41.4%","33.3%","47.2%","44.4%","48.3%"
"13","13","NC A&T","45.8%","55.6%","68.4%","46.9%","45.4%","45.2%"
"14","14","E Tenn St","45.9%","51.6%","50.7%","41.6%","49.1%","44.3%"
"15","15","Ark Pine Bl","46.0%","39.6%","28.6%","42.5%","47.3%","49.0%"
"16","16","E Michigan","46.1%","36.0%","48.6%","46.7%","45.6%","47.1%"
"17","17","Mercer","46.1%","43.3%","42.2%","49.9%","44.0%","48.0%"
"18","18","Auburn","46.2%","44.1%","45.1%","47.1%","45.2%","47.6%"
"19","19","Pacific","46.2%","44.1%","30.8%","50.2%","43.8%","44.3%"
"20","20","UC Riverside","46.4%","51.5%","50.0%","47.4%","45.7%","47.9%"
"21","21","UCSB","46.5%","49.1%","42.3%","50.7%","43.9%","48.6%"
"22","22","NC-Grnsboro","46.6%","48.0%","38.2%","43.4%","49.0%","47.9%"
"23","23","Manhattan","46.6%","57.1%","60.0%","49.3%","45.3%","47.8%"
"24","24","Geo Mason","46.6%","48.5%","57.5%","48.3%","45.2%","50.2%"
"25","25","Lipscomb","46.7%","48.3%","41.5%","48.7%","45.2%","53.2%"
"26","26","Syracuse","46.7%","46.7%","42.6%","48.6%","45.2%","49.6%"
"27","27","Gonzaga","46.8%","34.6%","28.9%","48.0%","45.8%","54.9%"
"28","28","Wichita St","46.9%","40.8%","36.1%","51.6%","43.9%","52.7%"
