"","Rank","Team","2014","Last 3","Last 1","Home","Away","2013"
"1","1","Fla Atlantic","15.0%","18.1%","19.5%","16.1%","14.0%","22.5%"
"2","2","Rhode Island","18.3%","14.6%","8.1%","20.3%","16.7%","19.6%"
"3","3","VA Military","18.7%","25.9%","23.6%","20.3%","17.7%","22.4%"
"4","4","N Mex State","18.8%","22.2%","36.0%","19.3%","18.5%","20.3%"
"5","5","Manhattan","19.9%","17.3%","12.2%","25.0%","17.3%","21.3%"
"6","6","TX Christian","20.4%","13.8%","0.0%","20.4%","20.4%","27.1%"
"7","7","Prairie View","20.6%","25.2%","20.0%","17.9%","21.6%","23.6%"
"8","8","California","21.1%","16.0%","24.7%","22.9%","19.0%","26.8%"
"9","9","DePaul","21.2%","22.2%","26.9%","19.2%","22.9%","25.3%"
"10","10","Ste F Austin","21.4%","20.4%","26.3%","20.9%","21.7%","20.1%"
"11","11","Fairfield","21.8%","12.5%","19.0%","23.4%","20.4%","20.6%"
"12","12","N Florida","21.8%","18.5%","14.8%","20.2%","22.5%","23.1%"
"13","13","Pepperdine","21.8%","31.9%","43.5%","20.3%","23.1%","28.2%"
"14","14","San Diego","22.2%","24.0%","30.0%","21.1%","23.0%","27.5%"
"15","15","App State","22.4%","21.6%","15.0%","20.2%","23.9%","23.3%"
"16","16","Savannah St","22.8%","20.5%","23.4%","17.8%","25.1%","20.8%"
"17","17","Alab A&M","22.9%","16.3%","14.1%","21.4%","23.7%","20.6%"
"18","18","Richmond","23.0%","18.8%","9.5%","23.3%","22.5%","23.3%"
"19","19","Chattanooga","23.1%","21.5%","26.1%","24.4%","21.9%","20.7%"
"20","20","Sam Hous St","23.2%","25.3%","21.1%","23.7%","22.9%","23.2%"
"21","21","Central Ark","23.3%","26.9%","17.1%","19.7%","26.1%","20.5%"
"22","22","Denver","23.3%","10.7%","4.9%","25.5%","20.8%","20.5%"
"23","23","Radford","23.6%","20.8%","11.5%","25.5%","22.4%","24.4%"
"24","24","Vermont","23.6%","20.2%","12.7%","24.3%","23.0%","26.3%"
"25","25","Duke","23.6%","22.9%","34.4%","22.9%","24.1%","17.5%"
"26","26","Southern","23.6%","17.6%","14.5%","26.6%","22.4%","24.1%"
"27","27","NC-Wilmgton","23.7%","28.9%","31.0%","22.9%","24.0%","28.1%"
"28","28","St Fran (NY)","23.7%","21.2%","14.3%","24.8%","22.7%","21.7%"
"29","29","LA Lafayette","23.7%","31.7%","20.2%","23.4%","23.9%","23.1%"
"30","30","Seton Hall","23.8%","28.7%","50.0%","19.7%","27.1%","26.8%"
"31","31","Incarnate Word","23.8%","26.8%","25.3%","22.4%","24.7%","27.6%"
"32","32","Army","24.0%","9.3%","5.4%","27.8%","20.4%","27.3%"
"33","33","Morehead St","24.0%","24.7%","15.0%","25.8%","23.0%","24.6%"
"34","34","Tulane","24.0%","25.9%","40.9%","22.8%","25.4%","29.6%"
"35","35","Kent State","24.0%","23.1%","8.1%","26.2%","22.3%","25.2%"
"36","36","Morgan St","24.0%","29.1%","16.5%","22.8%","24.6%","24.7%"
"37","37","Weber State","24.1%","19.3%","11.8%","26.5%","22.3%","19.0%"
"38","38","Indiana","24.1%","18.4%","7.4%","23.9%","24.4%","25.3%"
"39","39","La Salle","24.2%","39.7%","62.7%","27.0%","22.0%","22.8%"
"40","40","Auburn","24.2%","25.9%","23.1%","27.0%","21.7%","30.5%"
"41","41","TX Southern","24.3%","15.8%","16.1%","21.6%","25.2%","26.2%"
"42","42","Wofford","24.3%","26.5%","16.1%","24.3%","24.3%","22.1%"
"43","43","Davidson","24.4%","31.0%","21.7%","20.8%","26.7%","20.5%"
"44","44","Memphis","24.4%","27.1%","30.0%","25.1%","23.5%","22.6%"
"45","45","Columbia","24.4%","20.5%","17.6%","24.6%","24.1%","22.7%"
"46","46","W Virginia","24.5%","27.1%","15.4%","25.3%","24.0%","27.3%"
"47","47","S Utah","24.6%","18.1%","20.9%","25.2%","24.1%","21.9%"
"48","48","Grand Canyon","24.6%","27.9%","36.0%","25.5%","23.4%","24.1%"
"49","49","Boston Col","24.6%","18.8%","18.5%","25.0%","24.2%","23.2%"
"50","50","Hampton","24.8%","23.5%","11.4%","26.5%","24.0%","25.9%"
"51","51","Kentucky","24.8%","22.2%","29.6%","30.4%","19.6%","25.0%"
"52","52","LSU","24.9%","26.3%","22.7%","24.4%","25.3%","26.2%"
"53","53","Campbell","24.9%","26.6%","33.3%","24.4%","25.2%","24.4%"
"54","54","Arizona St","24.9%","27.9%","23.7%","27.2%","22.6%","22.9%"
"55","55","S Alabama","25.0%","34.7%","35.1%","27.0%","23.4%","25.2%"
"56","56","Mt St Marys","25.0%","28.5%","20.5%","27.5%","23.2%","18.1%"
"57","57","LIU-Brooklyn","25.0%","21.5%","22.8%","24.9%","25.1%","32.0%"
