"","Rank","Team","2016","Last 3","Last 1","Home","Away","2015"
"1","1","W Kentucky","14.2%","13.4%","18.1%","14.7%","13.8%","15.9%"
"2","2","Purdue","14.4%","14.0%","10.8%","12.6%","16.3%","18.1%"
"3","3","Villanova","14.5%","16.1%","30.9%","12.9%","15.9%","17.5%"
"4","4","UCLA","14.7%","14.1%","7.4%","13.7%","15.8%","19.0%"
"5","5","USC","14.7%","14.6%","19.0%","14.5%","14.9%","17.4%"
"6","6","St Fran (PA)","14.8%","15.1%","25.4%","13.4%","15.8%","17.5%"
"7","7","Clemson","15.0%","13.8%","29.5%","13.7%","16.4%","17.4%"
"8","8","Pepperdine","15.1%","15.2%","19.1%","14.4%","15.6%","17.6%"
"9","9","Wash State","15.1%","13.6%","20.8%","14.8%","15.5%","21.6%"
"10","10","Pittsburgh","15.4%","12.3%","18.6%","14.8%","16.1%","17.7%"
"11","11","S Methodist","15.4%","23.8%","22.6%","15.5%","15.2%","17.2%"
"12","12","VA Tech","15.4%","21.3%","30.3%","16.8%","13.7%","19.1%"
"13","13","S Dakota St","15.4%","17.2%","18.2%","15.3%","15.5%","23.3%"
"14","14","N Hampshire","15.4%","16.6%","13.5%","16.1%","15.0%","19.4%"
"15","15","Iowa","15.5%","9.8%","11.4%","15.5%","15.5%","15.1%"
"16","16","UNLV","15.5%","11.1%","12.5%","15.0%","16.2%","23.0%"
"17","17","Central FL","15.6%","8.6%","7.1%","15.0%","16.1%","15.5%"
"18","18","Iowa State","15.6%","15.1%","24.1%","12.5%","18.3%","14.7%"
"19","19","Youngs St","15.7%","16.7%","10.7%","15.2%","16.1%","17.4%"
"20","20","Toledo","15.8%","14.0%","19.4%","13.8%","17.3%","16.9%"
"21","21","Lafayette","15.8%","14.3%","20.9%","17.4%","14.3%","19.4%"
"22","22","Michigan","15.9%","13.4%","22.8%","15.2%","16.6%","16.0%"
"23","23","NC Central","15.9%","13.2%","20.6%","15.6%","16.1%","20.9%"
"24","24","Creighton","16.0%","15.1%","12.1%","13.9%","18.3%","19.2%"
"25","25","Austin Peay","16.1%","21.8%","26.6%","15.7%","16.4%","17.1%"
"26","26","N Iowa","16.2%","18.3%","35.7%","15.6%","16.5%","15.4%"
"27","27","Arizona","16.2%","20.6%","25.0%","14.5%","17.9%","18.4%"
"28","28","St Marys","16.2%","19.2%","21.6%","15.7%","16.8%","15.1%"
"29","29","Elon","16.2%","17.4%","18.3%","15.4%","16.8%","18.2%"
