"","Rank","Team","2015","Last 3","Last 1","Home","Away","2014"
"1","1","Wyoming","30.0%","30.8%","31.6%","30.0%","30.1%","28.1%"
"2","2","Hawaii","27.7%","26.8%","20.7%","27.9%","27.5%","23.6%"
"3","3","TX Christian","27.7%","28.3%","31.6%","28.9%","26.2%","27.2%"
"4","4","Weber State","27.5%","22.7%","21.8%","28.4%","27.0%","26.0%"
"5","5","Stanford","27.4%","23.2%","26.0%","29.1%","25.3%","25.5%"
"6","6","Colorado St","27.2%","29.5%","29.5%","29.2%","25.5%","26.3%"
"7","7","Evansville","27.2%","23.2%","19.6%","29.4%","25.2%","26.5%"
"8","8","Houston Bap","27.2%","20.7%","20.2%","29.7%","25.7%","24.3%"
"9","9","VA Tech","27.2%","24.7%","19.8%","29.2%","24.6%","22.8%"
"10","10","Idaho","27.1%","27.8%","23.8%","26.0%","27.9%","24.7%"
"11","11","Xavier","26.8%","23.9%","28.9%","28.6%","25.3%","26.0%"
"12","12","Texas Tech","26.8%","21.8%","19.3%","28.9%","24.4%","26.6%"
"13","13","Yale","26.8%","26.5%","22.1%","29.0%","25.4%","27.0%"
"14","14","W Virginia","26.6%","24.6%","29.0%","26.7%","26.6%","26.2%"
"15","15","Grand Canyon","26.6%","26.2%","18.9%","26.2%","27.1%","26.5%"
"16","16","N Iowa","26.6%","27.4%","24.3%","29.0%","25.1%","28.0%"
"17","17","TX Southern","26.5%","25.7%","21.1%","27.1%","26.2%","26.9%"
"18","18","Boise State","26.5%","25.5%","28.3%","26.6%","26.4%","23.2%"
"19","19","Arizona","26.4%","27.4%","28.5%","28.4%","24.3%","26.6%"
"20","20","Wisconsin","26.4%","20.8%","11.8%","28.6%","24.0%","26.0%"
"21","21","Montana","26.3%","25.0%","19.0%","29.0%","24.9%","24.2%"
"22","22","N Illinois","26.3%","27.2%","24.0%","26.8%","25.8%","26.2%"
"23","23","Bradley","26.3%","25.1%","23.2%","28.3%","24.6%","23.3%"
"24","24","Navy","26.3%","28.5%","27.4%","26.8%","25.8%","23.0%"
"25","25","E Kentucky","26.3%","25.2%","32.3%","26.9%","25.6%","23.6%"
"26","26","Albany","26.2%","19.3%","11.8%","27.7%","25.1%","26.3%"
"27","27","TN Tech","26.2%","27.2%","21.6%","27.8%","24.9%","22.0%"
"28","28","Duke","26.2%","28.7%","22.8%","26.4%","26.0%","24.4%"
"29","29","S Dakota St","26.2%","24.1%","22.2%","27.7%","25.4%","27.1%"
"30","30","Georgia","26.2%","24.1%","19.3%","27.3%","24.7%","26.6%"
