"","Rank","Team","2013","Last 3","Last 1","Home","Away","2012"
"1","1","Morehead St","23.4","24.0","19.0","23.8","23.2","18.4"
"2","2","Manhattan","23.4","18.0","18.0","23.2","23.5","20.2"
"3","3","NC A&T","23.3","24.0","22.0","24.5","22.6","18.6"
"4","4","Quinnipiac","23.2","21.3","17.0","22.5","23.7","21.1"
"5","5","BYU","22.7","20.7","22.0","22.9","22.6","18.6"
"6","6","Hampton","22.7","23.7","22.0","24.3","21.6","18.5"
"7","7","New Orleans","22.5","21.7","24.0","23.3","21.9","18.9"
"8","8","N Mex State","22.5","17.3","18.0","24.2","21.3","20.3"
"9","9","Niagara","22.5","19.7","19.0","22.2","22.6","18.4"
"10","10","Sam Hous St","22.3","16.7","16.0","21.6","22.7","18.9"
"11","11","Kentucky","22.2","18.7","18.0","23.6","21.0","19.8"
"12","12","Iowa","21.8","16.7","14.0","23.1","20.4","19.5"
"13","13","Geo Wshgtn","21.7","20.7","20.0","22.4","21.2","18.6"
"14","14","Towson","21.7","18.7","14.0","22.1","21.4","18.8"
"15","15","TX El Paso","21.7","19.7","18.0","23.1","20.1","18.8"
"16","16","Grand Canyon","21.7","21.0","20.0","23.3","20.8","--"
"17","17","Lipscomb","21.7","23.0","24.0","22.3","21.3","20.8"
"18","18","Oklahoma St","21.6","22.3","28.0","23.8","19.7","19.6"
"19","19","Yale","21.6","17.3","14.0","23.6","20.4","19.6"
"20","20","Oregon St","21.6","22.7","20.0","22.5","20.5","18.3"
"21","21","TX Southern","21.5","23.7","20.0","22.3","21.2","16.7"
"22","22","Colorado St","21.5","23.3","18.0","21.8","21.0","20.9"
"23","23","Georgia","21.4","21.3","21.0","22.7","20.1","19.3"
"24","24","LA Lafayette","21.4","16.3","17.0","22.7","20.7","18.5"
"25","25","Rider","21.4","19.0","15.0","21.7","21.2","18.6"
"26","26","Tulsa","21.3","22.0","13.0","21.9","20.9","19.3"
"27","27","Austin Peay","21.3","18.3","22.0","22.7","20.3","19.4"
"28","28","W Michigan","21.3","20.0","21.0","25.1","18.3","19.5"
"29","29","WI-Milwkee","21.2","17.0","17.0","22.0","20.8","18.6"
"30","30","Kansas","21.2","18.0","15.0","21.5","20.9","18.4"
"31","31","TX-San Ant","21.2","17.3","20.0","21.3","21.1","18.2"
"32","32","Marquette","21.2","20.0","16.0","23.5","18.8","18.7"
"33","33","Siena","21.1","22.7","27.0","22.6","19.7","17.5"
"34","34","Toledo","21.1","17.0","13.0","22.8","19.8","18.4"
"35","35","Georgetown","21.1","22.3","21.0","20.9","21.3","18.2"
"36","36","N Carolina","21.0","19.0","17.0","23.3","18.5","16.5"
"37","37","S Carolina","21.0","22.0","15.0","22.3","19.9","19.3"
"38","38","Delaware","21.0","20.3","27.0","22.1","20.4","19.4"
"39","39","Indiana","21.0","16.0","16.0","22.7","18.9","20.4"
"40","40","NW State","21.0","21.7","21.0","22.2","20.3","20.1"
"41","41","Harvard","21.0","20.3","20.0","22.2","20.3","19.6"
"42","42","Missouri","20.9","21.0","22.0","21.5","20.3","17.9"
"43","43","Wake Forest","20.9","18.3","20.0","22.1","19.5","20.0"
"44","44","San Fransco","20.9","19.3","12.0","21.2","20.5","16.8"
"45","45","S Dakota St","20.9","16.7","12.0","21.9","20.3","17.2"
"46","46","Oklahoma","20.8","15.0","20.0","21.7","19.9","18.1"
"47","47","Wichita St","20.8","19.0","15.0","21.5","20.2","18.0"
"48","48","Vermont","20.8","18.3","16.0","19.3","21.6","19.8"
"49","49","S Mississippi","20.7","18.0","14.0","23.4","19.1","17.7"
"50","50","Incarnate Word","20.7","16.0","15.0","22.1","19.5","--"
"51","51","St Bonavent","20.7","17.7","22.0","21.7","20.0","20.2"
"52","52","Stanford","20.7","21.7","25.0","20.2","21.1","17.9"
"53","53","Florida St","20.7","25.0","23.0","21.5","19.9","19.0"
"54","54","New Mexico","20.6","22.7","20.0","20.9","20.4","19.7"
"55","55","Charlotte","20.6","20.3","20.0","21.0","20.2","20.3"
"56","56","LA Tech","20.6","17.7","15.0","21.1","20.3","18.5"
"57","57","Idaho","20.6","21.0","18.0","20.5","20.6","16.2"
"58","58","Belmont","20.6","18.0","15.0","19.5","21.2","18.1"
"59","59","Pacific","20.5","20.0","19.0","22.6","19.1","18.0"
"60","60","E Tenn St","20.5","17.7","16.0","21.8","18.8","16.5"
"61","61","Cal St Nrdge","20.5","20.0","17.0","21.9","19.6","18.4"
"62","62","Morgan St","20.5","21.3","21.0","23.2","19.0","18.2"
"63","63","Oregon","20.4","18.0","16.0","21.2","19.6","18.7"
"64","64","Auburn","20.4","19.0","22.0","22.2","17.8","18.4"
"65","65","Murray St","20.4","18.0","15.0","21.5","19.3","20.1"
"66","66","Portland St","20.4","24.7","20.0","20.7","20.1","15.8"
"67","67","St Marys","20.4","22.3","23.0","20.6","20.1","17.8"
"68","68","Louisville","20.4","21.7","19.0","20.0","20.7","19.1"
"69","69","Alabama St","20.3","20.3","19.0","22.4","19.1","16.6"
"70","70","Arkansas St","20.3","24.7","15.0","21.5","19.5","20.2"
"71","71","Howard","20.3","21.7","22.0","23.1","19.3","16.1"
"72","72","Monmouth","20.3","19.7","16.0","19.8","20.7","18.0"
"73","73","W Virginia","20.3","21.3","21.0","20.4","20.2","20.9"
"74","74","Villanova","20.3","16.0","17.0","19.6","20.9","21.4"
"75","75","Colorado","20.3","13.7","13.0","22.4","18.1","17.9"
"76","76","Texas","20.3","14.0","12.0","21.1","19.4","19.5"
"77","77","NC Central","20.3","21.0","14.0","20.2","20.3","18.7"
"78","78","Troy","20.3","19.7","22.0","21.1","19.7","15.2"
"79","79","Rhode Island","20.3","22.3","24.0","21.1","19.4","18.1"
"80","80","Tulane","20.2","16.3","15.0","20.2","20.3","20.8"
"81","81","Arkansas","20.2","18.3","15.0","21.5","18.5","18.3"
"82","82","TX Christian","20.2","18.3","18.0","19.9","20.5","18.5"
"83","83","Marshall","20.2","17.7","22.0","19.5","20.8","20.6"
"84","84","Davidson","20.2","22.0","14.0","18.6","21.0","18.8"
"85","85","Xavier","20.2","17.3","14.0","21.7","18.5","18.8"
"86","86","Binghamton","20.2","22.3","16.0","20.7","19.8","16.5"
"87","87","N Illinois","20.1","18.7","17.0","20.8","19.4","16.8"
"88","88","Ste F Austin","20.1","19.3","17.0","21.6","19.1","18.0"
"89","89","UAB","20.1","19.0","21.0","20.7","19.5","16.5"
"90","90","Wisconsin","20.1","16.7","17.0","21.3","19.1","17.3"
"91","91","Hawaii","20.1","19.7","19.0","21.7","17.5","18.2"
"92","92","DePaul","20.1","17.0","16.0","21.5","18.5","17.3"
"93","93","James Mad","20.0","23.3","25.0","22.3","19.0","16.5"
"94","94","TX-Arlington","20.0","20.3","22.0","21.2","19.2","18.2"
"95","95","Buffalo","20.0","18.7","17.0","20.3","19.7","18.2"
"96","96","Coppin State","20.0","24.7","22.0","22.5","18.6","17.9"
"97","97","E Michigan","20.0","14.7","14.0","21.4","18.8","16.1"
"98","98","Rutgers","20.0","17.0","13.0","21.3","18.2","17.1"
"99","99","NC-Asheville","20.0","22.0","20.0","22.2","18.8","18.2"
"100","100","S Methodist","20.0","17.0","17.0","20.3","19.7","18.4"
"101","101","North Dakota","20.0","18.3","17.0","20.8","19.4","18.3"
"102","102","Jacksonville","20.0","18.3","20.0","20.5","19.5","18.7"
"103","103","Gonzaga","19.9","24.7","18.0","19.1","20.6","19.8"
"104","104","Arizona St","19.9","20.0","24.0","20.5","19.3","19.0"
"105","105","AR Lit Rock","19.9","19.7","27.0","18.5","20.7","20.9"
"106","106","Northeastrn","19.9","25.7","19.0","20.5","19.5","17.9"
"107","107","TN Tech","19.9","24.7","25.0","22.7","18.2","18.6"
"108","108","Chattanooga","19.9","16.7","16.0","20.6","19.5","19.6"
"109","109","E Washingtn","19.9","20.7","25.0","21.0","19.1","17.6"
"110","110","App State","19.9","23.3","22.0","20.2","19.7","18.8"
"111","111","Evansville","19.9","17.0","14.0","21.5","18.4","17.4"
"112","112","Hofstra","19.8","20.3","16.0","21.2","18.7","19.2"
"113","113","Tennessee","19.8","18.3","13.0","20.2","19.6","19.7"
"114","114","Miss State","19.8","20.3","25.0","20.9","18.5","18.0"
"115","115","Weber State","19.8","16.3","20.0","21.0","18.9","17.5"
"116","116","Maryland BC","19.8","19.0","15.0","20.2","19.4","16.4"
"117","117","Purdue","19.8","17.3","16.0","20.5","18.9","17.4"
"118","118","St Peters","19.7","20.3","20.0","19.5","19.9","15.5"
"119","119","Idaho State","19.7","20.0","18.0","21.4","18.6","16.6"
"120","120","Montana","19.7","19.0","19.0","20.0","19.5","16.9"
"121","121","Valparaiso","19.7","19.3","13.0","21.4","17.9","19.2"
"122","122","Richmond","19.7","19.7","19.0","19.9","19.5","20.1"
"123","123","UNLV","19.7","15.7","14.0","20.6","18.4","18.0"
"124","124","St Johns","19.7","18.3","10.0","19.8","19.6","17.0"
"125","125","Providence","19.7","21.0","19.0","20.5","19.0","19.5"
"126","126","Mississippi","19.7","21.7","21.0","21.4","17.8","20.2"
"127","127","Middle Tenn","19.6","17.7","20.0","22.5","17.3","19.6"
"128","128","Memphis","19.6","18.3","16.0","21.1","18.2","18.7"
"129","129","N Florida","19.6","21.0","17.0","21.3","18.5","16.0"
"130","130","Neb Omaha","19.6","20.3","17.0","21.5","18.3","16.0"
"131","131","TN Martin","19.6","18.7","20.0","22.1","17.6","18.6"
"132","132","San Diego St","19.6","18.3","16.0","21.9","18.1","17.5"
"133","133","UMKC","19.6","21.0","20.0","20.7","18.7","15.0"
"134","134","Portland","19.6","16.7","19.0","20.9","18.1","17.5"
"135","135","Drexel","19.5","16.3","18.0","18.7","20.1","16.9"
"136","136","SE Missouri","19.5","21.3","21.0","20.6","18.9","17.0"
"137","137","Seton Hall","19.5","14.7","21.0","21.4","17.4","17.0"
"138","138","Wright State","19.5","14.7","11.0","21.5","18.3","17.0"
"139","139","NC State","19.5","20.3","26.0","19.1","20.0","18.3"
"140","140","Detroit","19.5","19.3","19.0","20.1","19.1","17.5"
"141","141","Gard-Webb","19.5","19.3","26.0","21.8","18.4","17.2"
"142","142","U Mass","19.5","19.3","13.0","19.6","19.4","18.5"
"143","143","W Kentucky","19.5","21.0","24.0","20.6","18.3","18.9"
"144","144","E Kentucky","19.5","19.0","14.0","21.2","18.4","17.5"
"145","145","Missouri St","19.5","13.7","11.0","21.0","17.9","17.0"
"146","146","S Illinois","19.5","20.0","22.0","20.4","18.8","17.3"
"147","147","Nicholls St","19.5","17.7","16.0","21.2","18.5","18.9"
"148","148","Alab A&M","19.4","18.7","18.0","19.7","19.3","17.5"
"149","149","IPFW","19.4","17.3","21.0","19.8","19.2","18.1"
"150","150","Oral Roberts","19.4","16.3","14.0","21.1","18.5","18.4"
"151","151","CS Bakersfld","19.4","17.7","12.0","19.2","19.5","17.0"
"152","152","Penn State","19.4","21.0","18.0","20.4","18.2","18.6"
"153","153","TX A&M-CC","19.4","17.3","15.0","20.5","18.5","16.9"
"154","154","NJIT","19.4","20.3","28.0","19.9","19.1","19.2"
"155","155","Stony Brook","19.4","14.3","16.0","19.5","19.3","18.0"
"156","156","Prairie View","19.4","19.3","15.0","21.2","18.6","18.5"
"157","157","Iowa State","19.4","16.3","15.0","20.4","18.5","17.6"
"158","158","Central FL","19.3","20.7","17.0","19.7","19.0","18.4"
"159","159","TN State","19.3","18.3","15.0","19.2","19.5","19.6"
"160","160","N Iowa","19.3","18.7","21.0","20.5","18.4","17.3"
"161","161","Wyoming","19.3","18.3","12.0","22.1","16.3","18.8"
"162","162","Ohio State","19.3","17.0","14.0","20.1","18.3","17.0"
"163","163","VCU","19.3","14.7","16.0","21.9","17.4","17.1"
"164","164","IL-Chicago","19.3","22.7","24.0","21.3","17.8","17.1"
"165","165","Jksnville St","19.3","19.3","21.0","21.8","17.7","18.8"
"166","166","Youngs St","19.3","18.7","26.0","19.8","18.9","17.9"
"167","167","VA Military","19.3","21.0","21.0","19.4","19.2","16.2"
"168","168","Ball State","19.2","18.3","18.0","20.7","18.2","20.3"
"169","169","Indiana St","19.2","17.0","19.0","18.2","19.9","19.1"
"170","170","Hartford","19.2","18.7","19.0","20.1","18.8","16.7"
"171","171","Saint Louis","19.2","17.0","18.0","21.3","17.3","20.3"
"172","172","Marist","19.2","20.7","23.0","19.2","19.2","19.3"
"173","173","WI-Grn Bay","19.2","20.0","22.0","20.3","18.1","18.4"
"174","174","Southern","19.2","19.3","18.0","20.9","18.1","17.2"
"175","175","Canisius","19.2","17.3","18.0","20.2","18.5","18.2"
"176","176","Geo Mason","19.1","16.3","16.0","20.6","17.9","18.7"
"177","177","Utah","19.1","19.7","22.0","20.1","17.8","15.3"
"178","178","S Florida","19.1","18.7","24.0","19.6","18.5","15.9"
"179","179","Mercer","19.1","18.7","14.0","18.8","19.4","17.4"
"180","180","Jackson St","19.1","17.3","19.0","21.4","17.4","18.0"
"181","181","St Josephs","19.1","20.3","21.0","19.7","18.6","17.1"
"182","182","Houston Bap","19.1","20.3","18.0","20.0","18.5","19.4"
"183","183","Baylor","19.1","21.3","16.0","21.1","17.4","18.6"
"184","184","Old Dominion","19.1","15.7","13.0","21.1","17.1","18.0"
"185","185","Coastal Car","19.0","17.3","16.0","20.1","18.1","18.5"
