"","Rank","Team","2016","Last 3","Last 1","Home","Away","2015"
"1","1","Xavier","30.7%","31.1%","32.3%","31.7%","29.6%","30.7%"
"2","2","Kentucky","30.2%","31.1%","27.4%","31.8%","28.1%","28.0%"
"3","3","Evansville","30.1%","30.7%","22.4%","32.7%","27.7%","29.7%"
"4","4","TX Southern","30.1%","31.7%","38.1%","31.0%","29.7%","30.6%"
"5","5","Brown","30.0%","28.0%","25.3%","30.3%","29.8%","26.8%"
"6","6","SIU Edward","29.9%","27.8%","28.7%","32.7%","28.1%","27.9%"
"7","7","Colorado","29.8%","31.8%","30.7%","32.8%","26.5%","28.3%"
"8","8","Towson","29.8%","32.3%","32.8%","31.2%","28.7%","30.4%"
"9","9","N Mex State","29.7%","32.3%","31.1%","31.7%","27.4%","29.7%"
"10","10","Grand Canyon","29.7%","33.2%","33.6%","30.9%","28.2%","30.2%"
"11","11","New Orleans","29.7%","30.0%","34.6%","31.6%","28.2%","29.3%"
"12","12","Wichita St","29.5%","35.6%","42.9%","30.3%","28.6%","29.5%"
"13","13","UC Davis","29.4%","29.9%","34.1%","29.7%","29.3%","26.8%"
"14","14","Central FL","29.3%","26.2%","23.2%","30.1%","28.3%","26.0%"
"15","15","Howard","29.2%","34.3%","44.9%","27.4%","30.2%","29.1%"
"16","16","Col Charlestn","29.1%","30.8%","23.7%","31.6%","27.3%","27.3%"
"17","17","Weber State","29.1%","29.0%","34.6%","30.3%","28.3%","30.5%"
"18","18","Rob Morris","29.1%","27.2%","26.3%","29.8%","28.7%","24.3%"
"19","19","Auburn","29.1%","28.0%","29.2%","31.6%","26.7%","28.4%"
"20","20","Hawaii","29.1%","27.2%","23.1%","30.4%","26.7%","31.1%"
"21","21","Arkansas St","29.1%","30.3%","27.7%","30.3%","28.2%","28.1%"
"22","22","S Dakota St","29.1%","28.7%","22.5%","30.7%","28.1%","29.6%"
"23","23","Montana St","29.0%","25.6%","28.5%","30.6%","27.5%","27.1%"
"24","24","Tennessee","29.0%","27.1%","31.0%","31.9%","25.4%","27.8%"
"25","25","Wright State","29.0%","23.6%","24.2%","31.1%","27.1%","25.8%"
"26","26","New Mexico","29.0%","24.1%","33.2%","31.0%","26.9%","28.8%"
"27","27","TN State","29.0%","26.4%","29.5%","28.8%","29.1%","27.8%"
"28","28","Air Force","29.0%","30.0%","34.3%","32.2%","25.1%","28.8%"
"29","29","N Illinois","28.9%","29.9%","38.7%","29.0%","28.9%","29.9%"
"30","30","Missouri","28.9%","29.4%","29.2%","30.5%","26.9%","27.1%"
"31","31","Navy","28.9%","36.4%","40.0%","29.8%","28.1%","29.8%"
"32","32","Florida","28.9%","22.6%","24.9%","28.7%","29.0%","28.2%"
"33","33","Wake Forest","28.9%","34.8%","36.9%","30.3%","27.7%","28.5%"
"34","34","Colorado St","28.9%","24.6%","19.0%","30.8%","26.5%","31.2%"
"35","35","Texas Tech","28.9%","25.6%","21.8%","30.5%","26.2%","30.2%"
"36","36","Stony Brook","28.8%","29.4%","35.0%","30.6%","27.0%","26.3%"
"37","37","Loyola-MD","28.8%","24.2%","30.2%","28.3%","29.2%","26.7%"
"38","38","S Carolina","28.8%","30.2%","26.7%","29.4%","28.0%","30.4%"
"39","39","Rhode Island","28.8%","30.0%","28.0%","29.3%","28.3%","27.4%"
"40","40","Georgetown","28.8%","25.2%","28.6%","30.5%","26.7%","27.0%"
"41","41","Idaho","28.8%","32.5%","31.4%","29.3%","28.4%","30.9%"
"42","42","Tulsa","28.7%","27.2%","28.8%","30.0%","27.5%","28.6%"
"43","43","Nevada","28.7%","23.7%","24.5%","30.6%","27.2%","27.6%"
"44","44","Manhattan","28.7%","29.4%","30.3%","29.8%","27.9%","28.5%"
"45","45","W Virginia","28.7%","27.2%","26.9%","28.7%","28.6%","32.0%"
"46","46","Portland","28.7%","27.9%","22.3%","30.7%","27.2%","26.0%"
"47","47","Arizona","28.6%","28.7%","33.2%","29.5%","27.6%","30.0%"
"48","48","Lipscomb","28.6%","25.0%","18.9%","28.7%","28.6%","25.6%"
"49","49","UNLV","28.6%","28.7%","34.6%","28.1%","29.3%","28.1%"
"50","50","Wagner","28.6%","25.5%","24.1%","26.9%","30.1%","26.3%"
"51","51","Cal St Nrdge","28.6%","25.9%","16.8%","28.5%","28.6%","28.0%"
"52","52","Hofstra","28.5%","29.5%","29.4%","26.6%","29.9%","27.5%"
"53","53","St Josephs","28.5%","29.8%","26.1%","30.7%","26.5%","27.2%"
"54","54","Georgia","28.5%","26.5%","31.5%","29.0%","27.9%","29.7%"
"55","55","SE Louisiana","28.4%","25.6%","24.4%","31.6%","26.0%","26.9%"
"56","56","Gard-Webb","28.3%","28.8%","23.9%","29.9%","27.4%","25.5%"
"57","57","TX A&M-CC","28.3%","23.9%","18.4%","31.9%","25.7%","28.1%"
"58","58","Ste F Austin","28.3%","28.0%","28.0%","28.2%","28.3%","28.7%"
"59","59","Siena","28.3%","29.6%","30.1%","29.9%","27.1%","27.7%"
"60","60","E Tenn St","28.3%","29.3%","27.5%","28.8%","27.9%","25.8%"
"61","61","Coppin State","28.2%","32.3%","37.4%","31.6%","26.8%","27.3%"
"62","62","Toledo","28.2%","23.8%","25.4%","29.4%","27.1%","27.6%"
"63","63","LIU-Brooklyn","28.2%","27.8%","22.4%","28.5%","28.0%","29.4%"
"64","64","Boise State","28.2%","24.5%","15.8%","30.6%","26.1%","29.4%"
"65","65","Mercer","28.2%","31.1%","27.7%","29.3%","27.3%","26.1%"
"66","66","Old Dominion","28.2%","25.7%","26.7%","29.4%","27.0%","27.7%"
"67","67","Bradley","28.2%","27.5%","23.8%","29.1%","27.5%","29.1%"
"68","68","Fresno St","28.1%","23.3%","21.3%","28.9%","27.4%","27.5%"
"69","69","St Bonavent","28.1%","29.6%","29.1%","29.3%","26.9%","27.5%"
"70","70","Sam Hous St","28.1%","30.9%","23.6%","30.6%","26.1%","29.1%"
"71","71","Dayton","28.1%","31.0%","28.8%","27.0%","29.2%","27.7%"
"72","72","Mississippi","28.0%","30.2%","33.4%","29.9%","25.5%","29.2%"
"73","73","Pacific","28.0%","28.7%","25.7%","29.2%","27.0%","29.1%"
"74","74","TN Tech","28.0%","27.8%","32.3%","27.8%","28.1%","29.1%"
"75","75","Kansas St","27.9%","29.5%","32.6%","29.2%","26.5%","30.5%"
"76","76","Alabama","27.9%","23.4%","21.2%","28.6%","27.2%","28.8%"
"77","77","Chattanooga","27.9%","22.8%","23.5%","29.9%","26.5%","28.5%"
"78","78","Duke","27.9%","24.2%","29.8%","27.9%","27.8%","30.0%"
"79","79","Butler","27.9%","23.6%","23.4%","28.9%","26.6%","28.2%"
"80","80","Austin Peay","27.8%","27.2%","24.7%","30.0%","26.5%","29.5%"
"81","81","NW State","27.8%","28.3%","29.8%","28.4%","27.5%","25.8%"
"82","82","App State","27.8%","27.1%","39.2%","30.9%","25.5%","29.7%"
"83","83","N Iowa","27.8%","26.9%","31.2%","32.1%","24.8%","28.3%"
"84","84","S Methodist","27.8%","29.2%","29.4%","28.5%","26.7%","26.5%"
"85","85","Oklahoma St","27.7%","22.3%","20.0%","28.4%","27.0%","28.7%"
"86","86","DePaul","27.7%","26.3%","27.9%","28.5%","26.7%","28.0%"
